id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	proofread_reason	notes
LAFYKTW-011	keep-proofread	古典文句	独夫之心，日益骄固	杜牧《阿房宫赋》相关文句	005.与虎谋皮的先决条件.txt	53	53	李敖引《阿房宫赋》文意，写独断者在沉默环境中愈发骄横固执。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-012	keep-proofread	古典诗句	狭巷短兵相接处，杀人如草不闻声。	沈明臣《铙歌》	005.与虎谋皮的先决条件.txt	57	57	李敖引明人诗句，写无声暴烈比单纯暴烈更可怕。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-013	add-proofread	成语典故	与虎谋皮	中文成语	006.从国民党式强奸到党外主流派式强奸.txt	139	139	李敖借成语，写向根本利害相反者谋求合作的虚妄。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只收成语本身，不收同段现代党派攻防语。
LAFYKTW-014	add-proofread	古典诗句	本是同根生	曹植《七步诗》相关诗句	006.从国民党式强奸到党外主流派式强奸.txt	143	143	李敖借古诗句，写同源者之间本不该相害。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：虽用于现代论战，诗句本身为古典文学引文。
LAFYKTW-015	keep-proofread	化用诗句	“文”前作剧莫相笑，我死诸君思此狂。	李敖改写陆游诗句	006.从国民党式强奸到党外主流派式强奸.txt	147	149	李敖化用陆游诗意，为自己写作与身后评价作戏谑式自题。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-016	keep-proofread	文坛轶事语	郭良蕙啊！这件事有两个错误：第一个错误是他们不该开除你；第二个错误是你不该加入。	梁实秋轶事	007.你们可以不怕他.txt	7	7	李敖引梁实秋答郭良蕙语，保存一则文坛机锋。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-017	keep-proofread	古文寓言	楚有养狙以为生者，楚人谓之狙公。旦日，必部分众狙于庭，使老狙率以之山中，求草木之实，赋什一以自奉。或不给，则加鞭箠焉。群狙皆畏苦之，弗敢远也。一日，有小狙谓众狙曰：“山之果，公所树与？”曰：“否也，天生也。”曰：“非公不得而取与？”曰：“否也，皆得而取也。”曰：“然则吾何假于彼而为之役乎？”言未既，众狙皆寤。其夕，相与伺狙公之寝，破栅毁柙，取其积，相携而入于林中，不复归。狙公卒馁而死。	刘基《郁离子》	007.你们可以不怕他.txt	25	25	李敖完整引刘基狙公故事，保存寓言原文。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-018	add-proofread	外来习语	君子协定	英文 gentleman's agreement	010.所谓“君子协定”.txt	3	3	李敖解释“君子协定”的英文来源和习语含义。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：作为外来习语保留，不收同段国际政治评论。
LAFYKTW-019	keep-proofread	成语典故	盗亦有道	《庄子》相关成语	010.所谓“君子协定”.txt	37	37	李敖引成语，说明即使在不正当群体中也有内部规则。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-020	keep-proofread	古典诗句	看似寻常最奇崛，成如容易却艰辛。	王安石《题张司业诗》	013.《开枪·斗牛·蛋》自序.txt	9	11	李敖引王安石诗句，说明看似容易与寻常背后有奇崛艰辛。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-021	keep-proofread	俗语格言	旁观者清	中文俗语	014.国民党大胜？还是党外大胜？.txt	107	107	李敖引俗语，说明跳出局中污染后反而看得清楚。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-022	keep-proofread	古文故事引文	尔之爱我也，不如彼！君子之爱人也，以德；细人之爱人也，以姑息。吾何求哉！吾得正而毙焉，斯已矣！	《礼记》曾子易箦故事	016.“蓬莱岛案”的讨论.txt	145	145	李敖引曾子论爱人以德之句，强调原则高于姑息。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-023	keep-proofread	古文故事引文	华而睆！大夫之箦与！	《礼记》曾子易箦故事	016.“蓬莱岛案”的讨论.txt	145	145	李敖引曾子易箦故事中的童子提醒，写临终守礼的触发点。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-024	keep-proofread	古文故事引文	然！斯季孙之赐也。我未之能易也。元！起易箦！	《礼记》曾子易箦故事	016.“蓬莱岛案”的讨论.txt	145	145	李敖引曾子临终换席之语，保存守礼不苟的古文原句。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-025	keep-proofread	儒家成句	止于至善	《大学》相关成句	017.“蓬莱岛案”的再讨论.txt	37	37	李敖题中引用儒家成句，表示抵达最高善的标准。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-026	add-proofread	俗语格言	清者自清、浊者自浊	中文俗语	017.“蓬莱岛案”的再讨论.txt	61	61	李敖借俗语，说明清浊自有其本来状态。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只取通行俗语格言，避开后续现代论战语。
LAFYKTW-027	add-proofread	佛教典故	生公说法	生公说法典故	017.“蓬莱岛案”的再讨论.txt	61	61	李敖借佛教典故，形容反复讲说而期待听者领会。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只收传统典故，不收同段现代政治判断。
LAFYKTW-028	add-proofread	佛教典故	顽石点头	生公说法、顽石点头典故	017.“蓬莱岛案”的再讨论.txt	61	61	李敖借传统典故，写道理讲到连顽石也会被感动的境界。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只收传统典故，不收同段现代政治判断。
LAFYKTW-029	add-proofread	外国文学引文	十年以后，斯铎曼的见解，社会上一般人大概也跟上了。但这十年中，斯铎曼自己也不断在进步。所以十年以后，他的见解仍旧比一般人超出十年。就我个人来说，我感到我不断在进步。以前我每个剧本里的主张，如今都渐渐变成一般人的主张。但等他们跟到那一境界的时候，我早就不在那儿了，我又更进一步了。我希望我总是朝前走了。	易卜生书信	017.“蓬莱岛案”的再讨论.txt	63	63	李敖引易卜生书信，说明先行者不断前进，不停在追随者赶上的位置。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：文学书信引文，未收同段现代政治讨论。
LAFYKTW-030	keep-proofread	古典成语	欲加之罪，何患无辞	《左传》相关成语	020.由“拿破仑同志”想起.txt	19	19	李敖引成语，说明若要罗织罪名，总能找到说辞。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-031	add-proofread	儒家引文	觚不觚。觚哉？觚哉？	《论语》	021.别脱那么快.txt	15	15	李敖引孔子论觚之名实，说明名实不符的问题。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只收《论语》原句，不收同段现代政治化用。
LAFYKTW-032	add-proofread	诸子引文	世有因名以得实，亦有因名以失实。	《尹文子》	021.别脱那么快.txt	15	15	李敖引《尹文子》名实之论，说明名称可以成就或丧失实质。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：只收诸子原句，不收同段现代政治化用。
LAFYKTW-033	keep-proofread	民间行话	揭飞碗	旧式赌博用语	023.“揭飞碗”的报酬.txt	29	29	李敖解释旧式赌博行话，指旁观者突然介入代行庄家职权。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-034	keep-proofread	民间行话	我包了！	旧式赌博用语	023.“揭飞碗”的报酬.txt	29	29	李敖引旧式赌博中揭飞碗时的喊法，保存行话原貌。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-035	add-proofread	外来成语	海千山千	日语成语 umisen yamasen	023.“揭飞碗”的报酬.txt	33	33	李敖引日语成语，形容阅历深、世故精明。	校对补入：明确非政治且可独立检索的诗文/成语/典故引文。	第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。 校对补入：作为外来成语保留，不收同段现代事件攻防语。
LAFYKTW-036	keep-proofread	史传典故	伯仁，以百口累卿！	《晋书·周觊传》王导、周觊故事	024.别忘了自己的立场！.txt	11	11	李敖转述伯仁典故，保存王导向周觊求援之语。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-037	keep-proofread	史传典故	我不杀伯仁，伯仁因我而死	《晋书·周觊传》王导、周觊故事	024.别忘了自己的立场！.txt	11	11	李敖引伯仁典故的通行说法，说明不直接动手却有间接责任。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
LAFYKTW-038	keep-proofread	史传典故	吾虽不杀伯仁，伯仁由我而死。幽冥之中，负此良友！	《晋书·周觊传》王导、周觊故事	024.别忘了自己的立场！.txt	11	11	李敖转述《晋书》中王导悔恨周觊之语。		第一轮保守筛选：《法眼看台湾》为高政治密度书，只保留可独立检索的古典诗文、成语典故、寓言、谚语、文坛轶事和少量民间行话；现代党派、选举、案件攻防、自由民主理论、国际政治演说和政治寓言语录不收。
