file	line	text	flags
002.沙丘忆.txt	5	教学过程开始后，陌生人的鱼饵，“总是白白让鱼吃了，因为羊齿鱼轻轻吞饵时候，他感觉不出来；但是钓不到鱼，他好像也无所谓”。显然的，他志不在鱼。	external-cue
002.沙丘忆.txt	7	陌生人告诉小男孩他是英文教员，在海边附近，最近租了一幢旧房，为了是要避一避，不是避警察或是什么，只是避避亲友。	external-cue
002.沙丘忆.txt	11	陌生人教小男孩，注意生活里的节奏（rhythm）。他说：“生活充满了节奏；语言文字也该有节奏。不过你得先训练耳朵。听听静夜的涛声，可以体会其中的韵律；看看海风在干沙上的痕迹，可以体会句子里应有的抑扬顿挫。你懂我意思吗？”（“Life is full of it；words should have it, too. But you have to train your ear. Listen to the waves on a quiet night; you'Il pick up the cadence. Look at the patterns the wind makes in dry sand and you'll see how syllables in a sentence should fall. Do you know what I mean?”）	external-cue
002.沙丘忆.txt	13	为了做这种节奏实验，有一次，陌生人举出15世纪马洛礼（Sir Thomas Malory）《亚瑟王之死》（Le Morte d'Arthur）中“骏马悲撕”（And the great horse grimly neighed）—段，要小孩子把眼睛闭上，慢慢念出这一句、体味这一句，问小男孩，你有什么感觉？小男孩说他闭眼一念，就“寒毛直竖”（“It gives me the shivers. ”）。陌生人大乐。	external-cue
002.沙丘忆.txt	15	陌生人还教小男孩看云，他指着一片云，问：“你看见了什么？看见五颜六色吗？这不够。要找尖塔、吊桥，要找云龙、飞狮，要找千奇百怪的野兽。”（What do you see there? Colors? That's not enough. Look for towers and drawbridges. Look for dragons and griffins and strange and wonderful beasts.）	
002.沙丘忆.txt	17	陌生人的花样还多呢！他不但教小男孩如何看云，还教小男孩如何看蟹。他抓起一只蟹，照小男孩教他的抓蟹脚的法子，抓住后脚，问小男孩：“用麦秆似的眼睛，你看到了什么？用乱七八糟的脚，你碰到了什么？你的小脑袋里想到了什么？试试看，只要五秒钟就行了。不要把自己当成男孩，把自己当成蟹！”（What do you see through those stalk-like eyes? What do you feel with those complicated legs? What goes on in your tiny brain? Try it for just five seconds. Stop being a boy. Be a crab!）小男孩照做了，他的小小而平静的世界，显然动摇了。	
002.沙丘忆.txt	25	一点东西不是别的，原来是一本诗集，是萨拉·蒂斯代尔（Sara Teasdale）的《火焰与阴影》（Flame and Shadow），书中一页折了起来，页角指在一首诗上，诗题是《沙丘忆》（On the Dunes）——	external-cue
002.沙丘忆.txt	53	在沙丘上，小男孩一直没有呼唤陌生人的名字，因为他根本不知道陌生人的名字。小男孩后来离开了河边，长大了，也变成成年人了。他忘掉了这个成年的朋友，只在偶然的文字节奏里，偶然的云龙、偶然的蟹脚里，他忽然想起旧游往事，当然，生离于先，死别于后，那消逝了的陌生人，是永远不会重来了。	
002.沙丘忆.txt	57	〔后记〕1971年6月18日，我在警备总部不见天日的牢房里独居，想到萨拉·蒂斯代尔这首诗，我用一小时把它译成，就是上面这首。	external-cue,self-authored-cue,political-cue
002.沙丘忆.txt	59	萨拉·蒂斯代尔是美国浪漫派女诗人。她在我出生前两年（1933）死去，是自杀的，活了四十九岁。《火焰与阴影》是她三十六岁（1920）出版的。我译这首诗的时候，正三十六岁，如今我也快四十九了。因为这首译诗是我“台北蒙难”时残存的作品，对我有特别的意义，所以我特别为它写了这篇衬托性的文字。	external-cue,self-authored-cue
003.除却一寒冬.txt	3	莎士比亚剧本《随你欢喜》（As You Like It）第五幕中有两首诗，第一首是——	external-cue
003.除却一寒冬.txt	39	1972年4月8日，我在警备总司令部军法处狱中，曾把它们意译如下：	external-cue,self-authored-cue,political-cue
003.除却一寒冬.txt	69	这两首诗的意境，颇为悠闲超迈。我译它们的时候，既无“绿树荫荫”，也无“煦煦春阳”，但我在牢里，的确有了“仇敌都不见”的清静。只是牢里的冬天很冷，我可以不见“仇敌”，但却无法不见“寒冬”，在“寒冬”来的时候，为了御寒，每天晚上，我要在阴暗的灯光里，咿哑的地板上，不断来回走着，边走边背书，经常两三个小时。我之能背书、能走路，都拜坐牢之赐，坐牢对强者说来，真不是坏事。	external-cue,self-authored-cue
004.一首诗几件事.txt	1	一首诗几件事	
004.一首诗几件事.txt	3	约翰·邓恩（John Donne）生于1573年，死在1631年，是英国的诗人和教士，他有一首诗，原文如下：	external-cue
004.一首诗几件事.txt	7	这首诗，被海明威看中，把其中For Whom The Bell Tolls一句用作书名，就是中译的《战地钟声》。海明威把这首诗的全文印在扉页，可是所有的中译本都没翻它，跳过去了，所以这首诗也就从来没有中译，这是很遗憾的。	external-cue
004.一首诗几件事.txt	9	我很早就想译这首我喜欢的诗，但我坚持要押韵，所以就拖下来了。1972年10月27日，我在军法处牢房里终于把它译出来，同房的共产党死刑犯黄中国看到了，要求抄一份，我让他抄了，可是五天以后的清早，他就被拖去枪毙了。	external-cue,self-authored-cue,political-cue
004.一首诗几件事.txt	11	黄中国被枪毙后，我感到这首译诗对我更有苍茫的意味，我就妥为“处理”，终于使它随我一起出狱，收进我的档案里。	external-cue,political-cue
004.一首诗几件事.txt	13	后来这首译诗被胡茵梦看到了，胡茵梦抄袭了它，放在她的《死在阿富汗》一文里，又收到她的《茵梦湖》一书里，这事本来没什么好提的，但是如今我发表这首诗，若不声明一下，被以诚实为化妆品的新女性作证起来，我又要含冤莫白了。所以只好特为声明一下。	external-cue
004.一首诗几件事.txt	15	我的译诗是这样的：	external-cue,self-authored-cue
004.一首诗几件事.txt	17	译约翰·邓恩诗	external-cue
004.一首诗几件事.txt	57	这诗因为是意译，所以在用字遣词方面，小有更动，例如其中I am involved in Mankinde有难分难解意味，never send to know有何须打听意味，我都更动了。	external-cue
004.一首诗几件事.txt	59	胡虚一兄说a cold如不译为“一块土地”而译为“一小块泥土”会更好，我觉得很对。但为了保持狱中成果的原样，我还是照旧译刊出了。孟绝子（祥柯）也提出了很好的意见，只是我要保持狱中原译的纪念性，也就不再改了。	external-cue
005.评改余光中的一首译诗.txt	1	评改余光中的一首译诗	external-cue
005.评改余光中的一首译诗.txt	3	余光中《英诗译注》共收三十七首英诗。“译者希望这本小册子能符合初学英文诗者的需要。每首诗都中英对照，并附原文难解字句的诠释、创作的背景、形式的分析、作者的生平等等。”	external-cue
005.评改余光中的一首译诗.txt	7	余光中说他是“新诗的信徒，也是现代诗的拥护者”。但这本书中所选，“并非尽属一流作品”。因为“译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的”。这是余光中的精巧声明。	external-cue
005.评改余光中的一首译诗.txt	9	书中包括的名家，自琼森（Ben Jonson）起，共三十一人。其中英国人占六分之五强。即除了西班牙人桑塔亚纳（George Santayana），加拿大人麦克瑞（John McCrae）和美国人昂特迈耶（Louis Untermeyer）、弗朗西斯（Robert Francis）、纳什（Ogden Nash）等五人外，都是清一色的英国人。	external-cue
005.评改余光中的一首译诗.txt	11	书中最引我注意的是桑塔亚纳那首《悲悼》。余光中把英文原题印成With You a Part of me，显然就有问题。因为这诗本是桑塔亚纳《给W. P. 》（To W. P.）诗的第二首，余光中的错误，可断定是照抄Louis Untermeyer的“The Concise Treasury of Great Poems”而来。因为Louis Untermeyer书中第397页里，有介绍桑塔亚纳的原文是：	external-cue
005.评改余光中的一首译诗.txt	13	A Spaniard by birth (Madrid,December 16,1863), son of Spanish parents, Santayana was taken to Boston at the age of nine. Educated at the Boston Latin School and Harvard, he began teaching philosophy at Harvard in his mid-twenties. In the 1900's his students-among whom were T. S. Eliot Conrad Aiken, and Felix Frankfurter-considered him an inspired teacher, but Santayana actively disliked the academic tradition. Shortly before his fiftieth birthday he received an inheritance, r...	external-cue
005.评改余光中的一首译诗.txt	15	而余光中书中第78页里，竟有这样介绍桑塔亚纳的中文：	external-cue
005.评改余光中的一首译诗.txt	17	作者：桑塔亚纳（George Santayana），西班牙籍的美国哲学家，1863年12月16日生于西班牙首都马德里，九岁时迁往美国。他毕业于哈佛大学，二十七岁起以迄五十岁止的二十三年间，一直在原校任哲学教授，艾略特（T. S. Eliot）、艾肯（Conrad Aiken）和弗兰克浮特（Felix Frankfurter）等都是十分敬佩他的学生。但是桑塔亚纳却非常厌恶学院的传统，果然在五十岁那一年，他继承了一笔遗产，便立刻辞去教职，去欧洲漫游，先后在牛津和巴黎各住了一个时期，终于定居在罗马。1952年9月26日，在该城患胃癌逝世，享年八十九岁。	external-cue
005.评改余光中的一首译诗.txt	19	这段中文不注明出处。但与上面的英文一对照，我们自然立刻恍然大悟：原来如此，来源如此！真不知道这算不算“以翻译代替著作”也！	external-cue
005.评改余光中的一首译诗.txt	21	桑塔亚纳的《给W. P. 》诗的第二首原文是：	external-cue
005.评改余光中的一首译诗.txt	51	余光中《英诗译注》的译文是：	external-cue
005.评改余光中的一首译诗.txt	81	余光中口口声声奚落“西化的中文”，但他这首译诗，却是标准的“西化的中文”。对这首恶劣的译诗，我1972年10月间在狱中时，曾改译如下：	external-cue,self-authored-cue
005.评改余光中的一首译诗.txt	109	对照之下，余光中译文既韵脚不严，又生硬不通，有识之士一看就分出高下。	external-cue
005.评改余光中的一首译诗.txt	111	桑塔亚纳的《给W. P. 》原诗共四首，原收入1895年的Sonnets and Other Verses, 1970年 Robert Hutchinson收入Poems of George Santayana里。原诗苍茫深邃，读来感人心弦，被余光中那样拙手一译，简直不成东西矣！	external-cue,self-authored-cue
012.李诗四首.txt	1	李诗四首	self-authored-cue
012.李诗四首.txt	5	杨增悌告诉我：“李善培在美国被一个黑人杀死了。”作此诗。	self-authored-cue
012.李诗四首.txt	133	只好自把挽歌唱：	
012.李诗四首.txt	153	像忽略一片孤云。	
012.李诗四首.txt	169	又做了一片孤云。	
015.情诗十四首.txt	1	情诗十四首	self-authored-cue
015.情诗十四首.txt	71	共参欢喜禅。	external-cue
015.情诗十四首.txt	81	虽云色即空，	
015.情诗十四首.txt	197	何必理屈词穷？	
017.两首反中立的诗.txt	1	两首反中立的诗	political-cue
018.墓中人语.txt	3	爱尔兰民歌《丹尼少年》（Danny Boy），是我生平最喜欢的一首歌。歌中写情人在生死线外，幽明永隔，死者不已，生者含悲，缠绵凄凉，令人难忘。尤其听到汤姆琼斯的变调唱法，更把它唱得多情感人。	external-cue
018.墓中人语.txt	5	我一直想把这首歌译成中文，但是迁就用韵，未能如愿。一年前我试译了一半，还没译完，就入狱了。今天上午整理旧稿，发现了这一半译文，决心把它译完。花了一个半小时，用直译意译混合法，居然把它译成了。	external-cue
018.墓中人语.txt	7	Danny Boy	external-cue
018.墓中人语.txt	23	Oh Danny, Danny Boy, oh Danny Boy ,I love you so	external-cue
018.墓中人语.txt	35	译文	external-cue
018.墓中人语.txt	37	哦，Danny Boy，	external-cue
018.墓中人语.txt	55	哦，Danny Boy，	external-cue
018.墓中人语.txt	75	〔附记〕照爱尔兰民歌的原始意味，这首歌是写父子之情，Danny Boy最后寻找到的，是父子之爱。我这里意译，当然别有所延伸，特此声明如上。	external-cue
019.情律.txt	25	③这首诗的寓意是：我相信爱情一部分是灵肉一致的关系，另一部分是纯灵的关系。灵肉一致的关系有它的极限，但是纯灵的关系却没有。所以，柏拉图式爱情（Platonic love，精神恋爱），对某些情人说来，是有道理的。我和一些我心爱的情人并不上床，或并不急于上床，其意在此。当然另有上床的，那是灵肉一致的关系，不是纯灵的关系。这两种关系，都是令人神往的。	
020.菩萨写诗.txt	1	菩萨写诗	
020.菩萨写诗.txt	3	李筱峰在去年12月10日“人权日夜”，在贺年片上写《叙近况致敖之先生》七绝一首，原诗是——	external-cue,political-cue
020.菩萨写诗.txt	9	收到贺年卡后一个多月，我心血来潮，一边独吃晚饭的十二个饺子，一边写了这四首诗：	
021.剪他三分头！.txt	3	教育部长朱汇森是个什么事也不能做也不敢做的庸才兼好好先生，好好先生其实就是乡愿。1980年6月25日，我出版《李敖全集》第一册，就收有我为中学女生头发而向他抗议的一首诗，内容如下：	external-cue,self-authored-cue,political-cue
021.剪他三分头！.txt	41	这诗发表后，我看到1981年11月4日的《中国时报》，在“异想天开”栏下，有板桥市民权路陈迪先生写的一篇《请部长也剪三分头》，全文如下：	external-cue,self-authored-cue,political-cue
021.剪他三分头！.txt	45	这几天天天头痛，我从这篇有趣的文字中，得到头痛中的灵感，今晚花了十分钟，再写一首诗：	
022.“癣”与“屁”.txt	67	1983年2月1日半小时写此诗	self-authored-cue
024.自赞五首.txt	45	①孟子说：“梓匠轮舆，能与人规矩，不能使人巧。”意思是说木匠和车匠，只能使人知道怎么做工，却不能使人心灵手敏。我想，真正能够领略我的高杆的读者，应该不会那么笨，应该每月花一百元，学到许多不可言传的巧思。	external-cue
025.洋和尚和录音带.txt	3	1966年1月，Cavalier杂志有洋和尚放录音带代撞钟一漫画，此“西餐叉子吃人肉”之现代化也！感而有诗三首：	self-authored-cue
026.反咬高人吕洞宾.txt	21	白云出岫总无心。	
028.“于人曰浩然，沛乎塞苍冥”.txt	1	“于人曰浩然，沛乎塞苍冥”	
028.“于人曰浩然，沛乎塞苍冥”.txt	9	家父于今年3月5日病逝澳大利亚，享年六十六岁，在他遗物中，发现此首诗（见附纸），不知他寄给你否？大概是写于1972年美国加州旅行期间，因为是写在当时旅行用一小记事本上。想他是有感而发，寄一份给你，以慰他心。祝	self-authored-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	15	附纸的诗上，居蜜写着“居浩然作于1972年旅美期间”字样，原诗为居浩然亲笔：	external-cue,self-authored-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	31	浮云遮白日	
028.“于人曰浩然，沛乎塞苍冥”.txt	35	居浩然人奇于文、文奇于诗，他的离去，令我颇为感伤。接到居蜜的信，看到居浩然写给我的遗诗，我决定写四组新作，怀念这位老朋友：	
028.“于人曰浩然，沛乎塞苍冥”.txt	41	寸心集中在，狂歌五柳前。字里萌深意，行间斥浅盘。	
028.“于人曰浩然，沛乎塞苍冥”.txt	45	大义执何往？逃世不逃禅。广济一声在，牛津五湖船。	external-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	49	世人皆欲杀，君独对我怜。芜诗哪忍寄？青出自胜蓝。	
028.“于人曰浩然，沛乎塞苍冥”.txt	53	这诗要读《论语》《楚辞》《陶渊明集》《寸心集》（居浩然著）《陆放翁集》《徐文长逸稿》《文文山集》等书以及蓬斯德莱昂（Ponce De Leon）《青春泉》（Fountain of Youth）等中外典故，才能完全读懂，我无法一一细为笺注了。只是有一个典故，倒颇该细说，那就是“青藤”一典。“青藤”是徐文长的号。	external-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	55	徐渭（1521-1593），字文长，号青藤，别署天池山人、田水月，浙江绍兴人。他只是明朝的秀才，但是他文思敏捷，以才气被浙江巡抚胡宗宪赏识。《明史》说：	external-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	59	徐文长用锥子扎自己耳朵，是四十五岁的事。第二年就杀了老婆，此后一直在狱。四十八岁母亲死了，他出来办好丧事，再回去坐牢，五十三岁才出狱。袁宏道《徐文长传》说他：	external-cue
028.“于人曰浩然，沛乎塞苍冥”.txt	67	居浩然1917年生，湖北广济人。国立清华大学、中央陆军军官学校出身，又在美国哈佛、英国牛津等地进修。曾任淡江大学校长、澳大利亚墨尔本大学教授。他的允文允武，一似徐文长；他的才气、霸气、精神病，也一如徐文长。他是我一生中罕见的一位最率真、最有才华的朋友，他的衰病与离去，令人惋惜不已。	external-cue
030.孔明歌.txt	1	孔明歌	
030.孔明歌.txt	17	风云全变色。	
030.孔明歌.txt	61	一切云烟过。	
032.谁要吃香蕉？.txt	25	我佛大欢喜，一裸见风骚。	external-cue
033.撒尿歌.txt	1	撒尿歌	
034.要建设，先破坏.txt	53	嘴里高唱凯旋歌：	
035.万古风骚一羽毛.txt	3	唐朝杜甫诗写：“三分割据纡筹策，万古云霄一羽毛。”清朝赵翼诗写：“江山代有才人出，各领风骚数百年。”我合并他们的名句，写出这个题目。	external-cue
035.万古风骚一羽毛.txt	5	苏轼以“羽扇纶巾，谈笑间，强虏灰飞烟灭”写诸葛亮，写出了这位大人物一派从容的风度，这种手上有羽毛的从容，我最喜欢。大丈夫立身行事，为什么要那样紧张、那样严重、那样不洒脱呢？国家大事，也可以在女人大腿上办的。古代罗马英雄们，在orgy式的作乐中，使敌人“灰飞烟灭”，他们的从容，真可见一斑矣。	external-cue,political-cue
035.万古风骚一羽毛.txt	11	我感而有诗，写五古一首如下：	self-authored-cue
036.两亿年在你手里.txt	55	地质学上，“三叠纪”是Triassic，“中生代”是Mesozoic，“菊石”（鹦鹉螺化石）是ammonite。中国古人说“所过者化，所存者神”，化石给我的感觉，正是如此。	external-cue,political-cue
037.爱是纯快乐.txt	29	爱是云烟过。	
041.一片欢喜心，对夜坐着笑.txt	35	今天午餐时，边吃边译英国诗人布莱克（William Blake）的《子夜歌》（Night）的前二节，顺便写些感想。	external-cue
041.一片欢喜心，对夜坐着笑.txt	41	布莱克这首诗，颇有一个“快活的欣赏者”心境，我把它意译出来，以汇东海西海古人今人之一乐。	external-cue,self-authored-cue
042.不让她做大牌.txt	19	拿破仑流放到南大西洋圣赫勒拿（St. Helena）岛，在日记里写道：“女人是我们的财产，而我们却不是她的财产。……她是他的财产，一如果树是园丁的财产一样。”拿破仑对女人的这种隶属观念，远在他制订法典时代就形成了。他在制订会议上说：“丈夫有权向他的女人说：‘太太，你不得出门！太太，你不得到戏院去！太太，你不得见某人、某人！’这个就是说：‘太太，你的身体、你的灵魂，都是属于我的。’”拿破仑这种观念，在平等观点上，是错误的，但这一观念，不论他一生中是得意或失意、是飞黄腾达或穷途末路，他都坚信不疑。在这一基调上，他对女人，显然存有一种悲观的了解，虽然这种了解，并没阻却他对美女的喜爱。只是喜爱之中，他不容女人占上风而已。因为人间的事，被女人占了上风，常常毁了男人，也毁了女人自己。	external-cue
042.不让她做大牌.txt	21	今天清早四点半起床，写了这八行小诗，想起这跟美女纠缠不清的拿破仑，特别写他几句。	external-cue
044.不复春归燕，却似如来佛.txt	1	不复春归燕，却似如来佛	external-cue
044.不复春归燕，却似如来佛.txt	25	不复春归燕，却似如来佛。	external-cue
046.赌的哲学.txt	11	高人心怀凌云志，	
048.脱脱脱脱脱.txt	37	不哼东洋歌。	
048.脱脱脱脱脱.txt	53	①日本最怪的地方，是和歌山县新宫市新宫驿西部的“浮岛”。这岛长方形，面积只数平方里，因为浮在沉没的沼泽上，所以长年不息的浮动。岛上的水多金黄色。	
049.“一个文法学家的葬礼”.txt	1	《一个文法学家的葬礼》	external-cue
049.“一个文法学家的葬礼”.txt	3	19世纪英国诗人勃朗宁（Robert Browning）有一首长诗，叫《一个文法学家的葬礼》（A Grammarian's Funercd），写一个文法学家死了，他的学生们抬着棺材，到高山去埋。他们一面向上走，一面谈论死者的种种。这位学者一辈子发愤治学，死而后已，在易篑之前，他口不能说话了、腰以下都僵硬了，但还在考订文法、辨正词性，毫不停止。这种伟大的精神，使他的学生最后高歌——	external-cue
049.“一个文法学家的葬礼”.txt	13	有白云兴起，	
049.“一个文法学家的葬礼”.txt	53	1914年，格拉宾（Harvey Carson Grumbine）写《勃朗宁故事》（Stories from Browning），在信心部分（Concerning Faith）中，有专章讨论这首诗的理想主义色彩，最值得我们重视。	external-cue
050.老虎歌.txt	1	老虎歌	
050.老虎歌.txt	3	俗话说“虎落平阳被犬欺”，我生也剽悍，虽为平阳之虎，仍可不为犬欺，但虎威所镇，毕竟一一是犬，其为虎之乏味，亦可知矣！感而有诗，打油一首——	external-cue,self-authored-cue
050.老虎歌.txt	15	老子自摸玩八圈。	external-cue
051.《我们七个》.txt	1	《我们七个》	external-cue
051.《我们七个》.txt	5	承你逼令我译这首诗，你说你的朋友们试译，都译不成，你硬要我译。我很滑头，我先转给胡虚一去译。9月23日，虚一译来了，他附信说：“恐译得不好，故还盼文字高手如兄者，再做斟酌和润色。”我细看虚一的译作，诗情意境都能把握，可惜他有点书呆，把小女孩的口气，译得太“文”了，于是我决定大胆“斟酌和润色”。不料我太忙了，就拖了下来。	external-cue,self-authored-cue
051.《我们七个》.txt	7	昨天峰松、金珠和小女儿到我家，看我只“斟酌和润色”了第一段，催我快译，说你等着要。于是今天早起，就花了一个半小时，把“胡译本”改成“胡李译本”。因为原诗除最末一节外，都是abab的四行体，我为扣紧二、四行韵脚，迁就贫乏的中文词汇，偶尔也不无“增字解经”之处、“掺以己意”之处，凡此错妄，自当由我负全责，与虚一无涉也。下面就是全文：	external-cue,self-authored-cue
051.《我们七个》.txt	9	《我们七个》（We Are Seven）	external-cue
051.《我们七个》.txt	11	华兹华斯（William Wordsworth）作（胡虚一、李敖译）	external-cue
051.《我们七个》.txt	23	住乡下小屋，说她八岁。She was eight years old，she said ；	
051.《我们七个》.txt	41	“几个呢？ 一共七个。”她答着，“How many? Seven in all，”she said,	
051.《我们七个》.txt	101	对他们唱歌说话。And sing a song to them.	
051.《我们七个》.txt	135	“如果两位在天上，”我问道，“ How many are you, then，” said I，	
051.《我们七个》.txt	151	小姑娘照说：“不对，我们七个！”And said，“Nay，we are seven!”	
051.《我们七个》.txt	153	这首诗承老兄选定，命我翻译，若不是老兄提醒，我真没注意到这首好诗，真要感谢你。	external-cue
051.《我们七个》.txt	155	这诗写一个纯真的小女孩，置哥哥姐姐死亡于度外，不论生死，手足照算，视亲人虽死犹生、若亡实在。这种境界，看似童稚，其实倒真与参悟大化的高人境界若合符节。高人的境界在能“乐入哀不入”，在生死线外，把至情至乐结合在一起。这种至情至乐是永恒的，不因生死而变质，纵情随事迁，并无感慨，反倒只存余味。人生有了这种境界，自然不会生无谓的伤感、自然不会否定过去或逃避过去、自然会真正达到“所过者化，所存者神”的新水准（“所过者化，所存者神”在这里，“化”字该解做化境，“神”字该解做余味）。达到这种水准，才是真正正确的水准。相对的，轻易“多愁善感”是没水准的、“哀乐不能入”也是没水准的，高人的水准是“乐入哀不入”，只有轻快，没有重忧；只有达观，没有闲愁，这样的境界才是修养最高的境界。华兹华斯诗中小女孩的境界，恰恰是这种境界。虽然小女孩一派天真，全无哲学与理论，但是她“举重若轻”，所以兴怀，其致一也。特写数语附识，此上	
051.《我们七个》.txt	167	今天接到你寄来的《我们七个》译稿，拜读之下，已有了迫近原作韵味之感，真是功力到家。	external-cue
051.《我们七个》.txt	169	四年前，惨绝人寰的林家祖孙命案发生当时，连不认识林义雄的我，都感悲愤万分，甚至当众放声号泣过。我真不忍想象，当黑衫队员举起利刀，刺杀奂均、亮均、亭均的时候，她们三个姐妹的眼神是怎样一种表情。她们不会抵抗，只会喊疼，不知道逃命，只会望着那黑衫人说“不要”，她们像献祭的小羔羊，不知道罪恶、不知道死亡，正如这首诗所说的：“What should it know of death?”结果，那地狱使者还是夺去亮均、亭均的生命。	
051.《我们七个》.txt	173	看到奂均的情况后，使我联想到华兹华斯的《我们七个》这首诗（很巧，当时奂均的年龄跟诗中小女孩的年龄同为八岁），重翻读之，愈使我对奂均放心，自己愈感到安慰。大人们总是容易低估小孩子的心灵境界和生命力了，大人们的多愁善感，对小孩子来讲是多余的，我们未免太操心了吧！现在如果有人问奂均，你有几个姐妹，她一定回答“Three in all”，而且会一直坚持“We are three”到底，愈是手足情深，愈会如此。	external-cue
