risk	quoteSignal	attributionSignal	file	line	text
false	true	true	001.怎样修理财阀.txt	181	二、会一开始，负责人就提到刚才10点钟收到李股东的限时挂号信，对通知开会日期异议，于是一位“王律师”出现了，他说据经济部的命令，发信日要算一天。李放说李股东根据的是法律，依法命令抵触法律者无效。但公司负责人坚持要开会，李放说此事只好等复李股东信后，依法解决。
false	true	true	001.怎样修理财阀.txt	207	五、负责人都有承认能力不够以致造成经营不当的表示，但给人印象是甲朝乙身上推，乙朝甲身上推，然后甲乙又一齐朝外面人头上推，再小心翼翼的朝辜振甫先生脚下推。辜振甫先生也承认能力不够，自认外行，但他也未尝不推——推给他同父异母弟弟已离开本公司的辜伟甫先生。他说1977年前都是辜伟甫先生实际主持的，他本人1977年3月15日才开始管事。他当选董事长，人正在国外。这就是告诉我们，他是“黄袍加身”才干了六年至今的。
false	true	true	001.怎样修理财阀.txt	209	六、辜振甫先生在表示惭愧以后，宣布他不要干董事长了，他私人名下和“中国信托”他代表名下的表决权，他也全部放弃。他的勇于负责的态度，很令人佩服。但是这一形式上光明磊落的表示，立刻引起了他左右支持者和劝进者的顿失所依之感，纷纷大叫这怎么可以！这样不行！都连任！一切都维持原状！……于是叫嚣鼓掌，没经过任何合法表决程序，就说一切都通过了。李放回来告诉本人说：“他好像参加了一次西装笔挺的暴民大会。”
false	false	true	001.怎样修理财阀.txt	221	说明：
true	true	true	001.怎样修理财阀.txt	227	查财金当局同意设置者，仅为《银行法》第六章之“信托投资公司”，与第三章“商业银行”、第四章“储蓄银行”、第五章“专业银行”、第七章“外国银行”对应，名词区分甚严，不容瞒天过海。且《银行法》特意修订第20条，在“银行之种类或其专业，应在其名称中表示之”原文中，加入“除政府设立者外”七字，即显然明文约束“信托投资公司”，不得袭取“银行”名目，鱼目混珠。但查贵公司以“银行”名目在外招摇，事有多起，如贵公司公然自称——
true	true	true	001.怎样修理财阀.txt	237	据《刑法》第215条：“从事业务之人，明知为不实之事项而登载于其业务上作成之文书，足以生损害于公众或他人者，处三年以下有期徒刑、拘役或五百元以下罚金。”而“所谓业务上作成之文书”，依最高法院1958年台上字第515号判例：“系指从事业务之人，本于业务上作成之文书者而言。”是乃说明凡出自贵公司之不以“信托投资公司”出之而以“银行”名义出之等行为，皆属犯法行为。
false	false	true	001.怎样修理财阀.txt	261	财政部说，信托投资公司设立分支机构，应依规定报请中央主管机关核定后，依银行法所定的设立程序设立。
true	true	true	001.怎样修理财阀.txt	407	经中央银行检查的结果，有的信托投资公司以其自有资金投资于股票，比率竟高达96.9%。换句话说，有些信托投资公司几乎把它所有的“自有资金”完全投资于股票，而这些信托投资公司的其他各项资产，诸如房屋、国库券、政府公债以及放款等，都是以“非自有资金”来营运。
true	true	true	001.怎样修理财阀.txt	419	现经财政部查明，贵公司已违反《银行法》第101条、第102条等规定，亦即违反自行印订之“普通信托资金约款”第3条之约定。贵公司又进而违反《银行法》第111条自有财产与受托财产不得流用之规定，将客户信托资金非法挪用，套取暴利。既在炒股票等项目用光自有资金，则房屋、国库券、政府公债、放款等项目，无一不以“非自有资金”翻云覆雨而来。此中舞弊，1978年10月29日《经济日报》已沉痛指明——
true	true	true	001.怎样修理财阀.txt	421	何谓“非自有资金”？说穿了，还不就是信托资金。信托资金有两种：一种是指定用途的，另一种是由信托投资公司代为决定用途的。就指定用途的信托资金而言，我不相信客户会把资金信托给公司，而指定公司将此资金用来盖一所信托投资公司办公用的大厦！由此可见，信托投资公司用来盖房子、买政府债券以及用来放款的资金，都是未经客户指定用途的信托资金。
false	true	true	001.怎样修理财阀.txt	425	也许有人会说，“受托财产”只是指委托当时的财产形态而言，不应包括用信托资金变置之资产。殊不知这种说法，正是完全误解了“信托”的意义。请看《银行法》第10条赋予信托资金的定义：“本法称信托资金，谓银行以受托人地位，依照信托契约约定之条件，为信托人指定之受益人之利益经营之资金。”试想，信托资金既然要被“经营”，那怎么能说“受托财产”不包括用信托资金购置的资产呢？（何青《真是“信托”吗？》）
true	true	true	002.党报的狂妄.txt	15	《中央日报》我直找广告组主任商钟，他说要“请示”曹圣芬，下午4点给我回话。4点我再去，他说：“先生说你李先生过去老是写文章骂政府、骂本党，你这十本书中，要有这些文章，怎么办？曹先生说他希望你改变作风，不必卖牛肉面，只要改变作风，他的《中央日报》甚至都欢迎你投稿。”我说：“曹先生的好意我早领教，我们不必谈这些。我只告诉你们我这些书并没有使你们担心的文字，难道你们还要先审我的稿子不成？我请你坦白告诉我，到底肯不肯登？”他说：“曹先生说不肯。”我说：“我现在拿出《联合报》《征信》两个报的收据给你看，他们都肯了，就是你们不肯。半年来你们一连四次登别人骂我的广告，破坏我的‘姓名权’，用来谋利。别人骂我，你们登；我谁也不骂，只是登几本书的广告，你们却是这种作风。我知道你们的广告刊例，所谓‘拒登’的只有下面四种：
true	true	true	002.党报的狂妄.txt	25	今天我这份广告，没有一行是触犯你们的刊例的，你们却不登。而违背你们刊例第二条‘涉嫌诽谤’的，你们却大登特登。现在请看这份东西（我拿出已经写好的并签盖好的控曹圣芬诽谤的状子），你仔细考虑考虑看，并可告诉曹先生，如果你们不给我起码的公平机会，我们就去法院见。当然曹圣芬有权有势，他不在乎；可是打了七个官司的我，若再加一个官司，也不在乎！”商钟听了我的话，看了状子，觉得有点“麻烦”，他打电话找曹圣芬，曹已出去。他约我明早再给他一电话，他说他“一定尽力设法使你李先生满意”，他说他目击过我为吴海蒂跟《中央日报》总编辑副总编辑吵架的一幕，他“知道你李先生厉害”云云。
false	true	true	002.党报的狂妄.txt	39	一、此次“李敖告别文坛十书”广告，经据理法及大义立场，前后六次向贵报交涉，终承慨然允登。此种作风，足证外界风传贵党党报压迫自由文人之说，当为不实。
false	false	true	002.党报的狂妄.txt	71	举胡适之为例。适之先生的学术思想，在他的身后，仍有赞成与反对的两种评论。但是当他逝世的时候，在士林之中，无论对他的学术思想，或是赞成或是反对，都一致的悼念他、尊重他，极一时之盛。
false	true	true	002.党报的狂妄.txt	73	不料今日，市场上出现一部书，名为《胡适评传》。这本书只出了第一册。就这一册来说，表面上是赞扬胡适之，而实际上从胡适之的上代，到他的本人，处处都是轻薄、鄙笑、讽刺，使读者不忍卒读。这样一部书，若是如此一册一册出版，而无人提出异议，可以说是士林之耻。我们今日愿以这篇短文，表示异议。
false	false	true	003.财阀有辜.txt	7	在我和萧孟能先生的讼案中，对造忽然在法庭上和舆论上，提出贵公司的一封信，是去年7月16号回给对造律师的，全文说：
false	false	true	003.财阀有辜.txt	15	一、请出示李敖本人签字、签发、签收的全部第一手证据影本，用来证明你们信中所说的不是谎话。
false	false	true	003.财阀有辜.txt	29	第一，贵公司说：
true	true	true	003.财阀有辜.txt	35	一、泄露因业务得知他人秘密，正是贵公司所有的身份。依法：公司的行为能力，有的主张法人拟制说，认为公司的行为，是代理人的行为，公司本身没有行为能力；有的主张法人实在说，认为构成公司的组织是代理机关而不是代理人，代理机关所为的行为，在法律上就是公司的行为，所以公司有行为能力。中国立法例采取后说。因此公司的侵权行为，依法人拟制说，由代理人负责；依法人实在说，由公司负责。《公司法》规定：“公司负责人对于公司业务之执行，如有违反法令，致他人受有损害时，对他人应与公司负连带赔偿之责。”就是由此而来，贵公司巧辩没有责任是根本站不住的。贵公司犯的，正是文明国家中典型“侵害他人秘密（Interference with the Right of Privacy）罪”。
true	true	true	003.财阀有辜.txt	37	二、所谓“依据事实复文澄清……应不负任何道德的、法律的责任”，全是贵公司的一种怪说。“依据事实复文澄清”必须有正当理由。所谓有正当理由，包括：（1）为履行法律上的义务（如受法院之传唤，到庭作证），（2）秘密所有者的同意公开，（3）可得推测的同意（mutmassliche Einwilligung），（4）依据法益权衡原则（Grundsatz der Guterabwagung）或义务权衡原则（Grundsatz der pflichtenabwagung）而做的公开或其他具有违法阻却事由的公开。除了这些正当理由以外，其他的泄露，都是无故的、不得体的、有违商业道德的、犯法的。《刑法》第316条列举的人，和一般商业道德所规范下的人，哪个能径依“事实”就可对第三者“复文”，这不太无法无天了吗？
false	false	true	003.财阀有辜.txt	39	第二，贵公司说：
false	false	true	003.财阀有辜.txt	53	（一）请出示李敖本人签字、签发、签收的全部第一手证据影本，用来证明你们信中所说的不是谎话。
false	true	true	004.胡茵梦是夹心饼干吗？.txt	5	看了《时报周刊》一五七期登出的《夹心饼也有代价》，我想我总该说几句话了。
false	true	true	004.胡茵梦是夹心饼干吗？.txt	7	这篇文章中，两次代胡茵梦强调她是“夹心饼干”，两次由作者强调她是“夹心饼干”，一共四次强调这一论点，分明是说，胡茵梦在萧孟能告李敖的讼案中，她处在被“夹”的地位。一个人处在被“夹”的地位，自然是引人同情的；在被“夹”中犯了罪，也会得人谅解的。
true	true	true	004.胡茵梦是夹心饼干吗？.txt	21	胡茵梦签字承认：对李敖、萧孟能“他们之间的财产我不了解”，既然不了解，她凭什么凭萧孟能一面之词就替天行道、替法院裁判、替她和她丈夫惹麻烦？
false	true	true	004.胡茵梦是夹心饼干吗？.txt	29	第二、这篇文章五次代她强调“房子既然是萧孟能的”就该还，但我不明白：胡茵梦签字承认“他们之间的财产我不了解”，她又凭什么这样一说再说三说四说五说呢？这是哪一种“做人的原则”呢？
false	true	true	004.胡茵梦是夹心饼干吗？.txt	39	古话说：“君子之爱人也，以德；细人之爱人也，以姑息。”由于胡茵梦半年来的“表现”，我觉得——痛苦的觉得——我不该再做“细人”，我该“君子”一次。
false	true	true	005.给黄少谷先生的公开信.txt	5	十六年前那次晚饭，你谈到我那篇《没有窗，哪有“窗外”？》，我很佩服你心思的细密。前年在太平洋俱乐部，余纪忠先生特别把我介绍给你，你笑着说：“李先生我们早就相识。”我忽然想到一位历史家对你的评论：“能任怨任劳、忍耐、慎言，尤其是他有举轻若重、不忽小节的美德。”（吴相湘：《黄少谷山谷风范》）
true	true	true	005.给黄少谷先生的公开信.txt	7	你接长司法院后，听说你有抱负去改革司法的许多缺点和积弊，许多改革的消息，也就一次又一次推出，最近一次是7月3日的加强第一、二审法院认定事实功能注意事项，要求法官“不能断章取义”，不能“以推测之词入人于罪”等等，共达七十九项之多，可见司法方面的缺点和积弊，也早在你“举轻若重、不忽小节”之中。
true	true	true	005.给黄少谷先生的公开信.txt	9	但是，这么多的改革消息、这么多的注意事项，我真怀疑：它们到底有多少效果？因为“不能断章取义”、不能“以推测之词入人于罪”等等，完全不是新的东西，早就一一规定在《民事诉讼法》《民事诉讼法施行法》《办理民事诉讼案件应行注意事项》《高等法院以下各级法院办案期限规则》《刑事诉讼法》《刑事诉讼法施行法》《办理刑事诉讼案件应行注意事项》等等法令里面了，这些法令，最早远在我生那年（1935年）就有了，法令上的滋彰与注意，若有效的话，又何劳四十六年后的黄少谷先生案牍劳形呢？
false	true	true	005.给黄少谷先生的公开信.txt	11	可见，这真应了中国那句古话：“徒法不足以自行！”
false	true	true	005.给黄少谷先生的公开信.txt	15	为了避免重新陷入这种抽象错误，我建议少谷先生：你愿不愿意举一些实例来给法官“机会教育”，从一些实例的活证向法官显示不能“断”的是什么“章”、不能“取”的是什么“义”、不能“推测”的是什么“词”，这样的具体展示，聪明如少谷先生，必然知道它的效果，当远在空洞的“订颁注意事项”之上，因为它有“可读性”。
false	false	true	005.给黄少谷先生的公开信.txt	27	高院三推事说：
false	false	true	005.给黄少谷先生的公开信.txt	31	查地院原判决说：
false	false	true	005.给黄少谷先生的公开信.txt	33	中合公司之股票五千股，自诉人于六十六年12月28日转让与被告，有办妥过户登记之股票影本暨证券交易税代征税款报缴缴款书，在卷可证，自诉人对于转让之事实，并不争执，唯以当时仅收股款之半数十二万五千元，其余半数股权以信托之法律关系登记为被告所有，自诉人仍有二分之一之股权云云。并无证据足资证明。
true	true	true	005.给黄少谷先生的公开信.txt	35	高院三推事说“依信托关系转让与李敖”，只是这样说，“并无证据足资证明”。既无证据，又怎能推翻地院判决呢？查对李敖授权信托证据，附卷萧孟能所提证物表中共十六件，计授权书十五件、协议书一件（附证一、附证二），全部信托二十三项（附证三），举凡有关项目，巨细不遗。但细核各项，绝无所谓合成公司股票以“信托关系转让与李敖”的任何证据。高院三推事不根据以上的“足生影响于判决之重要证据”判定并无股票方面的信托关系，反而“漏未审酌”，以猜测之词，入李敖于罪，没根据的推翻地院判决，这是违背经验法则和论理法则的，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	39	高院三推事判决李敖侵占半数十二万五千元股权，侵占事实，“有上57号证第3页账册影本……可资认定。”查这一账册影本，据萧孟能在证物表所说，是“被告1977.1.9至1977.4.25、1977.11.25、1977.12.27亲笔账目影本各一份。”他把这份账册影本只提出前一半，只提出1977.12.27“中国合成一半”的部分，而不提出后一半，不提出1978.3.4“萧向我借三十万还模哥以利涂销，言明抵中国合成股份另一半给我”的部分！换句话说，萧孟能故意瞒天过海，把1978年3月4日起到9月14日止前后五个月零十天的账册（共五页之多）全部抹杀！所以在他提的账册上，只看到前一半转让，看不到后一半转让，看不到，自然是“侵占”了。这种断章取账，经李敖1981年4月21日提出完整账册证明（附证四），本已不攻自破。因为全部李敖“亲笔账目”二十五页中，既有效就全有效，既无效就全无效，绝没有前二十页有效，后五页却无效的道理；何况李敖又提出“第五次答辩——所谓‘中国合成一半’让单疑义部分”附卷，说明“这份完整的让单有附证十一点益可证明它的真实”（附证五）。殊不知这样的“足生影响于判决之重要证据”，高院三推事竟“漏未审酌”，反倒单凭账单的前一半，入李敖于罪，就如同银行只列贷款而不列还款，把所有的还款都一笔抹杀，这能通吗？
false	false	true	005.给黄少谷先生的公开信.txt	41	高院三推事只字没有说明为什么同一账单，在萧孟能手中的前一半就有效，在李敖手中的有前一半也有后一半的却无效，这样的离奇选择，是违背经验法则和论理法则的，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	45	高院三推事说李敖“同年11月15日经估计后亲笔记载自诉人尚有合成公司股权五十万元……可资认定”。查这一记载，并非账单，日期也在上述账单之前，高院三推事竟据以认定，为李敖侵占的凭证，这不是罗织吗？连萧孟能自己，都在证物表中说明这一文件不过是“被告计算自诉人尚有多少财产”，高院三推事又凭何推定这种“估计”是侵占凭证？估计日期是1977年11月15日，过户在四十二天以后，难道股票还在萧孟能自己手里，李敖就侵占了吗？股票过户以登记为要件，不登记，能“可资认定”是侵占吗？一个人在收购股票前四十二天，把该股票“估计”一下，难道就是侵占吗？这不是天下奇闻吗？
true	true	true	005.给黄少谷先生的公开信.txt	47	何况这一估计，萧孟能自己就有六文件把它否定：第一、萧孟能亲笔“损益表”中，明列“中国合成橡胶股份有限公司”股金“原值”二十五万，“预估现值”仍是五十万（附证六）！第二、萧孟能“陈明事实状”和“上诉理由状”中，明说：“股金共计二十五万元，自诉人于民国六十七年（1978）间因经济拮据，拟以五十万元转让，讵该公司仅愿出三十万元。”纵萧孟能所说该公司愿出的数额属实，也是三十万，不是五十万！（何况依《公司法》第167条，公司不得自将股份收回、收买，萧孟能所说该公司愿出三十万，岂有可能？）第三、萧孟能在1977年3月21日委托中华征信所工商调查中国合成橡胶股份有限公司（附证七），已明知该公司“目前尚未营运”，在那种情况下，二十五万股票“预估现值”是少而不是多。第四、萧孟能在1977年4月26日“中国合成橡胶股份有限公司六十六年股东常会议事录”（附证八）中，明知该公司在连年亏损状态，他是学经济的人，当然明知所谓二十五万股票，“预估现值”根本是少而不是多。第五、这一估计中，“中国合成”以外的项目，更可反证所谓五十万元不足为凭，例如：“基金会”项下五万元，这是“孝子萧孟能”捐给“萧同兹文化基金会”的钱（附证九），试问成为“财团法人”的钱怎么估计成自己的？又如“临沂街”项下，萧孟能曾亲笔自拟值六百万元（附证十），而在这一估计中，却是五百万元。若说“中国合成”的估计以少做多，试问“临沂街”的以多作少又做何解释？又如：“残余部分产权”项下，三楼为“朱婉坚”所有，朱婉坚与萧孟能早在1980年5月3日就夫妻分产了（附证十一），试问这种钱怎么估计成自己的？
false	true	true	005.给黄少谷先生的公开信.txt	53	高院三推事判决既说周其新支票李敖“于原审辩称是自诉人向其贴现，并以书明贴现之旨之字据一张为证（上第四十七号证）”，则知李敖所说贴现与字据为同时提出，字据上明写给李放收执，李敖与李放是兄弟，李敖不会错认李放二字，李敖提出此一文件，又何须如高院三推事所说“李敖乃于本院改称是先向李放贴现”？既在原审说贴现与提出字据为同时，李敖又何能同时向原审提出错认李放的字据？又何须到高院“改称”？可见李敖早在地院就认识了自己弟弟的名字，无须到高院再行认亲，这是最起码的经验法则。但高院三推事却“漏未审酌”以下四项“足生影响于判决之重要证据”：
false	true	true	005.给黄少谷先生的公开信.txt	57	高院三推事据不起诉处分书说李放说支票是“欠装潢费而给付”，再说：“且依李敖所记载自诉人之账册上已有李放装潢费之支出却无收入一百三十万元之账项。”高院三推事却没弄清：李敖所记载账册上的支出，根本不是“李放装潢费之支出”！甚至根本不是“装潢费之支出”！账册上明明记载着“清理工程款”“工程款”“水配管”“电路恢复及新设”“阳台清理”“瓦斯管工程”，这些是粗工程，与细部的“装潢费”根本是两码事，这是常识！高院三推事未审酌水晶大厦萧孟能工程前后原有多起，分由李敖、李放及其他人多次承包的事实，硬性误认李敖账册上的一笔就是李放及其他人的一笔，是完全错误的。高院三推事既然以不起诉处分书中李放所说“欠装潢费”为依据，为什么却“漏未审酌”那明明是欠李放的而非欠李敖的？反倒把李敖账册中的多种粗工程硬加上“李放装潢费”的标题！这不是采信证据，这是代萧孟能造证据！1981年1月27日笔录如下：
false	true	true	005.给黄少谷先生的公开信.txt	67	这样明确的说明水晶大厦萧孟能工程的并非由李敖专包，高院三推事却“漏未审酌”，而硬把“没有”的“这些账目”造入李敖的非装潢费账目之中，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	71	高院三推事说：“自诉人复因委任被告处理一切事务而于备忘录中列入该支票款（上52号证第2页）。是贴现或给付装潢费之说固非实在。”这是又一次代萧孟能造证据！因为所谓“委任被告处理一切事务”，必须以双方认同的委任项目为根据，不能捏造没有的委任。萧孟能与李敖之间的委任，共十六件，计授权书十五件、协议书一件，全部信托二十三项，为萧孟能书面提出，为李敖所是认，但其中并无代萧孟能催讨十三张支票的委任，如果有的话，萧孟能为什么不列出（见附证一、附证二、附证三）？以萧孟能用心之细，授权中连捐给老子的“萧同兹文化基金”的区区五万元，都要明列收回，怎能把源自女婿的一百三十万，弃置不列？这一不列的铁证，岂不明明印证了一百三十万是萧孟能与李放的直接关系而与李敖无涉了吗？高院三推事对放着眼前的双方认同的证据“漏未审酌”，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	73	非但如此，高院三推事反而选取了萧孟能单方捏造的一项证据，就是所谓“备忘录”。这项所谓“备忘录”，其实从未给李敖，萧孟能自然也没有任何证据给李敖，李敖也一再表示这一件是道地的“栽证”（附卷中有“第七次答辩——所谓‘备忘录’‘授权书’‘南美信’‘图章’‘印鉴证明’‘身份证明’等栽证部分”，附证十三）。但高院三推事竟“漏未审酌”李敖提出的证据，也“漏未审酌”双方认同的证据，反而单单采信了萧孟能单方捏造的证据而不说明可信的理由，这叫公正吗？
false	false	true	005.给黄少谷先生的公开信.txt	77	高院三推事说：
false	true	true	005.给黄少谷先生的公开信.txt	97	可见周其新供证明明是“借票”而非“签付”，周其新供证如此，高院三推事竟说“周其新于本院供证确是签付自诉人而非借票”，对如此明确的笔录竟“漏未审酌”，且加窜改，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	101	高院三推事提出背书问题与李放贴现能力问题，经李放庭证并提出“李放证词”附卷（附证十五），高院三推事漏未审酌。“李放证词”中提出二文件，证明萧孟能“先后所辩，已有不符”，但高院三推事对萧孟能却不用同一标准，反而认为李放太穷，没有贴现能力。经李放提出证人沈素芬，是宁诚企业有限公司（成衣纺织进口车）专员、福特六和汽车经销商、大耀汽车股份有限公司专员，她父亲也是商场中人，所以有为李放贴现的能力。但高院三推事又没有根据的认为沈素芬太穷，认为也没贴现能力。经沈素芬提出名下华银大安活储第6897号大量往来账（附证十六），并经到庭结证（附证十七），说明：
false	true	true	005.给黄少谷先生的公开信.txt	105	但高院三推事仍不罢休，一传再传三传沈素芬的父亲。贴现事实已如此明确，高院三推事却一笔不提，判以“至李放曾以上开支票向沈素芬贴现，乃李敖处分赃物之行为”！而对沈素芬之证词与证物“漏未审酌”，这叫公正吗？
false	true	true	005.给黄少谷先生的公开信.txt	111	高院三推事说：“被告于魏锦水违约未涂销抵押权即催付价款时，竟先付款再涂销抵押并将之移转登记与其配偶胡因子。”高院三推事这种判决，不能成立：
false	true	true	005.给黄少谷先生的公开信.txt	115	二、高院三推事说“魏锦水违约”，但据魏锦水致王剑芬存证信，明告：“双方事后曾口头协议由台端将尾款五十五万元直接偿还银行之贷款，以便领取权利状办理房屋部分所有权移转手续，讵台端言而无信，一再借词拖延。”（附证十九）则违约之责，有待查明，高院三推事却“漏未审酌”。
false	true	true	005.给黄少谷先生的公开信.txt	117	三、魏锦水于1981年5月22日庭证说：“王剑芬曾与我有口头协议，如果我无法缴清钱，她可替我先出。”（附证二十）则违约之责，又待查明，高院三推事却“漏未审酌”。
false	true	true	005.给黄少谷先生的公开信.txt	123	高院三推事说：“李敖既受托处理该事，本应依约俟出卖人魏锦水涂销抵押权登记后再行付款。”也不能成立，理由原审判李敖无罪，已说得明白：“被告嗣接魏锦水致王剑芬之存证信函，限五日内将尾款直接偿还银行，领取权状办理移转手续，否则该屋如经银行申请拍卖，其一切损失概不负责。处此情境，被告为保全王剑芬之权益，乃于1979年12月28日先行垫付五十五万元。”足见这种先行垫付，是为萧孟能权益着想。不料萧孟能告李敖，反而说风凉话：“天母静庐房屋倘遭银行拍卖，一切损失应由魏锦水负责，而非王剑芬。”这话说得太不公道！试问如果拍卖了，魏锦水若无其他财产可执行，则所负的责，也是空头的责，真正吃实亏的，又是谁呢？设想当时李敖若任其拍卖，则无刑责可言，怎么垫了反倒垫出祸来？天下宁有是理？高院三推事判李敖不该代垫，试问若不代垫，被萧孟能告起来，恐怕倒要成立背信罪呢！垫了是“侵占”，不垫是“背信”，如此夹杀，可真教人心寒之至！
false	false	true	005.给黄少谷先生的公开信.txt	125	萧孟能、王剑芬拒还李敖代垫五十五万，被李敖告诉，地院1989年度诉字第13956号判决应还李敖五十五万及利息。判决书说：
