action	id	quote_text	source_or_origin	reason
add	LAYHS-133	莫言下岭便无难，赚得行人错喜欢。正入万山圈子里，一山放行一山拦	杨万里诗句	李敖谈英雄人物心境与阻力时引用。
add	LAYHS-134	月堕浮云水卷空，天上云骄未肯同。歌舞可怜人暗换，身如泡沫亦如风	李敖集王安石句	李敖展示自己集王安石句所得诗。
add	LAYHS-135	子见南子，子路不悦	《论语·雍也》	李敖谈理解古文须回到情境时引用孔子见南子事。
add	LAYHS-136	天厌之，天厌之	《论语·雍也》	李敖谈孔子对子路发誓时引用。
add	LAYHS-137	抓住别人，失了自己	李敖漫画说明	李敖谈量力而为时引用自己为漫画所写题句。
add	LAYHS-140	读书须是看着他那缝罅处，方寻得道理透彻；若不见得缝罅，无由入得。看见缝罅时，脉络自开	古人读书法	李敖讲读书要从缝罅处寻道理时引用。
add	LAYHS-143	不尽于言，而执其言以求之	王若虚读经法语意	李敖讲从文字中求圣人未尽之意时引用。
add	LAYHS-145	尝言：人读书不至千遍，终于无益	侯均读书法语意	李敖讲熟读与反复读书时引用。
add	LAYHS-147	心中有所开，即便劄记；不思则还塞之矣。余读书至心有所开处，随即錄之；盖以备不思还塞也	薛瑄转述张载读书法	李敖讲读书灵感须及时札记时引用。
add	LAYHS-148	我从来不浪费我的记忆力，在百科全书里面一翻就翻到的数字，我不去记它	爱因斯坦语意	李敖谈好记性不如烂笔头时转述爱因斯坦语。
add	LAYHS-149	空山不见人，但闻人语响。返景入深林，复照青苔上	王维《鹿柴》	李敖谈小女儿背诗时引用。
add	LAYHS-150	破口大骂音犹在，一声和好泯恩仇	李敖写小女儿的诗句	李敖描写小女儿和好气魄时引用自己写的两句。
add	LAYHS-152	柳下惠，不羞汙君，不辞小官。进不隐贤，必以其道	《孟子·万章》	李敖考证柳下惠坐怀不乱故事时引用《孟子》原文。
add	LAYHS-157	吾与回言终日，不违如愚。退而省其私，亦足以发，回也不愚。	《论语·为政》	李敖讲颜回“不愚”的主词解释时引用。
add	LAYHS-158	看到一匹灰色的马，骑在马上面的叫做死	《圣经·启示录》语意	李敖比较不同《圣经》英文译本时引用。
add	LAYHS-159	炼汞烧铅四十年。至今犹在药炉前。不知子晋缘何事，只学吹箫便得仙	全唐诗道教题材诗句	李敖谈谭延闿与成仙想象时引用。
add	LAYHS-161	无酒学佛，有酒学仙	蔡元培题字语	李敖展示蔡元培书法题字时引用。
add	LAYHS-163	爱竹不锄当路笋，惜花犹护压头枝	林森改写联句	李敖讲谭延闿联句异文时引用。
add	LAYHS-168	智者不惑，仁者不忧，勇者知惧而吾往矣	李敖改《论语》	李敖谈勇敢不是无惧而是知惧仍往前时自拟改句。
add	LAYHS-175	天主，你为何默不做声？您怎能容忍这种事？	教宗本笃十六世奥斯维辛讲话语意	李敖谈上帝沉默问题时引用教宗在集中营现场的追问。
add	LAYHS-177	不参佛法不入龛，不看佛经不朝山。早信佛门终作土，此是菩提第一篇。	李敖佛法诗	李敖谈自己深通佛法时朗读自己的诗。
add	LAYHS-178	不幻丹青幻此身，又生又灭全为真。我知祖师东去意，休听西来海潮音	李敖佛法诗	李敖谈佛门祖师与自作主宰时朗读自己的诗。
add	LAYHS-179	青眼看杀镜中我，白眼看尽世上人。维摩神通何所羡？我自神通又通神	李敖佛法诗	李敖用青眼白眼、维摩典故展示自己的佛法诗。
add	LAYHS-180	道说不死真成妄，佛言无生更转诬。我生我死皆实体，我是空门大丈夫	李敖佛法诗	李敖谈道佛生死观时朗读自己的诗。
add	LAYHS-183	男人老了不会更顽固，只会上下掉毛	李敖语	李敖谈电视形象之外的精细表达时引用自己的格言。
add	LAYHS-184	没有教养的混蛋是一样的，受过教养的各有各的混蛋	李敖语	李敖谈受教育者的不同混蛋形式时引用自己的格言。
add	LAYHS-185	小兵的混蛋是一样的，将军各有各的混蛋	李敖语	李敖承接混蛋形式差异时引用自己的格言。
add	LAYHS-186	谎话有三种：谎话，他妈的谎话，和不说话	李敖语	李敖谈沉默遮蔽真相时引用自己的谐拟格言。
add	LAYHS-187	天地不是不仁，只是无情	李敖改《老子》	李敖把《老子》句改写成自己的天地观。
add	LAYHS-188	天地不仁，以万物为刍狗	《老子》	李敖说明自己改句来源时引用《老子》。
add	LAYHS-192	最大的不道德，就在不知什么是道德	李敖语	李敖谈无知与不道德时引用自己的格言异文。
add	LAYHS-194	最大的不道德，就在水底下拿标杆的道德	李敖语	李敖谈以低标准衡量他人的道德问题时引用自己的格言。
add	LAYHS-195	唯女人与小人为难养也。近之则不孙（逊），远之则怨	《论语·阳货》	李敖谈性别歧视争议时引用孔子原文。
add	LAYHS-209	这不是一件容易的事，我们却都没有哭泣。让它淡淡地来，让它好好的去。	现代歌曲《恰似你的温柔》	李敖讲《恰似你的温柔》歌词布局时引用。
add	LAYHS-226	读论语而已，则不足以知论语	古人读经法语意	李敖讲只读《论语》不足以通《论语》时引用。
add	LAYHS-228	自我来黄州，已过三寒食。年年欲惜春，春去不容惜。今年又苦雨，两月秋萧瑟。卧闻海棠花，泥污燕支雪。暗中偷负去，夜半真有力。何殊病少年，病起头已白。春江欲入户，雨势来不已。小屋如渔舟，濛濛水云里。空庖煮寒菜，破灶烧湿苇。那知是寒食，但见乌衔纸。君门深九重，坟墓在万里。也拟哭途穷，死灰吹不起。	苏轼《寒食雨二首》	李敖展示苏轼《寒食帖》时完整引用《寒食雨二首》。
add	LAYHS-231	余生平见东坡先生真迹，不下三十余卷	董其昌评苏轼真迹语	李敖谈《寒食帖》后董其昌跋语时引用。
after				校对后条目数：233
