id	source_file	line_start	line_end	category	source_or_origin	quote_text	summary
LAYJJ-032	025.20000104李敖师范大学演讲.txt	13	13	小说俗语	《水浒传》王婆语	潘驴邓小贤	李敖讲民间语言和古典小说口语时引用。
LAYJJ-033	026.20000106李敖海洋大学演讲.txt	5	5	外国诗句	罗伯特·弗罗斯特《不远也不深》	他们看不了多远，也看不了多深，可是谁能阻止对沧海凝神。	李敖讲从陆地看海洋时转述弗罗斯特诗意。
LAYJJ-034	026.20000106李敖海洋大学演讲.txt	7	7	道家文句	《老子》	不出户，知天下	李敖讲思想境界时引用。
LAYJJ-035	026.20000106李敖海洋大学演讲.txt	7	7	道家文句	庄子思想	至小无内	李敖讲大小极限时引用古人说法。
LAYJJ-036	026.20000106李敖海洋大学演讲.txt	7	7	道家文句	庄子思想	至大无外	李敖讲大小极限时引用古人说法。
LAYJJ-037	026.20000106李敖海洋大学演讲.txt	11	11	古典文句	宋玉《登徒子好色赋》	增一分太肥，减一分太瘦	李敖讲好中文要恰到好处时引用。
LAYJJ-038	026.20000106李敖海洋大学演讲.txt	11	11	外国格言	福楼拜文论	对好的文学家而言，没有同义字。	李敖讲精确用字时转述福楼拜。
LAYJJ-039	026.20000106李敖海洋大学演讲.txt	11	11	戏剧文句	莎士比亚《凯撒》	Et tu Brute？	李敖讲凯撒临死语的翻译问题。
LAYJJ-040	026.20000106李敖海洋大学演讲.txt	11	11	翻译文句	梁实秋译莎士比亚	你也参加？布鲁塔斯。	李敖举梁实秋译文作为反例。
LAYJJ-041	026.20000106李敖海洋大学演讲.txt	11	11	李敖译句	李敖改译莎士比亚	还有你！布鲁塔斯。	李敖提出更贴近情境的译句。
LAYJJ-042	026.20000106李敖海洋大学演讲.txt	83	83	古典格言	公孙龙子	能胜人之口，不能服人之心。	李敖回答误会问题时引用。
LAYJJ-043	026.20000106李敖海洋大学演讲.txt	91	91	外国格言	林肯语	你可以像你所希望那样快乐那样快乐。	李敖谈控制负面情绪时引用。
LAYJJ-044	027.20000107李敖中华大学演讲.txt	5	5	成语典故	古典成语	著作等身	李敖说明自己著作数量时引用。
LAYJJ-045	027.20000107李敖中华大学演讲.txt	17	17	唐诗	李白《赠孟浩然》	吾爱孟夫子，风流天下闻。红颜弃轩冕，白首卧松云。	李敖讲词义变化时引用李白诗。
LAYJJ-046	029.20000110李敖成功大学演讲.txt	29	29	古典诗句	文天祥《正气歌》	悠悠我心忧，苍天曷有极。哲人日已远，典刑在夙昔。	李敖讲成功与失败时引用《正气歌》。
LAYJJ-047	029.20000110李敖成功大学演讲.txt	29	29	儒家格言	《论语》	求仁得仁	李敖谈文天祥取舍时引用孔子语。
LAYJJ-048	029.20000110李敖成功大学演讲.txt	29	29	儒家格言	《论语》	仁者不忧	李敖谈文天祥取舍时引用孔子语。
LAYJJ-049	037.20000329李敖少年观护所演讲.txt	35	35	道家格言	《老子》	自胜者强	李敖对少年观护所听众谈克服自己时引用。
LAYJJ-050	037.20000329李敖少年观护所演讲.txt	81	81	成语典故	《庄子》	盗亦有道	李敖讲小说里强盗哲学时引用成语。
LAYJJ-051	037.20000329李敖少年观护所演讲.txt	99	99	历史歌诀	李敖记汉代帝王歌诀	高惠文景武昭宣，元成哀平孺子新，光武明章和殇安，顺冲质桓灵献	李敖讲记忆方法时朗读的押韵歌诀。
LAYJJ-052	037.20000329李敖少年观护所演讲.txt	103	103	古人语录	王安石故事	我的儿子念书一遍就会了！	李敖讲天才与后天努力时引用王安石语。
LAYJJ-053	037.20000329李敖少年观护所演讲.txt	103	103	古人语录	刘贡父故事	你家的儿子念一遍就会，谁家的儿子念两遍呢？我的儿子也是神童，每个人都是神童！	李敖讲天才与后天努力时引用刘贡父答语。
LAYJJ-054	038.20040427李敖辅仁大学演讲.txt	31	31	外国格言	西贝流士父亲语	历史上从来没有给记者或评论者立铜像的！	李敖劝新闻系学生时引用。
LAYJJ-055	038.20040427李敖辅仁大学演讲.txt	33	33	史传文句	《史记·平原君虞卿列传》	公等彔彔，所谓因人成事者也	李敖讲毛遂自荐故事时引用。
LAYJJ-056	038.20040427李敖辅仁大学演讲.txt	67	67	李敖戏拟文句	李敖化用古典词句	渐行渐远渐无书	李敖笑谈读书方法时戏拟成句。
LAYJJ-057	038.20040427李敖辅仁大学演讲.txt	73	73	道家文句	《老子》	道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和	李敖讲字义辨析时引用《老子》。
LAYJJ-058	038.20040427李敖辅仁大学演讲.txt	73	73	史传文句	《史记·刺客列传》	秦王方环柱走，卒惶急，不知所为，左右乃曰：王负剑。负剑，遂拔以击荆轲，断其左股。	李敖说明“负”字古义时引用。
LAYJJ-059	038.20040427李敖辅仁大学演讲.txt	73	73	儒家文句	《论语》	伤人乎不问马	李敖辨析“不”字时引用。
LAYJJ-060	038.20040427李敖辅仁大学演讲.txt	75	75	宋代俗语	宋史典故	莫须有	李敖辨析宋人俗语时引用。
LAYJJ-061	038.20040427李敖辅仁大学演讲.txt	75	75	古乐府	《木兰词》	唧唧復唧唧，木兰当户织，不闻机杼声，惟闻女叹息	李敖说明“唧唧”是叹息声时引用。
LAYJJ-062	038.20040427李敖辅仁大学演讲.txt	75	75	唐诗	白居易《琵琶行》	我闻琵琶已叹息，又闻此语重唧唧	李敖说明“唧唧”字义时引用。
LAYJJ-063	038.20040427李敖辅仁大学演讲.txt	81	81	书论文句	孙过庭《书谱》	人书俱老	李敖谈自己与江湖一起老时引用。
LAYJJ-064	041.20050922李敖北大演讲.txt	113	113	词句	毛泽东《卜算子·咏梅》	俏也不争春，只把春来报，待到山花烂漫时，她在丛中笑	李敖讲旁观者与参与者境界时引用词句。
LAYJJ-065	041.20050922李敖北大演讲.txt	113	113	词论文句	王国维《人间词话》	有我之境，有无我之境	李敖讲境界问题时引用。
LAYJJ-066	041.20050922李敖北大演讲.txt	191	191	宋诗	王安石悼女诗	今夜扁舟来诀汝	李敖讲怀乡与别离时引用王安石诗。
LAYJJ-067	041.20050922李敖北大演讲.txt	191	191	宋诗	王安石悼女诗	死生从此各东西	李敖讲怀乡与别离时引用王安石诗。
LAYJJ-068	041.20050922李敖北大演讲.txt	191	191	唐诗	李白《静夜思》	床前明月光，疑时地上霜。举头望明月，低头思故乡	李敖讲怀乡主题时引用。
LAYJJ-069	042.20050923李敖清华演讲.txt	35	35	唐诗	杜甫《石壕吏》	室中更无人，唯有乳下孙。有孙母未去，出入无完裙	李敖在清华演讲中再次引用《石壕吏》。
LAYJJ-070	042.20050923李敖清华演讲.txt	127	127	校园谚语	北京校园谚语	北大老，师大穷，只有清华可通融。	李敖回答清华学生时引用旧日谚语。
LAYJJ-071	042.20050923李敖清华演讲.txt	139	139	儒家文句	《论语》	鸣鼓而攻之	李敖谈张扬风格时引用孔子典故。
LAYJJ-072	043.20050926李敖复旦演讲.txt	39	39	元曲文句	《西厢记》	待月西厢下，迎风户半开。隔墙花影动，疑是玉人来。	李敖讲中文意境时引用《西厢记》。
LAYJJ-073	048.20100525李敖台湾大学演讲.txt	27	27	儒家文句	《论语》	吾尝终日不食，终夜不寝，以思，无益，不如学也。	李敖讲学与思时引用孔子语。
LAYJJ-074	048.20100525李敖台湾大学演讲.txt	61	61	古典文句	明儒语	束书不观	李敖谈面对出版洪流的读书选择时引用。
LAYJJ-075	048.20100525李敖台湾大学演讲.txt	27	27	唐诗	杜甫诗句	甫昔少年日，早充观国宾。读书破万卷，下笔如有神。	李敖讲古人读书规模时引用杜甫诗。
LAYJJ-076	048.20100525李敖台湾大学演讲.txt	161	161	古典诗句	苏麟诗句	近水楼台先得月	李敖讲输入法词库时举例。
LAYJJ-077	048.20100525李敖台湾大学演讲.txt	163	163	唐诗	贾岛诗句	二句三年得，一吟双泪流	李敖讲炼句与电脑词库时引用。
LAYJJ-078	048.20100525李敖台湾大学演讲.txt	163	163	唐诗	贾岛诗句	鸟宿池边树，僧敲月下门	李敖讲推敲典故时引用。
LAYJJ-079	048.20100525李敖台湾大学演讲.txt	163	163	唐诗异文	贾岛诗句异文	僧推月下门	李敖讲推敲典故时提出比较。
LAYJJ-080	048.20100525李敖台湾大学演讲.txt	189	189	外国格言	英语格言	Honesty is the Best Policy	李敖讲英文词义变迁时引用。
LAYJJ-081	050.20110402李敖汕头大学演讲.txt	15	15	儒家文句	《论语》	五十而知天命；六十而耳顺；七十而从心所欲，不踰矩。	李敖在汕头大学演讲开头引用孔子自述。
LAYJJ-082	053.20110723李敖香港书展演讲.txt	35	35	俗语	现代俗语	不是猛龙不过江。	李敖在香港书展演讲开头纠正主持人说法。
