id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary	notes
LACMHO-011	020.“扬眉”不够，“吐气”才算.txt	15	15	“扬眉”不够，“吐气”才算	韩愈文句	物不得其平则鸣……人之于言也亦然	韩愈《送孟东野序》	李敖引韩愈文说明不平则鸣。	
LACMHO-012	020.“扬眉”不够，“吐气”才算.txt	15	15	“扬眉”不够，“吐气”才算	韩愈文句	有若不释然者，故吾道其命于天者以解之	韩愈《送孟东野序》	李敖续引韩愈文句，说明以天命解不平。	
LACMHO-013	021.张学良为杨拯民题词.txt	3	3	张学良为杨拯民题词	宗教格言	爱人如己	张学良题词	张学良题词中的宗教格言。	
LACMHO-014	021.张学良为杨拯民题词.txt	17	17	张学良为杨拯民题词	古典诗句	故人舍我闭黄壤	古诗成句	李敖借古诗写杨虎城故去、张学良应有所纪念。	
LACMHO-015	022.长叹犹怜张先生.txt	19	19	长叹犹怜张先生	史记文句	纵江东父兄怜我而王我	《史记·项羽本纪》	李敖引用楚霸王不肯回江东的典故。	
LACMHO-016	022.长叹犹怜张先生.txt	31	31	长叹犹怜张先生	小歌	顶天立地男子汉，磊落光明度余年。	张学良自作小歌	张学良小歌自述人格与晚年愿望。	
LACMHO-017	023.龚忠武的《少帅纽约行有感》.txt	23	23	龚忠武的《少帅纽约行有感》	古典成语	春秋责备贤者	《春秋》评判传统	龚忠武以后记说明作诗本于责备贤者之义。	
LACMHO-018	023.龚忠武的《少帅纽约行有感》.txt	29	35	龚忠武的《少帅纽约行有感》	近人诗句	赵四风流朱五狂，\n翩翩蝴蝶正当行，\n温柔乡是英雄冢，\n哪管东师入沈阳！	马君武《哀沈阳》	马君武第一首《哀沈阳》诗，李敖引出后辨其造谣成分。	
LACMHO-019	023.龚忠武的《少帅纽约行有感》.txt	37	43	龚忠武的《少帅纽约行有感》	近人诗句	告急军书夜半来，\n开场弦管又相催。\n沈阳已陷休回顾，\n更抱佳人舞几回！	马君武《哀沈阳》	马君武第二首《哀沈阳》诗，李敖作为广为传诵但内容失实的诗例引用。	
LACMHO-020	023.龚忠武的《少帅纽约行有感》.txt	67	67	龚忠武的《少帅纽约行有感》	文学比喻	不啻月殿嫦娥也	彭国栋《艺文掌故续谈》	彭国栋以月殿嫦娥比喻胡蝶艳名。	
LACMHO-021	023.龚忠武的《少帅纽约行有感》.txt	67	67	龚忠武的《少帅纽约行有感》	文学比喻	七彩缤纷，犹有玉环体态	彭国栋《艺文掌故续谈》	彭国栋以杨玉环体态比喻胡蝶中年演出。	
LACMHO-022	024.国民党的三通前科.txt	45	45	国民党的三通前科	成语格言	两害取其轻	传统成语	《大公报》社评以成语说明通车问题的权衡。	
LACMHO-023	024.国民党的三通前科.txt	47	47	国民党的三通前科	近人诗句	力薄难回劫后天	黄郛诗句	黄郛以诗句写时局艰难、力薄难回。	
LACMHO-024	024.国民党的三通前科.txt	141	141	国民党的三通前科	经济格言	物尽其用，货畅其流	传统经济成语	李敖以成语概括通商背后的实用逻辑。	
LACMHO-025	024.国民党的三通前科.txt	179	179	国民党的三通前科	古典成语	掩耳盗铃	传统成语	李敖用成语讽刺言行不一。	
LACMHO-026	024.国民党的三通前科.txt	179	179	国民党的三通前科	古典成语	暗度陈仓	传统成语	李敖用成语讽刺表面不通融而暗中往来。	
LACMHO-027	025.《独立评论》疑案质疑.txt	7	7	《独立评论》疑案质疑	办刊原则	每一位写文章的人负自己文章的责任。	陈之迈《纪念适之先生》	陈之迈说明《独立评论》的独立原则。	
LACMHO-028	025.《独立评论》疑案质疑.txt	7	7	《独立评论》疑案质疑	办刊原则	只是就个人的看法发挥个人的主张而已。	陈之迈《纪念适之先生》	陈之迈说明《独立评论》文章各陈己见的风格。	
LACMHO-029	025.《独立评论》疑案质疑.txt	9	9	《独立评论》疑案质疑	编辑原则	只问文章的内容好不好，绝不计较作者的地位或声名。	陈之迈《纪念适之先生》	陈之迈概括胡适编辑《独立评论》的选稿标准。	
LACMHO-030	025.《独立评论》疑案质疑.txt	11	11	《独立评论》疑案质疑	办刊格言	办刊物不可避免的风险，不必大惊小怪，过些时候自会平息下来。	陈之迈《纪念适之先生》	陈之迈记胡适对刊物受干涉的态度。	
