risk	quoteSignal	attributionSignal	file	line	text
false	false	true	003.旧信劫遗.txt	355	您说：
false	true	true	003.旧信劫遗.txt	359	此意我甚赞成，并在文章中早有“儒林内史”等语。但写这类书，实在不容易，我写《高等教育的一面怪现状》等文，都可说是这类内外史的一二章，也许可供参考。
false	false	true	003.旧信劫遗.txt	361	您又说：
false	false	true	003.旧信劫遗.txt	383	你说：
true	true	true	003.旧信劫遗.txt	397	最近暑假到了，一些留美的“海外学人”，利用政府等机构的免费旅费，回来了不少，也跟我有过接触，他们有的也颇热情，很想为这个地区的青少年“施”点帮助。我这里用这个“施”字，你该知道我用得多么沉重！所谓“施”，是凭自己高兴，愿做多少就做多少。由于长年身居海外，对这个地区的隔膜，总是难免，但是他们的态度却很“自信”，俨然“老子们完全了解你们，了解你们这些土包子！”的姿态，——一副洋鬼子“支那通”的姿态。（所谓洋鬼子“支那通”，就是花一两年“研究”中国语文，——靠廉价中国学人协助“研究”，然后砉然出现，俨然全盘了解中国，并随时妄议，“指导”中国前途的发展！）
false	true	true	003.旧信劫遗.txt	399	上面这些杂感，是去年接到你的信后写的，没有写完，就被杂事拖住，这一拖，就是十个月，你说我多该“杀”！
false	true	true	003.旧信劫遗.txt	403	十个月中，又一件大事是我在去年7月17号收到你们的《欧洲杂志》第一期，最近又在一家杂志社中看到第二期，后面有“侨务委员会海外侨民杂志登记台教新字第377号”等字样，知道你们已“奉公办理如仪”，获准进口，可贺可贺。不过杂志内容方面，可商量者颇多颇多，海外学人办杂志，能有“泥土气”，而与国内知识人声应气求，为第一难事。《欧洲杂志》至少目前在这方面并未成功，客气的说是“曲高和寡”；不客气的说是“跟国内脱节”“洋学究味太重”。我把我的看法，粗略奉陈如上，想你必不见老同学的怪吧？
false	true	true	003.旧信劫遗.txt	405	我收到留学西德的中国学生办的一种叫做《出谷》的月报，上面把我指名骂得狗血淋头。这个刊物也是在香港代印的，用的是圣经纸，大小如以前的《自由人》报。看来看去，似受“教”“党”两方面津贴。
false	true	true	003.旧信劫遗.txt	421	古人说“一年容易”，可是对我说来，却是“一年不容易”或“一年难”，我比去年的我又老了一岁，可是，我的母亲却没有——她的年纪，还是在迟滞状态、冷冻状态、未知数状态。为了庆祝母亲节，我劝你把我的《妈妈的梦幻》《妈妈·弟弟·电影》再看一遍。
false	true	true	003.旧信劫遗.txt	431	兹有一事相托，诸君或许能为我鼎力。我手边的一套全新《古今图书集成》想脱手，文星原价四万九，批发价三万四，我的售价不能少于三万四，并可设法找到发票。不知你们可否代找机关、学校、研究所，乃至附庸风雅的暴发户等售出，此书一百巨册（比《大英百科全书》多五倍），后附英文索引等，检查方便。举凡老掉牙的数学、物理学、化学、京戏等材料，无不应有尽有。如能代为脱手，由我做东，大请你们吃一次（不敢再吃你们的了！），饭后即直送我入台大医院手术室。天才生死，在此一刀；刀下留人，端在一卖。伏望诸君幸为我强销出去，浑身上下，无不铭感。话不多说，就此绝笔。
false	true	true	003.旧信劫遗.txt	441	今天贵报影剧版登出江青、刘家昌开拍《生老病死》，“是由李敖编剧”，当是误传。按说这种误传，让它误误，也颇好玩：可是若因误传而连累朋友，使这部片子受到不良影响，则颇不好玩。因此我想我最好主动打破沉默，请贵报惠予更正。
false	true	true	003.旧信劫遗.txt	451	姓宋的回来，来电约为刘维斌祝寿。他请晚饭，忽然一派港派派头，说：“CY托我带来一封信。”我问信呢？他说没带在身边，他又向我小声说：“我在香港，把你的文章好好跟鲁迅的比了一比……”
false	false	true	003.旧信劫遗.txt	453	后来此公即一直神龙而没。只在他临走前，刘维斌来电话约为饯行。我说这种人，该给他一点颜色看，我不去了。
false	true	true	003.旧信劫遗.txt	457	18号信上，你说：“上回我托公司的沈重（？）交给你信，收到我的信为何不回？”我更弄不明白是怎么回事。我从没收到这封信（你返港后，我没收到由港直寄来以外的任何信）。
false	true	true	003.旧信劫遗.txt	459	金铨跟我提到你喝酒的事。我觉得还是清醒一点好。我年纪愈大，阅人愈多，愈发现“人（尤其是朋友）的限度”。戴高乐说他“认识人愈多，愈喜欢狗”，真是深通人性限度之言。然并不必因如此深通而悲观，人与人照样可“相与俯仰”，刹那的真情流露，刹那的假意虚情，又何妨？真正永恒的乃是那“清醒的自我”，保持那“清醒的自我”，信任那“清醒的自我”。不清醒的人，每流于高估人性、交情、尊严之类，结果落得失望、生气，靠酒精自慰，真是糟糕。
false	true	true	003.旧信劫遗.txt	461	我是一个伟大的精灵，清醒极了。我洞彻人情、洞彻到懒得相与周旋的水准。昨天我还跟一个美国人说：“公共关系是中国人成名成势的必要条件之一。胡适之晚年几乎花全部时间来应付人事，造成好人缘。我李敖则不一样。我造成好人缘的方法是根本不认识他们，认识了，我懒得敷衍，反倒得罪他们；倒不如根本不认识，流弊不一定多到哪儿去，可是却省事多了！”
false	true	true	003.旧信劫遗.txt	487	你们寄来的喜帖，上说：“我们已经在12月19日结婚了。现在旅行回来，特地向您报告这个消息，希望您欢喜。”是很新派的作风，很美妙的白话文字。
false	true	true	003.旧信劫遗.txt	509	上次在金铨家，你们夸下海口，说董浩云回来，可请他买一套《古今图书集成》，此一海口，是否还有效？——还是像避蚊片一样，只有效三个月？《古今图书集成》为Chinese Encyclopedia，放在什么“东方□□号”上，极体面合适。全书一〇一巨册精装，定价四万九千台币，我三万就卖。如承鼎力，感同被蚊子叮也！附上宣传册页及英国The Economist上华丽Vapona Shell Chemicals广告一纸，并请参考。顺祝
false	true	true	003.旧信劫遗.txt	531	你编的《两性关系社会观》，收老子妙文二篇，居然只送老子一本书，是何道理？王晓波收到十本，已告密在旁，亲疏如此，要你这朋友何用？Had a friend like you, who needs enemy？着速补过，从速寄来。
false	true	true	003.旧信劫遗.txt	545	昨午接赐信并大作，多谢。老师对高等教育怪现状批评，令人有空谷幽兰之感。唯文中所谓“但洋人还说台湾是‘警察之国’，真是胡说八道”一节，似有为KMT恶政回护之嫌。古今恶政，多不乏有高等知识人错为之回护者。古德诺之前事，即为一例也。
false	true	true	005.九头鸟之恋.txt	17	6月26日晚，一干人等聚会于渝园，独缺浩然，但却换来了浩然的仇人李费蒙（牛哥），我提议除李费蒙外，大家遥为居浩然干杯，大家鼓噪和之，李费蒙说：“我也来，我也来，我不要例外。”
false	true	true	005.九头鸟之恋.txt	19	李子弋提议他、李敖、李费蒙等筹组一“李氏不良少年联谊会”，我说：“我们要请李裁法做名誉会长。”
false	true	true	005.九头鸟之恋.txt	45	我们上次的笔仗，许多人（如范光陵、林语堂之流）都说我们在“打情骂俏”，他们真不知道你我相思之苦！台湾方面，许多人开玩笑说我你“同性恋”，我们这样心肝来心肝去，倒真的有一点弄假成真也呢！上次我在台中跟徐复观对簿公堂，他对法官大力描写我们同性恋的可能性，他怕法官是白痴，特别加说：“同性恋的意思就是一个人在上面，一个人在下面……”结果法官不耐烦，大声喝止。我在旁边，实在忍不住笑。后来出庭后，徐复观请我喝咖啡，我们谈到这件事，两人又大笑不止。可惜当时你不在场，你若在场，我们两人合力把他按倒在地……该多好玩！唯一的问题是不知徐复观喜欢不喜欢洗澡，他如学王荆公，那我们就划不来了！
false	true	true	005.九头鸟之恋.txt	47	你走后的1966年的台湾，垮掉了两个大名人：一个是李敖，一个是何妈妈。你说李敖像不像文化界的何秀子？何秀子又像不像风化界的李敖？人人都可做老鸨，可是何秀子就不能再做；人人可以写文章，可是李敖就得被迫“从良”。现在何秀子已经被送往板桥管训，我这个文化界的何秀子，实在怵目惊心。《西游记》中六十一岁的王老儿说得好：“西天难取经；要取经，往东天去吧！”旧时代的孙悟空当然不听王老儿的劝告，可是新时代的孙悟空就不得不向东转。也许你会笑我根本不是真孙悟空，而是那冒充孙悟空的“六耳猕猴”。随你怎么想，反正我现在非得洗手不可。“上的山多终遇虎”，碰到一个老虎，还可做做武松；可是碰到一群老虎呢？那只好做肉松了！
false	true	true	005.九头鸟之恋.txt	51	你要买我的书，自然欢迎。只可惜胡秋原们说你有钱，你却只买一套，未免太少太少。难道你用这种刮皮方法，来反证你做淡江校长时代的清廉吗？你真狗屎！（并且是疯狗之屎！）我现在正穷得发慌，你若是我的心肝，赶快寄英镑来，至少订购十套以上，否则我一怒而“摊派”之（但非“强销书刊”，今天报载“强销书刊”者要被管训去陪何妈妈），你至少要包销一百套，那时候，你莫怪故人无情。
false	false	true	005.九头鸟之恋.txt	59	如果那一天真的到来，你怎么办？我说浩然呀！你是聪明之人，小不忍则乱大谋，还是趁早替我们增加一点外汇吧！
false	true	true	005.九头鸟之恋.txt	63	跋居浩然《“共产主义圣经”的秘密》
false	true	true	005.九头鸟之恋.txt	67	我承认浩然此文是思想“反共”上的重要文献，一点也不是八股的“反共论”，所以很盼《文星》的读者能够同我分享。这就是陶渊明所说的“奇文共欣赏”。
false	true	true	005.九头鸟之恋.txt	69	我在《文星》第九十四期《写在居浩然〈义和团思想和文化沙文主义〉的后面》一文里，曾有“他读书不多”的话，不料引起他气得像个大肚子的青蛙。他这次附注，说我“自以为读书多过居浩然”，就是他悻悻然的表现。在逻辑上，我说居浩然“读书不多”，并不意指我“读书多过居浩然”。居浩然深通逻辑，何失检乃尔？该打该打！
false	true	true	005.九头鸟之恋.txt	71	我说居浩然“读书不多”，乃是反衬他的天资和天纵，居浩然错将褒作贬，十足证明他的心病之重，也十足证明了他对“知己”李敖的不能“知”，呜呼哀哉！
false	true	true	005.九头鸟之恋.txt	79	谢谢你在年初寄贺年片来，居然到阿美利加后，还没把“湖北人的克星”忘记，足见你“内惧”（不是“惧内”）深刻。不过也难怪，你有头九只，自然记性好，虽然你们湖北人常常漫无心肝，可是依Robert Browning的诗来说，“心”“脑”本在一起，所以“无心”之过，可用“多脑”补之。所以骂来骂去，我还是要大慈大悲，再原谅你们一百次！
false	true	true	005.九头鸟之恋.txt	93	可爱的女人说你快回来了，可是真的么？你难道又要回台大来加强文学院中的湖北人势力么？文学院已不再是文学院，而快是一座“鸟园”啦！真无怪乎今天台湾鸟市的大减价！
false	true	true	005.九头鸟之恋.txt	95	你说你要替我“喊冤”，现在还太早。至少目前我还有骂湖北人的自由，急什么？我在台湾，很想你这个人（不是屁股），你是一个好的湖南北边那省的人，聪明伶俐，使人颇能消痰化气。所以我要写四页的信来答谢你的贺年片。并祝你
false	true	true	005.九头鸟之恋.txt	105	忽接来信，初料阁下拟给已在新大陆的学人灌输西化思想，孰知双目所及，非鸟屎即交尾，不出下体范围，全是咱们中国乡下老妇骂街的鄙俗词句，无半点西化气味。人称李某西化健将，健乎！贱乎！西化运动之所以一败涂地者，李某其无罪乎？常思湖北人中，最蠢无过于立法委员胡某与东大教授徐某，设若二某对于李家小子的叫骂来他妈个彻底不理，李家小子何至“暴得大名”？（蒋芸漂亮否？此姝用以批评李敖的四字极漂亮。）总算天地公道，李家小子叫骂三年，蠢的湖北人并未因而聪明，聪明的湖北人继续自理旧业，倒是李家小子叫骂的地盘给抄了家。目睹李氏西化运动落得这等下场，凡不鼓掌称快者，非湖北人也。
false	true	true	007.什么叫“理来情无存”？.txt	9	你说：“外行人只从文字里看到你的‘冷’，你自己当然了解，你对人间的爱恋，实在是太‘热’了。李敖！你可否对自己‘热’一些，然后世俗间也觉得你和他们差不多了。”
false	true	true	007.什么叫“理来情无存”？.txt	13	也许有一点你愿意知道：我实在是一个对自己也颇“热”的一个人。我是自由主义者、个人主义者，但也是淑世主义者、改良主义者，我的立身处世并不像“外行人”所想象的那样极端或孤傲，我常常开玩笑说：“光看我的文章，别人一定以为我是一个‘穷凶极恶’的人。其实我的文章比我的讲话‘坏’，我的讲话比我的人‘坏’。任何我的老朋友，都可证明一点，就是：李敖这个人，比他嘴巴的胡说八道好；而他嘴巴的胡说八道，又比他的文章的锋利刻薄‘忠厚’多了！”
false	true	true	007.什么叫“理来情无存”？.txt	21	沈休文的诗说“理来情无存”，我蛮喜欢这句子。行文公论之时，应当“理来情无存”；行文公论以外，即使政敌，又何妨把酒言欢？
false	true	true	007.什么叫“理来情无存”？.txt	29	我现在重读你八年前在《自由中国》上所写的那篇惹祸文字——《清议与干戈》，重读后面你引用的“天下无道，君子囊括不言，以避小人之祸，而犹或不免”那句话，我现在忍不住要说：“吾有隐恸！”
false	true	true	008.给李声庭的四封信.txt	25	本月25号我正如梁启超诗所说：“忽忽已三十”，你说要来台北，极欢迎、极欢迎！
false	false	true	008.给李声庭的四封信.txt	27	Goldsmith 在 Traveller 里有句话说：
false	true	true	009.给殷海光的六封信.txt	7	孟能转来你的《让我们携手从事文化创建——兼纪念五四》的五千字长文，并转告你说要我表示意见，我现在坦白表示如下：
false	false	true	009.给殷海光的六封信.txt	27	换句话说，这些话不需劳动大名鼎鼎的殷海光来说出、来点破的。
false	false	true	009.给殷海光的六封信.txt	29	但是，恰恰在目前这种现状、这种气氛之下，殷海光说出了这些、点破了这些。
false	true	true	009.给殷海光的六封信.txt	37	三、你的“反省从我开始”的心境是伟大的，你的“我的错处恐怕比一般人多”的说法也是令人感动的，但是你可否想到，你的谦冲将被文警或文丐们做如何不良的运用？他们的阴谋与战术正是“用显微镜照出”一两点，用来扩而大之，先吹毛求疵，再举一反三。你为何要中计？
false	true	true	009.给殷海光的六封信.txt	39	四、你从《自由中国》垮台以后，四年的沉默带给你无限的关切和同情，大家知道你深居简出，塊然独处，可是斗志不衰。——在精神上和雷震一起坐牢！而这次文警或文丐们对你的集体的有计划的迫害，更增加了人们对你的关切和同情，更增加了有识之士对他们的卑视。在这种情形之下，我认为沉默——继续沉默——可能胜于解释或反击。你当然知道许多话，说了固然有说的好处，可是不说也有不说的好处。
true	true	true	009.给殷海光的六封信.txt	41	五、四年的沉默，使人们想象的殷海光是一个劲气内敛的殷海光，而此文一出，似乎会带给一部分人对殷海光“昔何英勇今何怯”（黄遵宪诗）的错觉。当年胡适写《人权与约法》，给人感觉一何“英勇”！后来他写《容忍与自由》，却给人错觉一何“怯”！这是很值得考虑的一件事。试想殷海光在《自由中国》主编时代，会写这类《让我们携手从事文化创建》style的文章吗？殷海光四年韬光养晦的结论，除了他的学术著作以外，难道竟是一篇“老生常谈”吗？
false	true	true	009.给殷海光的六封信.txt	45	我们李家的老子说：“不出户，知天下。”今日中国的自由学人，你最是当之而无愧。你是瞩目在“天下”的人，不可以这班无耻小人为对象，也避免使青年人错觉你在隐约之间以他们为对象。这一点最重要，我不得不再唠叨一次。
false	true	true	009.给殷海光的六封信.txt	51	你的文章说得好：“耶稣不是被钉死在十字架上吗？”但是，我要补充一句：“被钉上十字架的耶稣，还需要说什么话吗？”想想看，十六年的岛上春秋，最后是儆寰无言，海光无语，该是一幅多么深长的双十字架的影子啊！
false	false	true	009.给殷海光的六封信.txt	75	上次在美而廉相遇，我就感到你的气色不好（很久不见，所以感觉特别尖锐）。前天听平景说，你的胃病并没有请医生看，我颇惊讶，我以为你请了医生，没想到你竟对你的身体这样不科学！
true	false	true	009.给殷海光的六封信.txt	103	我已向有关方面暗示（等于明示）：还是把殷海光放走吧！逼人走绝路（生活困难），乃至抓人关人，是没有效果的，如果有效果，我们今天也不会在台湾了。（过去在大陆，这套方法还用得太少吗？可是效果呢？）殷海光一类人（包括李敖之流），到了国外，当然不会说这个政府什么好话，可是他们到了国外，本人就该是台湾政府有自由的最好人证！就光凭这点人证的资格，这个政府就值得做，并且划得来，得可偿失，值回票价！
false	false	true	010.一九六五年五月四日.txt	3	——寄王尚勤论禁书与禁演说
false	true	true	010.一九六五年五月四日.txt	9	她又在信上一再和我谈起“才女薄命”的话，一再谈起“悲愤无助”，“曾经沧海”的话，我当时只以为她是言过其实的夸大之辞，现在才证实由〔？每？句？〕句是真，绝未夸大，这些话一想起来便使我痛彻心肺！所有的人的命运，都是自己造成的！琵及芭杜、玛丽莲·梦露、林黛……这一类人的命运，我早已为她们算定了！现在美国的王尚勤女士，可以证明我早已在她们悲剧发生之前，说过多少次！
true	true	true	010.一九六五年五月四日.txt	11	上月29号我写了一封信给他，算是贺他这部被查禁的书的解禁。中有“今写此信，聊可表示知你者的一点小意思。虽然你有许多诗文，我并不赞同或佩服”等话，因为对他的著作，我实在不太领教；但他排除万难，争取出版自由的精神，我实佩服。
false	false	true	010.一九六五年五月四日.txt	13	他们这些30年代文人写文章的大病，除内容架构上的问题外，在文体上大都浮词藻语和套语，故大汉子写的文章颇多娘娘腔，此所谓故作小儿女之言是也。孙陵文章最多绮丽用语，读其文，万万想不到他竟是北方男儿式的大汉！
true	true	true	010.一九六五年五月四日.txt	15	今天收到他一千多字的回信，说：“你知我更深，我引以为荣。”“你是迄今唯一表示赞成我反抗〔书被查禁〕的一个人。”
true	true	true	010.一九六五年五月四日.txt	17	就我这方面而言，前些日子传说我的《教育与脸谱》要被禁。最近几天，为了文星书店要参加香港的书展，内政部及其他衙门居然禁止我的书出口，还有李声庭、陆啸钊的书，也在被禁止出口之列，还有《文星》杂志，也全部被禁止出口。后经老萧和我以全部不参加为抗议，今天内政部出版事业管理处熊处长才打电话表示，与国民党中央党部等会商结果，完全让步，完全许出口了。（其实海外读者与书店函购我的书，过去已不知有过多少了。这次忽然被禁止大批出口，实在莫名其妙！经我们抗议的结果，大概“他们”想通了，大概“他们”发现这些书既然可在台湾地区流行，为什么不能到海外走走呢？即使有“问题”，也正好用来表示“他们”容忍别人的自由言论呀！）
false	true	true	010.一九六五年五月四日.txt	19	这几个月来，台大学生请我演说，被校方驳回的，据我所知，至少有四次。最近的一次就是今天，文学院原定今晚请我演说五四运动，结果被驳回，理由是殷海光、李敖两人不准在台大演说。上次（3月26号），法学院用“偷关漏税”的方法，不先登记，请我演说“傅斯年与胡适”，听众挤得人山人海，结果在我未到前，突被校方勒令解散！
false	false	true	010.一九六五年五月四日.txt	25	但今日青年不像过去青年之盲动与乱来、乱做man of action，实为一大进步。今天我特别指出殷海光在这方面的进步，我说他思想演变的天路历程很辛苦，由褊狭的行动者到今日思想开阔，实在得之不易。
false	true	true	011.我们要像清除恶人一样的清除烂好人.txt	5	这次你的五四演说，可谓“声”震于“庭”，看到这些青年朋友们的热烈发问、讨论，足可证明你这几年“‘声’公说法”的成绩了。
false	true	true	011.我们要像清除恶人一样的清除烂好人.txt	11	我李敖生平以君子之道待君子，以君子式的小人之道待小人。老罗斯福曾主张说话善意而手中拿个棒子，爱因斯坦也呼吁善意与力量相结合，这些构想，我早就成竹在胸。所以我一直不主张做好好先生、做烂好人。因为好好先生和烂好人一定会被恶人欺负，结果不是“张其恶”就是“扶同为恶”。所以我们要像清除恶人一样的清除烂好人。我们要鼓吹做有能力、不怕事、不怕恶人、好批评、好打抱不平的“好人”。我希望你在东海大学校内校外，都不停的做这种类型的“好人”。
