decision	id	source_file	line_range	category	risk_in_quote	quote_text	reason
keep	LAHRX-014	004.桑格夫人和节育运动.txt	313-313	西方文学格言	no	在整个世界上，任何力量都没有一项时机已经成熟的理想更为强大。	桑格夫人常引用雨果式格言解释理想成熟后的力量。
keep	LAHRX-015	006.行李考.txt	3-3	训诂名句	no	古李理同音通用，故行李与行理竝见，大李与大理不分。	李敖引段注说明行李与行理古时通用。
keep	LAHRX-016	006.行李考.txt	5-5	左传名句	no	若舍郑以为东道主，行李之往来，共其乏困。	李敖考证行李一词来源时引《左传》。
keep	LAHRX-017	006.行李考.txt	5-5	古注名句	no	行李，使人。	杜预以使人解释行李一词。
keep	LAHRX-018	006.行李考.txt	5-5	古注名句	no	行理，使人通聘问者。	李敖引杜注说明行理为通聘问之使者。
keep	LAHRX-019	006.行李考.txt	5-5	训诂名句	no	行李，行人之官也。然则两字通用，本多作理，训之为吏，故为行人使人也。	李敖引孔晁注说明行李、行理与行人使者的关系。
keep	LAHRX-020	006.行李考.txt	9-9	训诂名句	no	唐时谓官府导从之人，亦曰行李。	李敖引顾炎武说明唐代行李另指官府导从。
keep	LAHRX-021	006.行李考.txt	11-11	训诂名句	no	行装曰行李，谓人将有行，必先治装。	李敖引方勺说明行李演变为旅途装橐之义。
keep	LAHRX-022	007.“两昆仑”考.txt	19-19	诗学格言	no	诗无达诂	李敖在考辨两昆仑异说时借此说明诗句解释并无定解。
keep	LAHRX-023	009.宋禁科场书.txt	43-43	科举轶语	no	此何有！消青铜三百，易一部时文，足矣！	李敖引辛弃疾科举笑谈，说明时文对投考的作用。
keep	LAHRX-024	009.宋禁科场书.txt	43-43	科举轶语	no	是以三百青蚨博吾爵者！	李敖转引孝宗以三百青蚨买爵的玩笑。
keep	LAHRX-025	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	7-7	宗族论句	no	由父之父递推之，百世皆吾祖也；由母之母而递推之，三世之外有不知谁何者矣	李敖引此说明父系单系亲属计算的传统。
keep	LAHRX-026	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	13-13	古代婚姻格言	no	男帅女，女从男，夫妇之义，由此始也。妇人，从人者也……嫁从夫。	李敖引《礼记》说明夫妻同体主义的礼教背景。
keep	LAHRX-027	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	13-13	古代婚姻格言	no	妇人有三从之义，无专用之道；故……既嫁从夫。	李敖引三从之义说明旧礼教中的妇女地位。
keep	LAHRX-028	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	13-13	古代婚姻格言	no	夫者，妻之天也。	李敖引此说明丈夫在旧婚姻结构中的绝对地位。
keep	LAHRX-029	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	17-17	古代婚姻格言	no	夫妻，一体也……夫妻，牉合也。	李敖以此说明夫妻同体主义的经典依据。
keep	LAHRX-030	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	21-21	古代婚姻格言	no	妻者，齐也，与夫齐体。	李敖引班固语说明妻与夫齐体的旧说。
keep	LAHRX-031	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	75-75	古代婚姻格言	no	取于异姓，所以附远厚别也。	李敖引《礼记》说明同姓不婚的礼教理由。
keep	LAHRX-032	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	75-75	古代婚姻格言	no	取妻不取同姓，以厚别也。	李敖引《坊记》说明取妻不取同姓的古礼。
keep	LAHRX-033	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	75-75	古代婚姻格言	no	男女同姓，其生不蕃。	李敖引《左传》说明同姓婚姻的优生理由。
keep	LAHRX-034	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	75-75	古代婚姻格言	no	同姓不婚，惧不殖也。	李敖引《国语》说明同姓不婚的生殖理由。
keep	LAHRX-035	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	75-75	古代婚姻格言	no	夫和实生物，同则不继	李敖引《国语》说明异类相生、同则不继的古义。
keep	LAHRX-036	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	165-165	古代婚姻格言	no	凡嫁娶因非偶而不和者，父母不审之罪也。	李敖引袁采语说明父母择配不审会导致婚姻不和。
keep	LAHRX-037	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	165-165	古代婚姻格言	no	媒者之言，不可尽信如此，宜谨察于始。	李敖引袁采语说明媒妁之言不可尽信。
keep	LAHRX-038	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	27-27	宋诗句	no	采采南涧苹，心事涧水知；在室尽子职，为妇尽妇仪	李敖引宋人诗句说明旧式妇仪观念。
keep	LAHRX-039	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	31-31	宋儒语录	no	家人离，必起于妇人，故暌次家人，以二女同居而志不同也	李敖引周敦颐语说明宋儒对家人离合的解释。
keep	LAHRX-040	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	35-35	宋儒语录	no	妇道之常，顺为厥正	李敖节取张载女诫说明旧妇道以顺为正。
keep	LAHRX-041	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	39-39	宋儒语录	no	男牵欲而失其刚，妇狃说而忘其顺，则凶而无所利矣！	李敖引程颐语说明宋儒对男女欲念与顺从的看法。
keep	LAHRX-042	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	179-181	宋词	no	红酥手，黄滕酒。满城春色宫墙柳；东风恶，欢情薄，一怀愁绪，几年离索——错！错！错！\n春如旧，人空瘦。泪痕红浥鲛绡透；桃花落，闲池阁，山盟虽在，锦书难托——莫！莫！莫	李敖引陆游题壁词说明唐氏被出后的沈园故事。
keep	LAHRX-043	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	185-191	宋诗	no	梦断香销四十年，\n沈园柳老不飞绵；\n此身行作稽山土，\n犹吊遗踪一泫然。	李敖引陆游晚岁入城登寺眺望时所作绝句。
keep	LAHRX-044	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	195-201	宋诗	no	城上斜阳画角哀，\n沈园无复旧池台；\n伤心桥下春波绿，\n曾是惊鸿照影来。	李敖引陆游沈园绝句写旧地旧情。
keep	LAHRX-045	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	205-219	宋诗	no	枫叶初丹槲叶黄，\n河阳愁鬓怯新霜；\n林亭感旧空回首，\n泉路凭谁说断肠？\n坏壁醉题尘漠漠，\n断云幽梦事茫茫。\n年来妄念消除尽，\n回向蒲龛一炷香。	李敖引陆游重到沈园所作诗，写旧题与幽梦。
keep	LAHRX-046	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	223-229	宋诗	no	路近城南已怕行，\n沈家园里更伤情。\n香穿客袖梅花在，\n绿蘸寺桥春水生。	李敖引陆游梦游沈园绝句之一。
keep	LAHRX-047	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	231-237	宋诗	no	城南小陌又逢春，\n只见梅花不见人。\n玉骨已成泉下土，\n墨痕犹锁壁间尘。	李敖引陆游梦游沈园绝句之二。
keep	LAHRX-048	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	257-263	宋诗	no	沈家园里花如锦，\n半是当年识放翁。\n也信美人终作土，\n不堪幽梦太匆匆。	李敖补引陆游《春游》中追忆沈园的诗句。
keep	LAHRX-049	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	273-273	古代婚姻格言	no	必私积聚，为人妇而出，常也；其成居，幸也。	李敖引卫人嫁女故事说明旧时妇人私财与被出的关系。
keep	LAHRX-050	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	279-285	宋诗	no	龙邱居士亦可怜，\n谈空说有夜不眠；\n忽闻河东狮子吼，\n拄杖落手心茫然。	李敖引苏轼诗说明陈季常与河东狮子典故。
keep	LAHRX-051	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	331-331	古代婚姻格言	no	夫妻以义合，义绝则离。	李敖引司马光语说明义绝导致强制离婚。
keep	LAHRX-052	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	609-609	英文婚姻格言	no	Husband and wife are one person, and that one is the husband.	李敖在注释中引英美法格言说明夫妻同体主义。
keep	LAHRX-053	010.夫妻同体主义下的宋代婚姻的无效撤销解消及其效力与手续.txt	859-859	古典小说名句	no	妾闻忠臣不事二君；列女不更二夫。	李敖注中引古小说语说明列女不更二夫观念。
keep	LAHRX-054	011.李易安再嫁了吗？.txt	21-21	考据评语	no	轻信记载，疏舛固宜。	李敖引俞正燮语批评李心传轻信记载。
keep	LAHRX-055	011.李易安再嫁了吗？.txt	27-27	清人词话评语	no	岂有就木之龄已过，隳城之泪方深，顾为此不得已之为，如汉文姬故事？	李敖引吴衡照语反驳李清照晚年改嫁传说。
keep	LAHRX-056	011.李易安再嫁了吗？.txt	49-49	李敖治学格言	no	做历史考据真是不容易！	李敖总结李清照再嫁争议中的年代考据困难。
keep	LAHRX-057	011.李易安再嫁了吗？.txt	51-51	李敖史论格言	no	再嫁并没有什么不得了，可是没再嫁却硬说她再嫁，这就太不对了。	李敖把再嫁争议归结为事实与谣言的区别。
keep	LAHRX-058	012.对《徐树铮先生文集年谱合刊》的批评.txt	185-185	史学方法格言	no	历史的法则，无论哪一门，都应该据事直书，不必多下批评	李敖概述年谱体例时引出据事直书的史学原则。
keep	LAHRX-059	012.对《徐树铮先生文集年谱合刊》的批评.txt	185-185	史学方法格言	no	作传，但描写这个人的真相，不下一句断语，而令读者自然了解这个人的地位和价值，那才称得上史才。	李敖概述传记与年谱应少下断语、据事呈现。
keep	LAHRX-060	012.对《徐树铮先生文集年谱合刊》的批评.txt	195-195	年谱体例格言	no	年谱之作，原是传记写作的基料	李敖区分年谱与传记，说明年谱是传记写作的基料。
