id	source_file	line	quote_text	category	source_or_origin	reasons	context
LAFCR-053	007.对敌人的道德.txt	17-17	光明正大	成语	题辞	political-context;short-common-phrase;low-source-specificity	甲：“我们中国”吗？请你告诉我，阿贝拉会战（The Battle of Arbela）时，亚历山大不肯夜袭敌人，他说他不愿偷取胜利，他要公开又公平的打，使对方输了也心服。这种道德又是哪国的？可见并非中国国粹，也不是我们中国所能专利，当然也不只中国和希腊有：送还敌人尸首的征服者威廉是英国的；送还敌人迷途的狗的华盛顿是美国的；嫌潜水艇不够光明正大而拒绝这种战术的拿破仑是法国的……这种“对敌人的道德”存在的时候，简直是“放之四海而皆准”的，可是却不能“俟诸百世而不惑”。因为，我说过，道德是会生老病死的。
LAFCR-054	007.对敌人的道德.txt	21-21	盗亦有道	成语	庄子	short-common-phrase	甲：这个问题要从反面来答，要问道德项目是怎么变了的？比如说，在西部拓荒时代，一个道德项目是不可以背后开枪，这个项目是有情味的，大家一体遵守，不在话下。但后来有人为了增加效果，居然背后开了枪，于是你开我开，大家都开，这一道德项目，就被乱枪射杀了。如果世风如此，有人还坚持古典派，还要正面开枪，那他只有背对着法医，听数子弹孔的份儿。又比如说，在盗亦有道时代，流氓打架，一比一，空手打——“空手道”。后来有人为了增加效果，变成一大堆比一，外加扁钻、武士刀齐上。如果世风如此，有人还坚持古典派,那他只有在急诊处感慨人心不古了。由此看来，人类为了增加效果，改变了道德项目。效果既然重于一切，道德就只好随效果修正。能接受修正的人，不论为善为恶，都心安理得；不能接受修正的人，就接受法医检查或急诊处医生抢救，此外别无选择。
LAFCR-055	007.对敌人的道德.txt	37-37	看破红尘	成语	题辞	political-context;short-common-phrase;low-source-specificity	甲：问问我的敌人或朋友，你就知道我的“旧道德”比他们全多。我是失败的英雄？不是，我是成功的道德家。不要小看我这对贼眼，看破红尘而又能福善祸淫，就凭我这对贼眼呢！
LAFCR-056	007.对敌人的道德.txt	37-37	福善祸淫	古文成句	尚书	political-context	甲：问问我的敌人或朋友，你就知道我的“旧道德”比他们全多。我是失败的英雄？不是，我是成功的道德家。不要小看我这对贼眼，看破红尘而又能福善祸淫，就凭我这对贼眼呢！
LAFCR-058	010.文化空中飞人.txt	13-13	满腹经纶	成语	题辞	political-context;short-common-phrase;low-source-specificity	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-059	010.文化空中飞人.txt	13-13	一身傲骨	成语	题辞	political-context;short-common-phrase;low-source-specificity	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-060	010.文化空中飞人.txt	13-13	艺高人胆大	俗语	题辞	political-context	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-061	010.文化空中飞人.txt	13-13	虎口捋须	成语	题辞	political-context;short-common-phrase;low-source-specificity	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-062	010.文化空中飞人.txt	13-13	太岁头上动土	俗语	题辞	political-context	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-063	010.文化空中飞人.txt	13-13	四面树敌	成语	题辞	political-context;short-common-phrase;low-source-specificity	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-064	010.文化空中飞人.txt	13-13	八面威风	成语	题辞	political-context;short-common-phrase;low-source-specificity	试想，李敖不是“文化空中飞人”又是什么？李敖满腹经纶，一身傲骨，艺高人胆大，在警察国家中，每月开夺命飞车、做拼命三郎，虎口捋须、太岁头上动土，用文化之笔，四面树敌、八面威风，出《千秋评论》一册。读者每月花一百元门票，看李敖“文化空中飞人”一次，没摔下来大家喊好，摔下来大家叫活该，这种生涯，非“文化空中飞人”而何？
LAFCR-065	010.文化空中飞人.txt	15-15	单干户	俗语	题辞	short-common-phrase	我做“文化空中飞人”，是彻底的“单干户”，我从不鼓励人走我这条路，我太知道太知道干我这行的辛苦与危险！我真不忍见别人为此牺牲掉。我自己也只能自我牺牲而已，别无救人的能力。1968年5月份的《花花公子》（Playboy）杂志上，有一幅漫画，画一个空中飞人，手抓住全身悬空的一个小朋友，自己的两脚却不幸脱离了挂钩，嘴上说：“别怕，我抓到你了。”（Don't worry-I've got you.）这幅漫画，我一直保存下来，因为对我说来，真有戚戚之感。
LAFCR-072	011.我的座右铭.txt	9-9	拖泥带水	成语	题辞	short-common-phrase;low-source-specificity	什么是“大丈夫”？《韩非子》说：“所谓大丈夫者，谓智之大也。”这种解释，是不够的。大丈夫不但是智之大的，也是仁之大的，也是勇之大的。大智使自己不糊涂、不昏乱，清楚判断怎么做最好，怎么做最明智的决定与选择；大仁使自己有一种宗教的使徒的心怀——悲悯的、殉道的、有信念的、不求回报的、自我牺牲的、默然无语或慷慨陈词的——去“诚于中而形于外”，大勇使自己以果决的、刚毅的、不婆婆妈妈的、不拖泥带水的、快刀斩乱麻的霹雳手段，去把大智大仁的结论，立刻实行。
LAFCR-073	011.我的座右铭.txt	9-9	快刀斩乱麻	成语	题辞	low-source-specificity	什么是“大丈夫”？《韩非子》说：“所谓大丈夫者，谓智之大也。”这种解释，是不够的。大丈夫不但是智之大的，也是仁之大的，也是勇之大的。大智使自己不糊涂、不昏乱，清楚判断怎么做最好，怎么做最明智的决定与选择；大仁使自己有一种宗教的使徒的心怀——悲悯的、殉道的、有信念的、不求回报的、自我牺牲的、默然无语或慷慨陈词的——去“诚于中而形于外”，大勇使自己以果决的、刚毅的、不婆婆妈妈的、不拖泥带水的、快刀斩乱麻的霹雳手段，去把大智大仁的结论，立刻实行。
LAFCR-077	011.我的座右铭.txt	21-21	过眼烟云	成语	题辞	short-common-phrase;low-source-specificity	这句补充的座右铭，在其他关系上没有用在女人身上密合，所以我多用在女人身上。我深信男女关系，追求与维护的重点不在真、不在善，而在美。男女之间有许多梦、许多情、许多幻，……这些都不是实际的，男女关系搅进美以外的，我深信都是很差劲的。但美本身是不够的，它需要有大智大仁大勇的大丈夫气象去做推动力。举个例，一九八零年我离婚的时候，我真的用了“大丈夫的气象”，去“面对”了。事后许多人对我说：“你这个婚，可真离得漂亮！”“你婚离得可真洒脱！”“离得可真美！”而胡茵梦在泪眼婆娑中，恍然大悟：她嫁的不算是丈夫，而是大丈夫，可是一切都以美了断、以美结束了。除了美以外，都过眼烟云了。
LAFCR-080	012.“我还没开始打呢！”.txt	29-29	于无声处听惊雷	现代诗句	鲁迅	political-context	琼斯的故事，告诉了人们：真正的悍将，往往在人们以为他不打了的时候，“于无声处听惊雷”，把敌人打得落花流水。——悍将就是悍将，他的“出手”，若被凡夫俗子摸得透，还算本领吗？
LAFCR-081	012.“我还没开始打呢！”.txt	29-29	落花流水	成语	题辞	political-context;short-common-phrase;low-source-specificity	琼斯的故事，告诉了人们：真正的悍将，往往在人们以为他不打了的时候，“于无声处听惊雷”，把敌人打得落花流水。——悍将就是悍将，他的“出手”，若被凡夫俗子摸得透，还算本领吗？
LAFCR-082	013.我为什么不看电视？.txt	11-11	得不偿失	成语	题辞	short-common-phrase;low-source-specificity	这种坏习惯，叫做“追新闻屁”。一件新闻，从开始到结束，前后拖个七八天、一二十天，是常事。这件新闻，其实只知道一行概要就足够了，并不需要跟着它跑，跟着它跑，就是精神时间的大浪费。对这种新闻，你最幸福的处理方式是当你得知的时候，它已经结束了，就好像知道一场球赛一场棋局已赛过了，知道谁赢谁输了，如此而已。不然的话，你跟着它跑，它就吊足你胃口。所以，基本上，“追新闻屁”和看赛球看下棋同一性质，为了过瘾另当别论，若说为了对自己有益而这样做，则很难成立。因为“追新闻屁”所花的精神和时间，都是得不偿失的，事半功倍的。你不闻不问，不久以后，在上周或上月大事记中，或在综合报导中，花一分钟就可得到结果，当然缺少细节，但要那么多细节干什么呢？
LAFCR-083	013.我为什么不看电视？.txt	11-11	事半功倍	成语	题辞	short-common-phrase;low-source-specificity	这种坏习惯，叫做“追新闻屁”。一件新闻，从开始到结束，前后拖个七八天、一二十天，是常事。这件新闻，其实只知道一行概要就足够了，并不需要跟着它跑，跟着它跑，就是精神时间的大浪费。对这种新闻，你最幸福的处理方式是当你得知的时候，它已经结束了，就好像知道一场球赛一场棋局已赛过了，知道谁赢谁输了，如此而已。不然的话，你跟着它跑，它就吊足你胃口。所以，基本上，“追新闻屁”和看赛球看下棋同一性质，为了过瘾另当别论，若说为了对自己有益而这样做，则很难成立。因为“追新闻屁”所花的精神和时间，都是得不偿失的，事半功倍的。你不闻不问，不久以后，在上周或上月大事记中，或在综合报导中，花一分钟就可得到结果，当然缺少细节，但要那么多细节干什么呢？
LAFCR-089	014.林治平先生来信书后.txt	11-11	逞口舌之利	成语	题辞	political-context;low-source-specificity	四十年来，由于国民党封锁我演讲的机会和教书的机会，使我在“逞口舌之利”上，大受限制，所以我的演讲，根本没有练习、没有经验。一旦演讲，我只能搬出和扩大我日常的谈吐——王导式的令“群胡同笑、四座并欢”的谈吐，应场而已。我的音调太高、说话太快，好处在提神醒脑，不像蒋氏父子演讲那样“慢动作电影”；坏处是常常使听众跟不上，不但跟不上我快速跳跃的思路，甚至来不及鼓掌叫好。老友潘毓刚教授从美国打电话来，说看了我的演讲录影带，发现鼓掌为什么那么少？我说：第一，我使听众快速跟着我跑，不给他们间歇的机会，他们来不及鼓掌了；第二，我的听众一半是仇人，他们不丢番茄就不容易啦，你还要他们鼓掌？潘毓刚听了，为之失笑。林治平先生的弟弟说看我的文章不如听我的演讲，我认为他是真能发现我有这方面天才的人。在演讲上，我的博学与机智会有“明白而立即”的表现，那种气氛与效果，在我文章中是看不出来的。
LAFCR-090	014.林治平先生来信书后.txt	11-11	明白而立即	格言	题辞	political-context	四十年来，由于国民党封锁我演讲的机会和教书的机会，使我在“逞口舌之利”上，大受限制，所以我的演讲，根本没有练习、没有经验。一旦演讲，我只能搬出和扩大我日常的谈吐——王导式的令“群胡同笑、四座并欢”的谈吐，应场而已。我的音调太高、说话太快，好处在提神醒脑，不像蒋氏父子演讲那样“慢动作电影”；坏处是常常使听众跟不上，不但跟不上我快速跳跃的思路，甚至来不及鼓掌叫好。老友潘毓刚教授从美国打电话来，说看了我的演讲录影带，发现鼓掌为什么那么少？我说：第一，我使听众快速跟着我跑，不给他们间歇的机会，他们来不及鼓掌了；第二，我的听众一半是仇人，他们不丢番茄就不容易啦，你还要他们鼓掌？潘毓刚听了，为之失笑。林治平先生的弟弟说看我的文章不如听我的演讲，我认为他是真能发现我有这方面天才的人。在演讲上，我的博学与机智会有“明白而立即”的表现，那种气氛与效果，在我文章中是看不出来的。
