action	target	source_file	line_range	quote_or_candidate	reason
keep	LAZJ-019	080.五十年前的批语.txt	5-5	核阅所呈，一则曰畏难，再则曰要钱，远之不如岳武穆，近之不如拿破仑，所请不准。	旧式批牍以岳武穆与拿破仑典故批驳畏难要钱。
keep	LAZJ-020	080.五十年前的批语.txt	5-5	文官不爱钱	以文官不贪钱作为清廉要求。
keep	LAZJ-021	080.五十年前的批语.txt	5-5	吾之字典中无难字	以字典中无难字说明不畏困难。
keep	LAZJ-022	094.“泪阑干”与“倚阑干”.txt	3-3	解释春风无限恨，沉香亭北倚阑干	以倚阑干说明倚栏寄怀之义。
keep	LAZJ-023	094.“泪阑干”与“倚阑干”.txt	3-3	岂知重得兮入长安，叹息欲绝兮泪阑干	以泪阑干解释泪流纵横之义。
keep	LAZJ-024	099.只要前三名还算客气的呢！.txt	3-3	天下才一石，曹子建独占八斗，我独得一斗，天下共分一斗。	以才一石分配形容曹植与谢灵运自负文才。
keep	LAZJ-025	101.“知彼知己，量敌为计”.txt	3-3	知彼知己，量敌为计	以知己知彼并衡量敌势概括用兵判断。
keep	LAZJ-026	101.“知彼知己，量敌为计”.txt	5-5	观古人者，当求其意，不徒视其迹。	提醒读古人行事应求其用意而非徒袭表面。
keep	LAZJ-027	102.抢夷齐与抢荷马.txt	3-3	后世好奇之士，争欲私之	形容后世争相附会名胜归属。
keep	LAZJ-028	102.抢夷齐与抢荷马.txt	3-3	Seven cities warr'd for Homer, being dead，／Who， living， had no roof to shroud his head．	以七城争荷马反衬其生前无屋可居。
keep	LAZJ-029	102.抢夷齐与抢荷马.txt	3-3	Seven wealthy towns contend for Homer dead, /Through which the living Homer begg'd his bread.	以富城争死后荷马反衬其生前乞食。
keep	LAZJ-030	104.法律延宕也别有好处.txt	3-3	Sow the wind and reap the whirlwind．	以播风收暴说明恶果会加倍反噬。
keep	LAZJ-031	106.望风.txt	3-3	北乡自刭，以送公子	侯赢以北向自刎送信陵君，表现报知己之义。
keep	LAZJ-032	107.一榻内外.txt	3-3	吾睡不着，一榻之外，皆他人家也。	以一榻之外皆他人家写未能安寝之感。
exclude	modern_political_context	001.“只有一师吗？”.txt	3	只有一师吗？	现代政治压迫语境中的自述回应。
exclude	modern_public_person_joke	011.伟人是很容易被脱手的.txt	5	丘吉尔计程车笑话	现代政治人物轶语，暂不收。
exclude	private_humor	012.“聚敛之臣”的德政.txt	3	今天是妇女节，你今天不要洗碗了，留着明天一起洗吧。	普通笑话，非诗文格言主线。
exclude	self_adaptation	023.“与子偕小”与“与子偕亡”.txt	3	与子偕小 / 与子偕亡	李敖即兴改写，且依附政治处境。
exclude	modern_political_line	032.谁追国民党？.txt	3	我军一撤千里，匪军追赶不及。	现代军政口号式讽刺语，排除。
exclude	classic_in_modern_political_article	037.批蒋通电出土.txt	5-7	1929年批蒋通电与秘录评语	整段为现代政治文献。
exclude	modern_public_person_quote	051.在天使一边.txt	3	The question is this: Is man an ape or an angel? ...	迪斯累里演说名言，按现代公共人物语录排除。
exclude	modern_political_praise	056.黄石城的马屁经.txt	5	一言以为天下法，一行以为天下则。	此处用于现代政治人物颂词，暂不收。
exclude	political_slogan	057.匡复起点搬家了，重建基地动摇了.txt	3	匡复中华的起点，重建民国的基地。	现代政治纪念碑题字，排除。
exclude	modern_legal_political_quote	067.戒严四十年？.txt	3	戒严令不是实行多久的问题，而是该不该实行的问题……	现代戒严与立法院答复语境，排除。
exclude	classic_fragment_in_public_event	068.收音机何辜？电视机何辜？.txt	3	自天子以至庶人 / 不迁怒	古典碎片嵌在现代公共人物轶事中，暂不收。
exclude	modern_revolutionary_history_quote	070.黄炎培记蒋介石暗杀事.txt	5-7	辛亥革命与黄炎培感慨	近现代革命与暗杀史料语境，排除。
exclude	diplomatic_political_quote	076.国民党的外交.txt	3	外交是用最好的方法，做出并说出最脏的事。	外交定义本身属政治语录，排除。
exclude	classic_in_modern_party_context	097.民进党绝非佳兆也.txt	3	不预义谋，又无功于天下	古史句被直接用于现代党派评论，暂不收。
exclude	self_praise	099.只要前三名还算客气的呢！.txt	3	五十年来和五百年内，中国人写白话文的前三名是李敖……	李敖自我题辞，不作外部引用。
exclude	modern_public_person_quote	109.旅美六人电话.txt	3	我不要死，我要睁着眼睛看他们如何收场。	现代公共人物与时局语境，排除。
exclude	legal_dialogue	119.小偷的逻辑.txt	3	原告方面太不体谅人了……	诉讼对白和讽刺材料，不作诗文格言收录。
