file	line	terms	context
004.具体骗人与抽象骗人.txt	7	朝三暮四或暮三朝四，实质未变 | 朝三暮四 | 万岁	具体骗人得手后，骗子就会花样翻新，会从具体中寻抽象，《庄子》中记狙公向猴子说：我早上喂你们三颗栗子、晚上四颗，猴子们大怒，要革命；狙公说：那么早上四颗、晚上三颗吧，猴子们就大喜，喊万岁了。朝三暮四或暮三朝四，实质未变，但是戏法不同，这些原因无他，具体抽象化故也。
004.具体骗人与抽象骗人.txt	11	五花八门	原始的统治者，统治的方式是爱斯基摩雪橇犬（包括the Eskimo, the Alaskan malamute, the Siberian husky）式的，这种狐群狗党极有制度，老大吃住老二，老二吃住老三。老大统治的方法纯靠我咬你，咬得你服而后已。咬呀咬的，直咬到有朝一日咬不动了，被新生代咬下台为止。原始的统治者，一开始比狗好一点，是动手不动口的，动手就是比谁拳头大，但是比拳头毕竟太累了，总得弄出点抽象的“粉拳”出来，才轻松愉快，于是，就逐渐出现了所谓“政治符号”（political symbol）。“政治符号”可就五花八门了：从服色、符节、玺印、卤簿，到党旗、党徽、勋章、奖状，无一不是权力的象征。这些象征虽然都有：“抽离性”，但
004.具体骗人与抽象骗人.txt	13	肝脑涂地 | 浑然忘我 | 五体投地	真正的本领是：现代统治者已愈来愈会用纯抽象的字眼，来施展他们的统治，他们会用“抽象名词”（abstract noun）、用“集合名词”（collective noun），或用“专有名词”（proper noun）等等，一下子就把人民罩住。比如说，“政府”一个名词吧，只要把“政府”抬出来，人民就会丝毫不以为异的双膝发软、就会全然不在话下的两手伸出、就会众口一声的歌颂“大有为”、就会浑然忘我的感谢它的“德政”。心理学家巴普洛夫（Ivan Pavlov）可以一按灯光就使狗流口水，造成“条件反射”（conditioned response）；政治上的巴普洛夫却可以一抬出“政府”就使人民出媚态、马屁之声不绝。——统治人统治到这一地步，对“政府
004.具体骗人与抽象骗人.txt	15	追根究底	其实，只要想一想，“政府”是什么?“政府”只有在变成抽象化以后，才有花招，若追根究底，一要求落实，所谓“政府”也者，原来只不过是“一小撮人”的代号而已。“政府”两个字，是虚的、是空洞的；“一小撮人”、一小撮永不下台的当权派，才是真的、是实在的。所以，愚昧的小百姓以为他们拥护“政府”、热爱“政府”，常常不小心就拥护到“一小撮人”、热爱到一小撮永不下台的当权派而已！
005.政治动物学.txt	7	不容兽群，斥逐哺乳类之族 | 不容毛群，斥逐羽族 | 依违其间	在国民党的一党独大下，首先出来一种人，就是蝙蝠。蝙蝠是唯一能飞的哺乳动物，它在动物学上属于“哺乳纲”的翼手类，但它能飞的特性又酷似“鸟纲”中的飞禽，这种“两头都像”的模样，使它进了西方的寓言。《伊索寓言》里有一则《蝙蝠和黄鼠狼》，记一只蝙蝠掉到地上，被黄鼠狼逮到，蝙蝠大叫饶命，黄鼠狼说本狐仙可饶你，但是本狐仙恨鸟，你是鸟，故不饶。蝙蝠力辩自己不是鸟，而是老鼠，最后被放掉了；不久它又掉到地上，被另一只恨老鼠的黄鼠狼逮到，历史又重演，不过它这次力辩自己是鸟，不是老鼠，最后又被放掉了。另一则寓言是《鸟兽和蝙蝠》，记鸟兽双方大战，互有胜负，蝙蝠依违其间，老是投靠在胜利者的一方，向鸟说它是鸟，向兽说它是兽，最后鸟兽双方议和，真相穿帮了，不但“
005.政治动物学.txt	9	立竿见影 | 应运而生	在国民党的一党独大下，一种政治蝙蝠就应运而生。什么是政治蝙蝠呢？我认为，任何人，只要在这岛上被国民党和党外两边都肯定的，就必然是政治蝙蝠无疑！这是一个最立竿见影的检定标准。陶百川、徐复观之流，这样一检定，显然都一连多年这样在党内党外线上通吃着，这不是政治蝙蝠又是什么？
005.政治动物学.txt	13	青出于蓝	在这种外省人的示范下，土头土脑的台湾人也就自然跟进了。于是，从吴三连身上、从高玉树身上，我们一一看到了五“蝠”临门，——台湾人也青出于蓝了。
005.政治动物学.txt	15	后来居上 | 青出于蓝	青出于蓝还不够呢！青出于蓝就必然胜于蓝。于是，台湾人后来居上，不做蝙蝠了，干脆做变色龙（chameleon）了。
005.政治动物学.txt	21	摇身一变	变色龙的体形一般虽不过二十公分大，但却是个大头仔，丑得令人讨厌。政治上的大头仔，发现做政治变色龙的好处，其实比做政治蝙蝠大得多，于是，说时迟，那时快，政客们摇身一变，苏南成出场了。
005.政治动物学.txt	23	以逸待劳	为什么政治蝙蝠不如政治变色龙好处多呢？因为蝙蝠两头飞来飞去，飞得再辛苦，也是变身段，不能变颜色；变色龙却技高一筹，可以以逸待劳，随时“以色待人”，从共识而同志，这样在颜色上认同，而不在身段上认同，乃是政治技术上的一种升级，当然也是道德无耻上的一种升级。但是，对政客说来，要的只是升级而已，谁管其他呢？”
005.政治动物学.txt	25	见者主有喜庆 | 啮人不可疗	对变色龙，远在四百年前，东西著作家就同时表达了意见，东方的像李时珍（见本草纲目），西方的像乔治·派替（George Petite）（见Petite Pallace: Tereus and Progne），都是显例。对这种动物的评价，也颇为好玩。李时珍一方面引证《岭南异物志》说见到变色龙的人，“见者主有喜庆”（看到它是吉利的事）；但也提出警告，说它“啮人不可疗”（被它咬到，休想治好）。如今国民党饥不择食，弄出蝙蝠之不足，又祭起变色龙来。只知道大喜大庆，不知道“啮人不可疗”，政治上和道德上的江河日下，显然又翻开新页，真是呜呼哀哉了！
006.政治数学.txt	5	孤陋寡闻	古希腊哲人对皇帝说几何学没有捷径，但是国民党的圣上却不信邪。国民党相信数学对政权是有益的，数学是一种宣传上的捷径。随手举个例，数学上的百分之百，在国民党的宣传上，就可以变为二十四之二十四。例如《总统蒋公思想言论总集》中就有这样的话：“今天是民国二十四年元旦，从今天开始，我们大家必须以二十四分的努力以求二十四分的成功，而满足国家和民众二十四分的期望！”这种捷径，就是国民党数学的法力！印度的甘地演讲时，常提到他要活到一百二十五岁。他说：“吠陀经里告诉我们，人只要能采取超然态度服务，便可活到一百岁。有人注解这一百岁实际是指一百二十五岁。即使在今天，马达拉斯人说一百，意思是指一百一十六。九十九加一，在印度并不一定等于一百。”我想，甘地在演讲
006.政治数学.txt	9	天方夜谭	当然，随着宣传经验的老到，在《总统蒋公思想言论总集》中，我们也看到国民党数学的细腻化，例如在五十二年2月25日的一篇《党员总登记的意义和党革新的要务》中，我们可以看到这样的一段：“现在总计起来，中央从政党员登记率，到了99.9%，只有0.1%没有登记。一般党员登记率，也到了99.36%，只有0.64%没有登记。这一统计数字，就显示了同志对党一贯的忠诚，也证明了我们党是打不破、冲不散的铁的革命队伍。虽然这一次有极少数党员没有参加登记，但亦正由于他们的退出，乃从而有力的说明了我们的党员总登记，绝未带有丝毫勉强的意思。”由此可见，国民党数学也有它精密的趣味，99.9%也、99.36%也，这样的天方夜谭摊出来，还由得你不相信吗？
006.政治数学.txt	11	荒腔走板	国民党数学在上者既然如此，在下者自然跟进，搬弄国民党数学以为宣传，令人发笑。例如在七十三年中央政府预算案司法院部分审查时，司法院秘书长范魁书对立委说，他愿以人格保证，保证司法判决“有百分之九十九正确”！比起他的总裁来，我们不得不说范秘书长很谦虚；不过碰到大老粗曹极出来，数学便改色了。林宅血案发生后，刑事警察局长曹极说，他有“万分之九千九百九十九”的破案信心，不过，在省议员问他剩下的“万分之一”是什么的时候，他就瞠目不知所答了。可见此公的火候未免荒腔走板，国民党数学到他手里，可真穿帮大吉矣！
007.政治撒尿学.txt	3	才作仙家守厕人	撒尿本是正常的生理现象，但因身份与程度的不同，撒尿与否，竟成为疑问与话题。幼稚园一位女老师告诉小朋友她要上厕所，一个小朋友天真地问：“老师也要撒尿吗？”原来在小朋友眼中，老师是女超人，是不会嘘嘘的。同样的思路其实也不止小朋友，西方中世纪的神职人员，就曾为天堂中有否水肥问题，大加辩论。照马丁·路德（Martin Luther）的断言，上帝是不撒尿的。这种说法，就没有中国文化科学。宋郊《元宪集》有《默记淮南王事》的诗，中有“可怜南面称孤贵，才作仙家守厕人”的话，既然要替仙家打扫厕所，可见神仙是要撒尿的。
007.政治撒尿学.txt	9	五花八门	这种撒尿来搞政治的玄机，可谓史不绝书。《韩非子》记“刑余之人”制造假小便以杀齐中夫夷射；《后汉书》记大司徒戴涉被诛后，张湛不想继任，故意在朝堂上撒尿以证明自己小便失禁、病重不堪大任，都是用撒尿来嫁祸或避祸的政治把戏。这些“政治撒尿学”的门道，可真五花八门呢！
008.令人讨厌的“政治挂帅”.txt	3	毫不相干 | 泰山压顶	共产主义在理想上，是“各尽所能、各取所需”，这种理想本是很洒脱的。可是在实行上，共产主义却一点也不洒脱，变得霸王上弓于先、泰山压顶于后。英国哲学家罗素（Bertrand Russell）说共产主义实行起来的缺点是，它要你做任何事都得跟它的政治目的配合。换句话说，你不可以单独做一件跟它毫不相干的事，你举手投足，都要事事为党服务、为主义服务，这种令人时刻不得安宁的干法，可就未免太烦人了。
008.令人讨厌的“政治挂帅”.txt	9	十年前，	其实，国民党学人这种头脑，一点也不稀奇。早在他们二十年前，国民党“大茶壶”就先其着鞭了。在国民党营妓——“军中乐园”中，就有标语告诉阿兵哥，嫖妓女的时候，要“娱乐时不忘反共抗俄”！要“怜惜枕边红粉，记取故国佳人”！要“娱乐春花秋月，莫忘国耻家仇”！要“假日高歌须纵乐，胜利结伴好还乡”！……由此可见，表面上是肏女人，实际上却是“政治挂帅”。
008.令人讨厌的“政治挂帅”.txt	15	不务正业	日本人统治台湾，所有当官的，都以日本人为主。在五十年间，台湾人只有一名简任官。荐任以上，几乎清一色是日本人；委任以下，才分出一些给台湾人。根据昭和十九年台湾总督府的调查资料，就人口比例来看，台湾人任荐任官者，每二五六、五三九人中才有一人，占二十万分之一；任委任官者，每九三七人中才有一人，占千分之一。由此可见，在日本人统治下，这个岛上的人，官瘾实在不能满足。如今在国民党的名器假人的乱局下，以“政治挂帅”为小岛倡，难怪不论朝野，都丑态百出，只知政治，不知其他了。李远哲以台湾现状、大家过于重视政治为虑，是很正确的学者之见。可是连台湾的学者们都一一为政治服务矣，连学者们都不务正业好出锋头如此，台湾还不完蛋吗？
009.三个臭皮党，诸葛怎样想.txt	5	去此一步，即无死所	自1949年我十四岁来台湾起，直到今天，我从没离开过台湾一步，但我却以自己坐牢的代价，帮助别人偷渡离开台湾。那个人，就是彭明敏。彭明敏与我患难之交，返台后请我吃饭，对我说：“我二十二年没回来了！”我答道：“这有什么希奇，我四十四年还没走呢！”——四十四年还没走，先是拜国民党政府不让我出境之赐；后是怪我爱台湾爱得着了魔、大有“去此一步，即无死所”之故。这样跟台湾纠缠几十年，难怪“外来政权”要以台独罪名刑求我、陷我于狱，乃至查禁我九十六种著作。因为在“外来政权”眼中，你李敖是大陆人，居然多年义助台湾人，并且居心叵测，一路跟政府捣蛋，把你以台独罪名一关多年，还冤枉吗？
009.三个臭皮党，诸葛怎样想.txt	7	八面威风 | 四面树敌 | 望其项背	多年来，我在台湾四面树敌、八面威风、只认真理、不认六亲，固然罪该万死，但也有功足录。那个功，就是我最了解台湾，并且讲了真话。正如民进党文宣部主任陈芳明所赞美的：“没有李敖，台湾的言论版图绝对没有今天这样的辽阔纵深。”“对台湾现实政治的了解，在岛上似乎也没有多少人能望其项背。”这就是说，李敖老是以背影示人，——因为他早就走在别人前面。
009.三个臭皮党，诸葛怎样想.txt	11	口口声声 | 一厢情愿 | 自欺欺人	党外杂志围攻国民党功成，民进党因而诞生。我就在写《国民党研究》、《国民党研究续集》二书之后，写了一本《民进党研究》，先知式的警告人们：国民党固然腐化，跟国民党学的民进党也必然腐化，并且因为几十年来受国民党教育与宣传的污染，可悲的连腐化都不自知了、受了不肖外省人之害都不自知了。例如国民党政权的法宝之一是，它专门训练人民做幼稚而天真的“一厢情愿”的思考模式，其中“反攻大陆”就是最典型的。“反攻大陆”根本没有可行性，叫嚣“反攻大陆”只是自欺欺人。我在领导党外杂志时代，曾以“意淫大陆，手淫台湾”八字名言拆穿国民党，“意淫大陆”就是“一厢情愿”的思考模式。但是，国民党反攻梦碎之后，照样模式不改，汤药都不换，变成“三民主义统一中国”了，其与“意
009.三个臭皮党，诸葛怎样想.txt	17	一针见血	第一、我们该清楚想通：除非你不屑于去投票，要去投票，必然就得挑一个选。英国文学家莎士比亚说，一篮烂苹果，没有什么好挑的。这话用来描写选举，颇有它的一针见血之处。我们挑候选人，重点不该放在他们个人的承诺、政见、施政计画、乃至什么交通、环保、垃圾等等问题上，因为这些可能都是空头支票，当选后兑不了现。尤清过去到我家来拜访我，我看他是满好的人，不是烂苹果。但他当选台北县长后，所开支票许多都不能兑现，政绩平庸，可见他根本没有把台北县包医百病的能耐，竞选时的漂亮话只是漂亮话而已。台北市也一样，以台北市交通为例，不但黄大洲搞不好，我看神仙也搞不好，陈水扁、赵少康又能好到哪里去。竞选时大家都可开支票比赛，当选后，其实都是尤清第二。
009.三个臭皮党，诸葛怎样想.txt	19	立竿见影 | 牛鬼蛇神 | 鱼烂河决	第二、我们该清楚想通：台湾今天的乱局，省政、市政等问题其实都是枝节问题、不是顶重要的，要先解决根本问题，根本问题先解决了才能解决枝节问题。根本问题只有一个，就是如何把目前的假民主改成真民主。由于目前乱局已到了鱼烂河决的地步，我认为立竿见影的速成方法，只有一个，就是快走“多党制”的路。——在龟儿子和王八蛋之外，大家推出兔儿子、兔崽子来，制造他们党与党之间的矛盾，取得互相制衡，这样不利于他们，却有利于我们广大人民。推出兔儿子、兔崽子的党，就是支持第三党、乃至第四党、第五党。……只要不是“泡沫政党”，都可以一个个投他们的票。我相信只有“多党制”，才能在腐化的一大党两大党中，注入防腐剂。“多党制”虽然有它的流弊，但对我们还早得很哩，不必先操
009.三个臭皮党，诸葛怎样想.txt	21	高高在上 | 深恶痛绝	顺便声明的是：我李敖一生独来独往，从不加入任何政党。我对国民党深恶痛绝，并以一生没做过这个党的党员为荣（不像陈水扁、赵少康他们都是喝国民党奶水长大的）；对民进党，虽然我是它前身的“革命先烈”、是它前身的大宗师、大法师、反对理论建筑师，乃至精神领袖，并且高高在上，接受自许信良、江鹏坚、张俊宏、谢长廷、颜锦福、叶菊兰、许国泰、周伯伦乃至陈水扁等等等等的登门拜访而绝不回拜，与民进党硕彦关系匪浅，但是自从该党以国民党为师、不幸走火入魔以后，我就“大义灭党”了。至于新党，其中除了我的被告郁慕明、朱高正外，我全不认识，并且，由于他们的主事者多出身国民党大员高干，我且以敌人视之，（像许历农做总政治部主任时代，即继王昇之后，整天打击李敖之流，此非敌
011.尊夷王，攘自己.txt	3	春秋大义	中国人讲春秋大义，大义之一是“尊王攘夷”，在《论语》的集注中，对“尊王攘夷”的解释是“尊周室攘夷狄”，随着疆域与朝代的演变，所尊所攘的内容，荣有不同，但是所尊之王、所攘之夷，再荒唐也不会本末倒置，尊到外国人脚下，攘到本国人头上。可是，在国民党统治下，什么邪门儿的事都会发生，国民党对日本“天皇”的一尊到底，便是一个显例。我们看不起国民党，原因繁多，其中之一，便是在此。
011.尊夷王，攘自己.txt	9	大惊小怪	这篇《闲话皇帝》的文章，只是就事论事，任何人看了，都不会大惊小怪，可是小心眼的日本鬼子却看不过去。首先，他们在天津开刀，强迫国民党天津市长商震处罚转载此文的天津《大报》，商震乃接受了日本鬼子三条件：一、《大报》永久停刊。二、《大报》社长与编辑处罚。三、中国保证将来不再发生此类事件。不料天津一波方平，上海一波又起。日本鬼子驻上海领事又向上海市政府提出同样条件，国民党上海市长吴铁成正生病，于是由秘书长俞鸿钧照办如仪。
011.尊夷王，攘自己.txt	11	快刀斩乱麻	在处罚《新生周刊》方面，由于社长杜重远不肯交出作者“易水”是谁，在7月9日被当庭收押，旋即判处徒刑一年两个月。杜重远在法庭上，满腔怒火，高喊：“我不相信这还是中国的法律！”因此他不承认这一判决。旁听的人也即时全部站起来，高喊“打倒帝国主义！”“反对投降主义！”“反对不当裁判！”可是，国民党哪管这些，他们把杜重远关进上海漕河泾监狱，把这轰动中日的大案子，快刀斩乱麻的予以解决。
012.迷信反共与反共迷信.txt	3	口口声声	国民党口口声声反共反共，以反共为宣传、以反共为口号、以反共为国策、以反共为家规，国民党文人胡秋原甚至说：“今后除反共外，无他事矣，有生之日即反攻之年矣！”可见国民党反共意志之强、决心之烈，真是古今罕有。不过，只要我们“观其言而察其行”一下，发现问题却也不少。最近的一场是胡秋原亲去大陆晋京了，他四十年前所谓的“今后除反共外，无他事矣，有生之日即反攻之年矣”，原来还有如此这般的续集演出，国民党再口口声声反共反共，我们还敢信吗？
012.迷信反共与反共迷信.txt	5	大相径庭 | 口口声声	国民党文人胡秋原如此，国民党主人其实也着先鞭。孙中山《三民主义》中明说“民生主义就是共产主义”。明说“我们不能说共产主义与民生主义不同”。明说“我们对于共产主义，不但不能说是和民生主义相冲突，并且是一个好朋友。主张民生主义的人，应该要细心去研究的。共产主义既是民生主义的好朋友，为什么国民党员要去反对共产党呢？”明说“国民党员既是赞成了三民主义，便不应该反对共产主义。”……而蒋介石在《陆军军官学校第三期同学录序》中，也明说共产党是总理“一线相传”在“国民党内”的“命脉”与“血统”。我蒋介石愿为“国民革命”、“三民主义”、“共产主义”而死。明说“三民主义之成功与共产主义之发展，实相为用而不相悖。”明说信仰三民主义者对共产主义，“应以诚意
012.迷信反共与反共迷信.txt	7	牛鬼蛇神	在“迷信反共”的教化下，国民党的反共，自然也就无所谓格调可言，一切“捡到篮子里就是菜”，认为只要有利于反共，任何牛鬼蛇神的“武器”，都可援而用之。于是，有反共哲学、反共理论、反共教育、反共戏剧，……凡是沾得上一点边儿的，都可汇而出之，其中有一项，是国民党没有成词却确有其事的，就是“反共迷信”。
012.迷信反共与反共迷信.txt	9	不成体统	“反共迷信”是用推背图与烧饼歌式的迷信方法来反共，反共反倒以迷信出之，则不成体统，自不待言。但是国民党在党中央的指挥下、在国民党文工会的作业下，由无知无耻之徒曹胜芬带队，倡导反共迷信，却公然行之。曹胜芬是一九六一年六月十一日接任中央日报发行人的，接任后两个月，就在八月十三日的中央日报上刊出《星期专论》，由国民党教授黄大受署名，以《为何共匪必崩溃于民国五十三年》为题，大肆宣扬共匪将于三年后崩溃。
014.郝大将睡前自祷词.txt	3	非战之罪	本人姓郝名柏村，外号郝大将。台湾外号大将者有二，一为王大将王昇、一为本人。王昇一天仗都没打过，居然以大将称，本人深为不服。反观本人，在大陆时即官拜营长，虽然被共匪打败，但是总算在战场上见识过。且战败原因，乃天之亡蒋，非战之罪也！
014.郝大将睡前自祷词.txt	5	百尺竿头	台湾虽好，然非久居之地；虽非久居之地，然一住四十年，已被“台胞”目之矣！老骥伏枥，殊感自惭，百无聊赖，只好赖在参谋总长、国防部长位子上，聊窃尊号，以为自娱。不料富贵逼人，李登辉那小子又以行政院长相提名，百尺竿头，更上一步，竟干起宰相来。国运日蹙，官运日升，想来亦殊好笑！
014.郝大将睡前自祷词.txt	7	昭然若揭	更好笑的，是出师不利，说我军人干政。真奇怪、真奇怪！蒋公一代军人、干政一干四十七年，从来没听说这些人放过一个屁、游过一次行；也从来未见蒋公去过什么立法院。而我今天，屈己以事人，一年都没干完，居然还被戴上军人干政的大帽子，这公平吗？这公平吗？我是否干政，尚未可证明；但他们的懦夫行径，却昭然若揭了。——他们若非懦夫，为何当年不敢骂蒋公？由此可见，这些人是懦夫而已。
014.郝大将睡前自祷词.txt	11	摇身一变	事实真相是，今天大有为政府有点改变，还是我郝大将之功。正因为有我郝坐镇，政府有了信心，才敢放得掉一点恶法、才敢给得出一点自由、才敢让大小懦夫们做作“反对政治迫害”的政治秀！其实，他们都是假货，他们谁也没被“迫害”过。“迫害”是对英雄说的；对懦夫而言，根本不会有被“迫害”的感觉。并且，学生们小得根本不知“白色恐怖”为何物；而教授者，今天带头闹事的，哪个不是靠我们白色国民党才变成白色学阀的？他们靠国民党一党专政控制学术才有今日，他们本身就是国民党多年不义的共犯，如今摇身一变，自己清高起来了，哇，真恶心人呀！他们的懦种行为，处处皆是，他们巡视学生绝食，他们自己为什么不去绝？至于学生绝食，也笑死人了。爱尔兰人搞独立，一绝食，一个接一个死，但
015.宣传台独的三个层次.txt	5	明白而立即	这问题其实有三个层次。第一是“言论自由”层次；第二是“明白而立即危险”（Clear and Present Danger）层次；第三是“明白而可能危险”（Clear and Probable Danger）层次。
015.宣传台独的三个层次.txt	9	明白而立即	“明白而立即危险”的原则，其实并不是美国法院的主流意见。从1919年到1937年，在政治性言论上，这个原则被法院采为“法庭意见”（opinion of the Court）的，只有1919年的一个案例而已。虽然如此，这个原则仍是保障言论自由的精神指标。
015.宣传台独的三个层次.txt	11	明白而立即	1937年以后，这个原则渐被采行，并成为审查法律有无违反宪法的一个标准。不过，在1950年以后，美国法院的看法却有修正。最高法院院长文生（Fred M. Vinson）公然指出，把“明白而立即危险”当做一种数学公式来运用，是一种错误。因为美国当时所面对的问题，已与霍姆兹的时代并不相同。
015.宣传台独的三个层次.txt	13	鸡毛蒜皮 | 太阿倒持 | 泰山压顶	文生这种看法的基本背景是，他认为这种三十年前的原则，只能适用到弊害较小的各州的鸡毛蒜皮事上，但在国家大局上，面临根本性的、颠覆性的情况上，自不能以该企图有无成功的可能做为限制的标准。这就无异是说，在共产党这类有规模有计划有步骤的泰山压顶下，以那种维护一般个人的言论自由原则，来一体适用在这种泰山型的集团上，是此路不通的。泰山型的集团说他们只是“言论自由”而不是别的，可是一旦太阿倒持，就来不及了。这一看法，就是美国联邦上诉法院院长韩德（Learned Hand）所提出的“明白而可能危险”原则。在这一原则下，危险只要是明白的，就无须是立即的，只要有集团意在言外、行在法先，就该限制它。
015.宣传台独的三个层次.txt	15	言不由衷	韩德的原则，不但在美国发生作用，在六年后的德国，也发生回响。西德宣告共产党违宪，并判令解散。当共产党以“言论自由”层次来抗争时，法院却认为他们言不由衷。因为他们明明在目标上，是以政治理念为纲领，是对宪法基本原则的扬弃，虽然他们也参加选举。
015.宣传台独的三个层次.txt	17	恍然大悟 | 平心静气	只有平心静气认清宣传台独是哪一种层次，我们才能恍然大悟这个问题该怎么解决。朝野上下的说词与遁词，都是糊涂大对决，是国民党混蛋和民进党混蛋的纠缠不清，像我李敖这样头脑清楚的人是看不起的。
016.青天白日的贬值.txt	11	鱼目混珠	这一“立法原意”，在《陆海空军勋赏条例施行细则》第二章《叙勋标准》中，曾加细部列举，以臻明确。该细则第三条明定如下：“凡具有左列各款战功之一者，得依本条例第四条之规定，颁给青天白日勋章：一、运筹适宜致获全功者。二、战斗间处置妥善，系全军或一部得重要之胜利者。三、冒险前进侦得重要敌情致获全胜者。四、最困苦时毅然奋起战斗挽回颓势者。五、冒险办理战场后方勤务成绩显著者。六、冒险破坏敌人伏置水雷或障碍物以开导战舰之进路者。七、我军舰护送多数船舶骤遇敌优势舰队剧战之后，俾护送船舶得安全航到其目的地者。八、于一次任务中击落敌机四架以上地面击毁敌机六架以上者。九、空中轰炸命中敌之重要根据地、高级司令部、兵工厂、巡洋舰、驱逐舰等，使之全毁或沉没，有
