source_file	line	status	text
023.寡情如此.txt	39	selected	来信使我想到这些大俗蛋们，他们了解的李敖不知是哪一个时代的李敖？大概是几年前的我吧？这真可笑。归来见一友，三四年未见矣，彼历述我当年之种种，许多吾皆忘之，孔丘说：“礼失求诸野”，我套此意曰：“己失求诸故”，此其谓乎，好象夜半的星光一样，我们看到的星光已是多少光年前的投影了，而我们所见的繁星，皆非现在的真面目，乃是历经多少光年才到达我们眼中的“故态”。这真可说是“后之视今，犹今之视昔”了！设想耶稣死后多少年人们才“了解”他，现在我们不为人所知，不足忧也，还是一任这些狗男女们妄相猜度咱们老子们罢。安知我们不是先知呢？当然我们比耶稣伟大得多，耶稣所持者一片谎言与痴人说梦耳，流风所及，千古一大骗局耳，传教者给骗子做骗子，信教者给骗子做奴才，此所谓宗教者也。余意宗教可取者乃在其片段之理论与箴言，总体言之，殊不可耐矣。佛书中之小掌故，Bible中之小隽语，皆颇有佳妙者在，还有宗教徒所办之事业如学校医院等亦功不可没，惟他们每藉施小惠以传教，此甚可耻，萧伯纳曾讥谓一手拿宝剑一手拿可兰经的传教方式是为你们所耻笑的，可是一手拿面包，一手拿Bible又高明多少？其喻甚是。
024.不知情绪为何物.txt	25	pending	我选了二十一学分，系老板几不准，在吾坚持下通过，别人选的很少，如胡蓉裳只选了十二个，系主任把论文给我保留，故只剩十九，我出门对景新汉叫道：“不要说十九，就是三十九老子也照修不误，适系老板走过，对我一笑，我亦报之一笑，老景亦为之解颐。
027.为前信进一解.txt	15	selected	与其坚强与紧张，吃力，何如减少刺激？也减少因“抵制”刺激而花的力气，如后者岂不更善乎？老子言：“不见可欲，其心不乱”，点了火即使能灭（用坚强），何如不点火？善战者不战，最坚强者亦不轻用坚强，不知此论可成立否？
028.“捐书谢俗议”.txt	3	pending	刘敞《今是集〉中有《陈亢龙〉一诗，中有四句是：
038.林语堂演说.txt	1	pending	林语堂演说
038.林语堂演说.txt	5	pending	日前林语堂讲红楼梦，与二爷、袁小姐等同赴法学院聆之，林状殊滑稽，玩世不恭之态，溢于言表，笑嘻嘻地颇为可爱。
040.伪自由主义者林瘟生.txt	3	pending	林瘟生如是无耻无聊，早在吾人意料之中，闻之徒增我之难过外，別无话说，当今之世，欺世盗名之假丈夫多矣，前人诗言：
040.伪自由主义者林瘟生.txt	37	pending	老子看厌矣，
042.成诗数首.txt	9	selected	前度老子今再来，
043.非“痴”.txt	23	pending	诗经上说：
045.非“痴”又一章.txt	19	selected	我现在寄上这封信，我曾仔细考虑过你看了以后的后果，我猜想它可能带给你一点小震荡，甚至是不愉快，可是，我宁愿有这个后果。林语堂在南洋大学时说得好：“与其长期闹头痛，还不如干脆昏倒一次。”假若这次不愉快能带给你一点“清醒”，一点“澈悟”，一点“改头换面”的态度，那就是我最大的希望和你最大的幸福了！
046.蛋炒饭.txt	39	pending	关汉卿《四块玉》
051.跋《给马戈的五十封信》.txt	7	pending	——梁启超诗
