source_file	line	flag	text
006.手下·下手·快.txt	15	risk	　　为什么可见一斑呢？因为“手下”们希旨承风成性，想要邀功表功，多在命令没到之时，就先“下手”了，“下手”的方式或出之以“借阅”，这种“借阅”法，明见于查扣收据上，如桃园县有所谓“桃园县违法出版品查扣（借阅）三联单”、台中市有所谓“台中市文化工作执行小组违法出版品查扣（借阅）四联单”、台南县有所谓“台南县违法出版品查扣（借阅）五联单”、台北县有所谓“台北县文化工作执行小组违法出版品、录影带检扣（借阅）六联单”，等等等等，自三联而六联，花样繁多，试问官署衙门，要看书可以去买，何能硬向老百姓“借阅”？且把“借阅”，公然印之于三联至六联单据之上，其“借阅”成性，并悬为定例，荒唐可知矣！“借阅”法以外，又有出之以“打招呼”法者，就是“手下”们自己先以心比心、客串上司，认为某书有异，然后告诉书摊老板说：“这书你得先给我留下一些，不要卖光了，等命令来了，我可有书往上缴。”书摊老板是不能不合作的，所以，往往查禁命令尚未下来，“借阅”与“打招呼”的双杀下，也足可先声夺“书”，达到意想不到的钳制言论的奇效。
006.手下·下手·快.txt	17	risk	　　《水浒传》石秀骂这些“手下”，说他们是“给奴才做奴才的奴才”，如今在国民党统治之下，这种奴中奴可愈来愈多了。顺手写来，聊志凶缘——我们跟国民党竟阴错阳差缠在一个岛上，真他妈的倒霉极矣，何年能快刀断此“戈登结”（the Gordian knot），方是人心大快。快，快，快！
007.党外不可帮国民党擦屁股.txt	7	risk	　　昨天洲后村开简报会，村长陈增先生送来帖子约我，廷昱告诉他说：“你们这次向国民党争取人权与权利，最好党外人士从旁助阵，否则国民党会开来镇暴车，会把你们单纯的行动复杂化，给国民党借口，反而不好。”廷昱昨天午后到我家，告诉我上一谈话内容，我认为廷昱的意思，正是我的意思。
007.党外不可帮国民党擦屁股.txt	9	risk	　　廷昱说你们这次义卖是为了捐助近两次的煤矿灾变，我听了，很想表示一点意见。我反对党外把义卖所得直接捐助了事，这种直接捐助是错误的，因为煤矿灾变是国民党“大有为”的结果，当然要由国民党负责善后，党外不可帮国民党擦屁股，也不可跟着国民党去把“爱心”乱送，这种送法，是“妇人之仁”，不是社会救济的正道。党外应该把义卖所得，用来组织煤矿灾变赔偿委员会，协助受害人家属请律师、办宣传、搞活动，向国民党政府追究责任、讨回血债、要求“国家赔偿”（像样的赔偿，而不是点缀式的赔偿）等等。换句话说，党外应该指导穷苦大众去争人权与权利，并提供争的时候必要的经费，是像吕洞宾一样，一方面以飞星宝剑替天行道，一方面以点化神指自度度人，这样做，才是党外该做的。
007.党外不可帮国民党擦屁股.txt	23	risk	　　这些话都说得不错。党外人士的努力方向之一是：要扣紧国民党的责任所在，不让它“奇门遁甲”，把老K的责任，还给老K，而不是要我们替它分担责任。德国文学家克莱斯特（Henrich von Kleist），在他1808年写的名著《米歇尔·科尔哈斯》（Michael Kohlhaas）里，写科尔哈斯发现法律和政府不能保护正义的时候，就等于“他们把棍子给了我，叫我保护自己”。因此他揭竿而起，使腐败的现状为之动摇。党外人士的责任是教穷苦大众自己保护自己，不是帮国民党作秀或跟着国民党作秀，我给许国泰的信，一再叮咛者在此。（1984年7月24日）
008.“致敬取消了！”.txt	5	risk	　　《万岁评论》第八期在上市十三天后，突被查禁，16号就在市面上有搜书事，17日命令来，文曰：
008.“致敬取消了！”.txt	7	risk	　　由台北市天元图书公司代理发行之《万岁评论丛书》八《白水·白水·白开水》乙书，其中之《乌云接落日》《历史脸谱》两文，蓄意为共匪作有利宣传、曲解史实、诬蔑政府、挑拨政府与人民情感、严重淆乱视听，足以影响民心士气，核已违反《台湾地区戒严时期出版物管制办法》第3条第 3、5、6、7各款之规定，依同法第8条，应扣押其出版物。
008.“致敬取消了！”.txt	9	risk	　　闯祸之两篇文章，皆为阁下所作。查《万岁评论》每期版权页中声明：“文责由各著作人自负；版权为各著作人自有。”此次“为匪宣传”之责，自应由阁下自己去坐牢，我是不坐的——我李敖整天忙着为自己宣传还来不及呢！无暇“为匪宣传”也，“为匪宣传”者，自是阁下这种闲蛋干的好事！总之，我看老K对阁下已愈来愈不顺眼了，因为阁下在老K眼中，涉嫌真左派。至于台湾许多号称左派者，其实连共产党一根毛都弄不清、没摸到，就左公左矣，这些小红番薯，其实是“左倾幼稚病”耳，左道旁门有之，真左则未必，光看他们那样拙于宣传，办杂志卖不掉、把生硬的文章给人牛肉灌水，就可铁口直断这些人绝非左派。至于他们在王拓坐牢后，瓜分了王拓办《春风》出版登记的三十万元，使王拓欠债至今，这种趁火打劫式的“同志爱”，更非得左派真传者。至于陈鼓应弟子某女士在美丽岛事件中大肆出卖同志的《夏潮》行径，更是令人不可思议。……总之台湾的所谓“新左派”，其实每人脑袋里都捧了一盆糨糊，真是滑稽。最滑稽的，却是勾结前共产党（如任卓宣之流）和前共青团员（如胡秋原之流），在杂志上和这些人相与俯仰，真是荒唐极了。他们从没看过真共产党，只好把这种货色来做意淫之资了！
008.“致敬取消了！”.txt	11	risk	　　我在“军法处”时候，“成大共产党”那些小鬼们到处想找共产党前辈来师法，我说别天真了吧，牢里哪里还有什么真共产党！国民党整天抓到的，其实都是假共产党！他们不信，硬说李荆荪是，一房一房传话过去，向李荆荪致敬。后来发现李荆荪果然是假的，于是大呼负负，又一房一房传话过去：“致敬取消了！”弄得傻头傻脑的李荆荪糊里糊涂，搞不清忽来致敬忽又取消是怎么回事。（现在只剩柏杨在《柏杨版资治通鉴》中捧李荆荪了，柏杨说他对李荆荪“由衷起敬”，多好玩，只有赝品才永远捧假货！）
008.“致敬取消了！”.txt	13	risk	　　昨天早上为告萧孟能、王剑芬，坐车去地检处。计程车司机李先生是河南偃城人，他是二十年前十七师的师部少校退伍的。他说1943年河南大饥荒时候，他们给饿惨了。他后来在“徐蚌会战”（淮海战役，编者注）时又挨饿，国共部队你包围我，我反包围你，大家互相围上加围，大家都饿昏了，找来一双皮鞋，煮软皮，大家抢着吃——国民党一贯作孽，吾又得一证矣！
009.从告自己人的密到缴自己人的枪.txt	11	risk	　　金门汤总司令恩伯兄①：密。马午抵高雄，希孔暂留②。雷养晨到台北，当访辞修蔚文③，面交兄函，本拟报告厦门失守及现在情形④，辞修忙甚未多谈。晚谒总裁⑤，除呈兄函外，并详陈厦门失守经过及海军作战情形。金门今后与防务上有关之交通（须用登陆艇）、淡水、菜蔬、报纸等，最后请其指示。总裁对金门主坚守到底，嘱告兄金门不可再失，必须与之共存亡，尤不能住在船上指挥。虽经弟重复以人格保证：在厦门弃守以前，未住船上。总裁大怒，谓根本不应上船，并谓：“这是刘汝明说的⑥。”弟即谓兄系与刘同上船至金门觅船撤退。总裁至此更生气说，连刘亦不应许其上船，我们不可老是逃跑，名誉要紧。总裁说毕，即进自己房间，弟只有退出，于是始明了今晨辞蔚冷淡之原因。今晨晤叔常⑦，据谓曹圣芬在厦门时⑧，即云兄住船指挥。渠并云总裁由厦返台后，对厦门防务，非常满意，屡向人夸赞，今忽然弃守，深感失望云。局势如此，弟意兄应昼夜布置大小金门防务，加强官澳守备，务将三十三团加入。盖二〇一师防地大阔，战意不坚。小金门靠厦门之一面，尤须昼夜严防⑨，务使金门坚守，以挽回兄之厄运。如金门作久守计划，则交通、淡水、报纸，及其他文化工作，必须同时推进。又刘部⑩坐轮到高雄时，全部缴械上岸，刘曹郭等(11)均不快，弟与孔调停其事(12)，并电话蔚文，保留二九师番号。刘因不满意高雄处置，曾言彼等在厦，一切受兄指挥，奉命行事，撤退亦然，想刘将来到台北后，尚有一番推却责任之谰言。至二九师保留一事，长官部原如此规定，唯高雄执行人未能恰好也。台北对我等，空气恶劣，希孔留高雄，可谓有先见之明。弟拟日内赴南部一游(13)。雷震。10月23日发。
009.从告自己人的密到缴自己人的枪.txt	17	risk	　　③辞修是陈诚的字，时为成立不久之东南军政长官公署长官兼台湾省政府主席。蔚文是林蔚的字，时为东南军政长官公署首席副长官。孙立人时亦为副长官兼台湾防卫司令官和陆军训练司令官。雷先生告说，长官部时在台北市，台湾防卫司令部和陆军训练司令部都在凤山。
009.从告自己人的密到缴自己人的枪.txt	23	risk	　　⑥雷先生告，刘汝明时为汤的副手兼兵团司令官。那时防守厦门的部队，都属刘兵团的。汤的嫡系部队如陈大庆、石觉等人的部队，早都溃败不成军了。刘部原是冯玉祥的西北军，非中央嫡系部队，再加冯在国外公开号召其旧部反叛中央，故尽管汤刘共事（抗战时期，两人都在第五战区）有时，但此刻仍不能不有戒备防变之心，致厦门弃守前，汤始终拉住刘不放，并命令部分部队眷属，尽快撤往台湾者以此。所以雷先生说，他和刘同船到高雄，但刘抢先一步，先到蒋总裁面前“告了老汤一状”。
009.从告自己人的密到缴自己人的枪.txt	29	risk	　　⑨雷先生告，他和方治到达厦门前线后，分途协助汤去做防守工作。方负责前线党政民运，雷则除办理一切战地政务工作，还督修战防工事，和汤与台湾长官公署及总裁办公室军事组（组长是王东原）的联络工作。所以他常到大小金门巡视战地政务和防务。因此才有电文中那些涉及防务宜如何加强注意的事。又在蒋总裁到厦门前线慰问军民前，陈诚亦先行到厦门前线巡视一次。陈除和汤、雷、方等商谋前线困难之解决外，到各处察看防务工事时，便是由雷陪同巡视的。
009.从告自己人的密到缴自己人的枪.txt	33		　　(11)刘是刘汝明，曹是一位军长，郭也是一位将领，雷先生和我闲话这段往事时，都忘记了曹郭两人的大名。唯雷说他们都是刘的西北军干部。
009.从告自己人的密到缴自己人的枪.txt	35	risk	　　(12)雷和方治曾为调停这事，往访孙立人将军。雷因急须北上，代汤向蒋总裁和陈长官送函件和面报厦门作战情形，故只有方治留在高雄继续调停这事。雷说时不胜感慨道：“前方部队撤退抵台，只有热诚欢迎慰劳才是，怎么可以缴自己友军的械，把友军当成战败的敌军来对待的呢？真是瞎搞一通！”
009.从告自己人的密到缴自己人的枪.txt	37	risk	　　(13)雷说的“拟日内赴南部一游”，也还是想去看刘部被缴械上岸的麻烦事，方治平息了没有。因为雷那时尚是东南军政长官公署的政务委员。等他南游回来见到刘汝明时，刘向他说：“我已向总裁报告，我的兵团部已自行撤销了，多谢儆公关怀好意！”雷听后只有望着刘苦笑了！
009.从告自己人的密到缴自己人的枪.txt	39	risk	　　上录雷震当年给退守金门的汤恩伯一通长电底稿的全文，便是我对兄所询雷震往事问题，答以“确有其事”的根据。我给兄的答复，真可说是做到了胡适所云“有一分证据，说一分话”的地步了。而兄读了我在旁加注小圈的电文，则兄想要了解的问题之答案，当也可从中获得了。至于蒋总裁向雷震怒责“汤恩伯不该住在船上指挥”，这自是因为别有人在蒋面前打了汤的“小报告”之故。这个“小报告”又是什么人打的呢？这通电文中，也有了答案，请兄细读电文吧！又大函中说到“当年刘汝明部队自大陆撤退台湾，在港口上岸前，先被人收缴武器”事，在上面电文中，雷亦提到了。故弟认为雷先生这通拍给汤恩伯的长电底稿，确不失为一件很宝贵的史料文献，我应该将其影本，送一份给历史家老兄看看。此外我还赠兄一件剪报资料，即出版于中华民国三十八年10月9日的一件厦门地方报纸剪报（是我整理雷先生文件时发现的。这是当时厦门的那家国民党报纸，上面只留“厦门大”三字，报衔不全，我问雷先生，他也不知道了）。内容是记“蒋总裁莅厦慰问军民”的事。这纸剪报，可说也是很可贵的材料了，想兄亦必乐愿一看的。最后一言者，若兄要写这方面史迹大论时，我请求老兄能将这通雷震给汤恩伯的长电，和那纸厦门地方报纸剪报，最好都制版附刊出来，而为雷的历史，传留一点真迹于人间。我兄一向敬重雷先生为中国民主自由事业在台湾所作之奋斗与牺牲，想弟区区此意，或会乐蒙我兄接纳的。而去世业已五易寒暑之雷震先生，地下有知，天上有灵，也必会对兄为忠良志士流传其历史之义行，感佩不已了！谨此拜复，并颂
009.从告自己人的密到缴自己人的枪.txt	51	risk	　　承示雷震致汤恩伯长电密件原文，并承说明曹圣芬造谣、打小报告诬蔑同志，乃至刘汝明部队撤退来台时被“全部缴械上岸”等情况，至感。曹圣芬根本十足一党棍，面目可憎，言语无味，并且程度奇差，不知军国大事为何物，只知“内斗内行”、倾轧取媚、陷害同志，国民党由这种人把持，其亡也必矣，不去说它。至于刘汝明撤退来台时，发生“缴自己人的枪”妙事，对了解国民党性格，最有帮助，值得我们特别重视。据刘汝明《一个行伍军人的回忆》，当时国民党兵败山倒，他的部队其实已是没人理的孤儿。他回忆：
