priority	source	score	tag	file	line	text	same_line_export_ids	context
16	review	6	literary-check	026.我的殷海光.txt	231	廖融融言，殷师母告其得上帝启示，殷先生遗稿概不出版。并言其与殷先生结婚以来，每日担惊受怕，不愿殷先生阴影再笼罩她。殷先生死了，她应该要得到解脱。	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
16	review	6	literary-check	034.被歪曲的革命家.txt	157	更有人说，孙文主义与国家主义实在没有什么分别。因为孙文主义与国家主义同是救国主义。不错，孙文主义是救国主义。但孙文主义并不只是救国主义，不过以救国为其实现最初之步骤，孙文主义主张民族自决，更主张联合世界上以平等待我之民族共同奋斗，并且进而扶植其他弱小民族以自求解放。狭义的国家主义者，安能与孙文主义相比？	LACW-162|LACW-163	八、右派发青派（右派法西斯派）——这一派是一群激烈的国家主义者，硬拉死后的孙中山来比附。甘乃光在《孙文主义研究》里曾批评说：“更有人说，孙文主义与国家主义实在没有什么分别。因为孙文主义与国家主义同是救国主义。不错，孙文主义是救国主义。但孙文主义并不只是救国主义，不过以救国为其实现最初之步骤，孙文主义主张民族自决，更主张联合世界上以平等待我之民族共同奋斗，并且...
15	review	7	literary-check	025.一个最起码又最低调的标准.txt	11	在反共的大原则下面，只要有任何一件侵害人身自由和言论自由的事件，当前每一家报纸，都该至少用武侠小说一个插图的位置，或是要人训词一个标题的篇幅，一致把它刊登！		我这句话是：“在反共的大原则下面，只要有任何一件侵害人身自由和言论自由的事件，当前每一家报纸，都该至少用武侠小说一个插图的位置，或是要人训词一个标题的篇幅，一致把它刊登！”
15	review	7	literary-check	034.被歪曲的革命家.txt	21	此种陋俗，系满清强迫造成，须俟全体国民联合一致，一举而革除之。否则实无益也！		孙中山十五岁时候，在夏威夷念书。有人问他为什么不剪掉小辫？孙中山答道：“此种陋俗，系满清强迫造成，须俟全体国民联合一致，一举而革除之。否则实无益也！”在说这话以后三十二年，中华民国成立了。孙中山立刻发出《饬内务部晓示人民一律剪辫令》：“满虏窃国，易于冠裳，强行编发之制，悉从腥膻之俗。当其初，高士仁人，或不屈被执，从容就义，或遁入缁流，以终余年，痛矣先民，惨罹...
15	review	7	literary-check	034.被歪曲的革命家.txt	155	总理从前说过‘生是宇宙的中心，民生是人类历史的中心’。		七、右派唯生派——这是故意窄化的“孙文主义”的一派，可以陈立夫做代表。陈立夫硬说孙中山主张“唯生论”，并说：“总理从前说过‘生是宇宙的中心，民生是人类历史的中心’。”其实，我翻遍了孙中山的遗著，也看不到孙中山说过这些话或做过类似的说法。所以，陈立夫之流全是造谣。此外，戴传贤在陈立夫以前，也曾把“孙文主义”做过“唯民生”方向的狭窄解释，孙镜亚在《对于〈孙文主义...
14	review	4	literary-check	003.发网恢恢·法网恢恢.txt	23	西瓜皮文化	LACW-012	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
14	review	4	literary-check	014.粗谈中国知识分子五病.txt	35	救国救民	LACW-141|LACW-142	上面这一病症，归根结底，乃是中国知识分子疏于自省而来。中国的知识分子最不能察觉自己与时代的关系，因而常常走上知识的歧路，无益世道，也无益实学。历来什么易数、骈文、律诗、八股、心性、理气、朴学、精神价值等等，都可以说是虚耗青春之学——“虚学”。虚学就是真知的反面，也是真知的绊脚石。中国知识分子不但搞虚学，竟还想用虚学来修身、齐家、治国、平天下，其不量力，已是十...
14	review	4	literary-check	015.副不副，副哉？副哉？.txt	15	明艳工诗	LACW-057	更有一种书中人之尤，风靡群众，竟达不可思议的程度。清朝陈子庄写《庸闲斋笔记》，提到大家迷《红楼梦》，杭州一个商人的千金，“明艳工诗”，竟至单相思贾宝玉而不可救药，临死前，她父母认为：都是《红楼梦》闯的祸，一气之下，把《红楼梦》点火烧了。千金小姐躺在床上大叫：“奈何烧煞我宝玉！”登时气绝。这种风靡，也是书中人，不是人本人。
14	review	4	literary-check	015.副不副，副哉？副哉？.txt	65	风靡型的名人	LACW-144	徐志摩办《晨报副刊》，他在接任时的“大政方针”里，公开表示要集合第一流的能文之士，在副刊里导航的。他特别推出的老师——先行代的“风靡型的名人”梁启超、副刊的真正开山老祖梁启超、与人合作办报自己却“言论须完全独立”的梁启超，来加入行列。徐志摩写道：“前辈方面，梁任公先生那杆长江大河的笔是永远流不尽的，我们小报也还得沾他的润泽。”徐志摩这种大手大脚的大搞副刊，《...
14	review	4	literary-check	015.副不副，副哉？副哉？.txt	65	言论须完全独立	LACW-144	徐志摩办《晨报副刊》，他在接任时的“大政方针”里，公开表示要集合第一流的能文之士，在副刊里导航的。他特别推出的老师——先行代的“风靡型的名人”梁启超、副刊的真正开山老祖梁启超、与人合作办报自己却“言论须完全独立”的梁启超，来加入行列。徐志摩写道：“前辈方面，梁任公先生那杆长江大河的笔是永远流不尽的，我们小报也还得沾他的润泽。”徐志摩这种大手大脚的大搞副刊，《...
14	review	4	literary-check	026.我的殷海光.txt	11	大学生同居	LACW-085|LACW-086	我在台大，乍看起来，不是用功的学生，因为很多大学生念的书，我早在小学中学时候就念过了。在知识上，我是早慧的、早熟的。我在高一的时候，就写信跟钱穆讨论他书中的错误，钱穆回信给我，惊讶我的水准。到台大后，我穿着长袍，整天搞“大学生同居”，形式上，我是有点“安事诗书”“束书不观”的。我不上课，不抄笔记，也不买老师的账，尤其是我看不起的老师。在大一的第一篇作文上，国...
14	review	4	literary-check	026.我的殷海光.txt	231	安息在主的怀里	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
14	review	4	literary-check	026.我的殷海光.txt	231	夏君璐化	LACW-154|LACW-155	第二天下午，殷海光死了。殷师母后来在《“这必死的，总要变成不死的！”》中说：“到家不久，李敖及孟祥柯和我一齐去怀恩堂商量一些事情及决定追思礼拜的日子。”她这段话，是长话短说了。因为头一天笔记的事，使我感到一批教棍可能利用殷海光，我该特别防范一下。果然回到殷家，殷师母就坚持以宗教仪式办后事，并说已跟怀恩堂的周联华牧师约好，现在就去。殷师母大概没想到我是个激烈反...
14	review	6	literary-check	026.我的殷海光.txt	269	九月十九日火化，骨灰置怀恩堂（直至一九七八年初才安葬南港自由墓园），9月21日在怀恩堂追思礼拜，由周联华牧师主持，数百人参加。李敖没参加追思礼拜，因他反对在教堂作追思礼拜，怕殷会被教会拿作宣传。		“九月十九日火化，骨灰置怀恩堂（直至一九七八年初才安葬南港自由墓园），9月21日在怀恩堂追思礼拜，由周联华牧师主持，数百人参加。李敖没参加追思礼拜，因他反对在教堂作追思礼拜，怕殷会被教会拿作宣传。”
14	review	4	literary-check	031.孙悟空和我.txt	49	天有不测风云	LACW-109	这篇序文从发表后到现在，已经两年多了。两年之中，我在序里所预言的“天有不测风云”，到底突然发生。序文中引用的《西游记》中故事，本来自第七回“八卦炉中逃大圣，五行山下定心猿”的逃大圣前半回，两年来客观环境的演变，已经很明显的走向定心猿的后半回，我又何必细细描写我所遭遇的现代史呢？还是让我们来读《西游记》罢！《西游记》描写最后如来佛奉命出马，亲捉妖猴，与孙悟空对...
14	review	4	literary-check	031.孙悟空和我.txt	125	东游西荡	LACW-117|LACW-167	俗话说：“上得山多，终遇虎”，寄语我们的“现代齐天大圣”李敖先生，长此“东游西荡”早晚也会被如来佛“翻掌一扑，压在五行山下”的。
14	review	4	literary-check	031.孙悟空和我.txt	125	现代齐天大圣	LACW-117|LACW-167	俗话说：“上得山多，终遇虎”，寄语我们的“现代齐天大圣”李敖先生，长此“东游西荡”早晚也会被如来佛“翻掌一扑，压在五行山下”的。
14	review	6	literary-check	032.长城还在动呵！.txt	3	中共‘新华社’今天报导，中国大陆的科学家正在注意长城位置移动的两个地方，造成位移的原因可能是地质断层带或很久以前的一场大地震所造成的长期缓慢的移动。		一九八一年二月十一日，美联社从中国大陆发出一条消息说：“中共‘新华社’今天报导，中国大陆的科学家正在注意长城位置移动的两个地方，造成位移的原因可能是地质断层带或很久以前的一场大地震所造成的长期缓慢的移动。”
14	review	6	literary-check	033.新物与旧物.txt	131	真义和团之思想耳！		现在在我们的思想界中，扫荡的一个主要对象，是“中国的旧文明”中的“义和团思想”。提到“义和团思想”这个词汇，追溯起来，最早点破并加以谴责的，不是别人，就是西化论者孙中山。孙中山在民国六年，在《再复李村农论借外资书》里，首先发出“真义和团之思想耳！”的感叹，他一生中对愚民式的“排外主义”，一贯的表示是深恶痛绝，这在民国元年的《凡事须论公理不必畏惧》的演说中，可...
14	review	6	literary-check	034.被歪曲的革命家.txt	21	满虏窃国，易于冠裳，强行编发之制，悉从腥膻之俗。当其初，高士仁人，或不屈被执，从容就义，或遁入缁流，以终余年，痛矣先民，惨罹荼毒，读史至此，辄用伤怀。嗣是而后，习焉安之，腾笑五洲，恬不为怪……今者满廷已覆，民国成功，凡我同胞，允宜涤旧染之污，做新国之民……凡未去辫者，于令到之日限二十日一律剪除净尽，有不遵者以违法论！		孙中山十五岁时候，在夏威夷念书。有人问他为什么不剪掉小辫？孙中山答道：“此种陋俗，系满清强迫造成，须俟全体国民联合一致，一举而革除之。否则实无益也！”在说这话以后三十二年，中华民国成立了。孙中山立刻发出《饬内务部晓示人民一律剪辫令》：“满虏窃国，易于冠裳，强行编发之制，悉从腥膻之俗。当其初，高士仁人，或不屈被执，从容就义，或遁入缁流，以终余年，痛矣先民，惨罹...
14	review	4	literary-check	034.被歪曲的革命家.txt	89	野番贱种	LACW-161	正因为孙中山对付异己主张“最好与他辩论明白”，所以他于辩论之道，颇为讲求。辩论中的利器是文字。在文字表达方面，英文实在远胜中文。中文写出来的东西，诚如《孙文学说》所说：“中国之文章，富矣丽矣！”但是由于表达法不够细腻生动，抽象词汇太多，又竞附莫名其妙的高雅，所以常常是在“富矣丽矣”以外，洋洋万言，却不知道说些什么。孙中山的文字技术，是西方的，尤其具有西方词汇...
14	review	4	literary-check	034.被歪曲的革命家.txt	89	最好与他辩论明白	LACW-161	正因为孙中山对付异己主张“最好与他辩论明白”，所以他于辩论之道，颇为讲求。辩论中的利器是文字。在文字表达方面，英文实在远胜中文。中文写出来的东西，诚如《孙文学说》所说：“中国之文章，富矣丽矣！”但是由于表达法不够细腻生动，抽象词汇太多，又竞附莫名其妙的高雅，所以常常是在“富矣丽矣”以外，洋洋万言，却不知道说些什么。孙中山的文字技术，是西方的，尤其具有西方词汇...
14	review	6	literary-check	034.被歪曲的革命家.txt	143	孙中山先生是左派！		一、左派转俄派——他们的代表人多是共产党，他们借着孙中山联俄容共的历史，借着民生主义的演说，硬把孙中山附会成他们的“马克思主义者”，他们绝口不提孙中山批评马克思的话，也绝口不提“孙越宣言”中“共产组织”“不能引用于中国”的话，也绝口不提孙中山论及俄国侵略的话，也绝口不提孙中山赞扬美国的话，他们只是瞪着眼睛硬说：“孙中山先生是左派！”
14	review	6	literary-check	034.被歪曲的革命家.txt	155	因为他是一个相信马克思的唯物史观的人（不是进过了共产党，请阅者万勿误会），又是一个发明中国数千年改朝换代的历史都是经济革命的人。而今不说三民主义的全部著作和三民主义的思想基础是唯物哲学或经济哲学，而说是民生哲学，这是他很忠于先生的表示。可惜他的脑球里还先横着‘民生哲学’四个字，就往往借了先生的话之半面去成就他自己的主张。		七、右派唯生派——这是故意窄化的“孙文主义”的一派，可以陈立夫做代表。陈立夫硬说孙中山主张“唯生论”，并说：“总理从前说过‘生是宇宙的中心，民生是人类历史的中心’。”其实，我翻遍了孙中山的遗著，也看不到孙中山说过这些话或做过类似的说法。所以，陈立夫之流全是造谣。此外，戴传贤在陈立夫以前，也曾把“孙文主义”做过“唯民生”方向的狭窄解释，孙镜亚在《对于〈孙文主义...
13	review	5	literary-check	015.副不副，副哉？副哉？.txt	31	发表政见，商榷国计		我说拍案惊奇，只要一看《新中国未来记》便知。《新中国未来记》以演义体连载，始于清朝光绪二十八年（一九〇二），它预言到理想国号是没有帝制的大中华民主国，后来成为事实；预言到十年后民国成立，后来成为事实；甚至预言到开国伟人名叫黄克强，后来竟真有同姓同名的黄克强出现。梁启超用《新中国未来记》延伸中国民间思想的动脉，他把演义体的表达方式，套上机动性的传播方式，一方面...
13	review	5	literary-check	034.被歪曲的革命家.txt	69	虽意不忘故乡，欲曲尽其维护之任，而力有所不能顾		“中国人”的乡土观念太重，由于太重的乡土观念，造成了不少地域上的偏见。大自江南江北关外西南、小自一省一城一乡一镇，都在“桑梓”的狭窄观念下被分割得一小再小。孙中山是广东人，但他却没有畛域的观念，他努力学习的官话国语，也比他的大同乡梁启超等说得好得多。民国元年2月，他以临时大总统的资格，布告要求“国民消融意见蠲除畛域”，“增祖国之荣光，造全民之幸福。”这些观念...
12	review	4	literary-check	009.从此黑白不分明！.txt	9	黑白分明		文章一开始，就先搬两句古诗，乍看起来，好像掉书袋，显配显配。其实细想起来，这两句书袋中的玩艺，倒也不失为一付千古预言诗！凡是对今天种族问题较有认识的人，已没人再坚持“黑白分明”的对峙状态。不单是黑白对峙，任何以“正色”自命来迫人“失‘色’”的举动，任何以“种族优越”自命来制造争端的举动，都已不再为头脑清醒的人所接受。再以这种调调自豪的人，不论他是希特勒或纳塞...
12	review	4	literary-check	015.副不副，副哉？副哉？.txt	9	风靡型的名人		“风靡型的名人”的特色之一，是他们能影响群众，施展影响，有的靠歌声舞影，有的靠浅笑轻颦，有的靠双拳，有的靠大腿，在传播工具日新月异的今天，“风靡型的名人”，已经差不多都被娱乐界和运动界等明星型包办，但他们对群众的影响，是以“大脑叫停、小脑反射”的状态为基础的，换句话说，他们很难深入群众的大脑，被风靡的部位，全是四肢。
12	review	4	literary-check	015.副不副，副哉？副哉？.txt	55	独立宣言		从新闻史报业史上看，严格的说：所谓“副刊”，是中国报上的独有现象，在洋鬼子的报上很难有完全相同的这种版面。洋鬼子报上有专版或特页（Special Page），或是“星期增刊”（Sunday supplement），但都不能说是中国的“副刊”，中国的“副刊”本是中国特殊环境的怪胎，它的出世，本来就有特殊的使命。这种特殊使命，由梁启超开其先河，到一九二一年十月，...
12	review	4	literary-check	017.宁肯让犯人逃掉.txt	5	好人内阁		王内阁阁员中，财政总长罗文干，教育总长汤尔和，曾和王宠惠、蔡元培、胡适等联名发表过政见，主张“好人政府”，所以这个内阁，被目为“好人内阁”，而为政客所难容。组阁不到两个月，事来了，国会的正副议长吴景濂、张伯烈，诬赖财政总长签订《奥国借款展期合同》时不干净，两人乃私用国会大印，办了公函，半夜亲访总统黎元洪，要黎元洪下“手谕”，抓罗文干。黎元洪照办了。最后闹到王...
12	review	4	literary-check	017.宁肯让犯人逃掉.txt	5	好人政府		王内阁阁员中，财政总长罗文干，教育总长汤尔和，曾和王宠惠、蔡元培、胡适等联名发表过政见，主张“好人政府”，所以这个内阁，被目为“好人内阁”，而为政客所难容。组阁不到两个月，事来了，国会的正副议长吴景濂、张伯烈，诬赖财政总长签订《奥国借款展期合同》时不干净，两人乃私用国会大印，办了公函，半夜亲访总统黎元洪，要黎元洪下“手谕”，抓罗文干。黎元洪照办了。最后闹到王...
12	review	4	literary-check	033.新物与旧物.txt	131	排外主义		现在在我们的思想界中，扫荡的一个主要对象，是“中国的旧文明”中的“义和团思想”。提到“义和团思想”这个词汇，追溯起来，最早点破并加以谴责的，不是别人，就是西化论者孙中山。孙中山在民国六年，在《再复李村农论借外资书》里，首先发出“真义和团之思想耳！”的感叹，他一生中对愚民式的“排外主义”，一贯的表示是深恶痛绝，这在民国元年的《凡事须论公理不必畏惧》的演说中，可...
12	review	4	literary-check	033.新物与旧物.txt	131	义和团思想		现在在我们的思想界中，扫荡的一个主要对象，是“中国的旧文明”中的“义和团思想”。提到“义和团思想”这个词汇，追溯起来，最早点破并加以谴责的，不是别人，就是西化论者孙中山。孙中山在民国六年，在《再复李村农论借外资书》里，首先发出“真义和团之思想耳！”的感叹，他一生中对愚民式的“排外主义”，一贯的表示是深恶痛绝，这在民国元年的《凡事须论公理不必畏惧》的演说中，可...
12	review	4	literary-check	033.新物与旧物.txt	131	中国的旧文明		现在在我们的思想界中，扫荡的一个主要对象，是“中国的旧文明”中的“义和团思想”。提到“义和团思想”这个词汇，追溯起来，最早点破并加以谴责的，不是别人，就是西化论者孙中山。孙中山在民国六年，在《再复李村农论借外资书》里，首先发出“真义和团之思想耳！”的感叹，他一生中对愚民式的“排外主义”，一贯的表示是深恶痛绝，这在民国元年的《凡事须论公理不必畏惧》的演说中，可...
12	review	4	literary-check	034.被歪曲的革命家.txt	69	增祖国之荣光，造全民之幸福。		“中国人”的乡土观念太重，由于太重的乡土观念，造成了不少地域上的偏见。大自江南江北关外西南、小自一省一城一乡一镇，都在“桑梓”的狭窄观念下被分割得一小再小。孙中山是广东人，但他却没有畛域的观念，他努力学习的官话国语，也比他的大同乡梁启超等说得好得多。民国元年2月，他以临时大总统的资格，布告要求“国民消融意见蠲除畛域”，“增祖国之荣光，造全民之幸福。”这些观念...
12	review	4	literary-check	034.被歪曲的革命家.txt	143	不能引用于中国		一、左派转俄派——他们的代表人多是共产党，他们借着孙中山联俄容共的历史，借着民生主义的演说，硬把孙中山附会成他们的“马克思主义者”，他们绝口不提孙中山批评马克思的话，也绝口不提“孙越宣言”中“共产组织”“不能引用于中国”的话，也绝口不提孙中山论及俄国侵略的话，也绝口不提孙中山赞扬美国的话，他们只是瞪着眼睛硬说：“孙中山先生是左派！”
12	review	4	literary-check	034.被歪曲的革命家.txt	143	马克思主义者		一、左派转俄派——他们的代表人多是共产党，他们借着孙中山联俄容共的历史，借着民生主义的演说，硬把孙中山附会成他们的“马克思主义者”，他们绝口不提孙中山批评马克思的话，也绝口不提“孙越宣言”中“共产组织”“不能引用于中国”的话，也绝口不提孙中山论及俄国侵略的话，也绝口不提孙中山赞扬美国的话，他们只是瞪着眼睛硬说：“孙中山先生是左派！”
12	review	4	literary-check	034.被歪曲的革命家.txt	155	孙文主义		七、右派唯生派——这是故意窄化的“孙文主义”的一派，可以陈立夫做代表。陈立夫硬说孙中山主张“唯生论”，并说：“总理从前说过‘生是宇宙的中心，民生是人类历史的中心’。”其实，我翻遍了孙中山的遗著，也看不到孙中山说过这些话或做过类似的说法。所以，陈立夫之流全是造谣。此外，戴传贤在陈立夫以前，也曾把“孙文主义”做过“唯民生”方向的狭窄解释，孙镜亚在《对于〈孙文主义...
10	plausible	0	literary-check	003.发网恢恢·法网恢恢.txt	23	西瓜皮	LACW-012	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
10	plausible	0	literary-check	003.发网恢恢·法网恢恢.txt	23	西瓜皮文化	LACW-012	陆游的诗说：“本来无事只畏扰，扰者才吏非庸人”。我不敢说今天这些“西瓜皮”大厂家是“庸人”，我相信他们是“才吏”，因为是才吏，我请求他们重新翻查一下教育部（四四）普字第〇二二六六号令，和教育厅（四四）教三字第〇九九五五号令，请他们追究一下，到底是谁弄法弄手脚，大量生产“西瓜皮”？到底是谁这么缺德，违反了中国文化、违反了西方文化而超越前进出这种“西瓜皮文化”？
10	plausible	0	literary-check	011.高等教育问题.txt	21	朝圣团	LACW-139	目前的辅仁大学的局面，正如这位作者所显示的，是由一群不识大体、不懂教育与学术的人来把持的怪现状。从它的校长于斌开始，就没有资格做“太学祭酒”，就开始制造笑料。于斌只不过是个浅薄的政治洋和尚，只会写些“万里凌云飞飞飞，今日返国归归归”一类的烂诗，只会言而无信的带走阴盛阳衰的“朝圣团”，一去不“归归归”。……所以，这个辅仁大学的校长自己根本就没有做校长的资格。自他以降，名器之乱，自然更不用说了。
10	plausible	0	literary-check	011.高等教育问题.txt	21	太学祭酒	LACW-139	目前的辅仁大学的局面，正如这位作者所显示的，是由一群不识大体、不懂教育与学术的人来把持的怪现状。从它的校长于斌开始，就没有资格做“太学祭酒”，就开始制造笑料。于斌只不过是个浅薄的政治洋和尚，只会写些“万里凌云飞飞飞，今日返国归归归”一类的烂诗，只会言而无信的带走阴盛阳衰的“朝圣团”，一去不“归归归”。……所以，这个辅仁大学的校长自己根本就没有做校长的资格。自他以降，名器之乱，自然更不用说了。
