score	file	line	text	same_line_export_ids	context
8	012.女性——牌坊要大，金莲要小.txt	109	一妇人举止异常，行不甚速，而常在御舟之前		因为“众寡悬殊”，传说里有人死了也不服气。清朝乾隆皇帝下江南，看见“一妇人举止异常，行不甚速，而常在御舟之前”。找来问她是不是有冤？她只说了一句话：“我戚家寡妇也。”就忽然不见了，原来是女鬼。乾隆皇帝说：“此必节烈妇人，来求旌表者也！”于是如其所愿。
8	014.从高玉树为儿子“冥婚”看中国两面文化.txt	51	我的家族中，有关人鬼联姻的故事		至于台湾，冥婚的风俗，也和大陆各地一样，除流行死人与死人结婚外，还有活人跟死人结婚的风俗。最有名的前例，是丘念台先生的父亲丘逢甲先生跟林家小姐的冥婚（详情见1965年11月22号《新生报》丘秀芷的“我的家族中，有关人鬼联姻的故事”），关于这方面的研究，有林瑞芳的《台湾冥婚制与记事》最为生动，这篇文章，收在娄子匡编的《婚姻大事》一书里。
8	015.欢喜佛.txt	51	观音一人，而子一男之一女之者，非矛盾乎？	LADXT-053	一人问应元曰：“观音大士女子乎？”答曰：“女子也。”又一人曰：“经云观音菩萨，勇猛丈夫，何也？”答曰：“男子也。”又一人曰：“观音一人，而子一男之一女之者，非矛盾乎？”答曰：“非也。观世音无形，故普门品述现众身为人说法，既能现众身，则飞走之物以至蠛蠓醯鸡，皆可耳，岂直男女乎？”
8	015.欢喜佛.txt	51	经云观音菩萨，勇猛丈夫，何也？	LADXT-053	一人问应元曰：“观音大士女子乎？”答曰：“女子也。”又一人曰：“经云观音菩萨，勇猛丈夫，何也？”答曰：“男子也。”又一人曰：“观音一人，而子一男之一女之者，非矛盾乎？”答曰：“非也。观世音无形，故普门品述现众身为人说法，既能现众身，则飞走之物以至蠛蠓醯鸡，皆可耳，岂直男女乎？”
8	019.鼓声咚咚的中国之音.txt	95	在首都里，竟都有这样无法无天的刑求和冤狱，首都以外的四方，还得了吗？		到了10世纪，五代后周世宗时候，有“抱屈人”带着鼓到皇宫敲鼓喊冤，皇帝知道了，“遂令东西都各置登闻鼓”。周世宗是五代最开明的皇帝，但是很短命，第二年，他三十九岁就死了。一死就被赵匡胤“黄袍加身”，创立了宋朝，赵匡胤变成了宋太祖；宋太祖又被弟弟赵匡义“烛影斧声”，抢去老大一支的继承权，成了宋太宗。他把“理检司”这衙门改成“登闻院”。“又置鼓于禁门外，以达下情，...
8	020.一种失传了的言论道具.txt	59	尧设诽谤之木，何也？	LADXT-086	程雅问曰：“尧设诽谤之木，何也？”答曰：“今之华木也。以横木交柱头，状如华也。形如桔槔，大路交衢悉施焉。或谓之表木，以表王者纳谏也，亦以表识衢路。秦乃除之，汉始复修焉。今西京谓之交午柱也。”
8	021.记一个不合作主义者.txt	17	交道接礼，孟子不却，先生得无已甚？	LADXT-095	这时候，已是清朝康熙九年（1670）的冬天了，明朝崇祯皇帝已殉国26年了，也就是说，清朝已经统治二十六年了。对这个他所不赞成的政权，李二曲始终不肯合作。当道的大官人礼贤下士，到他家里拜访他，他拒绝不掉，勉强见了一面，可是他不肯回拜，他说，他是老百姓，“庶人不可入公府也！”大官人再去拜访他，他不肯见了。送他的“馈遗”，送了十次他也不收。有人问他是不是太无礼、太...
7	004.谏诤——“宁鸣而死，不默而生！”.txt	73	不要换了，补一补就好了！就让它那个样子，作为一种鼓励、一种象征。		像这类当作纪念品，当作一种鼓励和象征的事，宋徽宗是有根据的。汉朝成帝的时候，一个叫朱云的，本是陕西地方的一个小官，但他要求见皇帝。在大庭广众之间，皇帝接见了他。朱云说：“现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。”皇帝一听，气起来了，说：“这个小官，居然在朝廷上侮辱大臣，杀掉他！”于...
7	009.喝酒——喝也不行，不喝也不行.txt	55	我是军人，我为了维持秩序，请求皇后准许我用军法来对付不守酒礼的人。		在历史上，喝酒是一种普遍的习惯，也是一种社交和礼节，这种风气，一直演变到今天。但是在喝法上面，许多地方已经不相同了。古人喝酒，很讲究礼节，不能乱喝或乱不喝。该喝的时候，不喝也不行；不该喝的时候，要喝也不行，像汉朝高祖刚当皇帝的时候，他的大臣们以为大家打天下有功，拼命在朝廷上喝酒、争功。结果，有一个叫叔孙通的出来，劝汉高祖制订一套规矩，不准大家乱喝酒。最后规矩...
7	017.人能感动蝙蝠论.txt	27	而石壁之上，有凿成文字一十九言，字势甚古，郡中士庶无能知者。	LADXT-067	大家读了《古文观止》，以为韩愈的神通只在写这篇文章，就错了。韩愈还有别的神通呢！别的神通，一看张读写的《宣室志》便知。张读《宣室志》里记泉州南面有山潭，“中有蛟螭，尝为人患。”有一天，山崩了，山石填塞潭水，水流出来，其中有蛟螭的血。“而石壁之上，有凿成文字一十九言，字势甚古，郡中士庶无能知者。”后来这十九个字给韩愈看到了，他认出是“诏赤黑视之鲤鱼天公卑杀牛人...
7	017.人能感动蝙蝠论.txt	27	详究其义，似上帝责蛟螭之词令，戮其害也。	LADXT-067	大家读了《古文观止》，以为韩愈的神通只在写这篇文章，就错了。韩愈还有别的神通呢！别的神通，一看张读写的《宣室志》便知。张读《宣室志》里记泉州南面有山潭，“中有蛟螭，尝为人患。”有一天，山崩了，山石填塞潭水，水流出来，其中有蛟螭的血。“而石壁之上，有凿成文字一十九言，字势甚古，郡中士庶无能知者。”后来这十九个字给韩愈看到了，他认出是“诏赤黑视之鲤鱼天公卑杀牛人...
7	017.人能感动蝙蝠论.txt	27	中有蛟螭，尝为人患。	LADXT-067	大家读了《古文观止》，以为韩愈的神通只在写这篇文章，就错了。韩愈还有别的神通呢！别的神通，一看张读写的《宣室志》便知。张读《宣室志》里记泉州南面有山潭，“中有蛟螭，尝为人患。”有一天，山崩了，山石填塞潭水，水流出来，其中有蛟螭的血。“而石壁之上，有凿成文字一十九言，字势甚古，郡中士庶无能知者。”后来这十九个字给韩愈看到了，他认出是“诏赤黑视之鲤鱼天公卑杀牛人...
7	019.鼓声咚咚的中国之音.txt	95	又置鼓于禁门外，以达下情，名曰‘鼓司’。		到了10世纪，五代后周世宗时候，有“抱屈人”带着鼓到皇宫敲鼓喊冤，皇帝知道了，“遂令东西都各置登闻鼓”。周世宗是五代最开明的皇帝，但是很短命，第二年，他三十九岁就死了。一死就被赵匡胤“黄袍加身”，创立了宋朝，赵匡胤变成了宋太祖；宋太祖又被弟弟赵匡义“烛影斧声”，抢去老大一支的继承权，成了宋太宗。他把“理检司”这衙门改成“登闻院”。“又置鼓于禁门外，以达下情，...
7	019.鼓声咚咚的中国之音.txt	197	马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。		⑦古代人用鼓报时，据《唐书》马周传：“先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。”《灵异小录》：“马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。”《五代史》司天考：“显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。”宋敏求《春明退朝录》：“京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。...
7	019.鼓声咚咚的中国之音.txt	197	先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。		⑦古代人用鼓报时，据《唐书》马周传：“先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。”《灵异小录》：“马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。”《五代史》司天考：“显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。”宋敏求《春明退朝录》：“京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。...
7	019.鼓声咚咚的中国之音.txt	197	显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。		⑦古代人用鼓报时，据《唐书》马周传：“先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。”《灵异小录》：“马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。”《五代史》司天考：“显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。”宋敏求《春明退朝录》：“京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。...
7	019.鼓声咚咚的中国之音.txt	203	启母者，涂山氏长女也。		⑩《诚斋杂记》：“禹洽水，过辍辕山，化为熊。谓涂山氏女曰：‘闻鼓声乃来饷。’禹排石，误中鼓，涂山氏往，见禹作熊，惭而去。至嵩山下，化为石，方孕启。”又据《列女传》：“启母者，涂山氏长女也。”
7	021.记一个不合作主义者.txt	17	我辈百不能学孟子，即此一事，稍不守孟子家法，正自无害。	LADXT-095	这时候，已是清朝康熙九年（1670）的冬天了，明朝崇祯皇帝已殉国26年了，也就是说，清朝已经统治二十六年了。对这个他所不赞成的政权，李二曲始终不肯合作。当道的大官人礼贤下士，到他家里拜访他，他拒绝不掉，勉强见了一面，可是他不肯回拜，他说，他是老百姓，“庶人不可入公府也！”大官人再去拜访他，他不肯见了。送他的“馈遗”，送了十次他也不收。有人问他是不是太无礼、太...
6	001.快看《独白下的传统》.txt	79	此传世业也！	LADXT-005	（知识分子）于扶危定倾，大经大法，则拱手张目授其柄于武人俗士，当明季世，朝庙无一可倚之人，（知识分子）坐大司马堂，批点《左传》。敌兵临城，赋诗进讲。……日夜喘息著书，曰：“此传世业也！”卒至天下鱼烂河决，生民涂炭。
6	004.谏诤——“宁鸣而死，不默而生！”.txt	73	现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。		像这类当作纪念品，当作一种鼓励和象征的事，宋徽宗是有根据的。汉朝成帝的时候，一个叫朱云的，本是陕西地方的一个小官，但他要求见皇帝。在大庭广众之间，皇帝接见了他。朱云说：“现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。”皇帝一听，气起来了，说：“这个小官，居然在朝廷上侮辱大臣，杀掉他！”于...
6	004.谏诤——“宁鸣而死，不默而生！”.txt	73	这个小官太直爽了，如果他的话说得对，不该杀他；如果说得不对，我们应该包容他。我愿意以一条老命，来为朱云争取他的命！		像这类当作纪念品，当作一种鼓励和象征的事，宋徽宗是有根据的。汉朝成帝的时候，一个叫朱云的，本是陕西地方的一个小官，但他要求见皇帝。在大庭广众之间，皇帝接见了他。朱云说：“现在朝廷的大臣，都是站着职位吃白饭、不管事的，都不能帮皇帝的忙，我请求皇帝给我一把剑，杀个坏大臣，好给这些人一点警告。”皇帝一听，气起来了，说：“这个小官，居然在朝廷上侮辱大臣，杀掉他！”于...
6	004.谏诤——“宁鸣而死，不默而生！”.txt	77	为什么这种普通的事现在来报告？		另外一种情形，皇帝宽大是为了怕历史，怕历史家记他的不好。宋朝的太祖赵匡胤，喜欢打鸟（那时候没有猎枪，用的是弹弓）。有一天，玩得高兴，左右报告说，有大臣为了急事来求见，皇帝叫人把这个大臣叫进来听报告，听了半天，只是普通的事情。宋太祖气了，他问：“为什么这种普通的事现在来报告？”那大臣答说：“我认为这种事并不普通，至少比打鸟还重要！”皇帝更气了，立刻拿家伙打这大...
6	008.吃人——动物吃人，人也吃人.txt	65	你们为国家拼命，好久没东西吃，可是你们仍旧忠贞。我自己的身体不能给你们吃，岂能可惜一个女人吗？		唐朝“安史之乱”，张巡、许远的部队，被安禄山的军队包围在睢阳。后来因为被包围得太久了，东西都吃光了，战马、老鼠、麻雀等等都吃光了。于是大家互相换小孩子来吃（不忍吃自己的，所以互换）。小孩子吃光了，张巡竟把他的姨太太杀掉，他对守城的军人说：“你们为国家拼命，好久没东西吃，可是你们仍旧忠贞。我自己的身体不能给你们吃，岂能可惜一个女人吗？”于是，从吃张巡的姨太太开...
6	013.光绪朝对节妇贞女的旌表.txt	5	吾闻命矣！	LADXT-045,LADXT-123	松江邹生，娶妻乔氏，生一子名阿九，甫周岁而邹死。乔守志抚孤，家尚小康，颇足自存。而是时粵贼已据苏杭，松江亦陷于贼。乔虑不免〔失节〕，思一死以自全；而顾此呱呱者，又非母不活，意未能决。其夜忽梦夫谓之曰：“吾家三世单传，今止此一块肉，吾已请于先亡诸尊长矣，汝宁失节，毋弃孤儿。”乔寤而思之，夫言虽有理，然妇人以节重，终不可失，意仍未决。其夜又梦夫偕二老人至，一翁一...
6	015.欢喜佛.txt	51	观音大士女子乎？	LADXT-053	一人问应元曰：“观音大士女子乎？”答曰：“女子也。”又一人曰：“经云观音菩萨，勇猛丈夫，何也？”答曰：“男子也。”又一人曰：“观音一人，而子一男之一女之者，非矛盾乎？”答曰：“非也。观世音无形，故普门品述现众身为人说法，既能现众身，则飞走之物以至蠛蠓醯鸡，皆可耳，岂直男女乎？”
6	016.中国民族“性”.txt	57	吾能改矣！	LADXT-056,LADXT-057	陈灵公与孔宁、仪行父，〔皆〕通于夏姬。皆衷其衵服，以戏于朝（按：此处在《榖梁传》中记为“或衣其衣，或衷其襦”，以相戏于朝）泄冶谏曰：“公卿宣淫，民无效焉。且闻不令，君其纳之。”公曰：“吾能改矣！”公告二子，二子请杀之。公弗禁，遂杀洩冶。
6	019.鼓声咚咚的中国之音.txt	11	君子打仗，不打受了伤的，不捉头发白的。古人用兵，不占地利险阻便宜。就是亡了国，我也不向没摆好阵势的敌人鸣鼓而攻。	LADXT-075	这个是不该击而击，击出了祸；还有该击而不击，也出了祸。春秋宋国、楚国作战，楚军渡河时，人劝宋襄公迎击，他不肯；等楚军登陆了，人又劝他迎击，他还不肯；直等到楚军上岸后，把阵势摆好，他才下令打，结果大败，受伤而死。死前还大讲原则，说：“君子打仗，不打受了伤的，不捉头发白的。古人用兵，不占地利险阻便宜。就是亡了国，我也不向没摆好阵势的敌人鸣鼓而攻。”(11)中国历...
6	019.鼓声咚咚的中国之音.txt	95	遂令东西都各置登闻鼓		到了10世纪，五代后周世宗时候，有“抱屈人”带着鼓到皇宫敲鼓喊冤，皇帝知道了，“遂令东西都各置登闻鼓”。周世宗是五代最开明的皇帝，但是很短命，第二年，他三十九岁就死了。一死就被赵匡胤“黄袍加身”，创立了宋朝，赵匡胤变成了宋太祖；宋太祖又被弟弟赵匡义“烛影斧声”，抢去老大一支的继承权，成了宋太宗。他把“理检司”这衙门改成“登闻院”。“又置鼓于禁门外，以达下情，...
6	019.鼓声咚咚的中国之音.txt	197	成都不打晚衙鼓，刘仲、张潜夫皆说，云孟蜀多以晚鼓戮人，埋毬场中，故鸣鼓则鬼祟必作。自是承例不打鼓。		⑦古代人用鼓报时，据《唐书》马周传：“先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。”《灵异小录》：“马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。”《五代史》司天考：“显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。”宋敏求《春明退朝录》：“京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。...
6	019.鼓声咚咚的中国之音.txt	197	京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。按：唐马周始建议置咚咚鼓，唯两京有之。后北都亦有咚咚鼓，是则京师之制也。		⑦古代人用鼓报时，据《唐书》马周传：“先是京师晨暮传呼以警众，后置鼓代之。俗曰咚咚鼓。”《灵异小录》：“马周上言：令金吾每街隅悬鼓，夜击以止行李、备窃盗。时人遂呼为咚咚鼓。”《五代史》司天考：“显德元年正月庚寅，有大星坠，有声如雷，牛马皆逸。京城以为晓鼓，皆伐鼓以应之。”宋敏求《春明退朝录》：“京师街衢置鼓于小楼之上，以警昏晓。太宗时命张垍制坊名列牌于楼上。...
6	019.鼓声咚咚的中国之音.txt	203	禹洽水，过辍辕山，化为熊。谓涂山氏女曰：‘闻鼓声乃来饷。’禹排石，误中鼓，涂山氏往，见禹作熊，惭而去。至嵩山下，化为石，方孕启。		⑩《诚斋杂记》：“禹洽水，过辍辕山，化为熊。谓涂山氏女曰：‘闻鼓声乃来饷。’禹排石，误中鼓，涂山氏往，见禹作熊，惭而去。至嵩山下，化为石，方孕启。”又据《列女传》：“启母者，涂山氏长女也。”
6	019.鼓声咚咚的中国之音.txt	209	陵将步卒五千，出居延，与单于连战。陵曰：‘吾士气少衰，而鼓不起者，何也？军中岂有女子乎？’搜得皆剑斩之。		(13)《汉书》李陵传：“陵将步卒五千，出居延，与单于连战。陵曰：‘吾士气少衰，而鼓不起者，何也？军中岂有女子乎？’搜得皆剑斩之。”
6	020.一种失传了的言论道具.txt	83	师璞果能办此乎！		元符庚辰，蔡京出，韩师璞当轴，下诏求言。其略曰：“言之当者，朕有厚赏；言之不当，朕不加罪。朕言唯信，无虑后悔。”于是四海之士，莫不慷慨论蔡京之失。时忠宣在永州，闻之，惊曰：“师璞果能办此乎！”未久，京复相，举言者窜岭外，善类于是尽矣！
5	002.直笔——“乱臣贼子惧”.txt	97	皇帝的一举一动，都逃不过史官的刀尖	LADXT-018	现在举一个“皇帝的一举一动，都逃不过史官的刀尖”的例子：周朝成王小时候，曾跟他的弟弟叔虞一块玩，成王用树叶刻了一块“珪”（“珪”是刻图章用的一种玉，皇帝给别人官做，要给印，就是“珪”），然后随手把这片树叶送给他弟弟，说：“拿这个封你！”这时候史官在旁边，一听就记下来了。后来史官请成王真正去封他弟弟，成王奇怪了，问为什么？史官说某月某日，你拿树叶刻图章给你弟弟...
5	002.直笔——“乱臣贼子惧”.txt	107	董先生，你写错了吧？明明是我弟弟赵穿杀了皇帝，你怎么写我呢？		赵盾跑过来，质问董狐说：“董先生，你写错了吧？明明是我弟弟赵穿杀了皇帝，你怎么写我呢？”董狐说：“你是朝廷大员，这件事情发生的时候，你躲在外面，可是没出国门；你回来了，又不追究凶手。你还脱得了干系吗？杀皇帝的不是你，又是谁呢？”于是赵盾心虚了，只好让董狐这样写，没法子。（当时赵盾真可以杀董狐一刀或一百刀，可是他太“笨”，没想起来干涉历史，所以就背着恶名，一背...
5	002.直笔——“乱臣贼子惧”.txt	109	不但独立，还可以照史官的意思，来写他判断的事实		董狐的例子，就是上面所说的史官“不但独立，还可以照史官的意思，来写他判断的事实”。
5	003.避讳——“非常不敢说”.txt	3	我们没有城，也没有兵，打不过你们，怎么敢不来？	LADXT-102	五代时候，有一个号称“长乐老”的大臣，叫做冯道，他又字“可道”。这个人在遇到危难的时候，别人着急，他却自自在在。他很俭朴，一点也没有大官的架子，他跟仆人们一起吃饭，吃同样的东西。有的凶狠的将军们，抢来漂亮女人，送给他，他表面上收下，骨子里却把漂亮女人送还她自己的家里去。在五代的纷乱局面里，他跟过四个姓的朝代，在十个皇帝手下做过大臣。他的人生观是“莫为危时便怆...
5	003.避讳——“非常不敢说”.txt	5	管你什么人做皇帝呀！只要对老百姓有好处，少杀一点老百姓，我都干！		冯道虽然使中国老百姓免于被屠杀，可是历史上，他却背上“汉奸”的罪名。历史家说他不应该伺候那么多朝代、那么多皇帝，可是冯道说：“管你什么人做皇帝呀！只要对老百姓有好处，少杀一点老百姓，我都干！”
5	003.避讳——“非常不敢说”.txt	25	假若有隐瞒不住的时候	LADXT-022,LADXT-023,LADXT-024	对一件事实的“讳”，大部分是指隐匿一种真相。比如说，死是一种不可避免的事实，可是古人却忌讳提到它，认为不吉祥。所以古人说一个长辈快死了，用的表达法是“倘有不讳”。“倘有不讳”的意思翻成白话是：“假若有隐瞒不住的时候”，就是“倘若死的时候”。除了认为不吉祥的意思外，还有一种是指对某种事实的隐瞒。汉朝的大才子司马相如，在他的《上林赋》里就有“鄙人固陋，不知忌讳”...
5	004.谏诤——“宁鸣而死，不默而生！”.txt	43	听说皇上要去南山，怎么没走呢？		有一次，唐太宗要到南山去，都准备好了，刚要出发，魏征来了，唐太宗立刻装做没事的样子，因为他知道魏征是反对他去南山的。但是魏征很直爽，他问：“听说皇上要去南山，怎么没走呢？”唐太宗说：“本来是要走的，因为怕你生气，所以决定不走了。”
5	004.谏诤——“宁鸣而死，不默而生！”.txt	47	我们这个时代，可还有像唐朝魏征那样敢说话的人吗？		关于魏征的故事，后代的人都很向往。有一天，元朝的英宗跟大臣拜住说：“我们这个时代，可还有像唐朝魏征那样敢说话的人吗？”拜住回答说：“什么样的皇帝，才有什么样的大臣。一个圆的盘子，水放进去，是圆的；一个方的杯子，水放进去，是方的。因为唐太宗有度量肯‘纳谏’，所以魏征才敢说真话、才肯说真话。”元英宗听了，很以为然。
5	004.谏诤——“宁鸣而死，不默而生！”.txt	57	君臣如同父子，儿子劝父亲不听，一定要哭哭啼啼的跟着他！		宋朝光宗的时候，他忽然不想上朝了。可是大臣们去请他，请得没法，他只好出来，走到门口，忽然皇后把他拦住，说：“天好冷啊！我们喝酒去嘛！”皇帝一听，就又不朝前走了。这时候，有一个大臣叫傅良的，立刻跑上前去，不管三七二十一，伸手拉住皇帝的衣服，不让他回去喝酒。皇后气起来了，大骂说：“你是不是要找死？”傅良听了，立刻哭哭啼啼的说：“君臣如同父子，儿子劝父亲不听，一定...
5	004.谏诤——“宁鸣而死，不默而生！”.txt	63	不要劝我呀！谁劝我我就宰谁，绝不饶他！	LADXT-029	有谏即死，无赦！（翻成白话是“不要劝我呀！谁劝我我就宰谁，绝不饶他！”）
5	004.谏诤——“宁鸣而死，不默而生！”.txt	65	谁敢劝我，就砍谁的脑袋！	LADXT-030	敢有谏者，斩！（翻成白话是：“谁敢劝我，就砍谁的脑袋！”）
5	004.谏诤——“宁鸣而死，不默而生！”.txt	69	你要不听我的，我就不要活了！你干脆用车把我压死算了！你压呀！你压呀！		有些大臣看到皇帝做错事，劝他不听，常常要用无赖的方法去阻止。汉朝光武帝本来要出去玩玩的，刚上车，大臣申屠刚劝他不要去，申屠刚的理由是：天下还没平定，你皇帝大人怎么好去玩？光武帝不听，下令开车，申屠刚见皇帝不听，立刻趴在地上，把头塞在车轮子里，意思是说：“你要不听我的，我就不要活了！你干脆用车把我压死算了！你压呀！你压呀！”这么一来，光武皇帝服了，只好不去玩了...
