id	source_file	line_start	line_end	category	risk_in_quote	quote_text
LASHF-074	026.花老犹见燕归迟.txt	9	9	西方妙语		我一生狂热工作，就是要证明我父亲没有毛病。
LASHF-075	026.花老犹见燕归迟.txt	13	13	诗句		两代墨迹同一词
LASHF-076	026.花老犹见燕归迟.txt	15	15	诗句		雨丝风片亦堪拾
LASHF-077	026.花老犹见燕归迟.txt	17	17	诗句		四十年来花已老
LASHF-078	026.花老犹见燕归迟.txt	19	19	诗句		花老犹见燕归迟
LASHF-079	031.中央研究院史语所岂可掩护李济、许倬云！.txt	35	35	典故成语		斯文在兹
LASHF-080	031.中央研究院史语所岂可掩护李济、许倬云！.txt	67	67	俗语		黄鱼两吃
LASHF-081	034.“碧云应继魏忠贤”.txt	17	17	读书格言		旧学得新知增益，为之一快
LASHF-082	038.答胡虚一老兄书.txt	7	7	典故成语		韩信用兵，多多益善
LASHF-083	038.答胡虚一老兄书.txt	7	7	成语		不可同日而语
LASHF-084	038.答胡虚一老兄书.txt	7	7	俗语		三十年河东，三十年河西，风水轮流转，世俗人情跟着变
LASHF-085	038.答胡虚一老兄书.txt	11	11	古文句式		有友如此者，亦云鲜矣
LASHF-086	038.答胡虚一老兄书.txt	11	11	妙语		只要你们待我有李敖一半好，我就弃暗投明啦！
LASHF-087	038.答胡虚一老兄书.txt	13	13	写作格言		宁繁毋略，以存史料
LASHF-088	038.答胡虚一老兄书.txt	13	13	妙语		拒之老兄心痛，受之小弟头痛
LASHF-089	038.答胡虚一老兄书.txt	15	15	成语		闲云野鹤
LASHF-090	038.答胡虚一老兄书.txt	15	15	成语化用		贤者之累
LASHF-091	038.答胡虚一老兄书.txt	17	17	处世格言		待人不薄，待朋友尤厚
LASHF-092	038.答胡虚一老兄书.txt	17	17	妙语		做人亦大难、做胡老师之友亦大难
LASHF-093	038.答胡虚一老兄书.txt	19	19	人生格言		交友下场如此，亦足为忧患人生，增一见识
LASHF-094	038.答胡虚一老兄书.txt	31	31	成语典故		闻过则喜
LASHF-095	038.答胡虚一老兄书.txt	33	33	诗句引用		少小离家老大回
LASHF-096	038.答胡虚一老兄书.txt	33	33	俗语		打肿脸充胖子
LASHF-097	038.答胡虚一老兄书.txt	37	37	俗语		礼轻仁义重
LASHF-098	038.答胡虚一老兄书.txt	37	37	俗语典故		千里送鹅毛
LASHF-099	044.讨论《北京法源寺》.txt	25	25	妙语		以笑哈哈的敦厚，作凶巴巴的战斗
LASHF-100	044.讨论《北京法源寺》.txt	39	39	文学格言		奇情与思想，是文学家必要的条件
LASHF-101	044.讨论《北京法源寺》.txt	39	39	文艺妙语		作品很菜，都是卖菜的
LASHF-102	044.讨论《北京法源寺》.txt	41	41	西方格言		读其所读令堂吉诃德君子人也，但信其所读令堂吉诃德疯人也
LASHF-103	044.讨论《北京法源寺》.txt	41	41	西方格言		Reading made Don Quixote a gentleman, but believing what he read made him mad.
LASHF-104	044.讨论《北京法源寺》.txt	41	41	文学妙语		这个世界，再也没有堂吉诃德那样真诚的读者了！
LASHF-105	045.比较“鸡巴学”答美国佬.txt	25	25	评语格言		见解以从俗展现不俗
LASHF-106	045.比较“鸡巴学”答美国佬.txt	27	27	语言妙语		把清教徒的污染，有以光复
LASHF-107	045.比较“鸡巴学”答美国佬.txt	29	29	语言妙语		被汉字骗了
LASHF-108	046.你转载我，我转载你.txt	23	23	书信妙语		悉凭尊意，当然，反之亦然
LASHF-109	046.你转载我，我转载你.txt	25	25	成语		啼笑皆非
LASHF-110	046.你转载我，我转载你.txt	33	33	妙语		美女经不得折腾，由此可见！
LASHF-111	046.你转载我，我转载你.txt	33	33	诗文化用		残菊犹有傲霜枝
