action	target	source_file	line_range	quote_or_candidate	reason
keep	LASHXJX-068	018.陆晋德译《飞鸟集》序.txt	3-3	醍醐灌顶	比喻受到启发而顿然清明。
keep	LASHXJX-069	018.陆晋德译《飞鸟集》序.txt	3-3	茅塞顿开	比喻读诗后忽然明白。
keep	LASHXJX-070	018.陆晋德译《飞鸟集》序.txt	13-13	“忧愁”其实很陌生	以陌生化说法处理忧愁意象。
keep	LASHXJX-071	018.陆晋德译《飞鸟集》序.txt	17-17	当头棒喝	比喻诗句给人直接警醒。
keep	LASHXJX-072	018.陆晋德译《飞鸟集》序.txt	17-17	目眩神迷	形容泰戈尔诗智令人惊叹沉迷。
keep	LASHXJX-073	020.我看《宰相刘罗锅》.txt	3-3	倡优蓄之	指把演艺者当作供娱乐的人蓄养。
keep	LASHXJX-074	020.我看《宰相刘罗锅》.txt	7-7	凤毛麟角	形容极其稀少。
keep	LASHXJX-075	020.我看《宰相刘罗锅》.txt	7-7	借古讽今	指借古事影射当下。
keep	LASHXJX-076	020.我看《宰相刘罗锅》.txt	7-7	心照不宣	指彼此心里明白而不说破。
keep	LASHXJX-077	020.我看《宰相刘罗锅》.txt	9-9	有清名	以清名概括刘墉的声望。
keep	LASHXJX-078	020.我看《宰相刘罗锅》.txt	9-9	浓墨宰相	以用墨特色形成刘墉称号。
keep	LASHXJX-079	020.我看《宰相刘罗锅》.txt	11-11	端坐而逝	形容临终端坐而安然离世。
keep	LASHXJX-080	022.《胡适选集》五十年.txt	7-7	蔚为巨观	形容选集规模可观。
keep	LASHXJX-081	022.《胡适选集》五十年.txt	9-9	淋漓尽致	形容资料搜集本领发挥充分。
keep	LASHXJX-082	022.《胡适选集》五十年.txt	13-13	蒿目时艰	形容为时局艰难而忧虑。
exclude	modern-public-quote	001.《李敖语录香港版》感言.txt	7-7	哪里有自由，哪里便是我的祖国。	现代公共表达，未收
exclude	public-event-ad	005.《二二八研究》广告词.txt	3-5	广告词与事件表述	公共事件广告语境，整篇排除
exclude	current-affairs-preface	010.《黄旗梦碎》序.txt	3-11	人物与团体攻防表述	现实公共议题语境过重，未收
exclude	interview-public-lines	012.《文茜半生缘》序.txt	7-73	访谈与人物攻防语录	只保留徐志摩诗句，其余未收
exclude	legal-complaint-quote	016.《调查局黑牢345天》序.txt	5-9	画地为狱等《汉书》刑狱引文	法律控诉语境过重，未收
exclude	governance-classic	019.国家将兴，必有祯祥.txt	1-3	国家将兴，必有祯祥；国家将亡，必有妖孽。	治理判断指向过强，未收
exclude	current-affairs-preface	021.是真的也要否认.txt	3-25	密使、献金、事实正确等整篇论述	现实公共议题语境过重，整篇未收
