action	target	source_file	line_range	quote_or_candidate	reason
keep	LABKJ-020	005.被封杀的《千秋评论》.txt	87-87	尽己之谓忠，推己及人之谓恕	以尽己说明忠、以推己及人说明恕，概括儒家道德自反。
keep	LABKJ-021	005.被封杀的《千秋评论》.txt	87-87	东圣西圣，心同理同	以东西方圣贤在核心道理上相通来说明道德自反的共性。
keep	LABKJ-022	006.《万岁评论》缘起.txt	61-61	预伏锦囊计	以预先留下锦囊计策比喻预作安排、届时启用。
keep	LABKJ-023	006.《万岁评论》缘起.txt	61-61	拆开锦囊视之	以拆开锦囊查看计策写按预留方案行事。
keep	LABKJ-024	006.《万岁评论》缘起.txt	67-67	以文会友	以文章聚合朋友，说明共同写作与互相呼应。
keep	LABKJ-025	006.《万岁评论》缘起.txt	67-67	历观世人，多有不好欢乐，乃仰眠床上，看屋梁而著书，千秋万岁，谁传此者？	以仰卧看梁著书而问谁能流传千秋万岁，写著述传世的自疑。
keep	LABKJ-026	006.《万岁评论》缘起.txt	67-67	知其不可而为之	以明知困难仍去做，概括理想主义者的坚持。
keep	LABKJ-027	006.《万岁评论》缘起.txt	67-67	朝闻道，夕死可矣	以早晨得闻大道、晚上死也可以，写求道与献身的迫切。
keep	LABKJ-028	006.《万岁评论》缘起.txt	69-69	Study as if you were to live forever. Live as if you were to die tomorrow.	以仿佛永生般学习、仿佛明日即死般生活，鼓励发愤与行动。
keep	LABKJ-029	007.挂“千秋”羊头，卖“万岁”狗肉.txt	1-1	挂“千秋”羊头，卖“万岁”狗肉	借羊头狗肉的名实关系，说明刊物名目与内容合并的调侃。
keep	LABKJ-030	008.《千秋评论》一百期期期期期期.txt	7-7	臣口不能言，然臣期期知其不可！陛下虽欲废太子，臣期期不奉诏！	以周昌口吃仍坚决反对来说明“期期”中坚忍直言的意味。
keep	LABKJ-031	008.《千秋评论》一百期期期期期期.txt	7-7	期，极也。古人用期字，多做极字。周昌云：心期期知其不可。言极知其不可。口吃，故重一字也。	解释古人以期为极、周昌因口吃重字而成“期期”的语义。
keep	LABKJ-032	008.《千秋评论》一百期期期期期期.txt	11-11	心之所善、九死无悔	以心中认定的善即使九死也不悔，写坚持初心。
keep	LABKJ-033	008.《千秋评论》一百期期期期期期.txt	13-13	君子于役，不知其期。	以君子服役不知归期，借“期”字收束刊物百期题意。
keep	LABKJ-034	009.《千秋评论》停刊告白.txt	13-15	字字看来皆是血， /  / 十年辛苦不寻常。	以字字皆血、十年辛苦写成书之艰难。
keep	LABKJ-035	010.乌鸦的心愿.txt	7-7	苦难当前，我们正置身废墟之中。在废墟中，我们开始盖一些小建筑，寄一些小希望。这当然是一件困难的工作，但已没有更好的路通向未来了。我们要迂回前进，要爬过层层障碍，不管天翻也好、地覆也罢，我们还是要活。	以废墟中仍要建立小希望、绕行障碍继续生活，写困厄中的生存意志。
keep	LABKJ-036	010.乌鸦的心愿.txt	9-9	我手写我口	以自己的手写自己的口，概括直抒己见的写作气魄。
keep	LABKJ-037	010.乌鸦的心愿.txt	9-9	白骨剥露，凄风永拂。	以白骨暴露、寒风永吹写乌鸦食尽死尸后的荒凉画面。
keep	LABKJ-038	010.乌鸦的心愿.txt	9-9	O'er his white banes, when they are bare,The wind sall blaw for evermair.	以白骨暴露后寒风永吹的古英语诗句写荒凉画面。
keep	LABKJ-039	012.《求是报》1991年2月27日创刊.txt	11-11	东方是东方、西方是西方，两者永不交会	以东西永不交会概括东西方隔阂，文中作为被打破的断言。
keep	LABKJ-040	012.《求是报》1991年2月27日创刊.txt	11-11	Oh，East is East，and West is West，and never the twain shall meet	以东西各为东西、二者永不相会概括东西方隔阂。
keep	LABKJ-041	013.一张报，打倒你！.txt	27-33	悬瓠城南陂水深， /  / 春泥满眼路岖嵚， /  / 独骑瘦马冲残雨， /  / 前伴茫茫不可寻。	以陂水深、春泥满眼、残雨独行写追寻前伴的艰难。
keep	LABKJ-042	014.生公说法鬼神听.txt	5-7	生公说法鬼神听，身后空堂夜不扃。 /  / 高坐寂寥尘漠漠，一方明月可中庭。	写生公讲法感通鬼神、身后讲堂空寂而明月在庭。
keep	LABKJ-043	014.生公说法鬼神听.txt	9-9	生公说法，顽石点头	以生公说法使顽石点头，形容讲说感化力极强。
keep	LABKJ-044	016.李敖谈《李敖的报纸》.txt	15-15	不温故，又何以知新？	以不温习旧事便不能了解新事，说明由往事认识当下。
keep	LABKJ-045	016.李敖谈《李敖的报纸》.txt	15-15	青出于蓝	用后来超过先前来形容变化延续且更加严重。
keep	LABKJ-046	016.李敖谈《李敖的报纸》.txt	15-15	黄河之水天上来	借黄河水从天上来的夸张意象，指追溯事情源头。
keep	LABKJ-047	016.李敖谈《李敖的报纸》.txt	27-27	一个真理未广为人知之时，我们要不断重复这一真理	说明真理尚未普遍被知道时，应持续反复说明。
keep	LABKJ-048	016.李敖谈《李敖的报纸》.txt	41-41	班门弄斧	以在行家面前卖弄本领形容不自量力。
keep	LABKJ-049	018.《李敖求是评论杂志》发刊词.txt	7-7	成一家之言	以形成自成体系的言论说明杂志汇聚思想的使命。
keep	LABKJ-050	018.《李敖求是评论杂志》发刊词.txt	7-7	虽千万人，吾往矣	以即使面对千万人也仍前往，概括独立承担的勇气。
keep	LABKJ-051	018.《李敖求是评论杂志》发刊词.txt	7-7	有眼识泰山	形容真正有眼力、能识别重要人物或事实。
exclude		001.李敖与“编辑室报告”.txt	103-107	中共政权是不会长久的，因为人们不需要很长的时间就会发觉，马克思主义是错误的，集权政权是无效果的。	现代政治意识形态语录，未收
exclude		001.李敖与“编辑室报告”.txt	191-217	诛及疑似 / 知法犯法，罪加一等 / 人权 / 为国家整纲纪，为法界挽声誉	司法、人权和公共事件语境，未收
exclude		001.李敖与“编辑室报告”.txt	261-261	权利之行使不得以损害他人为主要目的	校对复核：现代民法权利语境，未收
exclude		001.李敖与“编辑室报告”.txt	247-247	若犹泄泄视之，中原几无可以御敌之兵。	林则徐军政御敌语境，未收
exclude		001.李敖与“编辑室报告”.txt	361-361	故将大有为之君，必有所不召之臣 / 夫明主之世，必有不召之臣	古代君臣政治语境，未收
exclude		004.“只要寻一个不受人惑的人”.txt	5-11	政治挂帅 / 思想领导政治 / 权力使人腐化	现代政治论述语境，未收
exclude		005.被封杀的《千秋评论》.txt	55-63	技术击倒 / 防民之口，甚于防川	出版法、查禁和政治讽刺语境，未收
exclude		006.《万岁评论》缘起.txt	3-65	出版法条文 / 政治问题，法律解决 / 技术击倒	法律、报禁和政治犯叙述语境，未收
exclude		010.乌鸦的心愿.txt	5-5	朝言论，夕入狱可矣！	李敖自拟政治处境句，未收
exclude		013.一张报，打倒你！.txt	9-23	《新华日报》推动民主运动 / 一张报，打倒你	政治报刊口号和党史语境，未收
exclude		014.生公说法鬼神听.txt	13-23	李敖办报三首自祝小诗	李敖自作且含政治打倒语境，未收
exclude		016.李敖谈《李敖的报纸》.txt	7-41	陈嘉宗评论《求是报》及李敖回应	现代报业争辩、公共人物和个人恩怨语境，未收
exclude		017.《求是报》停刊告白.txt	5-23	报禁 / 看你横行到几时 / 十年有成 / 半年有败	停刊说明和政治报禁语境，未收
exclude		005.被封杀的《千秋评论》.txt	91-91	容忍是一切自由的根本，没有容忍‘异己’的雅量，就不会承认‘异己’的宗教信仰可以享受自由。	校对复核：现代民主自由和政治思想讨论，未收
