id	source_file	line_start	line_end	category	risk_in_quote	quote_text
LASHQ-076	025.致汤麟武.txt	5	5	写作格言		自己的书一定要在自己活的时候印出来
LASHQ-077	025.致汤麟武.txt	7	7	俗语		一口气读完
LASHQ-078	025.致汤麟武.txt	15	15	诗句		沧海余生日
LASHQ-079	025.致汤麟武.txt	17	17	诗句		大隐如闭关
LASHQ-080	025.致汤麟武.txt	19	19	诗句		神游得旅顺
LASHQ-081	025.致汤麟武.txt	23	23	诗句引用		去国一何远
LASHQ-082	025.致汤麟武.txt	25	25	诗句引用		离人终不还
LASHQ-083	025.致汤麟武.txt	27	27	诗句		古今多少事
LASHQ-084	025.致汤麟武.txt	29	29	诗句		青史埋青山
LASHQ-085	025.致汤麟武.txt	31	31	诗文妙语		和人之诗却在第五、六句中抄先生原作，未免太“黄山谷”
LASHQ-086	025.致汤麟武.txt	31	31	妙语		不得不抄也
LASHQ-087	025.致汤麟武.txt	33	33	书信妙语		我生平勤于为文，却懒得写信
LASHQ-088	025.致汤麟武.txt	33	33	书信妙语		书翰颇稀
LASHQ-089	032.兔子腿买不买.txt	7	7	妙语		一边气一边笑
LASHQ-090	032.兔子腿买不买.txt	19	19	成语		大笔一挥
LASHQ-091	032.兔子腿买不买.txt	33	33	育儿妙语		一天他突然偷走好多步——原来会走，却佯装不会也
LASHQ-092	032.兔子腿买不买.txt	35	35	古文句式		其蛮横有如此者
LASHQ-093	033.对何炳棣先生“认真的讨论”的讨论.txt	5	5	古文引用		倾盖而语终日，甚相亲
LASHQ-094	033.对何炳棣先生“认真的讨论”的讨论.txt	5	5	成语		一见如故
LASHQ-095	033.对何炳棣先生“认真的讨论”的讨论.txt	11	11	成语		索然寡味
LASHQ-096	033.对何炳棣先生“认真的讨论”的讨论.txt	11	11	史学格言		史料存真、求真，真是谈何容易
LASHQ-097	033.对何炳棣先生“认真的讨论”的讨论.txt	17	17	妙语		渊博之累
LASHQ-098	033.对何炳棣先生“认真的讨论”的讨论.txt	41	41	成语		体大思精
LASHQ-099	033.对何炳棣先生“认真的讨论”的讨论.txt	41	41	成语		灰头土脸
LASHQ-100	033.对何炳棣先生“认真的讨论”的讨论.txt	43	43	古人格言		饿死事极小，失节事极大
LASHQ-101	033.对何炳棣先生“认真的讨论”的讨论.txt	45	45	文艺妙语		化成涓滴，混入尊作长江大河
LASHQ-102	034.从“冷淡”到“偷笑”.txt	5	5	处世格言		笑是一种友善、一种适度的“知道了”、一种“垂怜”
LASHQ-103	034.从“冷淡”到“偷笑”.txt	5	5	妙语		量笑而为
LASHQ-104	034.从“冷淡”到“偷笑”.txt	5	5	古文引用		夫子莞尔而笑
LASHQ-105	034.从“冷淡”到“偷笑”.txt	5	5	古文引用		渔父莞尔而笑
LASHQ-106	034.从“冷淡”到“偷笑”.txt	7	7	处世格言		人是那么浑，交朋友太累了
LASHQ-107	034.从“冷淡”到“偷笑”.txt	9	9	成语		不近人情
LASHQ-108	034.从“冷淡”到“偷笑”.txt	9	9	成语		自知之明
LASHQ-109	034.从“冷淡”到“偷笑”.txt	9	9	成语化用		拒人于咫尺之外
LASHQ-110	034.从“冷淡”到“偷笑”.txt	11	11	古人格言		不言之教
LASHQ-111	034.从“冷淡”到“偷笑”.txt	11	11	妙语		以不教教之
LASHQ-112	034.从“冷淡”到“偷笑”.txt	11	11	处世格言		冷淡其实是一种法门
LASHQ-113	034.从“冷淡”到“偷笑”.txt	11	11	妙语		“偷笑”保证必真真的
LASHQ-114	035.嘱苦苓老弟.txt	9	9	人生格言		优患余生，余生以后，却倦于回首优患
LASHQ-115	035.嘱苦苓老弟.txt	11	11	写作格言		写完整的“大书”
LASHQ-116	035.嘱苦苓老弟.txt	11	11	写作格言		争千秋不争一时
LASHQ-117	035.嘱苦苓老弟.txt	11	11	书信套语		是所至嘱
LASHQ-118	037.致AB座邻居.txt	9	9	处世妙语		任劳、任怨、花钱、挨告
LASHQ-119	037.致AB座邻居.txt	29	29	成语		金玉其外，败絮其中
LASHQ-120	037.致AB座邻居.txt	31	31	成语		见仁见智
LASHQ-121	042.致石守谦的一封信.txt	9	9	成语		稀世之珍
LASHQ-122	042.致石守谦的一封信.txt	11	11	学术格言		以学术以外的顾忌自遮其眼
LASHQ-123	042.致石守谦的一封信.txt	11	11	妙语		儒林内史
LASHQ-124	042.致石守谦的一封信.txt	15	15	鉴藏妙语		这一件足够您看了
LASHQ-125	042.致石守谦的一封信.txt	15	15	妙语		真的在北京吃不到
LASHQ-126	044.给周荃.txt	9	9	妙语		争一时
LASHQ-127	044.给周荃.txt	9	9	妙语		争千秋
LASHQ-128	044.给周荃.txt	9	9	人生格言		走向世界、未来与永恒
LASHQ-129	044.给周荃.txt	9	9	成语		游戏人间
LASHQ-130	044.给周荃.txt	9	9	成语		不务正业
LASHQ-131	044.给周荃.txt	11	11	古文套语		以报知己
