source_file	line	context
004.从认贼到被贼认.txt	21	佛教的《楞严经》有“认贼为子”的话；中国俗语有“认贼作父”的话，在认与被认之间，光宠攀附，都不乏脉络可寻。其中最可叹的是辜鸿铭，一代清流，不幸却被贼所认，不但被第一代称兄道弟，而且死有余辜，连第二代都要咬住不放，强呼“伯父”不绝。老辜何辜，老辜何辜，我随笔写来，真要为辜鸿铭大喊其冤了。
005.从胡老太秘录看钱大头忘恩负义.txt	3	胡适的“小脚太太”江冬秀是中国村妇，她是胡适留学美国时，被胡适母亲代讨进来的过门“媳妇”，当时留洋回来的学生，大都把乡下婆子给休了，唯独胡适守信不变，回国娶了江冬秀。胡适给张慰慈题扇面，上写“爱情的代价是痛苦，爱情的方法是忍受痛苦”。显然对这一婚姻心有戚戚。胡适在1950年10月2日，写信给赵元任，明说“冬秀对于书架，绝对不感兴趣，也绝对不能帮我的忙”。可见江冬秀实在配不上胡适，胡适一辈子照料江冬秀，正显出了他的伟大。
005.从胡老太秘录看钱大头忘恩负义.txt	5	江冬秀嫁给胡适后，眼看是一片“谈笑有鸿儒，往来无白丁”的局面，她心怀自卑，自是常情。这一自卑，从胡家少奶奶变为胡老太后，才算减轻一点，尤其在她晚年时候，收了一个干女儿，她被干女儿奉承得无微不至，她的自卑，也就很少了。
005.从胡老太秘录看钱大头忘恩负义.txt	7	干女儿名叫张婉度，她有一个做过经济部长的哥哥，就是张兹闿；又有一个做过北京大学教授的丈夫，就是钱思亮，她的身价，自然不凡。钱思亮本是一教授耳，抗战期间，没什么名气。他能跟着国民党走，做国民党同路人，主要原因有二：第一、他和国民党有生殖器串连；第二、他和胡适有假生殖器串连，——他由太太出面，拜胡老太为干妈，当然他就是干女婿。他的干丈人胡适，在台大校长出缺时，自己不做，让给了钱思亮，自此钱思亮就平步青云，变成国民党文学侍从之臣了！
005.从胡老太秘录看钱大头忘恩负义.txt	9	自从张婉度拜了胡老太为干妈后，钱家上下，对胡家上下伺候得无微不至。胡适到台湾来，根本住的就是台北福州街二十号钱公馆，胡适约我到钱公馆聊天，我目击胡适被礼遇状况，已近肉麻程度；在另一边，胡老太在美国，就干脆住在钱煦家，钱煦是钱家二少爷，太太是胡匡政；他的哥哥是钱纯，太太是程琪（前教育部长程天放的女儿）；他的弟弟是钱复，太太是田玲玲。在美国那地方，家里住个老太太谈何容易！又何况是别人家的老太太！但是，在钱家上下对胡家上下马屁咚咚里，这又算什么呢？
005.从胡老太秘录看钱大头忘恩负义.txt	13	不料江冬秀老来认亲，好景不长，胡适突然在1962年死去，胡适一死，局面就更不同了，江冬秀虽然名为胡适未亡人，实际上，在干女儿干女婿眼里，已经与亡人无异。胡适死后5个月，7月20日的《自立晚报》上，就有了这样报导：
005.从胡老太秘录看钱大头忘恩负义.txt	15	上月的《新闻天地》上，有一则短短的报导，那则报导只不过有五六百字，占的篇幅非常之小，而偏藏一角，占的地位也非常的不重要。但是，仅只那短短的五六百字，却在海内外学术界，甚至全国人心上，投下一个沉重的阴影。那篇文章上透露出来胡适先生的未亡人胡师母的若干遭遇，并毫不避讳地指出，台湾大学校长钱思亮夫妇在胡适先生死后不久，即对胡师母有非常不友好的举动，像钱家把通往胡家住宅的后门封闭，钱氏夫妇见了胡师母理都不理等等。
005.从胡老太秘录看钱大头忘恩负义.txt	17	这篇短文传出来后，不啻一声巨雷，每一个国人，甚至远在太平洋彼岸之美国学术界人士，都为之震惊，一则是以胡适之先生在国际学术界之地位，且为我国一代思想大师，尸体未寒，未亡人竟已开始冷寞，一则是钱思亮夫妇和胡适夫妇的关系是太密切了，胡师母还是钱思亮夫人的干妈，胡师母未去美前，以及胡适先生返国期间，在台都是住在钱思亮校长家里，钱氏夫妇对两位老人家招待之好、体贴之微，乃社会上无人不知的事，而以钱思亮先生当初的地位及与政要方面的渊源，他之能荣膺校长以及达十余年之久，明眼人无不可看出与胡先生的鼎力支持有关。……
005.从胡老太秘录看钱大头忘恩负义.txt	23	胡适博士逝世以后，第一次传出有关他的消息，是他的义子媳台湾大学校长钱思亮夫妇，见弃于胡博士的未亡人江冬秀女士，这一件不幸的事情被揭发以后，无异于给自由中国的士林，投下了一枚重磅的炸弹，它的震动性虽不及中西文化论战那样的波澜壮阔，但是它在每一个人心底所产生的反应，却是有过之而无不及之处的。这也充分地显示出人情的冷暖，难怪胡博士一位生前的老友，在无可奈何的心情下，慨然地叹曰：“人在人情在，此事自古皆然，我们又何必独独苛求于钱思亮校长呢！”人生如戏，世事变化本来就没有常轨可循，胡博士在生前尝谓：做学问要彻底，对身外事物不要太认真。如今这一件事情的发生，如果是这一位素来讲求容忍的胡博士，在泉下有知，一定也会有一种会心的微笑，自慰于他生前对人生如戏一词的界说，果然在他的身边应验了。胡钱两家的交恶，目前正由双方的友好出面在调解中，胡夫人已不再斤斤计较后辈们，她表示只要钱思亮夫妇能够登门道歉一次，给她个老面子，这件事情也就算了，以后彼此仍然可以常常地往来走动。不过，调解人在这两个星期来的说和工作，进行得似乎不如理想，据说是因为钱思亮夫人不愿意让步，形成了僵持的局面，以致才有胡夫人积极要搬家的决心。因此，胡钱两家此番交恶，虽经调解斡旋，但是距离和好如初的日子，似乎还要有一段折冲的时间，才可能实现。
005.从胡老太秘录看钱大头忘恩负义.txt	29	这一压下来以后，钱思亮的忘恩负义行径，是不是就给“埋没”了呢？其实不然。胡老太居然忍不下这口气，自己写了《自传》，把它给抖了出来了。胡老太《自传》是秘密文件，据唐德刚《胡适杂忆》所说，是这样的：
005.从胡老太秘录看钱大头忘恩负义.txt	41	胡老太太那份手稿，不知今在何方？云天在望，希望它没有自人间遗失就好了。
005.从胡老太秘录看钱大头忘恩负义.txt	55	第二件是一位护士小姐，我回来听说，因适之生病，这位小姐伺候病人特别热心周到，她把适之当长辈看待，她是徐伯（柏）园先生的侄女儿，她陪同适之出医院就住在此地，日夜看护连续三四个礼拜，适之头次出院人精神很好，她（他）自己一定不肯要她住，她就回去了。好在只离开一点路，天天来看看。不久适之回南港，在那边有一天开会吃西瓜，那晚大吐大泻，幸而钱太太带护士去南港，就叫她留在南港，亏这位小姐住了好几天，还是适之一定不要她陪，他好了，一定不肯要，大概四天日夜，应该白天二百元，晚上二百五十元，连上次还有三天算起来，一共四千元。适之就不过意，叫王志维先生买了一个收音机送她，收音机收听台风消息很有用处，人民听见救急不少，台风来了，不巧刚卖完，只有个坏的故退回。过两天中秋，护士小姐来拜节，有张名片，上面写着秋姣放在礼物上，适之就问她：“小姐，你叫秋姣，是今天生日吧？”她笑笑，适之就包了一个红纸包，一千二百元，送她自买收音机，她说已买了一个，适之叫她买别样，她说好我收。钱太太要将护士小（姐）荐给梅校长，护士说我身体困乏，要休养几时再工作。其实梅校长已有护士，同行怕别人见怪，好钱太太就怪人家了，就去护士会去告她，说她向胡适之敲诈，而且，又到个什么会告她，我说不上来。钱思亮大校长自己打电话去南港，请胡颂平王志维两先生签字告护士，他们说明是胡院长自己送她的，我们不能瞎签字，此事万不能给胡院长知道，他是有病的人，要生气的。后来妇女会出来调解，是护士小姐合法，校长先生夫妇应该赔偿名誉。他们也有预备。还是胡颂平先生去说好话，求他们看胡院长面子，要是生气再复病可不得了，她是特别护士，算是大家没事了。但是台大不敢再用她，因校长派头大，一直我到台湾好久，才知道这回事。
005.从胡老太秘录看钱大头忘恩负义.txt	61	等到胡适死后，一幕幕嘴脸就出来了：
005.从胡老太秘录看钱大头忘恩负义.txt	63	不幸的适之2月24日去世了，大家都难过得不得了。祖望丧后回美第三天，陈雪屏夫人告诉我，副总统要买所房子给我住，院子大大的，好种点花草，让我院子里走走，恰好第三天，陈太太樊达（逵）羽太太钱太太三个人，坐车来接我看房子，在和平东路二段华侨二村三十号，此房情形一、没有院子同草地。二、偷工减料太单薄了。三、地皮比对面低二尺，下雨无处排水，也不能出门了。我说过二天再说，礼拜五回话，她第二天礼拜二就要决定，我只好决定不要了。那墙壁是竹子与泥糊的。里面生白蚁，台风来就会连房子倒的，外墙一望无边，没有人家，吓怕不吓怕，倒省事，用不着抬出去葬了。还要花十三万八千元顶费，虽然不是我出钱，也是国家的钱呀！第三天蒋经国先生来看我，他说对不起，前两天去台南，没有来看你，有需要帮忙处请告诉我。我说适之墓地，预备在中央研究院门外球场山上，他说那山太小不成局面，我说因研究院同事对适之非常爱护，让他们早晚也好照应，如同看见他一样。我又提到住房还没有找着，他说你可别搬呢？你老人家不要动，此房是台大招待所，因适之不是台大的，不能叫思亮为难，你年纪大了，没关系住好了。
005.从胡老太秘录看钱大头忘恩负义.txt	75	过年他夫妇不到医院去拜年，因适之每年送干女儿一个红包，他叫我借五十美元给他，替他封好，很高兴，等了三天不来，他也感觉无味，说出来。我劝他可以收俭，留着买书看开心点，他把红包还给我。她的二儿进款很丰富，可不必意思了，从我住在纽约，每年过年寄四十元送给干女儿压岁，从适之来台湾都是也给五十美元，就近送了。钱太太说过，只认干妈，改口叫胡先生了。她的儿子们去纽约哪个不是美元一百元五十元，从没有空回过，过河折（拆）桥。
005.从胡老太秘录看钱大头忘恩负义.txt	81	江冬秀这段回忆，重点有四：第一是胡适死后，江冬秀就被赶着搬出“台大招待所”。“台大招待所”固因“适之不是台大的”而使“适之夫人”不能住，但这一现象，并非胡适死后才发现的，“适之”生前，也不是台大的啊！为什么生前就可以呢？第二、钱思亮夫妇把两家相通的后门，给隔断了，后门如该隔断，为什么胡适生前不隔呢？第三、在梅贻琦死后的灵堂前，钱思亮已经装作不认得胡老太了，不但不认得，并且宣传胡老太“神经不正常”了；第四、其实在胡适生前，在胡适衰病侵寻的晚年，干女儿干女婿已经礼数有异了，本来每年都来给干爹干妈拜年的，干爹也每年都给红包的，可是，在干爹风烛残年的时候，拜年的人不见了。江冬秀写胡适包了红包，等了三天，最后把五十美金还给老太太的怅惘，写得真是动人。胡适生平喜欢李塨的话，主张“交友以自大其身，求士以求此身之不朽”。但他交的朋友，最后竟然凉薄到“过河拆桥”，他的隐恸，是可想而知的了。
005.从胡老太秘录看钱大头忘恩负义.txt	83	江冬秀是中国村妇，她变成胡老太后，难免有老太太们的一些偏执狂，这是人之常情，在她的笔下，也不是没有可议的语气。但是，她毕竟是一个“纯真”“朴素”的人，她不会做无风起浪的事。以钱思亮夫妇隔断后门为例，钱思亮在一九六二年七月六日的《民族晚报》上答复记者说：“自胡先生去世后，我们夫妇虐待了胡夫人，这有点冤枉，我们以什么方法虐待？如何虐待？”钱思亮又说：“因为根本没住在一起，因此不可能‘吵闹’，更不可能‘封锁一向来往内室之门’。”钱思亮告诉记者：他的家是福州街二十号，胡老太的家是福州街二十六号，他这样一说，给人的印象当然是两家隔着门牌的，既然隔着门牌，自然就无所谓隔断后门了。
005.从胡老太秘录看钱大头忘恩负义.txt	95	（后记）钱思亮是我在台大时的校长，外号“钱大头”，我在校期间，和他毫无往还，只在毕业谢师宴中，他跑来了，特别拉我过去，跟他聊天。后来胡秋原到法院告我，钱思亮为胡秋原提供伪证，我跑去质问他，他同我打太极拳，并告诉我一些别的事（如胡适写信给我，结果信被胡老太扣留了，他见过此信等），我不得要领，后来写信给他如下：
005.从胡老太秘录看钱大头忘恩负义.txt	107	当打官司的时候，法官问到我材料的来源，我完全根据实在情况说明，坦然陈述，自无疑义。谁知道胡秋原在半道里，忽然提出一项证据，他说他去函台大，问台大藏书和李敖借书的情形，据台大回信，说该校根本没有“闽变”年份的《国闻周报》，所以李敖是当庭说谎云云！
005.从胡老太秘录看钱大头忘恩负义.txt	127	看了这封所谓“敬复”的信，我才完完全全明白：我的母校的确公然的在帮助“校外人士”打击自己学生，——的确明目张胆地做了愚蠢而阴险的伪证！
005.从胡老太秘录看钱大头忘恩负义.txt	131	校长先生，你托你是胡适干女婿的福，跻身为今日台湾社会贤达、学术自由的象征。你到底为维护学术自由和自由学人做了多少事？挺身为这些人事“抗”了多少？你心里有数，我们心里也有数。要你这种软骨病的人来“抗”什么，我们知道这是奢求；但我认为你既不敢“抗”什么，至少不该一反其道，反倒助纣为虐的“陷害”什么。可叹的是，你毕竟畏于权势，居然一再协同“陷害”了。——我为你可惜、我为你可耻。
005.从胡老太秘录看钱大头忘恩负义.txt	159	四、钱思亮忘恩负义，“虐待”胡老太，并使胡适遗著胎死腹中。
006.辜振甫忘恩负义了吗？.txt	47	辜严倬云
006.辜振甫忘恩负义了吗？.txt	93	辜家有这么多的财产，真正的基础，是辜伟甫打下的，辜伟甫是最早和国民党大员搭上线的人，他不搭上这种线，就无从建立国民党官僚资本的关系。在三十多年前，他的哥哥辜振甫尚是台独分子，穷途潦倒，没人理他。后来他变节投靠国民党，靠弟弟的奥援，自此青云直攀，在权势和金钱两方面，都凌驾弟弟之上，相对之下，辜伟甫反倒弱下去了。虽然如此，基于饮水思源、基于手足之情、基于临终遗嘱与受命、基于辜家对外的共同利益与长远利益，辜振甫自然无法不出面收拾烂摊子，但是，事实上，辜振甫却一直想躲、想放水，这样一来，就太教人看不过去了。
006.辜振甫忘恩负义了吗？.txt	109	三、他们握住如上关系，要求弟为一群可怜的鹿港人，上书谢副总统，异口同赞他，是位有情有义、德高望重的长者，待人接物，无微不至，过去一本初衷，都是爱护辜家，不遗余力，于是特来要求本人，恭请他特出一臂之力，主持公道，劝告吾兄您毅然发挥勇气，为辜家声誉罔顾一切，挺身而出，严格执行令弟遗嘱，清理一切债务解决毋妄之纠纷，保持得来不易的贵府声誉其一，而免辜负令弟生前寄托遗嘱其二，这种于情于理于法两全其美的行事岂可何乐而不为呢？世上所谓断情取义岂不闻乎？
006.辜振甫忘恩负义了吗？.txt	111	四、弟承蒙众人，如此过大估计看待，实不敢当更无能为力，尤其古人有言：“清官难断家务事”，“吃三年清斋都不知人家内事”，于是好好当面婉谢。
006.辜振甫忘恩负义了吗？.txt	115	六、今日国家多难之秋，兄乃国家唯一大栋梁，而为国家做了广大的贡献，孟圣曰：“未能治家焉能治国，欲治其国者，必先齐其家，君岂不闻乎？际此以客观立场，平心而论，凡我鹿港人者，均对辜家有充分深厚的了解，换过来说，能了解辜家者，也是要鹿港人也，原来辜家是出于鹿港，辜家的发迹，也是由鹿港的，因此鹿港就是辜家的根，有鹿港才有辜家，有鹿港人真心的捧场，才有辜家今日之声誉，至于世上，谁能真正了解辜家呢？我敢断言，唯有鹿港人，才能真正了解辜家，不是真正的鹿港人是无法真正了解辜家的，换句话说，任何外地人，都无法了解辜家，这个事实，辜家全体勿论任何一分子，都应该认清知道的，今日社会，三朝变局，世情动荡，世事与兴革变化万千，际此，除了鹿港以外全省每一角落，都有虎视眈眈另眼相看之分子，由最近的“扫荡”就可窥其一端吗？兄岂不知乎？
006.辜振甫忘恩负义了吗？.txt	125	十一、振甫兄，昔日令尊在世，与谢静秋先生相处甚密，然而对故令兄辜皆的（皆得）先生的由来，一段故事，您是否知道？故令兄当时要进入辜家，被承领养，就是与生俱来辜家有缘，则辜家应该得的，所以斯时，由谢先生（心德仔先生）替令尊代为命名。曰：“辜皆得。”然而今日发生事情相反，令弟伟甫先生先来作古，但他遗产，却不能全部由“辜”该得的，还有部分是“辜”不该得的，这由令弟遗言，第一条明确指示“处理荣星股权以优先清偿全部债务”就可证明确有负债，债必清还，是不能“辜”独得的，依如上述情形，既有遗言指明不能“辜”该总得，应理出公论，就不可自圆其说而独吞了，据闻对于债务数目，有点发生疑问一事，此乃辜家个人内里私事，与一般外界债权人无关，可自行自清吧，切勿因获罪，而转过于无辜债权人身上啊！古人有言，君子爱财，取之有道，钱四脚，人两脚，是不能夺理强霸的，敢烦转告令侄，请勿轻视这群可怜的鹿港人为懦弱庸夫，他们也有受严正法律的保护，于是敬请趁事还未酿成恶化，赶紧出面收拾僵局，矫正歪风邪念，合情、合理、合法解决，履行清偿全部债务，切勿与府上内里之事鱼目混珠合并在一起，必须另行处理，才是贤明措施，也不失为辜家族长之气魄也。
006.辜振甫忘恩负义了吗？.txt	127	十二、最后再有一件悲愤交加所谓人在人情在、人亡人情亡的惨事奉告于后：就是舍侄林大宜，六十四岁，台中一中考进东京农大与令弟伟甫先生一中同学，也与舍侄林维增台中一中同学，更在日本东京也是同学。在扶桑期间，三人如同手足，互相照顾，回台后，也是交往甚密，互相信赖，合作无间。听说勿论建设民俗文物馆或整理荣星花园，甚至彰化花苗种植苗圃等，都是一任大宜一手负责处理，至于雇用一切工人的工资，过去都是均由大宜先代付，然后请求。但最后几次明细，自从令弟还未去世就提出请求，至今还没有得到任何消息交代，此间令弟已于去年九月二十七日不幸来先走，其后哪知大宜，也来病倒，呻吟在床数月，至于本年五月十六日与世长别了。向令侄晏宏先生开出的讣音，却被退回，使舍侄媳满腹悲愤，含冤在心头，感到人情如纸薄，内心痛苦，有口难言，无处可诉，谁能了解、谁能知道呢？尤其代负债务，无法清偿，这岂不是人道上，人在人情在、人亡人情亡之绝招乎？如此情形，未知令侄新董事长知道与否？噫！世风日下人心不古啊！
006.辜振甫忘恩负义了吗？.txt	155	明眼人一眼就看出，辜振甫显然在这封信里，无耻的把责任都一一推了开去，他说他“专函舍侄责其务必恪遵遗嘱”云云，是把责任推给辜晏宏；他说他“再嘱相关亲友及新遗嘱执行人妥谋解决”云云，是把责任推给第三者。他写这些大打太极拳的话，完全忘了他自己是什么身份了。在辜伟甫遗嘱中，开宗明义就是“请诸位替我做见证，并请五兄替我执行”，这遗嘱是经过辜振甫签字答应了的，又如何能赖？何况，在辜振甫这封信后五个月，台湾高等法院民事裁定（七十二年度抗字第二七七六号）中还说，辜振甫是“怠于执行职务”的“遗嘱执行人”呢！他这一身份尚未解除，又何来叫“舍侄”去“恪遵遗嘱”呢？又何来“相关亲友及新遗嘱执行人”呢？这种诪张为幻，岂不是无耻的乱打马虎眼吗？
007.柏杨忘恩负义了吗？.txt	7	上帝保佑司马光
007.柏杨忘恩负义了吗？.txt	11	总之，我对批评柏杨的作品实无兴趣。凡是跟着国民党走的作家，都令我想起一个外国作家自嘲的一段话：“我写作了几十年才发现我没有写作天才，但是，太迟了，我已经成名了，所以只好再写下去了。”如今柏杨甚至连写那种杂文都写得难乎为继了，他持盈保泰，连警察总监也不惹了，而要把《资治通鉴》翻成白话了。唉，上帝保佑司马光！
007.柏杨忘恩负义了吗？.txt	73	说了半天，还未说到这场文字狱的来龙去脉，去年（1967）5月，艾玫主编《中华日报》的家庭版，增设《大力水手》漫画，为美国金氏社出版供应，当时曾向社方报告，请政大女生颜素心翻译。可是有一天在饭桌上，艾玫忽然曰：“你也可以译呀。”可是我的英文程度不够，她说可以查字典，可以跟她研究，而稿费可以补贴家用，听了稿费，这才接下这份工作，但数日下来深感负担不胜，且无时间，而颜小姐已返菲律宾（她有菲律宾国籍）。直到11月间，她由菲律宾返台后，艾玫乃仍归颜素心小姐，才接手翻译，因她对编排外行，故仍有两事由我负责：一是把原文挖去，一是把颜译稿黏在原稿之上。
007.柏杨忘恩负义了吗？.txt	79	“大力水手”发生事件后，有人曾用官方名义函《中华日报》，恶毒云：“编者作者，显系故意，思想绝对有问题。”呜呼，这是什么居心？未经调查，即先下判断，治安机关被迫，只好严厉侦讯矣。将来是否产生文字狱，不敢预卜，但目前为止，艾玫已受到可怖的打击，《中华日报》事已被解聘，中广公司人心惶惶，调职到器材室，不准参加任何活动。而社会上传出柏杨先生夫妇被捕，称快者有之、愤怒者有之，今天一下午，电话不停，我只好一一回答并无其事，否则对政府只有伤害，有志之士复仇泄愤之心甚切，自不在乎政府有无损失，但我则不能不顾大体也。
007.柏杨忘恩负义了吗？.txt	93	今天一位办案先生向我吼曰：“你已激起了公愤，动摇了领导中心。危害政府，可知道大家已恨你入骨？”此学说甚为骇人，除了生气外，别无他法，盖这不是专指大力水手矣，是指我全部著作矣，颇感啼笑皆不是。
007.柏杨忘恩负义了吗？.txt	163	二四、告佳佳勿哭（她哭我在狱中会心惊），爸爸已先去美国等她。（如到美，可云我已回国。）
007.柏杨忘恩负义了吗？.txt	165	二五、你也不要哭（放宽心，想一想，柏杨先生的下场是文字狱与岳飞媲美，青史留名，也应一笑），更不可到处哭诉，更不可云军法不公，免你再受打击。
007.柏杨忘恩负义了吗？.txt	313	人各有说，我的环境容许我做自由和客观的想法，我的西方妻子又是我的一面镜子（有时我怕那面镜子是照妖镜），再加我受了孙中山、鲁迅、胡适、蒋梦麟、柏杨和你先生的影响，我产生了一个思想，进而成为信仰。我对这个信仰的虔诚，我胆敢说超于你们几位先进者之上。
007.柏杨忘恩负义了吗？.txt	315	我的信仰很简单，中国不振，是因为中国有一大敌，那个大敌，不是慈禧或袁世凯，不是张献忠或张宗昌，也不是日本军阀或各式不肖的党徒，那个大敌是衣冠楚楚堂皇正大社会上的“坏人性”——柏杨先生所谓的酱缸。这酱缸里面有自私、欺骗、不合作。
007.柏杨忘恩负义了吗？.txt	319	胡适之先生叹说中国抗战八年，没有一部历史记载，同样重要的，或更重要的，是中国人民被贪官污吏害了几百年，我们今天有没有一本《贪污史》？同样的我们有没有治学式的《小脚史》、《专制思想史》？太史公入狱受刑写《史记》，我们身受“小脚”（我的母亲是小脚）、“贪污”、“专制思想”之害的中国人看见一位有天才的治史家，禁不住发生上面的疑问，想你先生不会见怪的。
