id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary
LACMR-022	001.为中国人信命寻根.txt	59	59	为中国人信命寻根	论衡命论	信命者，则可幽居俟时，不须劳精苦形求索之也。犹珠玉之在山泽。	王充《论衡·命禄》	王充认为信命者可静待时来。
LACMR-023	001.为中国人信命寻根.txt	61	61	为中国人信命寻根	民间因果格言	善有善报，恶有恶报	传统俗语	李敖以俗语引出王充对因果报应的反驳。
LACMR-024	001.为中国人信命寻根.txt	65	65	为中国人信命寻根	论衡命论	夫性与命异，或性善而命凶、或性恶而命吉。	王充《论衡·命义》	王充将性与命区分开。
LACMR-025	001.为中国人信命寻根.txt	65	65	为中国人信命寻根	论衡格言	性自有善恶，命自有吉凶。	王充《论衡·命义》	王充说明德性善恶与命运吉凶各自独立。
LACMR-026	001.为中国人信命寻根.txt	77	77	为中国人信命寻根	论衡自述	世书俗说，多所不安	王充《论衡》相关自述	李敖用王充自况说明疑俗精神。
LACMR-027	001.为中国人信命寻根.txt	77	77	为中国人信命寻根	论衡自述	幽居独处，考论实虚	王充《论衡》相关自述	李敖概括王充独处考辨实虚。
LACMR-028	002.反符瑞.txt	5	5	反符瑞	论语名句	修己以安百姓，尧舜其犹病诸！	《论语·宪问》	王充引孔子语说明百姓安乐是太平之验。
LACMR-029	002.反符瑞.txt	5	5	反符瑞	论衡文句	夫太平以治定为效，百姓以安乐为符。	王充《论衡·宣汉》	王充反对符瑞，主张以治定民安为验。
LACMR-030	002.反符瑞.txt	5	5	反符瑞	论衡格言	圣主治世期于平安，不须符瑞。	王充《论衡·宣汉》	王充认为治世不须祥瑞证明。
LACMR-031	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	论语名句	子罕言……命	《论语·子罕》	李敖父亲讲正命时引孔子罕言命。
LACMR-032	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	论语名句	天何言哉，四时行焉，百物生焉。	《论语·阳货》	孔子以天何言说明天道运行。
LACMR-033	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	中庸名句	鬼神其为德，其盛矣乎！	《礼记·中庸》	李鼎彝讲正命时引儒家鬼神观。
LACMR-034	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	孟子名句	不立乎岩墙之下	《孟子·尽心上》	孟子以不立危墙说明尽人事。
LACMR-035	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	论语名句	赐不受命，而货殖焉	《论语·先进》	李鼎彝用子贡不受命说明不安命。
LACMR-036	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	中庸名句	素富贵行乎富贵，素贫贱行乎贫贱	《礼记·中庸》	李鼎彝用中庸语说明安命。
LACMR-037	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	中庸名句	君子无入而不自得	《礼记·中庸》	李鼎彝用中庸语说明君子处境自得。
LACMR-038	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	孟子名句	舜何人也？予何人也？有为者亦若是。	《孟子·滕文公上》	孟子以舜激励人为圣贤。
LACMR-039	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	论语成语	杀身成仁	《论语·卫灵公》	李鼎彝以杀身成仁说明成仁与安命。
LACMR-040	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	孟子名句	莫非命也，顺受其正。	《孟子·尽心上》	李鼎彝以孟子语阐释正命。
LACMR-041	003.李鼎彝《宿命正命造命与非命》书后.txt	11	11	李鼎彝《宿命正命造命与非命》书后	古典成句	功成不受赏，富贵若浮云	李鼎彝讲正命	用富贵若浮云说明正命者不以富贵为志。
LACMR-042	003.李鼎彝《宿命正命造命与非命》书后.txt	29	29	李鼎彝《宿命正命造命与非命》书后	论语名句	死生有命，富贵在天	《论语·颜渊》	李敖说明中国人一面信命一面造命的矛盾。
LACMR-043	003.李鼎彝《宿命正命造命与非命》书后.txt	29	29	李鼎彝《宿命正命造命与非命》书后	孟子名句	不立乎岩墙之下	《孟子·尽心上》	再次用孟子语说明命也可由避险改变。
LACMR-044	003.李鼎彝《宿命正命造命与非命》书后.txt	29	29	李鼎彝《宿命正命造命与非命》书后	孟子名句	舜何人也？予何人也？有为者亦若是。	《孟子·滕文公上》	再次用孟子语说明造命意味。
LACMR-045	003.李鼎彝《宿命正命造命与非命》书后.txt	33	33	李鼎彝《宿命正命造命与非命》书后	古典诗句	伤心失故老，回首望中原。	古人语	李敖以古人诗句悼念父亲与中原。
LACMR-046	004.“有如白水！”.txt	1	1	“有如白水！”	左传盟誓	有如白水！	《左传》	篇题即晋文公对子犯盟誓的成句。
LACMR-047	004.“有如白水！”.txt	5	5	“有如白水！”	古典小说格言	圣臣能使其君尊，贤臣能使其君安。	《东周列国志》	狐偃以臣道自责。
LACMR-048	004.“有如白水！”.txt	5	5	“有如白水！”	古典小说比喻	余笾残豆，不可再陈；敝席破帷，不可再设。	《东周列国志》	狐偃用残器敝物比喻自己功成当退。
LACMR-049	004.“有如白水！”.txt	5	5	“有如白水！”	盟誓文句	孤返国，若忘了舅氏之劳，不与同心共政者，子孙不昌！	《东周列国志》	晋文公向河设誓不忘狐偃。
LACMR-050	004.“有如白水！”.txt	5	5	“有如白水！”	盟誓文句	河伯为盟证也！	《东周列国志》	晋文公以河伯为盟证。
LACMR-051	004.“有如白水！”.txt	7	7	“有如白水！”	书经文句	尔之许我，我其以壁与珪归俟尔命；不许我，我乃屏璧与珪。	《尚书》	周公祷告时以玉与神讨价还价。
LACMR-052	004.“有如白水！”.txt	9	9	“有如白水！”	左传文句	臣之罪甚多矣！臣犹知之，而况君乎？请由此亡。	《左传》	子犯过河时请辞。
LACMR-053	004.“有如白水！”.txt	9	9	“有如白水！”	左传盟誓	所不与舅氏同心者，有如白水！	《左传》	晋文公投璧于河，发有如白水之誓。
LACMR-054	004.“有如白水！”.txt	11	11	“有如白水！”	左传文句	秦伯以璧祈战于河。	《左传·文公十二年》	李敖举以玉祈河的例子。
LACMR-055	004.“有如白水！”.txt	11	11	“有如白水！”	左传盟誓	若背其言，所不归尔帑者，有如河！	《左传·文公十三年》	秦伯以有如河为盟誓。
LACMR-056	004.“有如白水！”.txt	11	11	“有如白水！”	左传盟誓	婴所不唯忠于君、利社稷者是与，有如上帝！	《左传·襄公二十五年》	晏子以有如上帝发誓。
LACMR-057	004.“有如白水！”.txt	11	11	“有如白水！”	左传盟誓	阳虎若不能居鲁，而息肩于晋，所不以为中军司马者，有如先君！	《左传·定公六年》	孟孙以有如先君为誓。
LACMR-058	004.“有如白水！”.txt	11	11	“有如白水！”	左传盟誓	需，事之贼也！谁非陈宗？所不杀子者，有如陈宗！	《左传·哀公十四年》	子行抽剑时所发有如陈宗之誓。
LACMR-059	004.“有如白水！”.txt	11	11	“有如白水！”	晋书盟誓	祖逖不能清中原而复济者，有如大江！	《晋书·祖逖传》	祖逖中流击楫的有如大江之誓。
LACMR-060	004.“有如白水！”.txt	15	15	“有如白水！”	史记盟誓	若反国，所不与子犯共者，河伯视之！	《史记·晋世家》	《史记》所记晋文公对子犯盟誓。
LACMR-061	004.“有如白水！”.txt	17	17	“有如白水！”	国语盟誓	所不与舅氏同心者，有如河水！	《国语》	《国语》所记晋文公盟誓异文。
LACMR-062	004.“有如白水！”.txt	19	19	“有如白水！”	古注训释	言与舅氏同心之明，如此白水也，犹诗言谓予不信，有如皦日	《左传》旧注	李敖列举并批评旧注对有如白水的解释。
LACMR-063	005.我看老天爷.txt	9	9	我看老天爷	古典诗句	可怜无补费精神	传统诗文成句	李敖借诗句说明乱用天、帝等概念徒耗精神。
LACMR-064	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	敬天之怒	《诗经》《尚书》	李敖列举上古神性之天的语汇。
LACMR-065	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	逢天僤怒	《诗经》《尚书》	上古文献中天怒的表达。
LACMR-066	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	畏天之威	《诗经》	上古文献中畏天威的表达。
LACMR-067	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	唯恭行天之罚	《诗经》《尚书》	上古文献中代天行罚的表达。
LACMR-068	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天命靡常	《诗经》	上古文献中天命无常的表达。
LACMR-069	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天命匪解	《诗经》《尚书》	上古文献中天命不可松懈的表达。
LACMR-070	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天命诛之	《诗经》《尚书》	上古文献中以天命诛罚的表达。
LACMR-071	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天降慆德	《诗经》《尚书》	上古文献中天降恶德的表达。
LACMR-072	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天降丧乱	《诗经》《尚书》	上古文献中天降灾乱的表达。
LACMR-073	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	天亦哀于四方民	《诗经》《尚书》	上古文献中天哀民众的表达。
LACMR-074	005.我看老天爷.txt	17	17	我看老天爷	诗经名句	皇矣上帝	《诗经·大雅·皇矣》	李敖举《诗经》中人格化上帝语。
LACMR-075	005.我看老天爷.txt	17	17	我看老天爷	诗书上帝语	昭明上帝	《诗经》《尚书》	上古文献中称上帝昭明。
LACMR-076	005.我看老天爷.txt	17	17	我看老天爷	诗书上帝语	上帝监民	《诗经》《尚书》	上古文献中上帝监察民众的表达。
LACMR-077	005.我看老天爷.txt	17	17	我看老天爷	诗书上帝语	闻于上帝	《诗经》《尚书》	上古文献中闻达上帝的表达。
LACMR-078	005.我看老天爷.txt	17	17	我看老天爷	诗书上帝语	皇天上帝	《诗经》《尚书》	上古文献中皇天上帝的称谓。
LACMR-079	005.我看老天爷.txt	17	17	我看老天爷	诗书天命语	昊天上帝	《诗经》《尚书》	李敖举上古文献中昊天上帝称谓。
LACMR-080	005.我看老天爷.txt	17	17	我看老天爷	书经文句	天乃赐禹洪范九畴	《尚书·洪范》	李敖以《书经》语说明天赐洪范的神性。
LACMR-081	005.我看老天爷.txt	23	23	我看老天爷	国语名句	古者民神不杂	《国语·楚语》	观射父论古代民神分职的开头。
LACMR-082	005.我看老天爷.txt	23	23	我看老天爷	国语文句	在男曰觋，在女曰巫。	《国语·楚语》	观射父说明巫觋职能。
LACMR-083	005.我看老天爷.txt	23	23	我看老天爷	国语格言	民神异业，敬而不渎。	《国语·楚语》	观射父说明民神各司其业。
LACMR-084	005.我看老天爷.txt	27	27	我看老天爷	国语名句	民神杂糅，不可方物。	《国语·楚语》	观射父说明九黎乱德后民神混同。
LACMR-085	005.我看老天爷.txt	27	27	我看老天爷	国语短语	民神同位	《国语·楚语》	李敖用来说明人神关系混乱。
LACMR-086	005.我看老天爷.txt	27	27	我看老天爷	国语名句	绝地天通	《国语·楚语》	颛顼分天神与地民的传说。
LACMR-087	005.我看老天爷.txt	63	63	我看老天爷	书经文句	时则有若伊尹，格于皇天	《尚书》	李敖以伊尹配天说明天神祖先化。
LACMR-088	005.我看老天爷.txt	65	65	我看老天爷	左传注文	土为群物主，故称后也。其祀句龙焉。	《左传》注	说明后土与句龙的关系。
LACMR-089	005.我看老天爷.txt	71	71	我看老天爷	诗经名句	文王在上，于昭于天	《诗经》	李敖举文王在天说明祖先入天。
LACMR-090	005.我看老天爷.txt	71	71	我看老天爷	诗经名句	三后在天	《诗经》	李敖举三后在天说明天、帝、祖相近。
LACMR-091	005.我看老天爷.txt	71	71	我看老天爷	诗经文句	桓桓武王……于昭于天	《诗经》	李敖举武王在天的诗句。
LACMR-092	005.我看老天爷.txt	83	83	我看老天爷	书经文句	我先后绥乃祖乃父，乃祖乃父乃断弃汝，不救乃死！	《尚书·盘庚中》	盘庚以祖先鬼神威胁臣民。
LACMR-093	005.我看老天爷.txt	95	95	我看老天爷	左传天命语	天祸许国	《左传》	春秋以后诸侯以天解释人事的例子。
LACMR-094	005.我看老天爷.txt	95	95	我看老天爷	左传天命语	天未绝晋	《左传》	春秋文献中天命护国的表达。
LACMR-095	005.我看老天爷.txt	95	95	我看老天爷	左传天命语	天实置之	《左传》	春秋文献中天实安排的表达。
LACMR-096	005.我看老天爷.txt	95	95	我看老天爷	左传天命语	天奉我也	《左传》	春秋文献中以天支持自身的表达。
LACMR-097	005.我看老天爷.txt	111	111	我看老天爷	书经文句	尔之许我，我其以璧与珪归俟尔命；不许我，我乃屏壁与珪。	《尚书》	李敖再举周公向祖先讨价还价的祷告语。
LACMR-098	005.我看老天爷.txt	117	117	我看老天爷	孟子名句	登泰山而小天下	《孟子·尽心上》	以泰山之高引出封禅。
LACMR-099	005.我看老天爷.txt	129	129	我看老天爷	列子文句	楚人鬼而越人禨	《列子》	李敖用来说明天神信仰的地区性。
LACMR-100	005.我看老天爷.txt	131	131	我看老天爷	汉书文句	故秦时上帝祠何帝也？	《汉书·郊祀志》	汉高祖问秦时上帝祠祀何帝。
LACMR-101	005.我看老天爷.txt	131	131	我看老天爷	汉书文句	吾闻天有五帝，而四，何也？	《汉书·郊祀志》	汉高祖追问五帝缺一。
LACMR-102	005.我看老天爷.txt	131	131	我看老天爷	汉书文句	乃待我而具五也！	《汉书·郊祀志》	汉高祖说五帝待自己补足。
LACMR-103	005.我看老天爷.txt	149	149	我看老天爷	墨子名句	义果自天出矣！	《墨子·天志》	墨子以天为贵知，认为义出于天。
LACMR-104	005.我看老天爷.txt	153	153	我看老天爷	墨子文句	尚同乎天子，而未上同乎天，则天菑将犹未止也	《墨子·尚同》	墨子以天罚说明尚同于天。
LACMR-105	005.我看老天爷.txt	159	159	我看老天爷	春秋繁露文句	天地之符，阴阳之副，常设于身。	董仲舒《春秋繁露·人副天数》	董仲舒以人体比附天地阴阳。
LACMR-106	005.我看老天爷.txt	159	159	我看老天爷	春秋繁露文句	身犹天也，数与之相参，故命与之相连也。	董仲舒《春秋繁露·人副天数》	董仲舒以人身与天数相参说明命与天连。
LACMR-107	005.我看老天爷.txt	163	163	我看老天爷	春秋繁露文句	为生不能为人，为人者，天也。	董仲舒《春秋繁露·为人者天》	董仲舒说人为人本于天。
LACMR-108	005.我看老天爷.txt	163	163	我看老天爷	春秋繁露文句	天之副在乎人。人之情性，有由天者矣！	董仲舒《春秋繁露·为人者天》	董仲舒以人为天副。
LACMR-109	005.我看老天爷.txt	177	177	我看老天爷	诗经名句	翰飞戾天	《诗经》	李敖举自然性之天的诗句。
LACMR-110	005.我看老天爷.txt	177	177	我看老天爷	诗经名句	上天同云	《诗经》	李敖举自然性之天的诗句。
LACMR-111	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天不佣	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-112	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天不惠	《诗经·节南山》	梁启超举诗人疑天怨天的句子。
LACMR-113	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天不平	《诗经·节南山》	梁启超举诗人疑天怨天的句子。
LACMR-114	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	天命不彻	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-115	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	浩浩昊天，不骏其德	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-116	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天疾威，弗虑弗图	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-117	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	如何昊天，辟言不信	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-118	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天泰怃，予慎无辜	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-119	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	天之方难	《诗经·板》	梁启超举诗人疑天怨天的句子。
LACMR-120	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	天之方蹶	《诗经·板》	梁启超举诗人疑天怨天的句子。
LACMR-121	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	天之方虐	《诗经·板》	梁启超举诗人疑天怨天的句子。
LACMR-122	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	天之方懠	《诗经·板》	梁启超举诗人疑天怨天的句子。
LACMR-123	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	疾威上帝，其命多辟	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-124	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	昊天上帝，宁俾我遁	《诗经》	梁启超举诗人疑天怨天的句子。
LACMR-125	005.我看老天爷.txt	181	181	我看老天爷	诗经怨天语	瞻卬上帝，曷惠其宁	《诗经·云汉》	梁启超举诗人疑天怨天的句子。
LACMR-126	005.我看老天爷.txt	185	199	我看老天爷	民间歌谣	老天爷，你年纪大，耳又聋来眼又花，你看不见人，听不见话。杀人放火的享着荣华，吃素看经的活活饿杀。老天爷：你不会作天，你塌了吧！你不会作天，你塌了吧！	《豆棚闲话》	骂老天爷的民众怨天歌谣。
LACMR-127	005.我看老天爷.txt	207	207	我看老天爷	论语名句	天生德于予	《论语·述而》	孔子以天生德自信。
LACMR-128	005.我看老天爷.txt	209	209	我看老天爷	论语名句	知我者，其天乎？	《论语·宪问》	孔子以天为知己。
LACMR-129	005.我看老天爷.txt	211	211	我看老天爷	论语名句	获罪于天，无所祷也！	《论语·八佾》	孔子说获罪于天无所祷。
LACMR-130	005.我看老天爷.txt	213	213	我看老天爷	清人辨论	岂祷于理乎？	钱大昕《十驾斋养新录》	钱大昕反驳朱熹天即理说。
LACMR-131	005.我看老天爷.txt	215	215	我看老天爷	论语名句	天厌之！天厌之！	《论语·雍也》	孔子见南子后对子路发誓之语。
LACMR-132	005.我看老天爷.txt	217	217	我看老天爷	论语名句	敬鬼神而远之	《论语·雍也》	孔子对鬼神的态度。
LACMR-133	005.我看老天爷.txt	217	217	我看老天爷	论语名句	不语怪、力、乱、神	《论语·述而》	孔子不谈怪力乱神。
LACMR-134	005.我看老天爷.txt	223	223	我看老天爷	老子名句	天将救之，以慈卫之。	《老子》	李敖举老子中带神性意味的天。
LACMR-135	005.我看老天爷.txt	227	227	我看老天爷	老子名句	天之所恶，孰知其故？	《老子》	李敖举老子中天恶之语。
LACMR-136	005.我看老天爷.txt	229	229	我看老天爷	老子名句	天道无亲，常与善人。	《老子》	老子关于天道与善人的名句。
LACMR-137	005.我看老天爷.txt	231	231	我看老天爷	老子名句	天地不仁	《老子》	李敖举老子自然性之天。
LACMR-138	005.我看老天爷.txt	231	231	我看老天爷	老子名句	天法道，道法自然	《老子》	老子以道法自然解释天。
LACMR-139	005.我看老天爷.txt	231	231	我看老天爷	老子名句	天地所以能长且久者，以其不自生，故能长生。	《老子》	老子论天地长久。
LACMR-140	005.我看老天爷.txt	235	235	我看老天爷	庄子文句	技兼于事，事兼于义，义兼于德，德兼于道，道兼于天。	《庄子》	李敖举庄子中自然性之天。
LACMR-141	005.我看老天爷.txt	237	237	我看老天爷	庄子名句	无为为之之谓天。	《庄子》	庄子以无为释天。
LACMR-142	005.我看老天爷.txt	241	241	我看老天爷	庄子名句	知天之所为，知人之所为者，至矣！	《庄子》	庄子论知天与知人。
LACMR-143	005.我看老天爷.txt	241	241	我看老天爷	庄子名句	庸讵知吾所谓天之非人乎？所谓人之非天乎？	《庄子》	庄子模糊天与人的界限。
LACMR-144	005.我看老天爷.txt	249	249	我看老天爷	荀子名句	天行有常，不为尧存，不为桀亡。	《荀子·天论》	荀子自然天论的核心句。
LACMR-145	005.我看老天爷.txt	249	249	我看老天爷	荀子名句	明于天人之分，则可谓至人矣。	《荀子·天论》	荀子主张明辨天人之分。
LACMR-146	005.我看老天爷.txt	249	249	我看老天爷	荀子名句	天有其时、地有其财、人有其治，夫是之谓能参。	《荀子·天论》	荀子论天时地财人治。
LACMR-147	005.我看老天爷.txt	249	249	我看老天爷	荀子名句	唯圣人为不求知天。	《荀子·天论》	荀子主张圣人不求知天。
LACMR-148	005.我看老天爷.txt	251	251	我看老天爷	荀子名句	禹以治、桀以乱，治乱非天也！	《荀子·天论》	荀子以禹桀说明治乱在人不在天。
LACMR-149	005.我看老天爷.txt	251	251	我看老天爷	荀子名句	怪之，可也；而畏之，非也	《荀子·天论》	荀子论天地怪异不必畏惧。
LACMR-150	005.我看老天爷.txt	253	253	我看老天爷	荀子名句	大天而思之，孰与物畜而制之？	《荀子·天论》	荀子主张制天命而用之的开端。
LACMR-151	005.我看老天爷.txt	253	253	我看老天爷	荀子名句	从天而颂之，孰与制天命而用之？	《荀子·天论》	荀子反对空颂天命，主张利用自然。
LACMR-152	005.我看老天爷.txt	253	253	我看老天爷	荀子名句	错人而思天，则失万物之情。	《荀子·天论》	荀子警告放弃人为而思天会失万物之情。
LACMR-153	005.我看老天爷.txt	257	257	我看老天爷	戏改格言	天道无亲，常与愚人	李敖戏改《老子》	李敖借老子句式感叹荀子思想被冷落。
LACMR-154	006.有眼识泰山.txt	3	3	有眼识泰山	俗语	五岳归来不看山	中国山岳俗语	李敖以俗语说明五岳在名山观念中的地位。
LACMR-155	006.有眼识泰山.txt	3	3	有眼识泰山	山岳格言	五岳为群山之尊，泰山又为五岳之长	传统泰山说法	说明泰山在五岳中的尊位。
LACMR-156	006.有眼识泰山.txt	13	13	有眼识泰山	白虎通文句	王者易姓而起，必升封泰山何？报告之义也。	《白虎通·封禅》	《白虎通》解释王者封泰山的理由。
LACMR-157	006.有眼识泰山.txt	211	211	有眼识泰山	典故成语	此泰山之力也！	唐玄宗封禅典故	泰山成为岳父代称的典故。
LACMR-158	006.有眼识泰山.txt	213	213	有眼识泰山	孟子名句	登泰山而小天下	《孟子·尽心上》	孔子登泰山而小天下的传统说法。
LACMR-159	006.有眼识泰山.txt	213	213	有眼识泰山	礼记歌辞	泰山其颓乎！梁木其坏乎！哲人其萎乎！	《礼记·檀弓》	孔子临终所唱的泰山梁木之歌。
LACMR-160	006.有眼识泰山.txt	217	217	有眼识泰山	国语文句	山川之灵，足以纪纲天下者，其守为神。	《国语》记孔子语	古人以山川之灵为神。
LACMR-161	006.有眼识泰山.txt	223	223	有眼识泰山	史记文句	封禅者，合不死之名也	《史记·封禅书》	齐人丁公解释封禅与不死的关系。
LACMR-162	006.有眼识泰山.txt	227	227	有眼识泰山	镜铭歌辞	上大（泰）山，见神人，食玉英，饮澧泉，驾交龙，乘浮云，白虎引兮直上天，受长命，寿万年，宜官秩，保子孙	《大山镜铭》	汉镜铭中的泰山长生祈愿。
LACMR-163	006.有眼识泰山.txt	229	229	有眼识泰山	民俗成语	泰山石敢当	中国民间辟邪语	泰山主生观念下的民间辟邪语。
LACMR-164	006.有眼识泰山.txt	255	255	有眼识泰山	佛经文句	布施济众则命终魂灵不入太山地狱。	《六度杂经》	佛经中泰山地狱的说法。
LACMR-165	006.有眼识泰山.txt	257	257	有眼识泰山	佛经文句	泰山地狱饿鬼畜生道。	《佛说八吉祥神咒经》	佛经中泰山地狱与恶道并列。
LACMR-166	006.有眼识泰山.txt	259	259	有眼识泰山	佛经文句	死后当入太（泰）山地狱。	《佛说鬼子母经》	佛经中死后入泰山地狱的说法。
LACMR-167	006.有眼识泰山.txt	261	261	有眼识泰山	佛经文句	福尽还入泰山地狱。	《出曜经》	佛经中福尽入泰山地狱的说法。
LACMR-168	006.有眼识泰山.txt	265	265	有眼识泰山	风俗通义文句	金箧玉策，能知人之年寿长短	应劭《风俗通义》	旧传泰山主死的簿籍观念。
