priority	kind	score	tag	file	line	text	same_line_export_ids	context
18	review_candidate_not_exported	8	literary-check	042.关公的计程车.txt	13	嘶喊咆哮，有腾空入海之状		由于时代的进步，“日行千里”对于人类已经完全不算一回事了，名马的用途，已经抵不住一辆计程车。关云长生于今日，一定改坐计程车或小包车或装甲车，而把赤兔马送到香港跑马厅去比赛。这是时代的进步，反射了旧日英雄名马的悲哀。新时代的英雄造型，已经完全不是那股“嘶喊咆哮，有腾空入海之状”了，他们不去叱咤风云而去戡天缩地，不去血流漂杵而去研讨知识，不去砍砍杀杀而去上下古今...
18	review_candidate_not_exported	8	literary-check	047.读者怒吼之一.txt	23	凡是中国固有的文物——如毛笔字、中医……都应该扬弃		法国的自由派大师伏尔泰（Voltaire）曾有一段名言，他说：“你说的话，我一句也不赞成：可是我要拼命为你争取有说这话的权利。”这是在言论自由时代，我们最该实行的态度。何况这位写信人的话，绝非我李敖“一句也不赞成”，例如他说我李敖主张“凡是中国固有的文物——如毛笔字、中医……都应该扬弃”等等，就是很正确的论断，我完全接受，并且谢谢他的肯定。
17	review_candidate_not_exported	7	literary-check	024.何秀子的启示.txt	3	公娼其外，私娼其中。		在《台湾省管理妓女办法》的失效状态下，目前的局面只是八个大字：“公娼其外，私娼其中。”私娼的横行猖獗，已经到了令人毛骨悚然的地步。私娼这种气焰，并不是暗中表示的，他们已到了公然为之的境界。1960年11月，台中光复路的20家私娼，居然联名上书市议会，声言她们的私娼业已经有40多年的历史，所以要求确保“繁荣”，“以利民困”！这套把戏谁不会耍呢？今年5月里，丰原...
17	review_candidate_not_exported	7	literary-check	026.“流氓”与法律.txt	3	你们‘法外杀人’，会杀得‘手滑’！		宋朝时候有一个坏蛋，大家皆曰可杀，可是没有杀他的法律根据。但是大家还是要杀。当时范仲淹看不过去了，他说：“你们‘法外杀人’，会杀得‘手滑’！”
17	review_candidate_not_exported	7	literary-check	036.中法私案的四点分析.txt	17	再怎样去惩罚他，我也好不了多少，何况他也不会再属于我了，我也没心情去爱他。		三、就“中法三角恋”三位当事人本身来说，这是一个超出法律、道德以外的问题，是一个感情的和爱情的问题。别人（包括“双方家长”）都无权干涉。何况覆水难收破镜难圆，用法律和道德来强制执行，只有增加三方面各种不同的痛苦，至多只得其躯壳，而无法得其神髓。远去美国的所谓“被害人”最能明白这个道理，所以她来信说：“再怎样去惩罚他，我也好不了多少，何况他也不会再属于我了，我...
17	review_candidate_not_exported	7	literary-check	047.读者怒吼之一.txt	23	你说的话，我一句也不赞成：可是我要拼命为你争取有说这话的权利。		法国的自由派大师伏尔泰（Voltaire）曾有一段名言，他说：“你说的话，我一句也不赞成：可是我要拼命为你争取有说这话的权利。”这是在言论自由时代，我们最该实行的态度。何况这位写信人的话，绝非我李敖“一句也不赞成”，例如他说我李敖主张“凡是中国固有的文物——如毛笔字、中医……都应该扬弃”等等，就是很正确的论断，我完全接受，并且谢谢他的肯定。
16	review_candidate_not_exported	6	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	73	凌波小姐也爱用黑人牙膏		在目前的世界趋势里，真正能“唤起民众”的人，大部分都是学者和思想家以外的人物，这些人物出面来鼓吹学者和思想家的意见，所收的效果，要在比例上大得多。马龙白兰度出面主张废止死刑、查尔赫斯顿出面主张黑白平等、法兰克辛纳屈出面关切总统选举……这些举动，都容易引起天下风从的效果，都比什么专家什么学者的呼吁来得灵。大事如此，小事又何独不然？一个“黑人牙膏”，牙医师的千言...
16	review_candidate_not_exported	6	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	127	高中毕业并没有带给我一丝高兴，因为与我相依为命的父亲在半个月前得病入院就医，家里再也找不出一个人能助我一臂之力，在医院里看顾父亲，眼看大专联考即将来临，若是多花时间看书，则父亲将疏于看护，但我又非常想参加联考继续念书。刘姐姐：若是我参加联考而不能日夜照顾父亲，这样我是不是不孝？请告诉我该怎么办呢？		今天报社把韵如小妹的一封限时信转给我，信上说：“高中毕业并没有带给我一丝高兴，因为与我相依为命的父亲在半个月前得病入院就医，家里再也找不出一个人能助我一臂之力，在医院里看顾父亲，眼看大专联考即将来临，若是多花时间看书，则父亲将疏于看护，但我又非常想参加联考继续念书。刘姐姐：若是我参加联考而不能日夜照顾父亲，这样我是不是不孝？请告诉我该怎么办呢？”
16	review_candidate_not_exported	6	literary-check	010.由大奶奶到上空装.txt	13	传统的中国道德观念		警务处发言人的谈话，是透过美联社记者向全世界宣布的，所以它的意义也十分重大。但是，在我们学历史的人眼里，却未免认为这位“警察总监”的大老爷的大脑大有问题。因为就拿这位发言人自己穿的制服而论，在孔夫子或魏忠贤等任何古人的眼中，又何尝不是道道地地的“奇装异服”呢？又何尝不“违反传统的中国道德观念”呢？警察老爷们若读读中国的风俗史，可知道“传统的中国道德观念”——...
16	review_candidate_not_exported	6	literary-check	010.由大奶奶到上空装.txt	13	违反传统的中国道德观念		警务处发言人的谈话，是透过美联社记者向全世界宣布的，所以它的意义也十分重大。但是，在我们学历史的人眼里，却未免认为这位“警察总监”的大老爷的大脑大有问题。因为就拿这位发言人自己穿的制服而论，在孔夫子或魏忠贤等任何古人的眼中，又何尝不是道道地地的“奇装异服”呢？又何尝不“违反传统的中国道德观念”呢？警察老爷们若读读中国的风俗史，可知道“传统的中国道德观念”——...
15	review_candidate_not_exported	5	literary-check	007.对“好人”播音.txt	7	好人容忍、坐视，甚至默许恶人做坏事		对这个问题，我自己有更特殊的看法。我认为：天下坏事的造成，有两个原因，一个是“恶人做坏事”；另外一个是“好人容忍、坐视，甚至默许恶人做坏事”。结果呢？有能力或可能有能力的好人，在有机会或可能有机会的时候，放弃了打击恶人、阻止恶人做恶的行动。于是天下的坏事，也就一件一件的蔓延起来了。
15	review_candidate_not_exported	5	literary-check	013.可怕的哥哥.txt	7	陈占美与傅女发生关系时，只是在外面碰碰，并没有直接进去！		女主角的二哥犯法以后，她的大哥又出面了。大哥和她的父亲公然招待记者，同时把女主角带来，夹在他们父子两人中间，叫她公开否认她对检察官所说的陈老师“并未非礼”，及她“愿意受医生检查以证清白”等话。她的大哥和爸爸，当着她和记者的面，公然演说陈老师对她“猥亵行为”的细节，从用手到用嘴，从动作到次数，都描写得如真如绘如身历其境，害得女生角当时无地自容有口难辩。此外，她...
15	review_candidate_not_exported	5	literary-check	016.“一字师”和改文章.txt	9	在报馆里，要实行训政		在王新命《新闻圈里四十年》中，有一段讲他刚进《中央日报》的故事。那时候社长是胡健中，胡健中说他“在报馆里，要实行训政”。“不论是谁写的文章，只要有不对的地方，我都要改。别人也许讲客气，不改文章，但我却不客气，要改文章，就是陶希圣先生的文章，我也一样要改。”（页498）在这种预先声明的情形下，王新命的第一篇社论就被发付执行了：胡健中圈去了一个字，然后对王新命说...
15	export_scope_edge		possible-remove	021.瑞典与废娼.txt	11	平康狎妓	LASXGJ-066	传统风月语 / 旧时士人出入平康坊狎妓的风雅化说法。 / 李敖用它批评祖宗把娼妓制度装扮成士人雅事。
15	review_candidate_not_exported	5	literary-check	032.沈之岳也不可怕.txt	13	遥控制无线电录音机		沈局长又说，现代的办案方法，乃是完全根据科学方法和仪器的结论，如“远程照相机”、如“红外线照相机”、如“遥控制无线电录音机”，这些完全准确的“千里眼”和“顺风耳”，都是使嫌疑犯无所遁形的最好工具。所以到今天这样科学进步的时代，“刑求”两个字，可以说是历史上的名词了！
15	review_candidate_not_exported	5	literary-check	034.闯“红灯”.txt	5	古老有余、现代不足		“红灯”的唯一目的，在维持交通的安全，这是人人都知道的；“红灯”出现时车辆应暂停，这也是人人都知道的。但在我们中国方面，因为还属于“古老有余、现代不足”的阶段，所以对“红灯”的睁眼闭眼，许多人还不重视，不重视的表现就是“闯红灯”。
15	review_candidate_not_exported	5	literary-check	040.社会转型未到家.txt	29	发乎情，止乎礼		第一、重视贞操——贞操是个人心灵的健康基础，也是男女情感的安全堤防，在其对于一个人的生命价值上看，我们绝不认为贞操观念有何落伍之处。试对证所有已成悲剧的情变案，无不包含着“始乱终弃”之内容，便可了解其在感情问题上的作用了。因此，我们确认贞操问题乃是情变是否成为悲剧的关键，也确认这是男女两方共同的责任。那么，“发乎情，止乎礼”的男女交往原则，必须坚守。
15	review_candidate_not_exported	5	literary-check	041.笔上无毛说.txt	3	国语文及书法教学时间，绝对不可移作他用		我们的省政府教育厅，在8月5号的厅务会报上，又宣称受主席指示，要“加强国语文教学与中小学学生毛笔字，以发扬我国固有文化”了！并且要台湾书店“自制合乎标准而廉价实用的笔墨，供应学生使用”了！又坚持“国语文及书法教学时间，绝对不可移作他用”了！“学生作文，必须使用毛笔”了！
15	review_candidate_not_exported	5	literary-check	041.笔上无毛说.txt	3	加强国语文教学与中小学学生毛笔字，以发扬我国固有文化		我们的省政府教育厅，在8月5号的厅务会报上，又宣称受主席指示，要“加强国语文教学与中小学学生毛笔字，以发扬我国固有文化”了！并且要台湾书店“自制合乎标准而廉价实用的笔墨，供应学生使用”了！又坚持“国语文及书法教学时间，绝对不可移作他用”了！“学生作文，必须使用毛笔”了！
15	review_candidate_not_exported	5	literary-check	041.笔上无毛说.txt	3	学生作文，必须使用毛笔		我们的省政府教育厅，在8月5号的厅务会报上，又宣称受主席指示，要“加强国语文教学与中小学学生毛笔字，以发扬我国固有文化”了！并且要台湾书店“自制合乎标准而廉价实用的笔墨，供应学生使用”了！又坚持“国语文及书法教学时间，绝对不可移作他用”了！“学生作文，必须使用毛笔”了！
15	review_candidate_not_exported	5	literary-check	041.笔上无毛说.txt	3	自制合乎标准而廉价实用的笔墨，供应学生使用		我们的省政府教育厅，在8月5号的厅务会报上，又宣称受主席指示，要“加强国语文教学与中小学学生毛笔字，以发扬我国固有文化”了！并且要台湾书店“自制合乎标准而廉价实用的笔墨，供应学生使用”了！又坚持“国语文及书法教学时间，绝对不可移作他用”了！“学生作文，必须使用毛笔”了！
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	不守妇道	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	大逆不道	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	母性	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	女飞行家	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	女叛徒	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	女社会改革家	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	女思想家	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	女性	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
13	plausible_candidate_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	57	完成	LASXGJ-004	在中国传统的观念中，一个女人的路线，只是“贤妻良母”的路线。这是一条单行道，一条非常狭窄的单行道。夹在这条单行道两边的，是丈夫的拖鞋、子女的尿布、厨房的锅碗瓢盆、邻居的八舌七嘴。故中国的女性，只是男人的附属品，她的一切生老病死、富贫荣枯，都以丈夫的变化为函数。她自己，并没有真正的自己。中国的传统观念，也从不允许女人有她的自己。传统的女人，在“贤妻良母”以外，多认识一些字，多写一首小词小令，已属难得，并且也接近“大逆不道”的边缘，因为“女子无才便是德”。女子的“完成”，并不以“才”为充要条件，甚至“才”还是她“不守妇道”的张本。所以流风所及，中国历史上至多只有伟大的“母性”，并没有伟大的“女性”。中国历史上不会有“女思想家”、“女社会改革家”、“女叛徒”、“女飞行家”……中国的传统不鼓励女人去走这些路，要走也走不成。中国的女人不论长得多么高，也要被男人踩在肩膀上。正所谓女高一尺，男也高一尺，因为女人那一尺，就是间接为男人高的。
