decision	id	source_file	line_range	category	quote_text	reason
keep	LAQSJ-036	002.《李敖情书集》原序.txt	83-83	李敖爱情格言	结婚要送玫瑰花，离婚也要送玫瑰花。	用玫瑰花比喻分合都要有风度。
keep	LAQSJ-038	002.《李敖情书集》原序.txt	85-85	李敖爱情格言	男女之间最高的技巧是不一起走下坡路	原序以不一起下山概括分手时机。
keep	LAQSJ-039	002.《李敖情书集》原序.txt	85-85	李敖爱情格言	应该在感情有余味的时候，先把关系结束。	强调关系应在仍有余味时结束。
keep	LAQSJ-040	002.《李敖情书集》原序.txt	87-87	李敖爱情格言	爱情是唯美的——不涉真和善	原序提出唯美爱情观。
keep	LAQSJ-041	002.《李敖情书集》原序.txt	91-91	李敖爱情格言	男女之间的一切关系，都是唯美的关系	原序把男女关系归结为美感关系。
keep	LAQSJ-042	002.《李敖情书集》原序.txt	91-91	李敖爱情格言	男女之间除了美以外，没有别的，也不该有别的。	原序以美作为男女关系的核心。
keep	LAQSJ-043	002.《李敖情书集》原序.txt	93-93	李敖自评语	少年哀艳杂雄奇	原序用来概括早年情书风格。
keep	LAQSJ-044	003.给咪咪.txt	11-11	李敖情书语录	给我一个奇迹好吗？让别人忽略你的存在而你却比以往更健全更有力的生存吧！	信中以愿望句表达对对方生存力量的期许。
keep	LAQSJ-045	003.给咪咪.txt	17-17	李敖情书语录	大千世界里再也没有别人，只有你和我；你我眼中再也没有别人，只有我和你	信中写两人世界的封闭与专注。
keep	LAQSJ-046	003.给咪咪.txt	17-17	庄子语意化用	带我们驰向那广漠的无何有之乡	信中借庄子式意象写爱情幻境。
keep	LAQSJ-047	004.给Bonnie.txt	9-9	传统语汇	老僧不闻不问	信中借禅宗口吻写不理臧否的姿态。
keep	LAQSJ-048	004.给Bonnie.txt	11-11	古典人物语	当其得意，忽忘形骸	信中以阮籍狂态形容放浪形骸。
keep	LAQSJ-049	004.给Bonnie.txt	15-17	西方诗歌	All his faults are locked securely\nIn a closet of her mind．	信中引用女诗人诗句说明包容对方缺点。
keep	LAQSJ-050	004.给Bonnie.txt	21-21	李敖情书语录	一个早已被时光消磨了色彩的人，他却深愿你的未来是绚烂多彩的。	以对照句写祝福。
keep	LAQSJ-051	005.给LW.txt	5-5	李敖情书语录	我从不“永远”爱我所爱的女人	信中表达不许诺永远的爱情态度。
keep	LAQSJ-052	005.给LW.txt	9-9	李敖情书语录	这些漂亮的条件会衰老、会凋谢、会被意外的事件所摧毁，会被另一代的女孩子所代替	指出外在漂亮条件的易逝。
keep	LAQSJ-053	005.给LW.txt	11-11	李敖情书语录	美丽太多，性灵太少	用八字概括美与性灵的不均衡。
keep	LAQSJ-054	005.给LW.txt	13-13	李敖情书语录	我喜欢你，为了你有一种少有的气质，这种气质我无法表达，我只能感受。	写气质不可言说而只能感受。
keep	LAQSJ-055	005.给LW.txt	15-15	李敖情书语录	与其说我每一次看到你，不如说我每一次都感受到你。	把看见转化为感受的情书句。
keep	LAQSJ-056	005.给LW.txt	15-15	李敖情书语录	我什么都没失去——只除了我的心。	以反转句写动心。
keep	LAQSJ-057	005.给LW.txt	19-19	李敖情书语录	我不属于任何人，你也不会属于我	信中写互不占有的爱情态度。
keep	LAQSJ-058	005.给LW.txt	19-19	李敖情书语录	唯一不忘的大概只是曾有那么一封信	以一封信作为记忆的留存。
keep	LAQSJ-059	006.给G的九十四封信.txt	63-69	李敖自作诗	夜色昏沉残梦迷，\n残梦袭我醒来迟，\n花开不易花谢早，\n旧欢如水哪堪拾？	信中录出题为断肠时的四句诗。
keep	LAQSJ-060	006.给G的九十四封信.txt	101-101	李敖情书语录	我进入你的生命里，如果能跟别的男人有一点点不同，那就是我当你四年大学的尾声时候，在你身上打下了烙印。	写自己在对方青春尾声留下的影响。
keep	LAQSJ-061	006.给G的九十四封信.txt	105-105	李敖情书语录	这种影响，像一个小守护神，深深的支配着你，没有别的男人可以替代。	以守护神比喻情感影响。
keep	LAQSJ-062	006.给G的九十四封信.txt	879-879	纪念册题语	他的生活丰富得像一杯醇酒	信中回忆纪念册上老师的题语。
keep	LAQSJ-063	006.给G的九十四封信.txt	881-881	纪念册题语	往事的回忆，已成为生命王冠上一朵美丽的花，为着明天，去采集更多的鲜花吧！	信中转录纪念册题语。
keep	LAQSJ-064	006.给G的九十四封信.txt	1796-1796	李敖人生格言	荒谬即是正常，即是人生。	以荒谬感概括人生常态。
keep	LAQSJ-065	006.给G的九十四封信.txt	1800-1800	古典诗句	努力爱春华，莫忘欢乐时，生当复来归，死当长相忆。	信中引用苏武写给妻子的诗句。
keep	LAQSJ-066	006.给G的九十四封信.txt	1804-1804	李敖改写诗句	努力爱春华，可忘欢乐时，生当不来归，死当无所忆。	信中将苏武诗改写为反向句式。
keep	LAQSJ-067	006.给G的九十四封信.txt	1950-1954	现代诗句	发上依稀的残香里，\n我看见渺茫的昨日的影子，\n远了，远了。	信中引用朱自清小诗《仅存的》数句。
keep	LAQSJ-068	006.给G的九十四封信.txt	1956-1956	李敖人生格言	人生能有几个“三十”？	以年龄节点发出人生追问。
keep	LAQSJ-069	006.给G的九十四封信.txt	2112-2112	李敖文学格言	我的“大眼光”是从根上扎刀，一刀见血，剖出骨髓所在，而不从枝枝节节上去费精神。	谈自己的文学观察方法。
keep	LAQSJ-070	006.给G的九十四封信.txt	2112-2112	李敖文学格言	一篮烂苹果，还有什么好挑的？	用烂苹果比喻整体判断。
keep	LAQSJ-071	007.给尚勤的两封信.txt	29-29	李敖人生格言	悲剧本是人生的一部分，就像死是人生的一部分。	信中谈悲剧与死亡同属人生。
keep	LAQSJ-072	007.给尚勤的两封信.txt	31-31	李敖人生格言	悲剧，像死一样，总是跟着人的	信中指出悲剧不可完全摆脱。
keep	LAQSJ-073	007.给尚勤的两封信.txt	33-33	李敖人生格言	悲剧的认定，往往不在悲剧的本身，而在你的观点。	以观点转变重新解释悲剧。
keep	LAQSJ-074	007.给尚勤的两封信.txt	33-33	英语格言	Every cloud has a silver lining	信中以黑云白边格言说明悲剧中的转机。
keep	LAQSJ-075	007.给尚勤的两封信.txt	33-33	李敖人生格言	会演悲剧的人不在会哭，而在会笑。	以笑面对悲剧作为能力标准。
keep	LAQSJ-076	008.给谷莺.txt	15-15	李敖人生格言	别人只会从你身上取去食物或给你食物，但是他们不能取去或给你“生命的意义”。	区分物质供取与生命意义。
keep	LAQSJ-077	008.给谷莺.txt	19-19	李敖人生格言	眼泪不是应付它们的最好标记。	劝对方不用眼泪回应人生苦痛。
keep	LAQSJ-078	008.给谷莺.txt	23-23	李敖情书语录	有一个肉体暂时离开你的人，他的心灵却在你身边，他随时等你叫他为你做点事。	以身离心近表达陪伴。
keep	LAQSJ-079	009.给H的十三封信.txt	81-81	李敖人生格言	生命是这么短，短得整天寻欢作乐都来不及，秉烛夜游都不够用，为什么还浪费生命来钩心斗角？	以生命短促反对钩心斗角。
keep	LAQSJ-080	009.给H的十三封信.txt	187-187	西方爱情格言	short absence quicken love； long absence kill it。	信中引用短别与久别对爱情影响的格言。
keep	LAQSJ-081	009.给H的十三封信.txt	261-261	李敖情书语录	你们都是梦一般的女人，也都是要男人命的。男人无法对付你们，除非他是dream-reader。	以梦与解梦者比喻难以捉摸的女人。
keep	LAQSJ-082	009.给H的十三封信.txt	263-263	李敖情书语录	作为一个实际的男人，我喜欢梦一般女人。	以实际男人与梦一般女人形成对照。
keep	LAQSJ-085	010.给阿贞.txt	15-15	李敖人生格言	人生就像你昨天晚上送我的那支Salem香烟，它一定要经过不断的燃烧，才能有意义	以燃烧的香烟比喻人生意义。
keep	LAQSJ-086	010.给阿贞.txt	15-15	李敖人生格言	正因为一切都要成灰丝尽，所以把握眼前、争取现在，才是真正有意义的事。	由成灰丝尽推出把握眼前。
keep	LAQSJ-087	010.给阿贞.txt	15-15	李敖人生格言	“活在今天”对于我们，才显得比其他生活方式更值得选择。	再次确认活在今天的选择。
keep	LAQSJ-088	010.给阿贞.txt	17-17	李敖情书语录	你从这个梦里走出来，变得更真实、更美、更楚楚动人	写对方从梦境转为真实的动人。
keep	LAQSJ-091	011.给Y的四十八封信.txt	117-117	李敖爱情格言	用“深”来爱人	信中提出以深度来理解爱。
keep	LAQSJ-092	011.给Y的四十八封信.txt	117-117	李敖爱情格言	真正“深”的地步是一种淳化	把爱的深度解释为淳化。
keep	LAQSJ-093	011.给Y的四十八封信.txt	121-123	宋诗名句	不畏浮云遮望眼，\n自缘身在最高层。	信中引用王安石诗句。
keep	LAQSJ-094	011.给Y的四十八封信.txt	151-153	李敖情书格言	“多情而不牵恋”，此情圣之风也；\n“友善而又淡然”，此君子之交也。	以两联概括多情不牵恋与友善淡然。
keep	LAQSJ-095	011.给Y的四十八封信.txt	155-155	李敖相处格言	分寸之间，说得好，是艺术；说得不好，就是“工于心计”了。	信中说明相处分寸与心计的边界。
keep	LAQSJ-096	011.给Y的四十八封信.txt	155-155	李敖相处格言	真正“工于心计”的高手，绝不把美丽的事情搅得很狼狈	信中把高明心计解释为不破坏美好。
keep	LAQSJ-097	011.给Y的四十八封信.txt	155-155	李敖相处格言	以保持距离和永恒	以距离维持关系的永恒感。
keep	LAQSJ-098	011.给Y的四十八封信.txt	259-259	西方诗人语	纯爱keep down the base in man	信中引用丁尼生关于纯爱压低卑劣性的说法。
keep	LAQSJ-099	011.给Y的四十八封信.txt	263-263	李敖人生格言	我从泥土里来，又要归于泥土。	用尘土意象写生命来去。
keep	LAQSJ-100	011.给Y的四十八封信.txt	263-263	泰戈尔语	不要忘记那执灯的人。	信中引用泰戈尔叮咛。
keep	LAQSJ-101	011.给Y的四十八封信.txt	345-349	西方诗歌	For pleasant is this flesh；\nOur soul in its rose－mesh\nPulled oven to the earth, still yearns for rest.	信中引用勃朗宁关于肉体与灵魂的诗句。
keep	LAQSJ-102	011.给Y的四十八封信.txt	351-351	西方诗歌译句	灵魂唯有在愉快的肉体中间——那“玫瑰网眼中间”——，才能倾向大地，热望休息。	信中给出勃朗宁诗句的中文解释。
keep	LAQSJ-106	011.给Y的四十八封信.txt	449-449	李敖情书语录	明天，我们不会再在纸上“因情生怨”；明天，我们不用文字来溶化一切。	表达从文字情书转向相见。
keep	LAQSJ-107	011.给Y的四十八封信.txt	591-591	李敖情书语录	我不对女人太好！	信中自述待人方式。
keep	LAQSJ-108	011.给Y的四十八封信.txt	591-591	李敖情书语录	如果我不能厚颜，那么就让我小气吧！	以小气反衬不愿厚颜。
keep	LAQSJ-109	011.给Y的四十八封信.txt	591-591	李敖情书语录	我宁愿小气，不愿厚颜。	信中以短句表明取舍。
keep	LAQSJ-110	011.给Y的四十八封信.txt	612-612	传统成语	不恤人言	信中用来说明不怕流言的本领。
keep	LAQSJ-111	011.给Y的四十八封信.txt	616-618	西方诗歌	In the morning glad I see\nMy foe ouctstrech'd beneath the tree.	信中引用布莱克《毒药树》末两行。
keep	LAQSJ-112	011.给Y的四十八封信.txt	654-656	李敖仿古格言	情网恢恢，\n疏而不失！	以天网恢恢句式改写为情网恢恢。
keep	LAQSJ-113	012.给汝清的五封信.txt	9-9	老子名句	天下莫弱于水，而攻坚强者，莫之能胜。	信中谈水时引用《老子》。
keep	LAQSJ-114	012.给汝清的五封信.txt	9-9	西方格言	水是很好的仆人，却是残忍的主人。	信中转述John Bullein关于水的格言。
keep	LAQSJ-115	012.给汝清的五封信.txt	9-9	西方格言	Water Is a very good servent，but It Is a cruel master．	与前条中文转述对应的英文原句。
keep	LAQSJ-116	012.给汝清的五封信.txt	37-43	宗教经典译文	我们四面受敌，却不被困住；\n心有疑虑，却不至失望；\n遭到逼迫，却不被丢弃；\n打倒了，却不至死亡。	信中列出《哥林多后书》中文译句。
keep	LAQSJ-117	012.给汝清的五封信.txt	45-51	宗教经典	we are pressed on every side，yet not straitened；\nperplexed， yet not unto despair；\npursued yet not forsaken；\nsmitten down， yet not destroyed．	与前条中文译句对应的英文经文。
keep	LAQSJ-118	012.给汝清的五封信.txt	55-65	宗教经典译文	似乎是骗子，却是诚实的；\n似乎不为人知，却大大有名的；\n似乎要死了，却还活着的；\n似乎在受刑，却不至送命的；\n似乎忧愁，却常常快乐的；\n似乎很穷，却叫别人阔的；	信中列出《哥林多后书》另一段中文译句。
keep	LAQSJ-119	012.给汝清的五封信.txt	179-179	老子名句	埏埴以为器，当其无，有器之用。	信中谈陶艺时引用《老子》。
keep	LAQSJ-120	012.给汝清的五封信.txt	179-179	李敖艺术格言	人生的许多真理与愉悦，由陶瓷可象征得之。	由陶器空无之用引出人生象征。
keep	LAQSJ-121	012.给汝清的五封信.txt	189-189	民间谚语	一碗饭，养恩人；一斗米，养仇人。	信中引用湖南谚语说明恩与怨的转化。
delete	LAQSJ-037	002.《李敖情书集》原序.txt	85-85		男女关系好像一起上一座山	同句后两条已保留完整判断，本条只是比喻开端，校对轮删除以免重复碎片化。
delete	LAQSJ-083	010.给阿贞.txt	11-11		活在今天	短语过短，且后文已有完整句说明，校对轮删除碎片条。
delete	LAQSJ-084	010.给阿贞.txt	11-11		活在今天晚上	依附具体信件语境，独立性弱，且与保留的完整把握当下句重复。
delete	LAQSJ-089	011.给Y的四十八封信.txt	53-53		Et tu，Brutus？	虽为文学名句，但本处嵌在现代安全/身份语境中，按本项目口径从严删除。
delete	LAQSJ-090	011.给Y的四十八封信.txt	53-53		还有你，布鲁特斯	同上，译句依附现代安全/身份语境，校对轮删除。
delete	LAQSJ-103	011.给Y的四十八封信.txt	427-427		一星期有七个白天、七个晚上、七个孤寂的日夜、一百六十八个空虚的小时、一万零八十个“没有小Y”的分钟。	文字有情书色彩，但强依附具体对象小Y，不作为独立诗文格言保留。
delete	LAQSJ-104	011.给Y的四十八封信.txt	441-441		眼泪，“只不过是刹那的真实”	为信中对象语，出处与独立性都弱，校对轮删除。
delete	LAQSJ-105	011.给Y的四十八封信.txt	441-441		只希望刹那刹那又刹那，不停的刹那起来	依附前一条私人眼泪语境，校对轮删除。
exclude		006.给G的九十四封信.txt	519, 635, 973-993, 1421, 1666, 2008-2060			涉及出版、诉讼、监禁、书刊风波或公共议题，未入本轮表。
exclude		011.给Y的四十八封信.txt	742-807			十诫、行囚等语境含明显组织与公共议题，未入本轮表。
exclude		012.给汝清的五封信.txt	91-153			法律、监禁与机构讽刺语境过重，未入本轮表。
exclude		013.寄会云.txt	5-75			整篇主要围绕现代公共事件与法律往来，本轮从严不收。
exclude		011.给Y的四十八封信.txt	57			年轻国家比喻虽有机锋，但带公共比喻色彩，未收。
