id	decision	category	source_file	line	quote_text	reason
LALZCS-017	keep	成语	008.谁是老贼中的老贼？.txt	7-7	调和鼎鼐	李敖摘出成语，写调理大局、居中协调的自我说法。
LALZCS-018	keep	成语	008.谁是老贼中的老贼？.txt	7-7	含饴弄孙	李敖摘出成语，写老人退居家中享受天伦。
LALZCS-019	keep	儒家成语	008.谁是老贼中的老贼？.txt	13-13	爱人以德	李敖借成语，写以道德原则成全别人。
LALZCS-020	keep	俗语成句	009.官方秘密文件中的林栋受贿证据.txt	5-5	生我之门死我户	李敖摘出俗语，写托身某处也可能受制于某处。
LALZCS-021	keep	古文名句	010.盛世才式虐待狂.txt	91-91	先天下之忧而忧，后天下之乐而乐	李敖转引范仲淹名句，表达先忧后乐的士人责任感。
LALZCS-022	keep	俗语格言	010.盛世才式虐待狂.txt	101-101	水干石头显，真金不怕火炼	李敖转述俗语，写真相终会显露、真材经得起考验。
LALZCS-023	keep	外文轶事名句	013.俞国华下台的省籍意义.txt	3-3	英国人呀！你们因为我是法国人而要杀我，难道因我不是英国人所受的惩罚还不够吗？	李敖转述伏尔泰机智答语，以幽默化解敌意。
LALZCS-024	keep	民间俗谚	013.俞国华下台的省籍意义.txt	7-7	奸黄陂，狡孝感，又奸又狡是汉川	李敖引用湖北地方俗谚，说明地区刻板观感的细分。
LALZCS-025	keep	民间俗谚	013.俞国华下台的省籍意义.txt	7-7	天上九头鸟，地下湖北佬	李敖引用地域俗谚，说明一般观感中的湖北人形象。
LALZCS-026	keep	商业俗谚	013.俞国华下台的省籍意义.txt	9-9	无宁不成埠	李敖引用宁波商业俗谚，写宁波人在商埠中的影响。
LALZCS-027	keep	方言俗语	013.俞国华下台的省籍意义.txt	11-11	回汤豆腐干	李敖解释宁波土话，表示空忙一场又被退回。
LALZCS-028	keep	方言俗语	013.俞国华下台的省籍意义.txt	13-13	赢头输尾	李敖摘出俗语，写开头得利、最后赔输的结局。
LALZCS-029	keep	方言俗语	013.俞国华下台的省籍意义.txt	19-19	朝里阿大	李敖解释宁波土话，写面朝里的学徒或后来可能接班的人。
LALZCS-030	keep	俗语	015.陶百川蹂躏人权的证据.txt	7-7	好汉不提当年勇	李敖引用俗语，写不再拿过去功劳自夸。
LALZCS-031	keep	俗语	017.梁肃戎是第一劣等东北人.txt	11-11	胳膊肘朝外弯	李敖引用俗语，写不顾自己一方而偏向外人。
LALZCS-032	keep	文学俗语	018.蒋彦士，大浑蛋.txt	3-3	你这给奴才做奴才的奴才	李敖引用《水浒传》骂语，描绘奴性层层相役。
LALZCS-033	keep	历史人物名言	018.蒋彦士，大浑蛋.txt	9-9	既做好官，又要做好人，两者岂可得兼耶？	李敖引用蔡京名言，写为官与做人难以两全的说法。
LALZCS-034	keep	外文轶事语句	019.薛岳与民进党.txt	3-3	恺撒已死	李敖转述罗素轶事中的误读句，作为笑话铺垫。
LALZCS-035	keep	外文轶事语句	019.薛岳与民进党.txt	3-3	我就是恺撒！	李敖转述罗素轶事中的荒诞答语。
LALZCS-036	keep	成语	020.家奴终于忍不住了！.txt	7-7	见利忘义	李敖摘出成语，写为利益而背弃道义。
LALZCS-037	keep	成语戏仿	020.家奴终于忍不住了！.txt	11-11	见义得利	李敖戏仿成语，反讽以义名取得实际利益。
