file	line	quote	context
001.一个联合造成的冤狱.txt	125	十年前，	我可以忍受政治罪，我可以忍受真的司法罪，但我无法忍受“政治性的司法罪”，何况是“政治性的假司法罪”。一如三十年前，阿登纳在德国法庭上所表现的沉痛心情一样。在政治罪的阴影下，面对双轨而来的司法方面所谓诈欺背信，阿登纳曾答辩得使诬控者流泪。我德薄能鲜，或不足以感动任何人，使任何人为我仗义；或不足以提醒有识之士，实在看不过去，为国家留清白，而力谋补救。但我不会永远是哑巴，此案不“昭雪”，我必将有以昭告天下之一日！
001.一个联合造成的冤狱.txt	125	有识之士	我可以忍受政治罪，我可以忍受真的司法罪，但我无法忍受“政治性的司法罪”，何况是“政治性的假司法罪”。一如三十年前，阿登纳在德国法庭上所表现的沉痛心情一样。在政治罪的阴影下，面对双轨而来的司法方面所谓诈欺背信，阿登纳曾答辩得使诬控者流泪。我德薄能鲜，或不足以感动任何人，使任何人为我仗义；或不足以提醒有识之士，实在看不过去，为国家留清白，而力谋补救。但我不会永远是哑巴，此案不“昭雪”，我必将有以昭告天下之一日！
001.一个联合造成的冤狱.txt	129	差强人意	〔后记〕以上这篇《一个联合造成的冤狱》，是我在牢里写的。后来我的老师吴俊才先生知道了我的冤情，特别仗义执言，最后告诉我以“不执行”方式解决，也算是差强人意的一种补救。至于何年何月再把冤狱平反，那就只有包公知道了。（1981年7月23日）
003.给林洋港先生上一课.txt	3	不务正业	——他们“不务正业”·你们“不务正法”
003.给林洋港先生上一课.txt	21	宁纵毋枉	梁启超真是大学者、大政治家，他的见地，真能从大处着眼，能从千百年规模上为国家基础打桩。梁启超的见地，在劝当政者“宁纵毋枉”，所谓“毋枉”，不但要不“枉人”，也要不“枉法”，如果贪图一时一地的方便，任意“枉法”，要想达到不“枉人”的目的，就要枉费心思了。
003.给林洋港先生上一课.txt	21	一时一地	梁启超真是大学者、大政治家，他的见地，真能从大处着眼，能从千百年规模上为国家基础打桩。梁启超的见地，在劝当政者“宁纵毋枉”，所谓“毋枉”，不但要不“枉人”，也要不“枉法”，如果贪图一时一地的方便，任意“枉法”，要想达到不“枉人”的目的，就要枉费心思了。
003.给林洋港先生上一课.txt	23	先天下之忧而忧	为什么不“枉法”呢？为什么不“枉法”这么重要呢？我们先看“先天下之忧而忧”作者范仲淹的一个故事：
003.给林洋港先生上一课.txt	57	不务正业	四、不务正业。招摇撞骗或包庇私娼者。
003.给林洋港先生上一课.txt	67	无中生有	因为办法本身的笼统，自然导致解释上的出入和纷纭。故一个人的行为，用取缔流氓办法一量，自然可以“小大由之”，只要量得巧妙，这个人的“罪状”，可以“无中生有”，当然也可以“化大为小，化小为无”。
003.给林洋港先生上一课.txt	71	公报私仇	更要命的，是这个“办法”的起不起作用，竟系于治安人员的一念之间，单凭治安人员的好恶，就可决定一个人是不是“流氓”，该不该管训，这是流弊极大的制度。诚如监委陈庆华所说的：“往往形成一些主办人员逞一时之快，加诸被处分人身上一些无辜罪名。”“更发生了一些公报私仇的现象。”甚至为了补足提报名额，将轻微违警的百姓也抓来充数。这种现象，不管是“法外惩罚人”也好、“法内惩罚人”也罢，至少它的流弊，有像法国“皇帝密封信”（今名“流氓名册”空白纸。姓名待填）一类的效果，这不是开历史倒车吗？
003.给林洋港先生上一课.txt	73	不务正业	“不务正业”与“不务正法”
003.给林洋港先生上一课.txt	83	不务正业	流氓扰乱社会治安，当然要罚。可是罚他们，有正规的法律可循，不可像“不务正业”的流氓一样，去“手滑”、去“不务正法”。所谓“正法”，一看《刑法》便知。《刑法》中的第90条、第149条到160条、第173条到194条、第266条到270条、第277条到287条、第296条到308条、第325条到332条、第339条到345条、第346条到348条……都把流氓犯法的细目规定得相当明白。有这样相当明白的“正法”，我们实在没有再实行其他“办法”的必要。中国古代的老子说得好：“法令滋彰，盗贼多有。”三十年来的“法令滋彰”，最后
003.给林洋港先生上一课.txt	91	不识大体	以上所说，无一不证明了林洋港先生的头脑不清，也无一不证明了他书念得不行，所以他的表现，也就无一不“没有大臣之风”，而不断的不识大体，整天以“不务正法”闹笑话。
004.论石田公二事件.txt	25	大惊小怪	石田公二卷款潜逃，犯的是《刑法》第339条诈欺罪；冒名申请护照，犯的是《刑法》第214条伪造文书罪。但他是日本人，是日本鬼子，他犯罪地点也是在日本，在小日本，台湾的法院没有审判权，何能将他收押？但台湾的检察官却将他收押，在1981年11月28日送进土城看守所，做李敖的邻居。押票上的罪名是“冒名顶替”，这是根本不通的！因为押票上的罪名，一定得是法律上的罪名，翻遍了《六法全书》，找不到这种“冒名顶替”的罪名！没有法定罪名就把人收押，长在台湾的，不会大惊小怪；可是长在日本的，就莫名其妙。石田公二被收押，就充满了莫名其妙，
004.论石田公二事件.txt	25	莫名其妙	石田公二卷款潜逃，犯的是《刑法》第339条诈欺罪；冒名申请护照，犯的是《刑法》第214条伪造文书罪。但他是日本人，是日本鬼子，他犯罪地点也是在日本，在小日本，台湾的法院没有审判权，何能将他收押？但台湾的检察官却将他收押，在1981年11月28日送进土城看守所，做李敖的邻居。押票上的罪名是“冒名顶替”，这是根本不通的！因为押票上的罪名，一定得是法律上的罪名，翻遍了《六法全书》，找不到这种“冒名顶替”的罪名！没有法定罪名就把人收押，长在台湾的，不会大惊小怪；可是长在日本的，就莫名其妙。石田公二被收押，就充满了莫名其妙，
004.论石田公二事件.txt	29	莫名其妙	石田公二更莫名其妙的，是这个岛上“先抓进来，再找罪名”的办案方式。他以于法无据的“冒名顶替”被抓，四天后的起诉罪名，却是“违反国家总动员法”！说他违反了这个法律禁止自由买卖外币的规定。但这一罪名，是他被抓后冒出来的罪名，而不是抓他之前或抓他当时的罪名——台湾官方抓他之前或抓他当时，是根本没有抓他的法定罪名的。没法定罪名就先抓了再说、抓了再找，这完全不是民主国家的手法。——民主国家办案，是不会也不敢倒果为因的，这种“逆取”罪名的杰作，当然不是“坚守民主阵容”的！
004.论石田公二事件.txt	33	口口声声	按照《国家总动员法》和《妨害国家总动员惩罚暂行条例》，外币事件最高法定刑是七年以下，一般宣告刑至少六月以上。但石田公二却只判了三个月，缓刑两年；同案的陈茂松更少，只判了两个月的最低刑，和缓刑两年的最短期间，这又为什么呢？明眼人一看就知道：这是陈茂松成为“道具”的结果。由于以陈茂松为“道具”，才能凭他的自白，拖石田公二下水，成立了外币事件。但就法言法，违反《国家总动员法》却判得这么轻，却又不无可疑，难道对外国人特别优待吗？按说不会啊！因为这政府口口声声说自己不是媚外的政府啊！但事实竟是如此，这又怎么解释呢？
004.论石田公二事件.txt	79	习以为常	这件公文反证了检察官并没有“切实到庭执行职务”，既然实际上已如此习以为常，在石田公二案子里却突然出现，我们能不惊讶吗？但照《刑事诉讼法》规定，检察官在“审判期日”出庭的目的，是“陈述起诉要旨”（第287条）和“就事实及法律辩论之”（第289条），而不是在“宣判期日”跑来聆听宣判，且聆听之不足，还要“当庭表示不拟提起上诉”！这不是大笑话吗？
005.霉内与媚外.txt	17	发指	乙说：执行检察官接获法院撤销执行命令之裁定后，原执行命令即失效，检察官即应就得否准予易科罚金再加审酌，若准予易科，即应换发指挥书，并以已执行之期日折抵刑期，若不准易科，通知某甲后即结案。
006.吕玉介是公正的吗？.txt	3	本来无事只畏扰，扰者才吏非庸人。	汉朝的人说：“刀笔吏不可做公卿”；宋朝的人说：“本来无事只畏扰，扰者才吏非庸人。”“刀笔吏”和“才吏”都是干练的公务员，但这种人有一个大缺点，就是不识大礼也不务大体。这种人一旦做了“公卿”，扰起人来，比庸人自扰祸害得多。这种人进入司法界，便成为一种专有名词的官吏——“酷吏”。
006.吕玉介是公正的吗？.txt	3	本来无事只畏扰，扰者才吏非庸人	汉朝的人说：“刀笔吏不可做公卿”；宋朝的人说：“本来无事只畏扰，扰者才吏非庸人。”“刀笔吏”和“才吏”都是干练的公务员，但这种人有一个大缺点，就是不识大礼也不务大体。这种人一旦做了“公卿”，扰起人来，比庸人自扰祸害得多。这种人进入司法界，便成为一种专有名词的官吏——“酷吏”。
006.吕玉介是公正的吗？.txt	3	刀笔吏不可做公卿	汉朝的人说：“刀笔吏不可做公卿”；宋朝的人说：“本来无事只畏扰，扰者才吏非庸人。”“刀笔吏”和“才吏”都是干练的公务员，但这种人有一个大缺点，就是不识大礼也不务大体。这种人一旦做了“公卿”，扰起人来，比庸人自扰祸害得多。这种人进入司法界，便成为一种专有名词的官吏——“酷吏”。
006.吕玉介是公正的吗？.txt	3	本来无事只畏扰	汉朝的人说：“刀笔吏不可做公卿”；宋朝的人说：“本来无事只畏扰，扰者才吏非庸人。”“刀笔吏”和“才吏”都是干练的公务员，但这种人有一个大缺点，就是不识大礼也不务大体。这种人一旦做了“公卿”，扰起人来，比庸人自扰祸害得多。这种人进入司法界，便成为一种专有名词的官吏——“酷吏”。
006.吕玉介是公正的吗？.txt	3	庸人自扰	汉朝的人说：“刀笔吏不可做公卿”；宋朝的人说：“本来无事只畏扰，扰者才吏非庸人。”“刀笔吏”和“才吏”都是干练的公务员，但这种人有一个大缺点，就是不识大礼也不务大体。这种人一旦做了“公卿”，扰起人来，比庸人自扰祸害得多。这种人进入司法界，便成为一种专有名词的官吏——“酷吏”。
006.吕玉介是公正的吗？.txt	9	极知禹无害，然文深，不可以居大府。	司马迁写《史记》，特别为酷吏们写了一篇传。他提到赵禹，赵禹为人清廉，可是周亚夫不肯重用他，人家问周亚夫为什么？周亚夫说：“极知禹无害，然文深，不可以居大府。”（我知道赵禹是清廉的，能干的，但是他办事用法太深太刻，这种人，不可以在大衙门掌权的。）这就是说，有刀笔吏习性的公务员，他们老是不识大体的找人麻烦，这种人得志，别人就活得太吃力了。
006.吕玉介是公正的吗？.txt	9	不识大体	司马迁写《史记》，特别为酷吏们写了一篇传。他提到赵禹，赵禹为人清廉，可是周亚夫不肯重用他，人家问周亚夫为什么？周亚夫说：“极知禹无害，然文深，不可以居大府。”（我知道赵禹是清廉的，能干的，但是他办事用法太深太刻，这种人，不可以在大衙门掌权的。）这就是说，有刀笔吏习性的公务员，他们老是不识大体的找人麻烦，这种人得志，别人就活得太吃力了。
007.不大赦的相对条件.txt	35	口口声声	二、司法制度的相对条件——孙中山远在19世纪最后一年就提出“平其政刑”的保证，宣示“大小讼务，仿欧美之法，立陪审人员”。这个岛上的孙中山信徒，口口声声“奉行国父遗教”，但是中国人民等了八十年，还看不到陪审制，还在饱受法官离奇的“自由心证”之苦！这样的判决，当然问题丛生。
007.不大赦的相对条件.txt	37	冠冕堂皇	三、最低处遇的相对条件——关人要给人犯“最低处遇”（最起码的待遇），联合国早在1955年就议决《在监人最低处遇标准规则》，这一规则，是世界一致的，也是国民党政府自己认同过了的，可没有什么“国情不同”来做借口与护符，要关人，就没有理由不遵守。何况自己还有许多冠冕堂皇的人道宪法与法规，当然也没有任何理由说了不算。可是，事实上，关人而不给被关的“最低处遇”，却随处可见。
007.不大赦的相对条件.txt	43	冠冕堂皇	以上所说的四项相对条件，都是官方自己必须具备的，这些条件若不具备，却要关人，且要“使受刑人悔改向上，适于社会生活”，那就未免太荒唐了。这样的政府，还冠冕堂皇的说“慎无赦”的大道理，又想骗谁呢？
007.不大赦的相对条件.txt	45	口口声声	今天口口声声大谈法治的人，必须注意官方能否提出法治的相对条件。古代的哲人说得好：
008.不准结婚准离婚.txt	15	爱莫能助	陈国华等要求院方准予举行婚礼，而公证人张玉祥又搬出高院函令，表示实在爱莫能助，黄素玖一时情绪激动，痛哭失声，由其胞姐带至礼车休息。陈国华等仍不离去，苦苦哀求院方说话算话，让其子完婚。
008.不准结婚准离婚.txt	15	说话算话	陈国华等要求院方准予举行婚礼，而公证人张玉祥又搬出高院函令，表示实在爱莫能助，黄素玖一时情绪激动，痛哭失声，由其胞姐带至礼车休息。陈国华等仍不离去，苦苦哀求院方说话算话，让其子完婚。
008.不准结婚准离婚.txt	21	出尔反尔	不过，陈国华很不高兴地表示，法院实在不够意思，没有一点人情味，只考虑其立场，事实上他们双方家长也有不得已的苦衷，为了受刑人在狱中能够安心，生下子女不会成为私生子以及免得发生社会问题，因此请院方准予进行婚礼，院方竟而出尔反尔，使他们伤心透顶。
008.不准结婚准离婚.txt	23	据理力争	双方家长由低声要求进而据理力争，花了一个多小时还是无法遂愿，新郎陈有政仍押在看守所中，见好事成空，只好乘坐原车愤愤离去。
008.不准结婚准离婚.txt	99	始作俑者	追踪之下，发现始作俑者，竟是法务部长！法务部长不懂《民法》，硬在《民法》的规定以外，杠上开花，以“法无明文”做借口，不准结婚。殊不知法律上虽无明文规定“应予准许”，但也无明文“不予准许”或“不应准许”，法务部长前后两件公文，何能如此曲解法律，乱施虐政，不人道的使人不能人道？中华民国的法务部长不懂法律，你是要笑呢？还是要哭？
008.不准结婚准离婚.txt	215	哭笑不得	在“蛮夷之邦”十五年前就已实行的仁政，“文明古国”直到今天还不屑遵守。不但不遵守，已经行过的还要撤销。这种倒车，可真开得哭笑不得啊！
009.张温鹰的怪例.txt	5	藏匿不报，罪及三族	在国民党复兴中华文化的声中，有一种中华文化，他们是绝不复兴的，那就是藏匿亡命徒的文化。中华文化中的确有这么一种怪文化。楚汉相争时的季布，虽然“藏匿不报，罪及三族”，但是仍有义士窝藏他；其他像“望门投止”的张俭，“竟为收容”的岑晊，乃至于水浒式人物的许多“好将轻侠藏亡命”的故事，真是不胜枚举。
009.张温鹰的怪例.txt	5	好将轻侠藏亡命	在国民党复兴中华文化的声中，有一种中华文化，他们是绝不复兴的，那就是藏匿亡命徒的文化。中华文化中的确有这么一种怪文化。楚汉相争时的季布，虽然“藏匿不报，罪及三族”，但是仍有义士窝藏他；其他像“望门投止”的张俭，“竟为收容”的岑晊，乃至于水浒式人物的许多“好将轻侠藏亡命”的故事，真是不胜枚举。
009.张温鹰的怪例.txt	5	不胜枚举	在国民党复兴中华文化的声中，有一种中华文化，他们是绝不复兴的，那就是藏匿亡命徒的文化。中华文化中的确有这么一种怪文化。楚汉相争时的季布，虽然“藏匿不报，罪及三族”，但是仍有义士窝藏他；其他像“望门投止”的张俭，“竟为收容”的岑晊，乃至于水浒式人物的许多“好将轻侠藏亡命”的故事，真是不胜枚举。
009.张温鹰的怪例.txt	5	望门投止	在国民党复兴中华文化的声中，有一种中华文化，他们是绝不复兴的，那就是藏匿亡命徒的文化。中华文化中的确有这么一种怪文化。楚汉相争时的季布，虽然“藏匿不报，罪及三族”，但是仍有义士窝藏他；其他像“望门投止”的张俭，“竟为收容”的岑晊，乃至于水浒式人物的许多“好将轻侠藏亡命”的故事，真是不胜枚举。
009.张温鹰的怪例.txt	21	夫舜恶得而禁之？夫有所受之也！	桃应问曰：“舜为天子，皋陶为士。瞽瞍（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
009.张温鹰的怪例.txt	21	视弃天下，犹弃敝屣也！	桃应问曰：“舜为天子，皋陶为士。瞽瞍（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
009.张温鹰的怪例.txt	21	执之而已矣！	桃应问曰：“舜为天子，皋陶为士。瞽瞍（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
009.张温鹰的怪例.txt	31	硬着头皮	黄某是我高雄医学院的校友，在美丽岛事件发生前，常到家中借阅党外杂志以传送友人，12月8日，施明德夫妇到屏东聚会，黄国庆前往参加时热情地与施明德握手，悄悄地说：“我是你的Secret admirer（仰慕者）。”黄国庆的家庭背景颇为复杂，他的父亲黄道宜曾经担任过国民党台东县和屏东县党部主委，他的母亲蔡李鸯当过屏东县三届的省议员。在五十八年立委选举中违纪竞选，因为贿选案被判刑一年，其后减刑半年。至六十八年中仍多方游走关说，也曾多次找当时立委黄信介相助。但云林地检处仍下令通缉。大家都知道她至七十一年1月28日撤销通缉前，
009.张温鹰的怪例.txt	31	云林	黄某是我高雄医学院的校友，在美丽岛事件发生前，常到家中借阅党外杂志以传送友人，12月8日，施明德夫妇到屏东聚会，黄国庆前往参加时热情地与施明德握手，悄悄地说：“我是你的Secret admirer（仰慕者）。”黄国庆的家庭背景颇为复杂，他的父亲黄道宜曾经担任过国民党台东县和屏东县党部主委，他的母亲蔡李鸯当过屏东县三届的省议员。在五十八年立委选举中违纪竞选，因为贿选案被判刑一年，其后减刑半年。至六十八年中仍多方游走关说，也曾多次找当时立委黄信介相助。但云林地检处仍下令通缉。大家都知道她至七十一年1月28日撤销通缉前，
009.张温鹰的怪例.txt	35	莫名其妙	我是在仁教所六十九年12月第一次得知黄国庆来要求签署离婚，感到莫名其妙！既然我们没有婚姻的成立，欲要求离婚，我当然拒绝签字。接着他便向法院提出上诉。实际上，这是一件政治判决离婚的闹剧！目的在强调帮助施明德是“不名誉之罪”。黄国庆一家人，在这节骨眼上要这么做，是为了急欲摆平黄母蔡李鸯被通缉的贿选罪，并且借以保护他们的家族利益，所以一拍即合地配合当局的意思来做。
009.张温鹰的怪例.txt	49	天不怕地不怕	今天上午，我刚写完了《不准结婚准离婚》一篇文章，写对人犯离婚的方便；下午又完成了这篇《张温鹰的怪例——没有结婚有离婚》，从另一角度写对人犯离婚的作弄。我真不知道在复兴中华文化声中，这些卫道者怎么了？他们为什么对帮助人犯离婚这么感兴趣？传统文化明明谴责帮助别人离婚的人，认为这些人是会受“天谴”（nemesis）的；我真不明白他们为什么如此天不怕地不怕。除了“权力使人腐化”外，实在没有更好的解释来开脱这些卫道者。这些人如不口口声声复兴中华文化，我不会用传统文化的尺度来衡量他们；但他们口口声声如此，我就只好掀他们的底，亮
009.张温鹰的怪例.txt	49	口口声声	今天上午，我刚写完了《不准结婚准离婚》一篇文章，写对人犯离婚的方便；下午又完成了这篇《张温鹰的怪例——没有结婚有离婚》，从另一角度写对人犯离婚的作弄。我真不知道在复兴中华文化声中，这些卫道者怎么了？他们为什么对帮助人犯离婚这么感兴趣？传统文化明明谴责帮助别人离婚的人，认为这些人是会受“天谴”（nemesis）的；我真不明白他们为什么如此天不怕地不怕。除了“权力使人腐化”外，实在没有更好的解释来开脱这些卫道者。这些人如不口口声声复兴中华文化，我不会用传统文化的尺度来衡量他们；但他们口口声声如此，我就只好掀他们的底，亮
010.他们为什么有去无回？.txt	9	其言也善	这次土地银行抢案，刑事警察局误把出租车司机王迎先请去，结果人“直着进去，横着出来”，闹得满城风雨。警方说王迎先是“气愤而死”的，又说王迎先是“跳水自杀”的，不论怎么说，他们都脱不了责任。刑事警察局长林永鸿说：“活生生的人从人家家里请出来，结果却死硬硬的把尸体交还家属，怎么讲都交代不过去。”这话说得真其言也善，可惜的是，人之已死的毕竟不是他们。
010.他们为什么有去无回？.txt	37	不明不白	十二、黄进德自死案——1980年11月。黄进德，高雄人，拆船工人。被高雄市警察局请去，后来不明不白而死。他的太太翁金雀根据验尸时拍到的被刑囚照片，告到法院，警方却说是“严重的脂肪肝、支气管炎并发休克、循环障碍之自然性死”的，最后不了了之。
010.他们为什么有去无回？.txt	39	不明不白	以上这些“直着进去，横着出来”的例子，无一不使我们在重看之下，得到更会心的领悟。警察办案刑囚老百姓，早已司空见惯，早也不胜枚举；但办案办到刑囚致死或死得不明不白，说是病死或自杀，无论如何，总是杠上开花的惨事，不由得再成为习惯。因此，我把“过去若干成例”抽样写出来，使大家前事不忘，注意一下内政部长和警察们的障眼法，千万别再给他们骗了！
010.他们为什么有去无回？.txt	39	不胜枚举	以上这些“直着进去，横着出来”的例子，无一不使我们在重看之下，得到更会心的领悟。警察办案刑囚老百姓，早已司空见惯，早也不胜枚举；但办案办到刑囚致死或死得不明不白，说是病死或自杀，无论如何，总是杠上开花的惨事，不由得再成为习惯。因此，我把“过去若干成例”抽样写出来，使大家前事不忘，注意一下内政部长和警察们的障眼法，千万别再给他们骗了！
010.他们为什么有去无回？.txt	39	司空见惯	以上这些“直着进去，横着出来”的例子，无一不使我们在重看之下，得到更会心的领悟。警察办案刑囚老百姓，早已司空见惯，早也不胜枚举；但办案办到刑囚致死或死得不明不白，说是病死或自杀，无论如何，总是杠上开花的惨事，不由得再成为习惯。因此，我把“过去若干成例”抽样写出来，使大家前事不忘，注意一下内政部长和警察们的障眼法，千万别再给他们骗了！
010.他们为什么有去无回？.txt	39	障眼法	以上这些“直着进去，横着出来”的例子，无一不使我们在重看之下，得到更会心的领悟。警察办案刑囚老百姓，早已司空见惯，早也不胜枚举；但办案办到刑囚致死或死得不明不白，说是病死或自杀，无论如何，总是杠上开花的惨事，不由得再成为习惯。因此，我把“过去若干成例”抽样写出来，使大家前事不忘，注意一下内政部长和警察们的障眼法，千万别再给他们骗了！
011.“法律遁”和“法律顿”.txt	3	障眼法	翻开字典，查“遁”字，解释是：“遁，逃也。”其实这种解释是不够的。“遁”在中文语意里，不只是逃，而是一种有技巧的障眼法，一种有本领、有花枪的脱身术。
011.“法律遁”和“法律顿”.txt	5	障眼法	遁既然是一种有技巧的障眼法，一种有本领、有花枪的脱身术，自然古今人士就各显神通，纷纷以遁名世。有的会“柴遁”（像《左传》里的栾枝）、有的会“尿遁”（像《史记》里的刘邦）、有的会“土遁”（像《封神榜》里的土行孙）、有的会“水遁”（像《七侠五义》里的蒋平）、有的会“爱国遁”（像跳机事发以“爱国”解围的刘家昌）、有的会“劳军遁”（像假护照事发以劳军解围的邓丽君）……一干人等，都是此中高手。这些高手不论遭遇了任何麻烦，他们都能化险为夷，从摇身一遁里败部复活，取得自己的利益。
011.“法律遁”和“法律顿”.txt	13	障眼法	国民党革别人的命，定了三阶段，所谓军政、训政、宪政。国民党北伐过后，结束军政，自1929年3月27日宣布开始训政，同年6月15日又宣布：“训政时期规定为六年，至1935年完成。”换句话说，就是1935年3月27日结束训政。但是，到了1935年3月27日以后，国民党却训上瘾来了，不肯结束一党专政。于是，“党外无党”的度量又延续下来，一直延到十二年后，才在1947年1月1日公布了宪法，宣布在同年12月25日施行。不料，国民党在“施行”四个半月后，就弄个《动员戡乱时期临时条款》，把宪法活活捆住，但国民党却不背违宪之名，这
011.“法律遁”和“法律顿”.txt	29	恍然大悟	比起林洋港来，另一个国民党的政治打手余纪忠，就显得低段了。余纪忠的《中国时报》，在7月16日《评立法院的意气之争》社论里，奇怪“既然二三十年的不合法，那么为什么不在二三十年前即提案修正呢？”余纪忠不知道：今天提出修正，正因为要抵消并凌驾“侦查中被告或涉嫌人得选任辩护人”的立法，正因为要行“法律遁”，不然的话，自然就一任二三十年来，也二三十年去了，自然就没有今天提出紧急逮捕权和约谈合法化的必要了。所以今天的提出，“法律遁”的意义与作用，大于实际上的意义与作用。因为实际上，既然二三十年来治安人员都如此通行无阻了，哪还在
