id	source_file	line_start	line_end	category	risk	quote_text
LASHJQ-047	031.“千秋评论”连出五十期了！.txt	21	21	格言		千山我独行
LASHJQ-048	033.谁逼辜振甫还了债？.txt	17	17	格言		致力回馈社会，尽可能的贡献社会
LASHJQ-049	033.谁逼辜振甫还了债？.txt	17	17	典故		可以休矣
LASHJQ-050	033.谁逼辜振甫还了债？.txt	19	19	格言		以历史的眼光
LASHJQ-051	033.谁逼辜振甫还了债？.txt	33	33	典故		所贵于天下之士者，为人排患、释难、解纷乱，而无所取也。
LASHJQ-052	033.谁逼辜振甫还了债？.txt	33	33	典故		排患、解难、解纷乱
LASHJQ-053	033.谁逼辜振甫还了债？.txt	33	33	成语		受之无愧
LASHJQ-054	033.谁逼辜振甫还了债？.txt	35	35	成语		脸色苍白，呆若木鸡
LASHJQ-055	034.关于三毛与雷三毛.txt	67	67	格言		人间天堂的旁边还有着人间地狱
LASHJQ-056	035.“好而知其恶，恶而知其美”.txt	1	1	典故		好而知其恶，恶而知其美
LASHJQ-057	035.“好而知其恶，恶而知其美”.txt	7	7	典故		善莫大焉
LASHJQ-058	035.“好而知其恶，恶而知其美”.txt	9	9	典故		好而知其恶，恶而知其美者，天下鲜矣
LASHJQ-059	035.“好而知其恶，恶而知其美”.txt	9	9	成语		隐恶扬善
LASHJQ-060	035.“好而知其恶，恶而知其美”.txt	9	9	格言		有容德乃大
LASHJQ-061	035.“好而知其恶，恶而知其美”.txt	9	9	格言		有意骨乃贱
LASHJQ-062	035.“好而知其恶，恶而知其美”.txt	13	13	典故		诚其意
LASHJQ-063	036.如此“便民”.txt	15	15	俗语		团团转
LASHJQ-064	036.如此“便民”.txt	71	71	成语		非一日之寒
LASHJQ-065	036.如此“便民”.txt	71	71	成语		事出有因
LASHJQ-066	037.被嚼槟榔的吻了一下.txt	7	7	妙语		我也是做木材生意的，不过是小规模的（in a small way）——我是卖牙签的。
LASHJQ-067	037.被嚼槟榔的吻了一下.txt	7	7	典故		吾今日围猎，欲射一马，误中一獐。
LASHJQ-068	037.被嚼槟榔的吻了一下.txt	7	7	格言		既要射马，也要射獐
LASHJQ-069	037.被嚼槟榔的吻了一下.txt	7	7	格言		随缘弄墨
LASHJQ-070	037.被嚼槟榔的吻了一下.txt	9	9	诗文		梵志翻着袜，人皆道是错。乍可刺你眼，不可隐我脚。
LASHJQ-071	037.被嚼槟榔的吻了一下.txt	9	9	格言		外界毁誉，实不足介怀。
LASHJQ-072	037.被嚼槟榔的吻了一下.txt	9	9	妙语		被臭虫咬了一下
LASHJQ-073	037.被嚼槟榔的吻了一下.txt	9	9	妙语		被嚼槟榔的吻了一下
LASHJQ-074	039.成功在第三次.txt	13	13	诗文		仇敌都不见，除却一寒冬
LASHJQ-075	039.成功在第三次.txt	13	13	诗文		Here shall be see / No enemy / But winter and rough weather.
LASHJQ-076	039.成功在第三次.txt	15	15	诗文		如金光之加于落日
LASHJQ-077	039.成功在第三次.txt	15	15	诗文		I shall treasure it as adding gold to the sunset.
LASHJQ-078	039.成功在第三次.txt	21	21	格言		朝夕读书，手不敢释卷、笔不敢停挥，自五十六岁以至今年七十四岁，日日如是而已。关门闭户，著书甚多，不暇接人，亦不暇去教人
LASHJQ-079	039.成功在第三次.txt	23	23	格言		世俗之礼不行、世俗之人不交、世俗之论不畏，然后其势孤，势孤然后能中立（独立）
LASHJQ-080	039.成功在第三次.txt	25	25	格言		我只注重我自己独立的思想，不迁就任何人的意见。
LASHJQ-081	040.爱因斯坦的两段话.txt	13	13	格言		My passionate interest in social justice and social responsibility has always stood in curious contract to a marked lack of desire for direct association with men and women.
LASHJQ-082	040.爱因斯坦的两段话.txt	13	13	格言		I am a horse for single harness，not cut out for tandem or team work.
LASHJQ-083	040.爱因斯坦的两段话.txt	13	13	格言		I have never belonged wholeheartedly to country or state，to my circle of friends，or even to my own family.
LASHJQ-084	040.爱因斯坦的两段话.txt	13	13	格言		These ties have always been accompanied by a vague aloofness，and the wish to withdraw into myself increases with the years.
LASHJQ-085	040.爱因斯坦的两段话.txt	15	15	格言		Such isolation is sometimes bitter, but I do not regret being cut off from the understanding and sympathy of other men.
LASHJQ-086	040.爱因斯坦的两段话.txt	15	15	格言		I lose something by it, to be sure，but I am compensated for it in being rendered independent of the customs, opinions, and prejudices of others, and am not tempted to rest my peace of mind upon such shifting foundation.
LASHJQ-087	041.彼以熊来，吾以熊往.txt	5	5	妙语		She can not get along with herself
LASHJQ-088	041.彼以熊来，吾以熊往.txt	5	5	妙语		她跟自己都不能相处
LASHJQ-089	041.彼以熊来，吾以熊往.txt	9	9	格言		自囚的艺术
LASHJQ-090	041.彼以熊来，吾以熊往.txt	19	19	成语		爱钱如命
LASHJQ-091	041.彼以熊来，吾以熊往.txt	19	19	格言		爱钱过命
LASHJQ-092	041.彼以熊来，吾以熊往.txt	19	19	成语		天花乱坠
LASHJQ-093	041.彼以熊来，吾以熊往.txt	19	19	成语		美中不足
LASHJQ-094	041.彼以熊来，吾以熊往.txt	25	25	妙语		father-in-law
LASHJQ-095	041.彼以熊来，吾以熊往.txt	25	25	妙语		father-out-law
LASHJQ-096	041.彼以熊来，吾以熊往.txt	27	27	格言		李敖是最可靠的朋友，也是最难缠的敌人。
LASHJQ-097	042.神龙见尾不见首.txt	5	5	成语		高深莫测
LASHJQ-098	042.神龙见尾不见首.txt	5	5	成语		见怪不怪
LASHJQ-099	042.神龙见尾不见首.txt	5	5	妙语		闭关都好吗？万一不想自闭，就赶紧出来吧，我们不会笑你的。
LASHJQ-100	042.神龙见尾不见首.txt	9	15	诗文		因为我的闪电从来不怎么厉害，\n你以为我的雷声也不大，\n可是这回你想错了，\n我打起雷来要你怕怕。
LASHJQ-101	042.神龙见尾不见首.txt	17	17	妙语		大丈夫说不出来，就不出来
LASHJQ-102	042.神龙见尾不见首.txt	17	17	妙语		朋友的“失败”才是我的成功，妙哉妙哉！
LASHJQ-103	042.神龙见尾不见首.txt	21	21	成语		灵感顿来
LASHJQ-104	042.神龙见尾不见首.txt	25	25	格言		神龙见尾不见首
LASHJQ-105	042.神龙见尾不见首.txt	25	25	格言		真正的神龙，都是把头藏起来的，藏头露尾，于人足矣！
LASHJQ-106	042.神龙见尾不见首.txt	25	25	妙语		真的神龙，再藏头也不是鸵鸟啊！
LASHJQ-107	043.李氏理想，张氏实行.txt	1	1	格言		李氏理想，张氏实行
LASHJQ-108	043.李氏理想，张氏实行.txt	9	9	典故		一沐三握发、一饭三吐哺
LASHJQ-109	043.李氏理想，张氏实行.txt	9	9	典故		孔子久不梦周公
LASHJQ-110	043.李氏理想，张氏实行.txt	9	9	格言		一饭三离席
LASHJQ-111	043.李氏理想，张氏实行.txt	11	11	诗文		故国神游
LASHJQ-112	043.李氏理想，张氏实行.txt	11	11	诗文		京华烟云
LASHJQ-113	043.李氏理想，张氏实行.txt	11	11	格言		人间悲欢离合的大场面
LASHJQ-114	043.李氏理想，张氏实行.txt	31	31	格言		知识分子丟掉笔杆、离开讲坛就不能谋生吗？
LASHJQ-115	043.李氏理想，张氏实行.txt	31	31	格言		知识分子同样可以卖面维生，不必仰人鼻息，在恶劣的情势下仍能保住道德情操。
LASHJQ-116	043.李氏理想，张氏实行.txt	31	31	格言		能写文章就写，不能的话何以不能卖面？
LASHJQ-117	043.李氏理想，张氏实行.txt	39	39	典故		处常
LASHJQ-118	043.李氏理想，张氏实行.txt	39	39	典故		处变
LASHJQ-119	043.李氏理想，张氏实行.txt	43	43	格言		少怀大志
LASHJQ-120	043.李氏理想，张氏实行.txt	43	43	成语		创业维艰
LASHJQ-121	043.李氏理想，张氏实行.txt	43	43	成语		胼手胝足
LASHJQ-122	043.李氏理想，张氏实行.txt	43	43	典故		沿门托钵僧
LASHJQ-123	043.李氏理想，张氏实行.txt	43	43	格言		大家全凭一股冲劲，想为这个沉闷的时代开辟一个可以提供新鲜空气的窗户。
