source_file	line	flag	text
004.喊一声“芝麻开门！”就行了.txt	9		　　Arabian camel（阿拉伯骆驼）也叫单峰驼（dromedary），另外有两个峰的叫双峰驼（Bactrian camel）。骆驼虽然能负重致远（一天可走100英里），但若背东西背过了头，最后一根稻草（the last straw）也会压垮了它。英文有句格言叫The last straw breaks the camel's back。意思就是最后的小负担也会弄垮了全部、小事酿成大祸、凡事要适可而止。亲爱的小文，你喜欢爸爸写给你这些“台北夜谭”吗？
005.头头大观.txt	7	risk	　　美国第三十一任总统胡佛（Herbert C．Hoover他的太太会说中国话，他没当总统前，在中国做工程师）预言女人当美国总统的成绩会比男人好，你就好好干吧！“班主席”是头儿，英文中表示头儿的字，最普通是head，例如四姑父是“一家之主”，英文就是head of （the） family，校长也是head，电报局局长是the head of the telegraph office。 
005.头头大观.txt	9	risk	　　Boss是老板、领袖，但有时翻成中文“说了算”的意思最传神。His wife's the boss in his family．（在他家他老婆说了算；他老婆是他一家之主。）老板娘是boss's wife，小开是young boss of a business，就是小老板。chief也是常用的，the chief of police（警察局长），chief justice（首席法官），Chief of （the General） Staff（参谋[总]长），the Chief Executive（大写美国总统，小写各州州长），commander in chief（总司令），俗语chief itch and rub是指重要的人（校长也算），有点中文“巨头”的意思。另有一个字叫VIP或V．I．P．是very important person的缩写。美国有一种鱼叫“王鱼”（kingfish），也被用来叫boss，“祸首”则是chief culprit（罪魁）。 
006.指教.txt	5		　　你说姥姥手指肿了，要不要紧？肿的是哪一只？
006.指教.txt	7		　　手指是finger，指头尖是fingertip，She was a lady to her fingertips．是“她浑身都是淑女”，连指头尖（里）都是。指甲是nail，钉子也是，也叫fingernail He is witty to the fingernails是说浑身都是机智，机智都跑到指甲里头去了，连指甲里都有机智。 
006.指教.txt	11		    大拇指是thumb，童话里有一个Tom Thumb，任何小东西矮东西也叫Tom Thumb，喜欢吮大拇指叫thumb-sucker。thumb one's nose是一种做鬼脸。你在路上，若看到有人伸大拇指拦车，这种动作就叫thumb（也叫hitch-hike），这种人就叫thumb-pusher（也叫hitch-hiker），thumber就是揩油搭便车的。说这个人笨手笨脚的，常用His fingers are all thumbs. 十个指头全跟大拇指一样，不是完蛋了吗？ 
006.指教.txt	19		　　小指是little finger，说“玩弄别人于股（大腿）掌（手心）之上”，英文则是He has a remarkable talent for twisting people around his little finger．这 turn （twist） around one's little finger是成语，要记住。 
007.理发匠就是外科医生，外科医生就是理发匠.txt	9		　　意思就是一失掉机会，就抓也抓不住了——秃秃的，怎么抓？这句名言出自《伊索寓言》（Aesop's Fables），伊索是2600年前希腊的一名奴隶（a Greek slave），这本书非常好，你要看看，像小孩子喊：“狼来了！狼来了！”（Wolf！Wolf！）像“狗占马槽”（dog in the manger“占着毛坑不拉屎”）都是这本书里的故事。 
008.送礼·向厕所跑.txt	5		　　你的生日礼物（birthday gift or present）连同圣诞节礼物（Christmas gift），一并折成礼金（cashgift）30元，由姥姥转给你，再由你自己选要买的东西，好不好？同时你还该送礼（give gifts）给姐姐哥哥等，自然他们也会送礼给你，这叫“礼尚往还”。“礼尚往还”是中文，英文的意思则是“礼物像鱼钩”（Gifts are like fish hooks.）。就是可以“钓”到别人的，转成中文，又是“抛砖引玉”（to throw a brick and to get a gem in return）的意思。中国的规矩是礼物当面不打开，所以你送一盒砖头给人，人家也不知道。但美国规矩却要当面打开看，大概是过去有人送了砖头，所以人家不再上当，为保险起见，干脆当面看个清楚，（若还是砖头，可以立刻跟你算账！）这也是美国人比中国人“实际”的地方。如果你真的送的不是砖头，那你就“真金不怕火炼”（Genuine gold is not afraid of fire．），不怕别人当面打开。所以当姐姐说May I open it now？（我现在可以打开看吗？）的时候，你就可以大胆地说Sure，I wish you would．（当然，我恨不得你打开看看）。但如果你真的送的是砖头，那你就“做贼心虚”（One who has done something bad secretly cannot look others in the eye.）你就要赶紧跑到厕所去！（If you don't mind，I'd like to wash my hands.）锁上厕所门后，你可以大声向姐姐喊：Don't look a gift horse in the mouth!（不要挑人家礼物呀！）如果姐姐气得用砖头打门，说I wouldn't take it as a gift！（就是白给我我也不要！）那你就做一个“送了礼又收回去的人”（Indian giver），包起来，再送给哥哥吧！哈哈！ 
008.送礼·向厕所跑.txt	9		　　马愈老，牙愈多，公马最后可生40颗牙，母马36。送马给人家，人家从马嘴里可以看到这礼物的好坏，四百年前英文格言No man ought to look a given horse in the mouth.就是说不要挑剔人家的礼物。中文说“马齿徒增”则表示自惭老大。小马有两种：年纪小的是colt，身体小的是pony。 
009.你羊我就马，你马我就羊.txt	5		　　姥姥说感恩节带你去纽约看妈妈，多好啊！感恩节（Thanksgiving Day）其实就是谢谢节，谢谢谁呢？信教的人说是谢谢上帝。 
009.你羊我就马，你马我就羊.txt	15		　　你马我就羊，你羊我就马，小文你说，英文是不是故意跟中文捣蛋？ 
010.打老虎秘诀.txt	5		　　你看这画片上的两只小老虎多可爱。那头白的很少有，值一万美金，并且愈大愈贵。老虎只在亚洲才有，印度、中国、伊朗（就是10月21日信上跟你提到过的天方）、日本，都有。老虎可以长到四五百磅，能爬树、会游泳，虽然狮子是“百兽之王”（king of beasts），但专家说老虎比狮子还有力量。 
010.打老虎秘诀.txt	7		　　因为老虎厉害，所以中国人说惹厉害的人叫“捋虎须”，美国人则说“拧狮子尾巴”（twist lion's tail），老虎厉害，惹了它就收不了场，所以中国有成语说“骑虎难下”Once mounted it is hard to get off，也叫“势成骑虎”Like riding on tiger。“捉虎容易放虎难”It's easier to catch a tiger than to set it free，英文也有一句话说Supposing you miss your tiger，he is not likely to miss you.（你打不着老虎，老虎不见得吃不着你）。 
010.打老虎秘诀.txt	9		　　惹老虎虽然危险，但人间有很多事要冒险才有收获，中国话说“不入虎穴，焉得虎子”（“不到老虎窝里去，哪里找得到小老虎？）也正是英文中Nothing venture，nothing have的意思。 
010.打老虎秘诀.txt	11		　　中国人说老虎厉害，不但人怕它，鬼也怕它。有一种鬼叫“伥”，神话里说这种鬼专门听老虎使唤，于是就出来一句成语叫“为虎做伥”，意思就是帮着坏东西做坏事（to help an evil person do evil）。 
011.你送神像我搭台.txt	5		　　21日收到你与姥姥5、6日的信，知道你们在纽约玩得很开心。纽约的外号叫“沟泽姆”Gotham，Gotham在英国叫“沟特姆”，是一个傻瓜们住的村子。最早住在纽约的人据说傻不鸡鸡，所以纽约就被叫做Gotham，纽约人也被叫做“沟泽麦特”Gothamite，有一句英文成语叫“沟泽姆的聪明人”wise man of Gotham，就是指傻瓜fool。纽约人的正式称呼叫New Yorker，翻成中文，正好是“纽约客”，妈妈是New Yorker，六姑他们也是New Yorker，有一个有名的杂志也叫The new Yorker。 
011.你送神像我搭台.txt	13		　　美国在第二次世界大战，花了3410亿，可以买十一个曼哈顿，你说打仗多费钱！ 
012.千年王八万年龟.txt	5		　　中国有一句俗话叫“千年王八万年龟”，表示乌龟活得很长，但据动物学家说，乌龟只活一百多年。乌龟在一千多年前，本不是骂人的字眼，那时候祝人长寿都说“龟龄”（long-lived like the turtle），有人名字叫“龟年”。中国古人常烧乌龟，看背上的裂纹，用来算命，中国字中“用”这个字，古写是（金文“用”），就表示一根铁条侧面插进龟背（甲骨文“用”）去烧，烧出来的纹如吉祥，就可以“用”了。 
012.千年王八万年龟.txt	7		　　一般来说，turtle是指海龟，就是鳖，也叫甲鱼（鳖中有一种叫玳瑁：hawksbill最有名，也叫“陆龟壳海龟”tortoise-shell turtle），tortoise是指陆龟，不过大家也随使用。乌龟有的只活在水里，有的只活在陆上，有的水陆两“用”。乌龟虽然是冷血动物cold-blooded animals，可是它却要住在暖和的地方。母乌龟下了蛋，就不管了，它让太阳光去孵这些蛋，所以小乌龟从来不知道爸爸妈妈是谁。 
012.千年王八万年龟.txt	9		　　爸爸过去在澎湖当排长，夜里睡在一间据说闹鬼的房子里，房后有一扇老是关着的小门，当天晚上老是有东西在挤这扇门。到第二天天亮了一看，原来是一只大海龟。捉乌龟，尤其是捉大海龟，非常简单，只要把它四脚朝天一翻，它就呆在那儿了。所以抓乌龟就叫“翻乌龟”turn turtle，任何东西把它底部朝天翻过来，也叫turn turtle。 
013.不飞的鸟.txt	17		　　孵蛋：白天母的孵，晚上公的孵/母的管生不管孵，公的只好孵/母的管生不管孵，公的只好孵（不吃东西，孵两个月）/母的说“反正我不孵，要孵你孵”，于是公的只好孵（75天） 
013.不飞的鸟.txt	19		　　各有千秋：公的可以讨小老婆。传说被追得没法时，把头钻到沙子里，自己只要看不见敌人，就放心了，不管敌人看不看到它。这种不肯正视的自欺，英文叫ostrichlike（事实上这传说不对，ostrich走投无路时，它会踢人，并不藏头露尾。）//会游泳，游得很棒，吃鱼。不怕冷，孵出小企鹅就好像孵出一件皮大衣。南极冷的冬天要到零下40度至80度下，但是公企鹅孵小企鹅体温比人还高。企鹅不大认得清男女，公企鹅如认为某一只企鹅好像是母的，它就找一块小石头丢到对方面前，如果对方是母的，便接受小石头做礼物；如果对方是公的，便有权为这一误会发脾气，便有权咬它，它要甘心被咬，不能还嘴。/鼻孔长在嘴前端，别的鸟的鼻孔都长在嘴后端。空军中地勤人员（不飞的）就被挖苦叫kiwi。 
014.你杀鹅我就杀鸡.txt	5		　　中文里说人走起路来慢吞吞的，又摇摇晃晃的，叫“鹅行鸭步”，英文里把鹅走路描写军队检阅时走的“正步”——goose step，中文里说冷、害怕或恶心的时候起的“鸡皮疙瘩”，英文里叫“鹅肉”goose flesh——你鸡我就鹅，英文又跟中文捣起蛋来了。 
014.你杀鹅我就杀鸡.txt	7		　　伊索寓言里有一个故事说，一个人有一只会生金蛋的鹅，但每天只生一个，这人嫌生的慢，拿刀把鹅杀了取蛋，结果鹅死了，蛋也没了，这个故事写人又笨又贪心。由这个故事，出来一句英文成语，叫 
014.你杀鹅我就杀鸡.txt	19		　　骂人胆小说这人连向鹅说声“呸！”都不敢。unable to say “bo” to a goose． 
015.原子弹与沉鱼落雁.txt	5		　　上次跟你说的那种鹅是家鹅，有关鹅的种类的英文和中文，你该注意的是： 
015.原子弹与沉鱼落雁.txt	21		　　中国古时候人写诗，常常提到雁。有一首李颀写的《古从军行》——“白日登山望烽火，黄昏饮马傍交河。行人刁斗风沙暗，公主琵琶幽怨多。野营万里无城郭，雨雪纷纷连大漠。胡雁哀鸣夜夜飞，胡儿眼泪双双落。闻道玉门犹被遮，应将性命逐轻车。年年战骨埋荒外，空见葡萄入汉家。”请姥姥讲给你听。这首诗收在《唐诗三百首》，这是一本有名的诗选，一共选了310首诗，为什么310首诗叫“三百首”呢？因为更古的一本诗选，叫《诗经》，有三百篇，但实际是311个题目，为了跟《诗经》学，就来了唐诗310首，少一首，是表示客气，你看中国人多妙呵！ 
016.他所有的鹅都是天鹅.txt	5	risk	　　英文中说一个人吹牛，就说All his geese are swans.（他所有的鹅都是天鹅）。天鹅比鹅珍贵，珍贵得人人都想吃，包括癞蛤蟆。请姥姥给你讲什么叫“癞蛤蟆想吃天鹅肉”（a toad dreaming of eating the swan's meat）。爸爸有一个朋友，在台北衡阳街口卖芝麻饼，他追一个阔家小姐，阔家小姐的妈妈把他告到警察局，警察骂他“想吃天鹅肉”，他后来把卖的饼改名“天鹅饼”。 
016.他所有的鹅都是天鹅.txt	7		　　因为天鹅优雅美丽，所以很多诗、歌都写它。德国名作曲家瓦格纳（Richard Wagner）作过名曲Lohengrin（这个h字不发音），描写天鹅，四姑父四姑会有这唱片。写《丑小鸭》（The Ugly Ducking）的丹麦童话家安徒生（Hans Christian Andersen），也写过《野天鹅》（The Wild Swans），你看安徒生童话的时候，可以特别注意这一篇。另外俄国作曲家柴可夫斯基（Peter Tchaikovsky）也作过舞剧《天鹅湖》（The Swan Lake）。 
016.他所有的鹅都是天鹅.txt	9		　　虽然说人像鹅一样笨（as silly as a goose），但却称赞人举止像天鹅一样闲雅（graceful as a swan），闲雅也可以写做娴雅。 
016.他所有的鹅都是天鹅.txt	13		　　传说天鹅死前要唱歌，所以英文“天鹅之歌”（swan song）就转用来表示最后的行动或作品（诗、歌等等都算）。 
016.他所有的鹅都是天鹅.txt	15		　　神话中有“天鹅少女”（swan maiden），只要穿上一种“天鹅衫”（swan shift），就变成女天鹅，谁要检到这天鹅衫，这个少女就要听谁的话。 
018.破锅有烂灶、李大有张嫂.txt	5		　　你有没有跟小朋友们玩jack的游戏？jack是一个好玩的字，很多英文字里头都有它。大写Jack是人名，英文有句成语All work and no play makes Jack a dull boy（光用功，也不玩，杰克变成个笨小孩）。这句成语已经有三百多年的历史了。 
018.破锅有烂灶、李大有张嫂.txt	7		　　Jack指男的，Jill（或Gill）指女的。又有英文成语Every Jack has his Jill就是中文“物各有偶”的意思，破锅有烂灶、李大有张嫂。 
018.破锅有烂灶、李大有张嫂.txt	25		　　jack-o' -lantern是南瓜灯。把南瓜挖成人脸，里头放蜡烛。万圣节（Halloween）的时候，你有没有看到？万圣节点灯笼，是因为爱尔兰传说有个人叫Jack的，因为太吝啬，上不了天堂；又因为寻魔鬼开心，下不了地狱，所以只好点个灯笼在地上逛，等待最后审判。 
018.破锅有烂灶、李大有张嫂.txt	27		　　中国人有“上天无路，入地无门”的话，但没有这故事。 
019.情人与天使.txt	5		　　昨天收到你2月13的信和卡片。你有那么好的成绩——在短短几个月中就有那么好的成绩，爸爸很高兴。你现在正是赶功课的时候，所以不和别的小朋友一样，你必须比他们多花一些时间在功课上面，等到功课赶过他们，才好大玩特玩，你说对不对？ 
019.情人与天使.txt	13		　　瓦伦丁节卡片上有一颗心，心上又被箭射穿，你给爸爸的卡片上也这样画着，你知道为什么吗？在神话里，爱和美的女神叫维纳斯（Venus），她的小孩叫爱神丘比特（Cupid），手上有弓和箭，箭有金的银的，被他射上金箭就爱得快乐，被他射上银箭就爱得痛苦。丘比特不但射别人，也射自己，他爱上一个美得被维纳斯嫉妒的女人，闹得天翻地覆。 
020.看那熊相.txt	9		　　熊老是独来独往，公熊（he-bear）和母熊（she-bear）在一块个把月就分开了。小熊（cub）由妈妈带。熊掌（bear's paw）是中国古人的名菜，孟夫子说：“鱼我所欲也，熊掌亦我所欲也。”熊掌上有个肉疙瘩，叫熊丸（a pill of bear's paw），是给小熊咬着玩的。 
020.看那熊相.txt	17		　　熊在森林里，美国森林防火，用了一个熊的画片，叫Smoky the Bear。有一个很好玩的巧合，中文中用来形容大火就说“熊熊大火”（a blazing fire），“熊熊”是火光，很亮的火光。 
020.看那熊相.txt	29		　　熊和做生意还有一句谚语Sell the skin before one has killed the bear.（熊没到手先卖皮）。正式说法是Never sell the bear's skin until you have killed the bear.（没宰到熊以前你先别卖熊皮）。 
020.看那熊相.txt	37		　　中文中有一个“罴”（pi）字，就是褐色的熊（brown bear），“熊罴入梦”的意思是：“祝你生个儿子！”（May you bear a son!）如果六姑肚子大了，你就可以这样祝贺她。bear的动词有生小孩的意思，所以这句话要硬翻成英文则是May you bear a“ he-bear””，外国人就不懂了。六姑如果也不清楚“熊罴入梦”的典故，也会发脾气，说：“小文你什么意思！六姑是人，怎么你倒盼她生个熊！” 
021.为什么还叫别人是姥姥？.txt	5		　　在短短的几个月中你的英文能有这么大的进步，证明了你又用功又聪明，以前清华研究院（现在清华大学）的校长孙观汉博士，曾发表过一篇文章叫《李敖和天才》，用他科学家的方法，证明为什么李敖是天才。如果他证明的有几分道理，那么李敖也愿说：李文是天才（Hedy Lee is a genius.）。 
021.为什么还叫别人是姥姥？.txt	7		　　记得去年十一、十八爸爸信上跟你提到大发明家爱迪生吗？他说：“天才是百分之一的灵感，百分之九十九的流汗”。（Genius is one percent inspiration and ninety-nine percent perspiration.）这就是说，天才要靠用功才行，用了功，天才才能冒出来；不用功天才就埋没下去了。 
021.为什么还叫别人是姥姥？.txt	11		　　19世纪英国有一个文学家叫王尔德（Oscar Wilde），非常有天才，他1882年到美国，上岸的时候，海关收税的问他要申报（declare）些什么该缴税的，他神气的说：“除了我的天才外还有什么好报的。”（I have nothing to declare except my genius．） 
021.为什么还叫别人是姥姥？.txt	13		　　你特别注意这nothing的用法。你在信上已会用nothing to do，爸爸很高兴，但你不能只写I nothing to do，因为这样缺了动词，你该写I have nothing to do，写There is nothing to do也可以。如果把主词、动词都不用，单用nothing to do却可以，用法可看这首诗： 
021.为什么还叫别人是姥姥？.txt	29		　　又美国俗话中Nothing doing是“我才不干呢！”“不行！”的意思。北平土话中说“姥姥！”正是这个意思，但你只跟北平人说他才懂，否则他会奇怪：你有那么好的姥姥为什么还叫别人是姥姥？
022.苍蝇的老婆最多.txt	5		　　爸爸认识一个人，他的眼睛有毛病，看什么东西都是两个，爸爸跟他说：“这也不错呀！在你手里只有一块钱，可是在你眼里却有两块钱！”他说：“我看两块没用，要别人看两块才划得来。”爸爸说：“那你讨一个老婆就等于讨一对姐妹花双胞胎了。”他说：“就有这么一点好处！” 
023.英文回文·中文回文.txt	7		　　eye（眼睛）did（do的过去式）Eve（夏娃）gag（不许说话）pop（砰）bob（上下快动） 
023.英文回文·中文回文.txt	27		　　这种顺着念和倒着念是一样的句子，在英文中叫“回文”（palindrome）。中文也有回文，但念法跟英文不一样。一个笑话说老师给三个作文做不好的学生批作文，三个人中：
023.英文回文·中文回文.txt	101		　　清朝有个文学家叫纳兰性德（满洲人，姓纳兰，名性德），他有一句词是“花落正啼鸦”，若反着念“鸦啼正落花”也可以。 
024.关于脖子的种种.txt	11		　　这真是一个怪风俗，但比起中国人缠小脚来（to bind the feet，也叫foot binding，foot是单数，但并不是只缠一只脚），也不过是“班门弄斧”呢！这也可以说是“小巫见大巫”。 
024.关于脖子的种种.txt	15		　　长颈鹿：不能说长脖子鹿 
024.关于脖子的种种.txt	17		　　项链：不能说脖子链，英文是necklace 
024.关于脖子的种种.txt	19		　　领带：不能说脖子带，英文是necktie 
024.关于脖子的种种.txt	21		　　围巾：不能说脖子巾，但可以叫“围脖儿”，英文是scarf或muffler 
024.关于脖子的种种.txt	27		　　Neck or nothing是冒险干一下、拼命干一下。打棒球偷垒时，你自己就可以同自己说： 
024.关于脖子的种种.txt	35		　　中国人说最要好的朋友是“刎颈之交”。“刎”是拿刀切脖子，“刎”字别写成“吻”字，因为若写错了，写成“吻颈”，就变成英文necking的意思了。 
025.眼睛有时候会上当.txt	25		　　《伊索寓言》说一个狮子听到青蛙叫（hearing the frog croaking），以为一定是个大得不得了的动物，后来脚踩（tramp）到青蛙，才知道原来这么小，这个寓言引出一句英文： 
025.眼睛有时候会上当.txt	45		　　你3月27日的信爸爸本月11号收到，你剪的画片和说明都非常好。
025.眼睛有时候会上当.txt	51		　　小文你说两条线除箭头外哪条长？下边的？不对，其实两条一样长，这就是说，眼睛有时候会上当。
026.“妈妈骑马，马慢，妈妈骂马”.txt	5		　　你会说“绕口令”吗？ 
026.“妈妈骑马，马慢，妈妈骂马”.txt	7		　　你快说：“妈妈骑马，马慢，妈妈骂马。” 
026.“妈妈骑马，马慢，妈妈骂马”.txt	9		　　你快说：“妞妞骑牛，牛扭，妞妞扭牛。” 
026.“妈妈骑马，马慢，妈妈骂马”.txt	11		　　你快说：“门后头的刀，刀倒挂着。” 
026.“妈妈骑马，马慢，妈妈骂马”.txt	13		　　你快说：“吃葡萄不吐葡萄皮，不吃葡萄倒吐葡萄皮。” 
026.“妈妈骑马，马慢，妈妈骂马”.txt	17		　　你快说She sells seashells at the sea-shore. 
026.“妈妈骑马，马慢，妈妈骂马”.txt	21		　　你快说A big black bug bites a big black bear. 
026.“妈妈骑马，马慢，妈妈骂马”.txt	25		　　英文中不但有绕口令的话，还有绕口令的诗，这叫tongue-twisting lyrics。 
026.“妈妈骑马，马慢，妈妈骂马”.txt	27		　　你快说下面这四句： 
027.老鼠不信任一个洞.txt	11		　　老鼠胆子很小，所以中文说“胆小如鼠”，但英文却说“胆小如鸡”（chicken或chickenhearted）。但中文说“落汤鸡”，英文却说：“湿得像淹在水里的老鼠”（wet as a drowned rat）。——你鼠我就鸡，你鸡我就鼠，英文老是跟中文别扭。如果你在雨中淋得湿淋淋的回来，你就可以说： 
027.老鼠不信任一个洞.txt	15		　　英文中说人穷，就说“穷得像教堂的老鼠”（as poor as a church mouse）。 
027.老鼠不信任一个洞.txt	25		　　传说船要沉了或房子要塌了或着火了以前，船里或房里的老鼠就先跑了。英文是： 
027.老鼠不信任一个洞.txt	35		　　由这个现象，变出来另一种意义，就是患难时候不可靠的家伙，就叫rat。这种人出卖别人，最可恶。跟这个字很近的一个字叫Judas（犹大），就是出卖他老师耶稣的。别人给犹大三十块钱（当时这数目可买一个奴隶slave），他后来很后悔，于是钱也不要了，吊死在树上，这树就叫“犹大树”（Judas tree，就是植物学上的“洋苏木”）。别人收买犹大，因为他们认不出谁是耶稣，犹大说你们看我吻谁谁就是，于是他给了耶稣一个kiss，这种吻，就叫“犹大之吻”（Judas kiss）。就是表面上很亲热，骨子里却有阴谋的吻。美国黑社会头子要干掉谁，有时候就来一个Judas kiss，所以谁都怕这种kiss。爸爸信上跟你谈过的天才王尔德，有诗写人总杀掉他心爱的东西，但 
027.老鼠不信任一个洞.txt	47		　　就是劝人“别往淹了水的老鼠身上浇水”，也是中文“别打落水狗”的意思。但人好像总喜欢打落水狗，这些谚语很多 
027.老鼠不信任一个洞.txt	59		　　爸爸常说英文要一窝一窝的学，上面这些，就是一窝一窝的学的例子。 
027.老鼠不信任一个洞.txt	63		　　本周只给你写信。你11、17日的信和卡片同于今天收到。传说中大寿星玛士撒拉（Methuselah）活了969岁，亚当（Adam）活了930岁，他们两个老头儿岁数相减的零头是39岁。爸爸昨天一个人静静的过39岁生日，一天之内，看了一本传记，又看了一个剧本。 
028.说姓道名.txt	1		说姓道名
