action	reason	id	source_file	line_start	line_end	present	political_hits	quote_text
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-029	004.蒋经国的本生母——“毛太君”（龙中天）.txt	41	41	yes		方正贤良
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-030	004.蒋经国的本生母——“毛太君”（龙中天）.txt	41	41	yes		贤良慈孝
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-031	004.蒋经国的本生母——“毛太君”（龙中天）.txt	79	79	yes		深夜自省，饮泪自痛
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-032	004.蒋经国的本生母——“毛太君”（龙中天）.txt	89	89	yes		不但可以暖我身，而更可以温我心
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-033	004.蒋经国的本生母——“毛太君”（龙中天）.txt	91	91	yes		慈母手中线，游子身上衣
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-034	004.蒋经国的本生母——“毛太君”（龙中天）.txt	105	105	yes		大丈夫三父八母
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-035	004.蒋经国的本生母——“毛太君”（龙中天）.txt	105	105	yes		父母天地
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-036	007.我所认识的蒋经国（覃异之）.txt	21	21	yes		除暴安良
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-037	007.我所认识的蒋经国（覃异之）.txt	21	21	yes		敬老尊贤
remove	校对轮移除：原文明确归为蒋经国多次演讲和言论中的干部/用人格言，按现代政治人物语录从严不收。		009.蒋经国在赣南（胡越一）.txt	15	15	yes		谁能用人，谁就成功
remove	校对轮移除：原文明确归为蒋经国多次演讲和言论中的干部/用人格言，按现代政治人物语录从严不收。		009.蒋经国在赣南（胡越一）.txt	15	15	yes		要成就伟大事业，第一要有能干的人，第二要有能干的人，第三还是要有能干的人
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-038	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		当官不与民作主，不如回家卖红薯。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-039	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		暮宿石壕村，有吏夜捉人
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-040	011.回忆与蒋经国相处二三事（方暾）.txt	3	3	yes		昔日石壕吏捉人，尚获老妇。今日之赣南，虽老妇亦戛戛乎其难矣！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-041	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		爱民如子
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-042	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		不在其位，不谋其政
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-043	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		急如星火
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-044	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		九霄云外
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-045	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		明察秋毫
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-046	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		秦镜高悬
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-047	011.回忆与蒋经国相处二三事（方暾）.txt	5	5	yes		作壁上观
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-048	011.回忆与蒋经国相处二三事（方暾）.txt	7	7	yes		忠孝两全
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-049	011.回忆与蒋经国相处二三事（方暾）.txt	7	7	yes		走马上任
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-050	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		朝不保夕
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-051	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		各霸一方
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-052	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		尾大不掉
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-053	012.蒋经国为沈鸿烈活动内调（刘梦仙）.txt	5	5	yes		占山为王
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-054	015.关于青年军的回忆（黄维）.txt	7	7	yes		投笔从戎
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-055	016.我任青年军政工督导员的经历（吕振寰）.txt	83	83	yes		人地不宜
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-056	016.我任青年军政工督导员的经历（吕振寰）.txt	85	85	yes		急流勇退
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-057	016.我任青年军政工督导员的经历（吕振寰）.txt	85	85	yes		收回成命
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-058	016.我任青年军政工督导员的经历（吕振寰）.txt	87	87	yes		安身立命
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-059	018.蒋经国培养干部的基地（夏明曦）.txt	57	57	yes		穆桂英挂帅
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-060	019.蒋经国出掌政大风波（天龙）.txt	31	31	yes		失之东隅，收之桑榆
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-061	023.蒋经国的小组织“燕廉”的活动（屈凌汉）.txt	13	13	yes		五子登科
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-062	025.上海金圆券案之一幕（周一志）.txt	5	5	yes		铁面无私
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-063	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	9	9	yes		驷不及舌
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-064	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	17	17	yes		晴天霹雳
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-065	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	17	17	yes		丈二和尚摸不着头脑
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-066	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	19	19	yes		和盘托出
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-067	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	21	21	yes		虚与委蛇
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-068	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	25	25	yes		霸王请客
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-069	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	25	25	yes		吉少凶多
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-070	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	27	27	yes		无稽之谈
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-071	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	31	31	yes		有恃无恐
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-072	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	35	35	yes		咎由自取
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-073	026.金圆券发行后蒋介石在上海勒逼金银外汇的回忆（戴立庵）.txt	39	39	yes		为所欲为
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-074	028.蒋经国的情妇吴惊鸿（郑经）.txt	21	21	yes		用高射炮打蚊子
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-075	028.蒋经国的情妇吴惊鸿（郑经）.txt	23	23	yes		呼风唤雨
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-076	028.蒋经国的情妇吴惊鸿（郑经）.txt	29	29	yes		但愿生女不生男
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-077	029.蒋经国用人“天威难测”（赵达中）.txt	27	27	yes		功高震主
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-078	029.蒋经国用人“天威难测”（赵达中）.txt	33	33	yes		乔太守乱点鸳鸯谱
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-079	029.蒋经国用人“天威难测”（赵达中）.txt	37	37	yes		朝秦暮楚
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-080	029.蒋经国用人“天威难测”（赵达中）.txt	37	37	yes		见光死
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-081	029.蒋经国用人“天威难测”（赵达中）.txt	43	43	yes		多如过江之鲫
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-082	029.蒋经国用人“天威难测”（赵达中）.txt	43	43	yes		一而再，再而三
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-083	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		六宫粉黛无颜色
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-084	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		明日巴陵道，秋山又几重
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-085	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		人在江湖，身不由己
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-086	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		学富五车
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-087	029.蒋经国用人“天威难测”（赵达中）.txt	45	45	yes		赵孟能贵之，亦能贱之
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-088	029.蒋经国用人“天威难测”（赵达中）.txt	47	47	yes		赏赐的是耶和华，收回的也是祂，耶和华的名是值得称颂的
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-089	029.蒋经国用人“天威难测”（赵达中）.txt	49	49	yes		迁客骚人
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-090	029.蒋经国用人“天威难测”（赵达中）.txt	49	49	yes		做官看运气，下台要有勇气。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-091	029.蒋经国用人“天威难测”（赵达中）.txt	53	53	yes		不求有功，但求无过
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-092	029.蒋经国用人“天威难测”（赵达中）.txt	53	53	yes		五日京兆
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-093	032.略谈蒋经国（陈左弧）.txt	9	9	yes		孤掌难鸣
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-094	032.略谈蒋经国（陈左弧）.txt	9	9	yes		众擎易举
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-095	032.略谈蒋经国（陈左弧）.txt	11	11	yes		黄老之术
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-096	032.略谈蒋经国（陈左弧）.txt	11	11	yes		鸣琴垂拱
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-097	032.略谈蒋经国（陈左弧）.txt	11	11	yes		上下五千年、纵横八万里
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-098	032.略谈蒋经国（陈左弧）.txt	11	11	yes		微服私访、勤求民隐
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-099	032.略谈蒋经国（陈左弧）.txt	11	11	yes		无为而治
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-100	032.略谈蒋经国（陈左弧）.txt	11	11	yes		醉翁之意不在酒
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-101	032.略谈蒋经国（陈左弧）.txt	13	13	yes		剑及履及
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-102	032.略谈蒋经国（陈左弧）.txt	19	19	yes		立锥无地
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-103	032.略谈蒋经国（陈左弧）.txt	19	19	yes		日食三餐，夜眠八尺
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-104	032.略谈蒋经国（陈左弧）.txt	21	21	yes		百足之虫，死而不僵
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-105	032.略谈蒋经国（陈左弧）.txt	21	21	yes		如丧考妣
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-106	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		代死者祷告
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-107	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		蒙主宠召
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-108	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，你可以不讲话，但不可以讲他坏话
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-109	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，一切就都算了、被饶恕了
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-110	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		人死了，只能讲他的好话
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-111	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		万世流芳
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-112	033.蒋经国人死了，就不骂他吗？（李敖）.txt	5	5	yes		一代完人
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-113	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		大贤涉世也，翔而有集，色斯而举。乱君之患，不累其身，危国之祸，不及其家，安得逢其祸而死其患乎？
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-114	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		里有殡，不巷歌！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-115	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		危国之祸，不及其家。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-116	035.为蒋经国先生遗族祈祷（李世杰）.txt	9	9	yes		宗庙有灵存社稷，英宗无意杀先生。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-117	035.为蒋经国先生遗族祈祷（李世杰）.txt	13	13	yes		廿年三字冤沉海，一别千秋恨怎平！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-118	036.蒋经国是信什么宗教的（李世杰）.txt	15	15	yes		风调雨顺
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-119	036.蒋经国是信什么宗教的（李世杰）.txt	15	15	yes		三年无改于父之道，可谓孝矣！
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-120	037.蒋经国“健康情况非常良好”？（李世杰）.txt	15	15	yes		瞒官骗鬼
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-121	037.蒋经国“健康情况非常良好”？（李世杰）.txt	25	25	yes		尸居余气
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-122	037.蒋经国“健康情况非常良好”？（李世杰）.txt	25	25	yes		为天年所限
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-123	037.蒋经国“健康情况非常良好”？（李世杰）.txt	25	25	yes		众目睽睽
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-124	037.蒋经国“健康情况非常良好”？（李世杰）.txt	31	31	yes		撒谎的人，要有好的记忆力。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-125	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		此度见花枝，白头誓不归
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-126	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		苟存性命于乱世
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-127	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		魂兮魂兮，不必归来
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-128	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		投鼠忌器
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-129	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		闻达于诸侯
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-130	039.江南《蒋经国传》新版序（李敖）.txt	13	13	yes		一语成谶
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-131	039.江南《蒋经国传》新版序（李敖）.txt	21	21	yes		重如泰山
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-132	039.江南《蒋经国传》新版序（李敖）.txt	39	39	yes		一手遮天
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-133	039.江南《蒋经国传》新版序（李敖）.txt	39	39	yes		欲盖弥彰
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-134	039.江南《蒋经国传》新版序（李敖）.txt	45	45	yes		不知感恩图报
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-135	039.江南《蒋经国传》新版序（李敖）.txt	45	45	yes		似是而非
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-136	039.江南《蒋经国传》新版序（李敖）.txt	45	45	yes		忘恩负义
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-137	039.江南《蒋经国传》新版序（李敖）.txt	47	47	yes		疾恶如仇
add	校对轮增补：原文逐字命中，且可脱离具体现代政治语境独立检索。	LALDJJG-138	039.江南《蒋经国传》新版序（李敖）.txt	47	47	yes		天不怕地不怕
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-139	039.江南《蒋经国传》新版序（李敖）.txt	59	59	yes		人生如春蚕，作茧自缠裹。一朝眉羽成，钻破亦在我。
keep	校对轮保留：首轮条目复核后未发现需剔除的现代政治语录问题。	LALDJJG-140	039.江南《蒋经国传》新版序（李敖）.txt	67	67	yes		字字看来皆是血
