id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	duplicate_text	political_hits	notes
LAXAND-013	笑敖年代	004.20060806笑敖年代.txt	169	169	取之有道	传统成语/格言	中国传统格言	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-014	笑敖年代	004.20060806笑敖年代.txt	233	233	种桑长江边，三年望当采。\n枝条始欲茂，忽值山河改。\n柯叶自摧折，根株浮沧海。\n本不植高原，今日复何悔。	晋诗	陶渊明诗	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-015	笑敖年代	004.20060806笑敖年代.txt	249	249	君子爱人以德	礼记格言	《礼记·檀弓上》语意	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-016	笑敖年代	004.20060806笑敖年代.txt	265	265	每下愈况	庄子成语	《庄子·知北游》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-017	笑敖年代	004.20060806笑敖年代.txt	269	269	每况愈下	成语	宋以后通行成语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-018	笑敖年代	004.20060806笑敖年代.txt	277	277	约定俗成谓之宜	荀子名句	《荀子·正名》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-019	笑敖年代	005.20060813笑敖年代.txt	173	173	绕岸车鸣水欲干，鱼儿相逐尚相欢。\n无人挈入沧江去，汝死哪知世界宽。	宋诗	王安石诗	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-020	笑敖年代	010.20061001笑敖年代.txt	192	192	要学活的学问是最重要的	李敖读书法格言	李敖语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-021	笑敖年代	010.20061001笑敖年代.txt	192	192	格物致知	大学名句	《大学》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-022	笑敖年代	010.20061001笑敖年代.txt	192	192	我看到的这一面是白颜色，那一面什么颜色我不知道	科学方法格言	美国国务卿赫尔故事	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-023	笑敖年代	010.20061001笑敖年代.txt	192	192	我求的知识是活的，不是死的知识	李敖读书法格言	李敖语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-024	笑敖年代	013.20061022笑敖年代.txt	13	13	我拿青春赌明天，你用真情换此生，岁月不知人间多少的忧伤，何不潇洒走一回	歌词句	《潇洒走一回》歌词	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-025	笑敖年代	013.20061022笑敖年代.txt	89	89	庖丁解牛	庄子成语	《庄子·养生主》典故	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-026	笑敖年代	013.20061022笑敖年代.txt	89	89	游刃有余	庄子成语	《庄子·养生主》典故	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-027	笑敖年代	013.20061022笑敖年代.txt	89	89	一滴精十滴血	传统俗谚	中国俗语/道家房中术观念	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-028	笑敖年代	013.20061022笑敖年代.txt	89	89	猪八戒照镜子，里外不是人	歇后语	中国歇后语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-029	笑敖年代	013.20061022笑敖年代.txt	147	161	如有天孙锦，（天堂上织出来的布）\n愿为君铺地。\n镶金复镶银，\n明暗日夜继。\n家贫锦难求，（家里很穷，拿不到好的纺织品）\n唯有以梦替。\n践履慎轻置，\n吾梦不堪碎！	外国诗译文	叶慈诗，居浩然译	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-030	笑敖年代	013.20061022笑敖年代.txt	167	167	不看你的眼，不看你的眉。\n看了心里都是你，忘了我是谁。\n不看你的眼，不看你的眉。\n看的时候心里跳，看了以后眼泪垂。	李敖歌词	李敖《忘了我是谁》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-031	笑敖年代	014.20061029笑敖年代.txt	103	103	毋恃敌之不来，正恃吾之有以待之	古典兵法名句	《孙子兵法》语意	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。 校对轮补入：回扫源文后确认句子本体属于非政治古典文句或古礼文句。
LAXAND-032	笑敖年代	014.20061029笑敖年代.txt	185	185	不死于女人之手	礼记文句	《礼记》李敖所引	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。 校对轮补入：回扫源文后确认句子本体属于非政治古典文句或古礼文句。
