id	source_file	line_start	line_end	quote_text	source_line
LASHZJ-0011	004.假戏真做与假戏假做.txt	19	19	一旦她们面对了真实的人生，她们本人，却变得一片脆弱与虚假	在我们这种历劫万重的人看来，索菲亚罗兰坐这种牢，从刑期上看，是不足道的；从待遇上看，是上上待遇的。但她们这种娇生惯养的明星人物，却完全不能适应。明星人物只是“人生如戏”，她们只能做戏、演假戏，假戏真做，演得神龙活现；但是，一旦她们面对了真实的人生，她们本人，却变得一片脆弱与虚假，她们平日被社会的奉承与捧场，已经使她们退化了面对真实人生的能力，而变得骄纵、变得不知人间甘苦、变得不知人我之间的基本道德关系与对等关系。结果呢，她们最后变得已不是一个真的人，只是一个会演真的人的画皮而已。
LASHZJ-0012	004.假戏真做与假戏假做.txt	23	23	一个人，完全靠群众的掌声来过活的，很少不是虚假的。	一个人，完全靠群众的掌声来过活的，很少不是虚假的。人都难免有虚假的时候，但是，明星和政客却无时无刻不显出虚假（唯一例外大概只有上厕所，大便不通，涨得满脸通红的时候）。十目所视、十手所指，又安能不虚假？干这两行的人，想来也太可悲了。至于明星谈政治、政客拉拢明星，那更是假中之假，除了假戏假做，什么也看不到了。
LASHZJ-0013	004.假戏真做与假戏假做.txt	23	23	十目所视、十手所指	一个人，完全靠群众的掌声来过活的，很少不是虚假的。人都难免有虚假的时候，但是，明星和政客却无时无刻不显出虚假（唯一例外大概只有上厕所，大便不通，涨得满脸通红的时候）。十目所视、十手所指，又安能不虚假？干这两行的人，想来也太可悲了。至于明星谈政治、政客拉拢明星，那更是假中之假，除了假戏假做，什么也看不到了。
LASHZJ-0015	005.我们要有批评党外的自由.txt	7	7	这样书面交往，反倒容易把思考落实，容易显出具体的成果与结论。	今后朋友们对我的指教和“讨教”，都请用书面给我，我也用书面回答（有的可在《千秋评论》上用印刷品回答）。这样书面交往，反倒容易把思考落实，容易显出具体的成果与结论。大家的生命也不会浪费。
LASHZJ-0016	005.我们要有批评党外的自由.txt	9	9	大眼瞪小眼	如果你真的以为不见面就不把朋友当朋友了，你就错了。难道交朋友，一定得大眼瞪小眼那样相聚吗？一定得杯酒言欢或悲歌慷慨吗？你真是小孩子，太感情型了。
LASHZJ-0017	005.我们要有批评党外的自由.txt	9	9	杯酒言欢	如果你真的以为不见面就不把朋友当朋友了，你就错了。难道交朋友，一定得大眼瞪小眼那样相聚吗？一定得杯酒言欢或悲歌慷慨吗？你真是小孩子，太感情型了。
LASHZJ-0018	005.我们要有批评党外的自由.txt	9	9	悲歌慷慨	如果你真的以为不见面就不把朋友当朋友了，你就错了。难道交朋友，一定得大眼瞪小眼那样相聚吗？一定得杯酒言欢或悲歌慷慨吗？你真是小孩子，太感情型了。
LASHZJ-0019	006.论“影子政权”.txt	5	5	堂下朱栏小魏红	新娘子生千金，应该致贺。你们要我起名字，我建议起名“魏红”。魏红是牡丹的一种，中国有“堂下朱栏小魏红”的诗。红字的读音也很好，意思尤多，且为正色，不知你们可赞成？或者问问廷朝看，廷朝在狱里最有存在感，他起的名字一定很好（《深耕》这期刊出廷朝照片，下写“我关，故我在”，颇动人）。
LASHZJ-0020	006.论“影子政权”.txt	7	7	我思，故我在	千金出生即表示一种事实上的存在，但是观念上的存在，就变成大学问。拉丁文Cogito，ergo sum，是笛卡儿（代嘉德Ren6 Descartes）“我思，故我在”（I think,therefore I am）的流变，这是17世纪1637年的观念。到了20世纪的1903年，萧伯纳（George Bernard Shaw）在《人与超人》（Man and Superman）就认为是“我在，故我思”了（原句是：I said, with the foolish philosopher, “I think； therefore I am.”It was Woman who taught me to say “I am; therefore I think. ”）。
LASHZJ-0021	006.论“影子政权”.txt	7	7	I think,therefore I am	千金出生即表示一种事实上的存在，但是观念上的存在，就变成大学问。拉丁文Cogito，ergo sum，是笛卡儿（代嘉德Ren6 Descartes）“我思，故我在”（I think,therefore I am）的流变，这是17世纪1637年的观念。到了20世纪的1903年，萧伯纳（George Bernard Shaw）在《人与超人》（Man and Superman）就认为是“我在，故我思”了（原句是：I said, with the foolish philosopher, “I think； therefore I am.”It was Woman who taught me to say “I am; therefore I think. ”）。
LASHZJ-0022	006.论“影子政权”.txt	7	7	我在，故我思	千金出生即表示一种事实上的存在，但是观念上的存在，就变成大学问。拉丁文Cogito，ergo sum，是笛卡儿（代嘉德Ren6 Descartes）“我思，故我在”（I think,therefore I am）的流变，这是17世纪1637年的观念。到了20世纪的1903年，萧伯纳（George Bernard Shaw）在《人与超人》（Man and Superman）就认为是“我在，故我思”了（原句是：I said, with the foolish philosopher, “I think； therefore I am.”It was Woman who taught me to say “I am; therefore I think. ”）。
LASHZJ-0023	006.论“影子政权”.txt	7	7	I am; therefore I think.	千金出生即表示一种事实上的存在，但是观念上的存在，就变成大学问。拉丁文Cogito，ergo sum，是笛卡儿（代嘉德Ren6 Descartes）“我思，故我在”（I think,therefore I am）的流变，这是17世纪1637年的观念。到了20世纪的1903年，萧伯纳（George Bernard Shaw）在《人与超人》（Man and Superman）就认为是“我在，故我思”了（原句是：I said, with the foolish philosopher, “I think； therefore I am.”It was Woman who taught me to say “I am; therefore I think. ”）。
LASHZJ-0025	007.学者名流与公帑.txt	23	23	归去来兮	归去来兮！林语堂从美国摩天大楼的公寓里，回到祖国的土地上，找到了这个静逸的环境，“眄庭柯以怡颜，倚南窗以寄傲。”
LASHZJ-0026	007.学者名流与公帑.txt	23	23	眄庭柯以怡颜，倚南窗以寄傲。	归去来兮！林语堂从美国摩天大楼的公寓里，回到祖国的土地上，找到了这个静逸的环境，“眄庭柯以怡颜，倚南窗以寄傲。”
LASHZJ-0027	008.给黄少谷先生的又一公开信.txt	13	13	徒法不足以自行	可见，这真应了中国那句古话：“徒法不足以自行”！
LASHZJ-0028	008.给黄少谷先生的又一公开信.txt	15	15	听者藐藐	法律本身太抽象了，大谈特谈抽象的法律，叠床架屋抽象的种种“施行法”“应行注意事项”“认定事实功能注意事项”，如果法官来个听者藐藐，这些“不足以自行”的良法美意，岂不都要“行不得也”了吗？
LASHZJ-0029	008.给黄少谷先生的又一公开信.txt	15	15	行不得也	法律本身太抽象了，大谈特谈抽象的法律，叠床架屋抽象的种种“施行法”“应行注意事项”“认定事实功能注意事项”，如果法官来个听者藐藐，这些“不足以自行”的良法美意，岂不都要“行不得也”了吗？
LASHZJ-0031	008.给黄少谷先生的又一公开信.txt	85	85	结怨何时休？	结怨何时休？
LASHZJ-0035	009.志在搅局.txt	17	17	Isn't that the musician you fired yesterday?	Isn't that the musician you fired yesterday?
LASHZJ-0036	009.志在搅局.txt	45	45	人间“报应”，得在四十年后不爽	又：今早电视新闻报导：自玻利维亚引渡到法国的前纳粹“里昂屠夫”，已被关进四十年前他关别人的监狱。以色列表示，愿意提供这个刽子手更多的当年作恶的铁证，以供法国参考。人间“报应”，得在四十年后不爽，足见敌我双方，都不可不“长寿似乌龟”也！
LASHZJ-0037	009.志在搅局.txt	45	45	长寿似乌龟	又：今早电视新闻报导：自玻利维亚引渡到法国的前纳粹“里昂屠夫”，已被关进四十年前他关别人的监狱。以色列表示，愿意提供这个刽子手更多的当年作恶的铁证，以供法国参考。人间“报应”，得在四十年后不爽，足见敌我双方，都不可不“长寿似乌龟”也！
LASHZJ-0038	010.不要凭借已成的势力.txt	5	5	息交绝游	虽然你明知我“息交绝游”了，但你仍“三顾茅庐”，要看我的“草堂春睡”，要听我的“隆中三策”。老是避而不见不是办法，我就只好写封信给你了。我写信，不是好事，很多人怕我的信。居浩然过去同我做朋友，首先要求“千万别写信来”！一二十年下来，换了另一批怕我写信的朋友，其中最怕的是周清玉，最不怕的是邓维桢。你算是“依违其间”的，所以我还是写了。
LASHZJ-0039	010.不要凭借已成的势力.txt	5	5	三顾茅庐	虽然你明知我“息交绝游”了，但你仍“三顾茅庐”，要看我的“草堂春睡”，要听我的“隆中三策”。老是避而不见不是办法，我就只好写封信给你了。我写信，不是好事，很多人怕我的信。居浩然过去同我做朋友，首先要求“千万别写信来”！一二十年下来，换了另一批怕我写信的朋友，其中最怕的是周清玉，最不怕的是邓维桢。你算是“依违其间”的，所以我还是写了。
LASHZJ-0040	010.不要凭借已成的势力.txt	5	5	草堂春睡	虽然你明知我“息交绝游”了，但你仍“三顾茅庐”，要看我的“草堂春睡”，要听我的“隆中三策”。老是避而不见不是办法，我就只好写封信给你了。我写信，不是好事，很多人怕我的信。居浩然过去同我做朋友，首先要求“千万别写信来”！一二十年下来，换了另一批怕我写信的朋友，其中最怕的是周清玉，最不怕的是邓维桢。你算是“依违其间”的，所以我还是写了。
LASHZJ-0041	010.不要凭借已成的势力.txt	5	5	隆中三策	虽然你明知我“息交绝游”了，但你仍“三顾茅庐”，要看我的“草堂春睡”，要听我的“隆中三策”。老是避而不见不是办法，我就只好写封信给你了。我写信，不是好事，很多人怕我的信。居浩然过去同我做朋友，首先要求“千万别写信来”！一二十年下来，换了另一批怕我写信的朋友，其中最怕的是周清玉，最不怕的是邓维桢。你算是“依违其间”的，所以我还是写了。
LASHZJ-0042	010.不要凭借已成的势力.txt	5	5	依违其间	虽然你明知我“息交绝游”了，但你仍“三顾茅庐”，要看我的“草堂春睡”，要听我的“隆中三策”。老是避而不见不是办法，我就只好写封信给你了。我写信，不是好事，很多人怕我的信。居浩然过去同我做朋友，首先要求“千万别写信来”！一二十年下来，换了另一批怕我写信的朋友，其中最怕的是周清玉，最不怕的是邓维桢。你算是“依违其间”的，所以我还是写了。
LASHZJ-0043	010.不要凭借已成的势力.txt	7	7	赵孟之所贵者，赵孟亦能贱之	你在《中国时报》被余老板kick upstairs，我早就得知了，这本是我早就意料中的事。古话说赵孟之所贵者，赵孟亦能贱之，你在中国新闻史上划时代的地位，固然不是任何人所能“贱”的，但你在世俗权位上的升降，却的确未免受制于一人，这是很不好的。
LASHZJ-0045	010.不要凭借已成的势力.txt	15	15	为人作嫁	为今之计，你功成身退，不是坏事，只是退得有点失据、有点窝囊、有点缺乏主动。我是反对你“出国进修”的（那是没戏可拍时，“文化美容”者大谈抱负的谎言，是“作秀”的一种，不可认真），我认为你和元馨都应该在和《中国时报》合理结账后（合理结账是《中国时报》应该酬庸你们多年卖命的代价），退出《中国时报》。你们都还年轻，为什么不投身去做真正自己想做的、该做的、也能做的事？为什么要整天整月整年为人作嫁？做那些“捡到篮里就是菜”的文化统战？你做得太久了，该变变了，不是吗？
LASHZJ-0046	010.不要凭借已成的势力.txt	19	19	有才具的人该珍惜他的才具，做完成自己的大事。	你是有才具的人，有才具的人该珍惜他的才具，做完成自己的大事。《中国时报》时代的高信疆，有贡献，也该有段落，再拖下去，就是不智了。我总觉得你每天花在“文化征逐”上的时间太多了，未免失之浪费与虚荣，我盼望你塞翁失马之后，抱着漂亮的柯元馨，在雨笠烟蓑之中、人情冷暖之下，踏上新的前程。
LASHZJ-0047	010.不要凭借已成的势力.txt	19	19	塞翁失马	你是有才具的人，有才具的人该珍惜他的才具，做完成自己的大事。《中国时报》时代的高信疆，有贡献，也该有段落，再拖下去，就是不智了。我总觉得你每天花在“文化征逐”上的时间太多了，未免失之浪费与虚荣，我盼望你塞翁失马之后，抱着漂亮的柯元馨，在雨笠烟蓑之中、人情冷暖之下，踏上新的前程。
LASHZJ-0048	010.不要凭借已成的势力.txt	19	19	雨笠烟蓑之中、人情冷暖之下，踏上新的前程。	你是有才具的人，有才具的人该珍惜他的才具，做完成自己的大事。《中国时报》时代的高信疆，有贡献，也该有段落，再拖下去，就是不智了。我总觉得你每天花在“文化征逐”上的时间太多了，未免失之浪费与虚荣，我盼望你塞翁失马之后，抱着漂亮的柯元馨，在雨笠烟蓑之中、人情冷暖之下，踏上新的前程。
LASHZJ-0049	011.国民党与豹.txt	9	9	道不同不相为谋	现在我不管你多苦恼，重提此事，盼你出面，完成这一功德。大哥和我，道不同不相为谋，“契阔死生”十二年，如今大家都渐老去，总该做点别人做不成的事，做点非我们做不可的事，盼你不避嫌疑与困难，接受我的建议。
LASHZJ-0050	011.国民党与豹.txt	9	9	契阔死生	现在我不管你多苦恼，重提此事，盼你出面，完成这一功德。大哥和我，道不同不相为谋，“契阔死生”十二年，如今大家都渐老去，总该做点别人做不成的事，做点非我们做不可的事，盼你不避嫌疑与困难，接受我的建议。
LASHZJ-0051	011.国民党与豹.txt	15	15	外行看热闹，内行看门道。	当然我佩服你二十年来在结合史料方面的努力，“外行看热闹，内行看门道。”内行人还是能从读书得间中，看到或感觉到你的苦心和调济（清朝史学家章学诚有“中有苦心而不能显，内有调济而人不知”的话），只可惜内行人太少了，结果你的杂志在“主线”上，国民党的狐臭失之过重，这样子做董狐，就要多加努力了！如果你做了二十年，还做不成董狐，那就太慢了！
LASHZJ-0052	011.国民党与豹.txt	15	15	中有苦心而不能显，内有调济而人不知	当然我佩服你二十年来在结合史料方面的努力，“外行看热闹，内行看门道。”内行人还是能从读书得间中，看到或感觉到你的苦心和调济（清朝史学家章学诚有“中有苦心而不能显，内有调济而人不知”的话），只可惜内行人太少了，结果你的杂志在“主线”上，国民党的狐臭失之过重，这样子做董狐，就要多加努力了！如果你做了二十年，还做不成董狐，那就太慢了！
LASHZJ-0056	012.要舍得骂自己人.txt	7	7	上驷对下驷	在电话多到必须用自动拨号器的台湾，你却坚持做“台湾最后一名”（不是“美国最后一名XX”）以书信往来的人，让文笔不如你的朋友咸感头痛（这是典型“上驷对下驷”的策略）。同时，你也应该清楚，在这弹丸之地，我国拥有最好的邮政系统——邮政检查系统，要维持“秘密通讯的自由”实在不容易。或许，我以后只好自己养鸽子——像你养四季的林秉钦一样。
LASHZJ-0058	012.要舍得骂自己人.txt	63	63	敢做敢当	《前进周刊》在《李敖租界》下的编者按语，所谓“一切文责皆由李敖个人承担，本刊概不负责”的话，是没有骨头的。固然我李敖写文章，敢做敢当，不劳任何人为我负责，但作为一个有勇气办杂志的工作者，依情依理依法，都不应显得如此懦弱，给人一种临难想苟免的味道，不知你和编者小弟们以为如何？你们小鬼既然在劫难逃，何必不充好汉呢？“作之不止，乃成好汉”，好汉总要充的，不是吗？
LASHZJ-0059	012.要舍得骂自己人.txt	63	63	临难想苟免	《前进周刊》在《李敖租界》下的编者按语，所谓“一切文责皆由李敖个人承担，本刊概不负责”的话，是没有骨头的。固然我李敖写文章，敢做敢当，不劳任何人为我负责，但作为一个有勇气办杂志的工作者，依情依理依法，都不应显得如此懦弱，给人一种临难想苟免的味道，不知你和编者小弟们以为如何？你们小鬼既然在劫难逃，何必不充好汉呢？“作之不止，乃成好汉”，好汉总要充的，不是吗？
LASHZJ-0060	012.要舍得骂自己人.txt	63	63	作之不止，乃成好汉	《前进周刊》在《李敖租界》下的编者按语，所谓“一切文责皆由李敖个人承担，本刊概不负责”的话，是没有骨头的。固然我李敖写文章，敢做敢当，不劳任何人为我负责，但作为一个有勇气办杂志的工作者，依情依理依法，都不应显得如此懦弱，给人一种临难想苟免的味道，不知你和编者小弟们以为如何？你们小鬼既然在劫难逃，何必不充好汉呢？“作之不止，乃成好汉”，好汉总要充的，不是吗？
LASHZJ-0061	014.写出中华儿女真的血泪.txt	5	5	唯恐每周不乱	当然你可以感觉出来，我为了配合你们周刊的新闻性，尽量以本周发生的事件为主题，加以论列。这样我写的文章，也就同样有新闻性。所以，我们都“唯恐每周不乱”，因为一不乱，就没新闻了。
LASHZJ-0062	014.写出中华儿女真的血泪.txt	7	7	幸福的家庭都是一样的，不幸的家庭各有各的不幸	本周你家老太爷归来，你凭空冒出个爸爸，实在是大新闻。几年前我在牢里，听到李光辉归来的故事，为之泪下；如今你家这一次，也极感人。托尔斯泰《安娜·卡列尼娜》说幸福的家庭都是一样的，不幸的家庭各有各的不幸，我觉得你们杂志应该辟一专栏，专门搜集这几十年来，中国人在乱世中遭遇的千奇百怪的不幸故事（故事不妨由人代笔或访问得之，但一定要真的故事，假的不要；并且要动人的故事，太普通的也不要）。我想，这样的时代纪录是极为必要的。这是中华儿女真的血泪，这是真的文学与历史，要比官方的和御用文人的好一万倍。甚至你可以用征文方式去搜集，看谁写得最好。
LASHZJ-0063	014.写出中华儿女真的血泪.txt	7	7	真的故事，假的不要；并且要动人的故事，太普通的也不要	本周你家老太爷归来，你凭空冒出个爸爸，实在是大新闻。几年前我在牢里，听到李光辉归来的故事，为之泪下；如今你家这一次，也极感人。托尔斯泰《安娜·卡列尼娜》说幸福的家庭都是一样的，不幸的家庭各有各的不幸，我觉得你们杂志应该辟一专栏，专门搜集这几十年来，中国人在乱世中遭遇的千奇百怪的不幸故事（故事不妨由人代笔或访问得之，但一定要真的故事，假的不要；并且要动人的故事，太普通的也不要）。我想，这样的时代纪录是极为必要的。这是中华儿女真的血泪，这是真的文学与历史，要比官方的和御用文人的好一万倍。甚至你可以用征文方式去搜集，看谁写得最好。
LASHZJ-0064	014.写出中华儿女真的血泪.txt	7	7	这是真的文学与历史	本周你家老太爷归来，你凭空冒出个爸爸，实在是大新闻。几年前我在牢里，听到李光辉归来的故事，为之泪下；如今你家这一次，也极感人。托尔斯泰《安娜·卡列尼娜》说幸福的家庭都是一样的，不幸的家庭各有各的不幸，我觉得你们杂志应该辟一专栏，专门搜集这几十年来，中国人在乱世中遭遇的千奇百怪的不幸故事（故事不妨由人代笔或访问得之，但一定要真的故事，假的不要；并且要动人的故事，太普通的也不要）。我想，这样的时代纪录是极为必要的。这是中华儿女真的血泪，这是真的文学与历史，要比官方的和御用文人的好一万倍。甚至你可以用征文方式去搜集，看谁写得最好。
LASHZJ-0069	016.我很刁.txt	11	11	报导当事人任何消息，都以亲见为要件，耳食之言，一概不登。	这种登法，是违背新闻处理基本原则的。因为我根本没有过此种反应。《纽约时报》包德甫在台湾的时候跟我说，报导当事人任何消息，都以亲见为要件，耳食之言，一概不登。大报有此约束，良有以也。特地写来，供你们参考。
LASHZJ-0070	016.我很刁.txt	15	15	我颇有幽默感，要不然，我准会发疯。	我想不到你把这事又拿来作政治运用。但你要明了，我所谈的政治是不能与非暴力和真理分开的。我曾一再说过，我宁可丧失印度而不愿放弃真理。我可以告诉你，我颇有幽默感，要不然，我准会发疯。比方说，我看到你所作的报导，就可发疯。你完全歪曲事实，我可以不再理你。但是我不这样做，我还是像平日一样接见你。
LASHZJ-0071	016.我很刁.txt	17	17	鸡毛蒜皮，一说就俗	按说许多事，实在不值得一一解释，因为鸡毛蒜皮，一说就俗。只是在有施教作用的场合，做一点点澄清的示范，也有其佳处。但是写过以后，情随事迁，总觉得无聊。严格的说，筱峰之文与我答他之文，都大可不必写。大家都去写别的，该多好！更该写的，可多着哩，结果花了那么多的篇幅去谈“段宏俊”，始作俑者，其筱峰乎？
LASHZJ-0072	016.我很刁.txt	17	17	情随事迁	按说许多事，实在不值得一一解释，因为鸡毛蒜皮，一说就俗。只是在有施教作用的场合，做一点点澄清的示范，也有其佳处。但是写过以后，情随事迁，总觉得无聊。严格的说，筱峰之文与我答他之文，都大可不必写。大家都去写别的，该多好！更该写的，可多着哩，结果花了那么多的篇幅去谈“段宏俊”，始作俑者，其筱峰乎？
LASHZJ-0073	016.我很刁.txt	19	19	我很刁，但这正是我的长处。	我知道我使你们头痛，我很刁，但这正是我的长处。我在是非之争上，极为放刁；真理所在，绝不饶人。我活了这么老，还能不乡愿，还能心直口快、侠骨柔情，正因为我又多情又认真又厉害的缘故。而你们这些小朋友，却有年纪愈大愈心平气和的危险，你们真不可不注意。在这世界上，不会有像我这样的人，这样倚老卖老大模大样的教训你们了，你们应该庆幸有此逆耳之忠言。我的忠言中，有一个大缺点，是过分自大，不过当你们知道我的确如此大大大，就见大不大了！
LASHZJ-0074	016.我很刁.txt	19	19	心直口快、侠骨柔情	我知道我使你们头痛，我很刁，但这正是我的长处。我在是非之争上，极为放刁；真理所在，绝不饶人。我活了这么老，还能不乡愿，还能心直口快、侠骨柔情，正因为我又多情又认真又厉害的缘故。而你们这些小朋友，却有年纪愈大愈心平气和的危险，你们真不可不注意。在这世界上，不会有像我这样的人，这样倚老卖老大模大样的教训你们了，你们应该庆幸有此逆耳之忠言。我的忠言中，有一个大缺点，是过分自大，不过当你们知道我的确如此大大大，就见大不大了！
LASHZJ-0075	016.我很刁.txt	19	19	逆耳之忠言	我知道我使你们头痛，我很刁，但这正是我的长处。我在是非之争上，极为放刁；真理所在，绝不饶人。我活了这么老，还能不乡愿，还能心直口快、侠骨柔情，正因为我又多情又认真又厉害的缘故。而你们这些小朋友，却有年纪愈大愈心平气和的危险，你们真不可不注意。在这世界上，不会有像我这样的人，这样倚老卖老大模大样的教训你们了，你们应该庆幸有此逆耳之忠言。我的忠言中，有一个大缺点，是过分自大，不过当你们知道我的确如此大大大，就见大不大了！
LASHZJ-0076	017.君子之爱与细人之爱.txt	17	17	华而睆！大夫之箦与！	《民主人》社论劝康宁祥放弃连任、更上一层楼，是你近来写得最好的一篇文字，可惜你爱护党外、爱护老康之心，竟有一批细人不能了解。曾子临死的时候，他的学生乐正子春、儿子曾元、曾申，都环绕在床边，一个童子在墙角举着蜡烛，忽然说：“华而睆！大夫之箦与！”（“好漂亮啊！是大夫用的席子嘛！”）乐正子春申斥他，说：“止！”（“你不要多嘴！”）可是曾子吃了一惊，问说什么，童子又说：“华而睆！大夫之箦与！”曾子听清楚了，说：“然！斯季孙之赐也。我未之能易也，元！起易箦！”（“是大夫的席子！是鲁国大夫季孙送给我的，我没来得及换〔我不是大夫，依礼不得用大夫的席子〕。曾元！扶起我来换席子！”）曾元说：爸爸现在病成这样子，不可以移动，明天再说吧。可是曾子不肯，曾子说：“尔之爱我也，不如彼！君子之爱人也，以德；细人之爱人也，以姑息。吾何求哉？吾得正而毙焉，斯已矣！”（“你们爱我，实在比不上这小孩子！君子是用大义爱人；小人却不讲大义，只会用姑息手段爱得人去做错事。我现在还求什么呢？我只求守原则而死，就好了！”）曾子说过以后，就来换席子，刚换过去，还没躺好，就死了！
LASHZJ-0077	017.君子之爱与细人之爱.txt	17	17	君子之爱人也，以德；细人之爱人也，以姑息。	《民主人》社论劝康宁祥放弃连任、更上一层楼，是你近来写得最好的一篇文字，可惜你爱护党外、爱护老康之心，竟有一批细人不能了解。曾子临死的时候，他的学生乐正子春、儿子曾元、曾申，都环绕在床边，一个童子在墙角举着蜡烛，忽然说：“华而睆！大夫之箦与！”（“好漂亮啊！是大夫用的席子嘛！”）乐正子春申斥他，说：“止！”（“你不要多嘴！”）可是曾子吃了一惊，问说什么，童子又说：“华而睆！大夫之箦与！”曾子听清楚了，说：“然！斯季孙之赐也。我未之能易也，元！起易箦！”（“是大夫的席子！是鲁国大夫季孙送给我的，我没来得及换〔我不是大夫，依礼不得用大夫的席子〕。曾元！扶起我来换席子！”）曾元说：爸爸现在病成这样子，不可以移动，明天再说吧。可是曾子不肯，曾子说：“尔之爱我也，不如彼！君子之爱人也，以德；细人之爱人也，以姑息。吾何求哉？吾得正而毙焉，斯已矣！”（“你们爱我，实在比不上这小孩子！君子是用大义爱人；小人却不讲大义，只会用姑息手段爱得人去做错事。我现在还求什么呢？我只求守原则而死，就好了！”）曾子说过以后，就来换席子，刚换过去，还没躺好，就死了！
