id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	duplicate_text	political_hits	notes
LAYMTX-014	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	11	11	司马昭之心，路人皆知	成语	三国典故	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-015	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	11	11	诸葛亮平生谨慎，不曾弄险。	小说文句	《三国演义》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-016	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	11	11	盖因不得已而用之	小说文句	《三国演义》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-017	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	13	13	我们不要太处心积虑地去选敌人。	外国格言译文	王尔德语意	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-018	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	13	13	司马懿悔之无及，仰天叹曰‘吾不如孔明也！’	小说文句	《三国演义》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-019	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	21	21	此中乐，不思蜀矣。	典故成语	三国典故	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-020	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	13	13	山中无老虎，猴子称大王	传统俗语	中国俗语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-021	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	13	13	蜀中无大将，廖化作先锋	传统俗语	三国俗语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-022	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	15	15	苟全性命于乱世，不求闻达于诸侯	古文名句	诸葛亮《出师表》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-023	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	15	15	受任于败军之际	古文名句	诸葛亮《出师表》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-024	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	15	15	鞠躬尽瘁，死而后已	古文名句	《后出师表》语句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-025	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	25	25	出师未捷身先死，长使英雄泪满襟。	唐诗	杜甫诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-026	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	25	25	出师不利身未死，长使英雄泪满襟	李敖改诗	李敖改杜甫诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-027	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	27	27	但问耕耘好不好，不再问收获。	李敖诗句	李敖《孔明》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-028	李敖语妙天下	004.2009-01-06：诸葛孔明的精神.txt	27	27	他年锦里经祠庙，《梁父吟》成恨有余。	唐诗	李商隐诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-029	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	3	3	徒令上将挥神笔，终见降王走传车。	唐诗	李商隐诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-030	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	3	3	管乐有才真不忝，关张无命欲何如。	唐诗	李商隐诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-031	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	5	5	结庐在人境，而无车马喧。问君何能尔，心远地自偏。采菊东篱下，悠然见南山。	晋诗	陶渊明诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-032	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	5	5	何以解忧，惟有杜康	古诗名句	曹操《短歌行》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-033	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	5	5	优游风议，性简傲跌宕	史书文句	《三国志·简雍传》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-034	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	7	7	彼有其具	史书文句	《三国志·简雍传》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-035	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	11	11	养寇自重	成语	中国成语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-036	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	13	13	小人养吾病，欲以自重	史书文句	《三国志·华佗传》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-037	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	11	11	吾悔杀华佗	史书文句	《三国志·华佗传》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-038	李敖语妙天下	005.2009-01-07：曹操惊世骇俗的创举.txt	15	15	置象大船之上	史书文句	曹冲称象故事	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-039	李敖语妙天下	006.2009-01-08：从曹操到蒋介石.txt	9	9	始作俑者，其无后故。	孟子名句	《孟子》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-040	李敖语妙天下	006.2009-01-08：从曹操到蒋介石.txt	9	9	不孝有三，无后为大	传统格言	《孟子》语句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-041	李敖语妙天下	006.2009-01-08：从曹操到蒋介石.txt	13	13	有冥婚不稀奇，稀奇的是还有冥婚后的离婚	李敖格言	李敖文句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-042	李敖语妙天下	007.2009-01-09：许历农才是觉悟了的国民党.txt	13	13	遥想公瑾当年，小乔初嫁了，雄姿英发。	宋词	苏轼《念奴娇·赤壁怀古》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-043	李敖语妙天下	007.2009-01-09：许历农才是觉悟了的国民党.txt	15	15	相看白刃血纷纷，死节从来岂顾勋。君不见沙场征战苦，至今犹忆李将军。	唐诗	高适《燕歌行》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-044	李敖语妙天下	008.2009-01-12：《上山上山爱》(一).txt	3	3	清者阅之以成圣，浊者见之以为淫。	李敖题句	李敖《上山·上山·爱》扉页语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-045	李敖语妙天下	008.2009-01-12：《上山上山爱》(一).txt	5	5	吾少也贱，故多能鄙事。	论语文句	《论语·子罕》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-046	李敖语妙天下	008.2009-01-12：《上山上山爱》(一).txt	31	31	智照千年，雄开百代	李敖文句	李敖《从生离到死别》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-047	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	5	5	哦，Danny Boy，当风笛呼唤，幽谷成排，当夏日已尽，玫瑰难怀。你，你天涯远引，而我，我在此长埋。当草原尽夏，当雪地全白，任晴空万里，任四处阴霾。哦，Danny Boy，我如此爱你，等你徘徊。哦，说你爱我，你将前来。纵逝者如斯，死者初裁。谢皇天后土，在荒坟塚上，请把我找到，找到，寻我遗骸。	外国民歌译文	《Danny Boy》李敖译文	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-048	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	7	7	即令你足音轻轻，在我上面，整个我孤坟感应，甜蜜温暖，你俯身向前，诉说情爱，我将死于安乐，直到与你同在。	外国民歌译文	《Danny Boy》李敖译文	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-049	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	13	13	山上没有你，只是漫长的冬季，夕阳虽美，毕竟不是一个人的。啊，亲爱的情人，最美好的夕阳，已同你看过，还有我代你看吗？对下山的情人而言，她无心留恋夕阳，在山路的下坡里，她自己就是夕阳。	李敖散文句	李敖《上山·上山·爱》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-050	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	15	15	物不在心外，心不在物外，一切都在物内、在心底。	李敖哲理句	李敖《上山·上山·爱》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-051	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	17	17	是神伤？是梦醒？是再会？还是永诀？万劫啊，你和我同样不晓。	李敖散文句	李敖《上山·上山·爱》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-052	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	19	19	焉知原上塚，不有当年吾。	金元诗句	元好问诗句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-053	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	19	19	有召即重来，若亡而实在。	现代诗句	胡适诗句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-054	李敖语妙天下	009.2009-01-13：《上山上山爱》(二).txt	23	23	飞鸟过江来，投影在江水。鸟逝水长流，此影何尝徙？风过镜平湖，湖面生轻绉。湖更镜平时，毕竟难如旧。为他起一念，十年终不改。有召即重来，若亡而实在。	现代诗	胡适诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-055	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	5	5	不是肥水不落外人田，而是水肥不落外人田。	训诂格言	李敖辨俗语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-056	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	21	21	与父老约，法，三章耳	史记文句	《史记·高祖本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-057	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	21	21	杀人者死	史记文句	《史记·高祖本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-058	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	21	21	伤人及盗抵罪	史记文句	《史记·高祖本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-059	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	27	27	可以死可以不死，死伤勇	孟子文句	《孟子》语意	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-060	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	27	27	与江东弟子八千人渡江而西，今无一人还	史记文句	《史记·项羽本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-061	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	27	27	我何面目见之	史记文句	《史记·项羽本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-062	李敖语妙天下	010.2009-01-14：两位英雄死前的奇行.txt	27	27	吾为若德	史记文句	《史记·项羽本纪》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-063	李敖语妙天下	012.2009-01-16：聪明人只爱一点点.txt	5	5	任凭弱水三千，我只取一瓢饮。	小说文句	《红楼梦》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-064	李敖语妙天下	012.2009-01-16：聪明人只爱一点点.txt	5	5	瓢之漂水，奈何？	小说文句	《红楼梦》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-065	李敖语妙天下	012.2009-01-16：聪明人只爱一点点.txt	5	5	非瓢漂水，水自流，瓢自漂耳。	小说文句	《红楼梦》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-066	李敖语妙天下	013.2009-01-19：好的想象力比知识还重要.txt	27	27	力拔山兮气盖世，时不利兮骓不逝兮。骓不逝兮可奈何，虞兮虞兮奈若何！	古歌	项羽《垓下歌》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-067	李敖语妙天下	027.2009-02-13：我看苏东坡.txt	25	25	客亦知夫水与月乎？逝者如斯，而未尝往也；盈虚者如彼，而卒莫消长也。盖将自其变者而观之，则天地曾不能以一瞬；自其不变者而观之，则物与我皆无尽也，而又何羡乎！且夫天地之间，物各有主，苟非吾之所有，虽一毫而莫取。惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色，取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。	宋文	苏轼《赤壁赋》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-068	李敖语妙天下	031.2009-02-19：中美日三国的爱恨情仇.txt	15	15	靖康耻，犹未雪，臣子恨，何时灭	宋词	岳飞《满江红》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-069	李敖语妙天下	031.2009-02-19：中美日三国的爱恨情仇.txt	15	15	三万里河东入海，五千仞岳上摩天。遗民泪尽胡尘里，南望王师又一年。	宋诗	陆游诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-070	李敖语妙天下	031.2009-02-19：中美日三国的爱恨情仇.txt	27	27	去努力、去追求、去寻找——永不退却、不屈服	外国诗译文	丁尼生诗胡适译句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-071	李敖语妙天下	032.2009-02-20：中国迟早统一.txt	5	5	嫂溺不援	孟子文句	《孟子》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-072	李敖语妙天下	032.2009-02-20：中国迟早统一.txt	5	5	男女授受不亲	传统礼法句	中国传统礼教	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-073	李敖语妙天下	032.2009-02-20：中国迟早统一.txt	5	5	援之以道	孟子文句	《孟子》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-074	李敖语妙天下	034.2009-02-24：为熊猫抱屈.txt	11	11	结庐在人境，而无车马喧。问君何能尔？心远地自偏。采菊东篱下，悠然见南山。山气日夕佳，飞鸟相与还。此中有真意，欲辨已忘言。	晋诗	陶渊明诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-075	李敖语妙天下	034.2009-02-24：为熊猫抱屈.txt	11	11	但言浑忘不言无	宋诗句	王安石诗句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-076	李敖语妙天下	034.2009-02-24：为熊猫抱屈.txt	11	11	You can't beat something with nothing	外国格言	胡适所引英文格言	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-077	李敖语妙天下	034.2009-02-24：为熊猫抱屈.txt	13	13	偶有几茎白发，心情微近中年。做了过河卒子，只能拼命向前。	现代诗	胡适诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-078	李敖语妙天下	035.2009-02-25：扒林云大师的皮.txt	3	3	火透波穿不计春，根如头面干如身。偶然题作木居士，便有无穷求福人。	唐诗	韩愈《题木居士二首》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-079	李敖语妙天下	085.2009-05-06：人世之理需要大头脑.txt	7	7	观察入微，物理的部分不时要工具	李敖格言	李敖读书/观察法	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-080	李敖语妙天下	085.2009-05-06：人世之理需要大头脑.txt	7	7	人理部分需要大头脑	李敖格言	李敖读书/观察法	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-081	李敖语妙天下	087.2009-05-08：尻川抵灶倒（见官屎就流）.txt	25	25	魏王雅望非常；然床头捉刀人，此乃英雄也！	世说新语文句	《世说新语》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-082	李敖语妙天下	098.2009-05-25：讹传的典故得靠细腻求知来还原.txt	7	7	旧瓶不能够装新酒	圣经典故误译	《圣经》典故	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-083	李敖语妙天下	103.2009-06-01：别时容易.txt	11	11	别时容易见时难	五代词句	李煜词	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-084	李敖语妙天下	103.2009-06-01：别时容易.txt	11	11	流水落花春去也，天上人间。	五代词句	李煜词	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
