id	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
LAMS-011	《我梦碎，所以我梦醒》序.txt	31	31	同床异梦	传统成语	比喻同处一境而各有想法。	李敖借此写两岸可以各有梦，但不可同归于尽。	
LAMS-012	《我梦碎，所以我梦醒》序.txt	31	31	同归于尽	传统成语	比喻一起走向毁灭。	李敖用它和“同床异梦”对照，强调生死层面的危险。	
LAMS-013	《我梦碎，所以我梦醒》序.txt	35	35	行云流水	文论成语	形容文章自然流动。	李敖用它自述本书写法生猛随意。	
LAMS-014	《我梦碎，所以我梦醒》序.txt	47	47	圣人不空出，贤者不虚生	古人格言	文中明称“古人说”。	李敖借此说明人在复杂处境中仍有其存在和作为的意义。	校对补入：原文明引古人格言。
LAMS-015	《我梦碎，所以我梦醒》序.txt	83	83	终南捷径	传统成语	唐代卢藏用终南山求仕典故发展出的成语。	李敖用它讽刺把复杂问题化约成便宜路线的想法。	校对补入：传统成语。
LAMS-016	《我梦碎，所以我梦醒》序.txt	91	91	寒雨‘连’‘江’夜入吴	唐诗化用	化用王昌龄《芙蓉楼送辛渐》“寒雨连江夜入吴”。	李敖在连战、江丙坤语境中拆字谐用唐诗。	
LAMS-017	《我梦碎，所以我梦醒》序.txt	97	97	劝人不要做混蛋的声音，是以代数级数（an arithmetical ratio）增加的；但人做混蛋的事实，是以几何级数（a geometrical ratio）增加的。	拟科学格言	李敖仿马尔萨斯人口论句式。	李敖用拟格言说明传播工具发达后人更容易做混蛋。	
LAMS-018	《我梦碎，所以我梦醒》序.txt	101	101	知其不可而为之	论语成句	《论语》记孔子“知其不可而为之者与”语意。	李敖用它写圣者智者明知困难仍要行动。	
LAMS-019	《我梦碎，所以我梦醒》序.txt	103	103	穷途末路	传统成语	形容走投无路。	李敖把它称作古今中外志士仁人的标准处境。	
LAMS-020	002.“公投”梦碎.txt	43	43	借尸还魂	传统成语	比喻借已经消亡的旧事物重新出现。	李敖在政治讽刺语境中使用，本轮仅按通用成语保留。	校对补入：不收周边现代政治说法。
LAMS-021	002.“公投”梦碎.txt	51	51	阴魂不散	传统成语	比喻虽已消亡仍纠缠不去。	李敖在政治讽刺语境中使用，本轮仅按通用成语保留。	校对补入：不收周边现代政治说法。
LAMS-022	005.“中华民国”亡国考.txt	13	13	置生死于度外	传统成语	形容不把生死放在心上。	李敖转述陈布雷性格时保留此成语。	
LAMS-023	005.“中华民国”亡国考.txt	37	37	贫僧塔坏，陛下社稷随坏。	六朝佛寺传说	宝志禅师答梁武帝语。	李敖引用灵谷寺传说，铺垫南京、古寺与亡国梦碎的互文。	校对补入：古代传说引文。
LAMS-024	005.“中华民国”亡国考.txt	37	37	六帝园林堕劫灰，独余灵谷葬崔嵬，行人指点云间鹤，唤得齐梁一梦回。	宋诗	宋人题灵谷寺诗。	李敖先引宋人题诗，再翻作自己的“亡国”诗。	校对补入：与后文李敖翻作诗互为底本。
LAMS-025	005.“中华民国”亡国考.txt	45	51	六帝园林堕劫灰，\n独余灵谷供泪垂。\n亡人指点亡国恨，\n唤得金陵春梦回！	李敖诗作	李敖感而翻作的诗。	李敖在蒋介石自述亡国材料后，以四句诗写南京、亡国与春梦回返。	
LAMS-026	008.“民国”梦碎.txt	5	5	天下为公	礼记成句	《礼记·礼运》语。	李敖在讽刺父子接班时反引此句。	
LAMS-027	009.“首都”梦碎.txt	37	39	群盗鼠窃狗偷，死者不瞑目；\n此地龙蟠虎踞，古人之虚言。	联语	章太炎批评国民党建都南京的对联。	李敖引用章太炎联语，说明南京建都之失。	
LAMS-028	011.“抗战”梦碎.txt	3	3	视死如归	传统成语	形容把死看得像回家一样平常。	李敖列举国民党抗战宣传表面姿态时用此成语。	
LAMS-029	012.“受降”梦碎.txt	59	59	先秤秤你的分量	俗话	文中明称为俗话。	李敖借冷欣受降叙述中的俗话，写日本人用试探手腕观察对手。	
LAMS-030	012.“受降”梦碎.txt	61	61	由你这厮奸似鬼，喝了老娘洗脚水	水浒引文	《水浒传》孙二娘语。	李敖引用孙二娘话，讽刺受降交涉中的受制处境。	
LAMS-031	017.“法统”梦碎.txt	35	35	阴魂不散	传统成语	比喻虽已消亡仍纠缠不去。	李敖用此成语概括袁世凯仍被法统话术缠绕。	校对补入：只收成语本身。
LAMS-032	021.《宪法》梦碎.txt	21	21	挟天子以令诸侯	史传成语	曹操挟汉献帝故事发展出的成语。	李敖用它说明临时条款借宪法之名支配宪法的状态。	校对补入：传统史传成语。
LAMS-033	021.《宪法》梦碎.txt	43	43	曲学阿世	史记成语	《史记·儒林列传》语意发展出的成语。	李敖用它批评御用法学者曲从世俗权力。	校对补入：传统成语，不收同句法律政治引文。
LAMS-034	021.《宪法》梦碎.txt	61	61	哑巴吃黄连──有苦说不出	传统俗语	歇后语，比喻有苦难言。	李敖用它形容临时条款问题下的无法辩解。	校对补入：歇后语。
LAMS-035	021.《宪法》梦碎.txt	61	61	哑巴吃元宵──心里有数	传统俗语	歇后语，比喻心中明白。	李敖用它与“哑巴吃黄连”并列，说明表面哑口而心中有数。	校对补入：歇后语。
LAMS-036	023.“遗教”梦碎.txt	5	5	挂羊头卖狗肉	传统俗语	比喻名实不符。	李敖用它批评打着遗教招牌而实质相违。	
LAMS-037	024.“政体”梦碎.txt	21	21	曲学阿世	史记成语	《史记·儒林列传》语意发展出的成语。	李敖用它批评宪法学者曲从权势。	校对补入：传统成语。
LAMS-038	025.“民主”梦碎.txt	7	7	青出于蓝	传统成语	《荀子》语意发展出的成语。	李敖用它形容民进党在乙式政党结构上更进一步。	
LAMS-039	027.民进党为国民党护航的一个例子.txt	15	15	豺狼当道，安问狐狸？	古话	文中明称中国古话。	李敖在质询中借古话说明大问题不解决，小问题无意义。	
LAMS-040	033.“暴政必亡”梦碎.txt	5	5	人之将死，其言也善	论语成句	《论语》语。	李敖用此评价陈诚晚年谈国民党前途时的醒悟。	
LAMS-041	019.“道统”梦碎.txt	31	31	大道之行也，天下为公，选贤与能，讲信修睦。	礼记名句	《礼记·礼运》句。	李敖转引蒋介石文本中引用的礼运篇，用以呈现“天下为公”的原典。	
LAMS-042	019.“道统”梦碎.txt	31	31	故人不独亲其亲，不独子其子，使老有所终、壮有所用、幼有所长、矜寡孤独废疾者皆有所养，男有分，女有归。	礼记名句	《礼记·礼运》句。	李敖转引礼运篇大同理想的一段。	
LAMS-043	019.“道统”梦碎.txt	31	31	货恶其弃于地也，不必藏于己；力恶其不出于身也，不必为己。	礼记名句	《礼记·礼运》句。	李敖转引礼运篇中关于货与力的公义句。	
LAMS-044	019.“道统”梦碎.txt	31	31	是故谋闭而不兴，盗窃乱赃而不作，故外户而不闭，是谓大同。	礼记名句	《礼记·礼运》句。	李敖转引礼运篇大同社会的收束句。	
LAMS-045	019.“道统”梦碎.txt	31	31	世界大同	礼记大同语	近代以《礼记》大同理想延伸出的语汇。	李敖在道统论述中转录其作为终结理想。	校对修订：类别去掉“政治”字样，按《礼记》大同语保留。
LAMS-046	020.“学统”梦碎.txt	3	3	安事诗书	史传成句	刘邦轻视诗书的典故语。	李敖用它写搞政治者看不起学术的一型。	
LAMS-047	020.“学统”梦碎.txt	5	5	焚琴煮鹤	传统成语	比喻糟蹋美好事物。	李敖用它形容政治力介入学术后的破坏。	
LAMS-048	020.“学统”梦碎.txt	9	9	Frustrated mind	心理学术语	文中引近代心理分析学术语。	李敖借居浩然评徐复观，说明受挫折的心灵。	
LAMS-049	020.“学统”梦碎.txt	9	9	学格	学术评语	Scholarship 的译语。	李敖借居浩然语，批评台湾社会中缺乏真正学术标准。	
LAMS-050	020.“学统”梦碎.txt	19	19	群贤毕至，少长咸集	兰亭集序名句	王羲之《兰亭集序》句。	李敖引用此句调侃道统、学统人物可以联欢一次。	
LAMS-051	030.“大儒”也梦碎.txt	7	7	与朝廷争胜	苏轼典故	文中称为苏东坡的毛病。	李敖用它概括《自由中国》与权力争胜的风骨。	
LAMS-052	030.“大儒”也梦碎.txt	9	9	文字收功日，千秋革命潮	近代诗句	马君武诗句。	李敖引此诗句反思文字影响的局限。	
LAMS-053	030.“大儒”也梦碎.txt	11	11	匹夫而为百世师、一言而为天下法	苏轼名句	苏轼《潮州韩文公庙碑》句。	李敖借此写大儒时代渐远。	
LAMS-054	030.“大儒”也梦碎.txt	13	13	我是最伟大的。	拳王名言译语	阿里语，原文 I am the greatest.	李敖以阿里名言引出“大儒”自许问题。	
LAMS-055	030.“大儒”也梦碎.txt	13	13	I am the greatest.	英语名言	阿里语。	李敖并列英文原句，作为“大儒”自许的对照。	
LAMS-056	034.“黑猫”梦碎，“白猫”也梦碎.txt	9	9	中学为体，西学为用	近代格言	晚清洋务派格言。	李敖用它对照红色封疆大吏对中学与西学的处理。	
LAMS-057	034.“黑猫”梦碎，“白猫”也梦碎.txt	9	9	作戏无法、搬出菩萨	俗谚	形容无计可施时搬出权威或神佛。	李敖用此讽刺到处设立孔子学院的做法。	
LAMS-058	034.“黑猫”梦碎，“白猫”也梦碎.txt	9	9	非其鬼而祭之，谄也。	论语名句	《论语》孔子语。	李敖引用孔子语，批评无神论者向神明示好的虚妄。	
LAMS-059	034.“黑猫”梦碎，“白猫”也梦碎.txt	13	13	师夷之长以制夷	近代名句	魏源《海国图志》提出的名句。	李敖用它讨论学习外力长处时仍需保持主体性。	校对补入：清代名句，不收同段现代政策词。
LAMS-060	034.“黑猫”梦碎，“白猫”也梦碎.txt	13	13	伊于胡底	诗经成语	《诗经·小雅·小旻》语句发展出的成语。	李敖用它形容被外力牵引后不知会到什么地步。	校对补入：古典成语。
LAMS-061	038.“五四”梦碎.txt	7	7	一针见血	传统成语	形容说话切中要害。	李敖用它评价胡适对台湾“五四”文章的批评。	
LAMS-062	038.“五四”梦碎.txt	9	9	告朔饩羊	论语典故	《论语》典故。	李敖用它形容“五四”沦为口号和形式纪念。	
LAMS-063	041.“爱国”梦碎.txt	35	49	事业平生悲剧多，\n循环历史究如何？\n痴心爱国浑忘老，\n爱到痴心即是魔。\n治生敢曰太无方，\n病在偏怜晚节香。\n廿载服官无息日，\n一朝罢去便饥荒。	旧体诗	陈仪两首《无题》。	李敖全文转录陈仪两首无题诗，作为“爱国”梦碎的诗性证据。	
LAMS-064	044.“大人”梦碎.txt	3	3	说大人，则藐之，勿视其巍巍然。	孟子名句	《孟子》语。	李敖引用孟子语，称其轻视大人物的气概不凡。	
LAMS-065	044.“大人”梦碎.txt	5	5	小人得志	传统成语	形容品格低的人得势。	李敖用它形容台湾小格局中的“大人”相。	
LAMS-066	045.“活佛”梦碎.txt	9	9	惟妙惟肖	传统成语	形容模仿得很逼真。	李敖用它讽刺国民党媒体学西方帝国主义话语。	
LAMS-067	045.“活佛”梦碎.txt	31	31	十目所视、十手所指	中庸成句	《中庸》语意发展出的成句。	李敖用它形容西方与国民党媒体一致锁定中共西藏人权问题。	
LAMS-068	046.“三毛”梦碎.txt	9	9	欺以其方	孟子成语	《孟子》“君子可欺以其方”语意发展出的成语。	李敖用它说张乐平与人为善而被特定文化姿态作弄。	校对补入：孟子成语，不收周边现代人物评价。
LAMS-069	049.“解严”梦碎.txt	9	9	始作俑者	孟子成语	《孟子》语意发展出的成语。	李敖用它指出戒严体制的开端责任。	
LAMS-070	049.“解严”梦碎.txt	9	9	换汤不换药	传统俗语	比喻只改形式不改实质。	李敖用它形容解严只是表面开放。	
LAMS-071	049.“解严”梦碎.txt	11	11	声妓晚景从良，一世之烟花无碍；贞妇白头失守，半生之清苦俱非。	俗语联句	传统评人后半截的俗语式联句。	李敖引用此句后再反驳不可背离事实称赞。	
LAMS-072	049.“解严”梦碎.txt	11	11	看人只看后半截	俗语	以晚节评人的俗语。	李敖转述此说，再指出不能背离事实。	
LAMS-073	049.“解严”梦碎.txt	11	11	与人为善	孟子成语	《孟子》语意发展出的成语。	李敖用来转述可能的宽厚评价立场。	
LAMS-074	055.误信“固守保台”的备忘录.txt	5	5	换汤不换药	传统俗语	比喻只改形式不改实质。	李敖再次用它形容军购预算形式变化而实质不变。	
LAMS-075	057.误信“美国是我们的朋友”的备忘录.txt	17	17	既往不咎	论语成语	《论语》语意发展出的成语。	李敖借此设问即使不追究旧事，仍不能误信美国是朋友。	
LAMS-076	058.“读经”梦碎.txt	15	15	多闻阙疑	论语成句	《论语》语。	李敖转引胡适文中傅斯年对读经问题的判断，强调疑处应阙。	
LAMS-077	058.“读经”梦碎.txt	15	15	不知为不知	论语成句	《论语》语。	李敖借此说明治经应承认知识不足。	
LAMS-078	058.“读经”梦碎.txt	15	15	六经虽在专门家手里也是半懂不懂的东西	傅斯年语	傅斯年谈学校读经问题。	李敖转引傅斯年语，说明古经难读，不宜轻率教儿童。	
LAMS-079	058.“读经”梦碎.txt	21	21	《诗》、《书》为人人诵习之书，然于六艺中最难读。以弟之愚暗，于《书》所不能解者殆十之五；于《诗》，亦十之一二。	王国维语	王国维《与友人论诗书中成语书》。	李敖转引王国维语，说明《诗》《书》在六艺中最难读。	
LAMS-080	058.“读经”梦碎.txt	21	21	汉、魏以来诸大师未尝不强为之说，然其说终不可通。以是知先儒亦不能解也。	王国维语	王国维《与友人论诗书中成语书》。	李敖转引王国维语，指出先儒强解诗书亦多不可通。	
LAMS-081	058.“读经”梦碎.txt	23	23	强为之说	经学评语	王国维语意中提炼出的评语。	李敖用它概括古经学不承认难懂而强行解释的问题。	
LAMS-082	058.“读经”梦碎.txt	23	23	道听途说	论语成语	《论语》语意发展出的成语。	李敖用它批评浅识者以为清儒整理后五经已无疑问。	
LAMS-083	058.“读经”梦碎.txt	27	27	其难解之故有三：讹阙，一也（此以《尚书》为甚）。古语与今语不同，二也。古人颇用成语，其成语之意义与其中单语分别之意义又不同，三也。	王国维语	王国维《与友人论诗书中成语书》。	李敖转引王国维语，概括古经难解的三个原因。	
LAMS-084	058.“读经”梦碎.txt	29	29	唐、宋之成语，吾得由汉、魏、六朝人书解之；汉、魏之成语，吾得由周、秦人书解之。	王国维语	王国维《与友人论诗书中成语书》。	李敖转引此句说明成语意义须借更古文献递推解释。	
LAMS-085	058.“读经”梦碎.txt	29	29	否则不能赞一辞。	王国维语	王国维《与友人论诗书中成语书》。	李敖转引此句说明缺乏可比较材料时无法解释古经。	
LAMS-086	058.“读经”梦碎.txt	67	67	六经虽在专门家手中也是半懂不懂的东西	傅斯年语	傅斯年谈古代经典整理。	李敖再次转引傅斯年语，称其为最确当的估计。	
LAMS-087	058.“读经”梦碎.txt	69	69	在今日妄谈读经，或提倡中小学读经，都是无知之谈，不值得通人的一笑。	胡适语	胡适《我们今日还不配读经》。	李敖转录胡适结论，作为反对轻率读经的学术判断。	
LAMS-088	059.“推移”梦碎.txt	5	5	圣人不凝滞于物，而能与世推移。	楚辞名句	《楚辞·渔父》。	李敖引用渔父提醒屈原的话，说明推移观念。	
LAMS-089	059.“推移”梦碎.txt	9	11	沧浪之水清兮，可以濯吾缨；\n沧浪之水浊兮，可以濯吾足。	楚辞名句	《楚辞·渔父》。	李敖引用沧浪歌说明随现实条件起承转合的哲学。	
LAMS-090	059.“推移”梦碎.txt	13	13	举世皆浊而我独清，众人皆醉而我独醒	楚辞名句	《楚辞·渔父》屈原语。	李敖用它写屈原式痛苦缺乏弹性。	
LAMS-091	059.“推移”梦碎.txt	13	13	与世推移	楚辞成句	《楚辞·渔父》。	李敖把它解释为迎上前去的人生。	
LAMS-092	059.“推移”梦碎.txt	17	23	昨夜江边春水生，\n艨瞳巨舰一毛轻。\n向来枉费推移力，\n此日中流自在行。	宋诗	朱熹《泛舟》。	李敖引用全诗，说明时机未至时推移之力会枉费。	
LAMS-093	059.“推移”梦碎.txt	25	25	水到渠成	传统俗语	比喻条件成熟后事情自然成功。	李敖借俗话解释朱熹诗中春水与推移的关系。	
LAMS-094	059.“推移”梦碎.txt	29	29	成功不必在我	俗话	文中明称为俗话。	李敖用它说明反抗与反抗成功有时不是一回事。	校对修订：按原文“俗话那句”改类，不作现代政治口号处理。
LAMS-095	060.“黄莺”梦碎.txt	9	9	幼吾幼以及人之幼	孟子名句	《孟子》语意。	李敖借此说替别的鸟孵蛋本也无妨。	
LAMS-096	060.“黄莺”梦碎.txt	11	11	维鹊有巢，维鸠居之。	诗经名句	《诗经·召南·鹊巢》。	李敖引用《诗经》说明鸠占鹊巢的古典来源。	
LAMS-097	060.“黄莺”梦碎.txt	11	11	鹊巢鸠居	传统成语	由《诗经·鹊巢》发展出的成语。	李敖说明古诗后来演变出此成语。	
LAMS-098	060.“黄莺”梦碎.txt	11	11	鹊巢鸠占	传统成语	由《诗经·鹊巢》发展出的成语。	李敖用它和椋鸟习性相对照。	
LAMS-099	061.梦醒时分.txt	49	49	让我来救出你，再由救出你，救出我自己。	外国文学引文	梅里美《卡门》小说中感叹句的中文译文。	李敖借《卡门》句子说明在周旋中救人与自救相连。	校对补入：文学引文，不收同段现代政治判断。
LAMS-100	061.梦醒时分.txt	49	49	Let me save you, and with you save myself.	外国文学引文	梅里美《卡门》小说引文的英文译句。	李敖在中文译文后并列英文，用来表达救人与自救相连。	校对补入：英文原句/译句并列保留。
LAMS-101	061.梦醒时分.txt	51	51	与虎谋皮	传统成语	比喻同恶人商量要其牺牲自身利益，难以成功。	李敖用它和“伏虎罗汉”意象并列，写梦醒后的方向选择。	校对补入：传统成语。
LAMS-102	061.梦醒时分.txt	123	123	咄咄逼人	传统成语	形容气势逼人。	文中用来形容李敖一贯锋芒。	
LAMS-103	061.梦醒时分.txt	123	123	英雄难过美人关	传统俗语	形容英雄也难抵美人魅力。	文中借林青霞花篮与贺卡调侃李敖。	
